,Unnamed: 0,budget,cast,color,country,description,director,genre,gross_usa,gross_usa_weekend,gross_worldwide,imdb_critic_reviews_total,imdb_popularity,imdb_rating,imdb_ratings_total,imdb_user_reviews_total,language,metacritic_rating,mpaa_rating,poster_image,production_co,release_date,runtime,title,year
0,,"$6,000,000","Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Robert Duvall,Sterling Hayden,John Marley,Richard Conte,Al Lettieri,Diane Keaton,Abe Vigoda,Talia Shire,Gianni Russo,John Cazale,Rudy Bond",Color,USA,"When the aging head of a famous crime family decides to transfer his position to one of his subalterns, a series of unfortunate events start happening to the family, and a war begins between all the well-known families leading to insolence, deportation, murder and revenge, and ends with the favorable successor being finally chosen.",Francis Ford Coppola,"Crime, Drama","$134,966,411,","$302,393","$245,066,411",223.0,111,9.2,"1,328,623","2,707",English,100.0,R,"https://ia.media-imdb.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR3,0,182,268_AL_.jpg",Paramount Pictures,24 March 1972 (USA),175.0,The Godfather,1972
1,,,"Peter Falk,Gena Rowlands,Fred Draper,Lady Rowlands,Katherine Cassavetes,Matthew Labyorteaux,Matthew Cassel,Christina Grisanti,George Dunn,Mario Gallo,Eddie Shaw,Angelo Grisanti,Charles Horvath,James Joyce,John Finnegan",Color,USA,"Peter Falk is a blue collar man trying to deal with his wife's mental instability. He fights to keep a semblance of normality in the face of her bizarre behavior, but when her actions affect their children, he has her committed.",John Cassavetes,"Drama, Romance",,,,85.0,,8.2,"16,465",99,English,,R,"https://ia.media-imdb.com/images/M/MV5BYTRkZDRjNDYtM2VlYy00MzRhLTllZjYtNTU2MWNmNGI1NWUwXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",Faces,18 November 1974 (USA),155.0,A Woman Under the Influence,1974
2,,,"Eileen Brennan,Truman Capote,James Coco,Peter Falk,Alec Guinness,Elsa Lanchester,David Niven,Peter Sellers,Maggie Smith,Nancy Walker,Estelle Winwood,James Cromwell,Richard Narita",Color,USA,"Despite not knowing him, the world's most famous detectives can't pass up the offer of a ""dinner and murder"" invitation from wealthy Lionel Twain. Each has no idea until their arrival at Two Two Twain who else will be in attendance. Those detectives are: amateur sleuths and New York socialites Dick and Dora Charleston, accompanied by their pet terrier, Myron; Belgian detective Monsieur Milo Perrier, accompanied by his chauffeur, Marcel; Shanghainese Inspector Sidney Wang, accompanied by his Japanese adopted son, Willie Wang; frumpish Brit Miss Jessica Marbles, accompanied by her invalid nurse, Miss Withers; and San Francisco gumshoe Sam Diamond, accompanied by his femme fatale sidekick, Tess Skeffington. The dinner part of the invitation runs into problems due to the non-communication between Twain's blind butler, Jamesir Bensonmum, and Twain's new deaf-mute and non-Anglophone cook, Yetta. On the murder side, the guests initially believe Twain will try to kill each of them. However, ...",Robert Moore,"Comedy, Mystery, Thriller, Crime","$32,511,047,",,,61.0,,7.4,"27,904",172,English,,PG,"https://ia.media-imdb.com/images/M/MV5BZWJiZjUxNTQtNTI3My00ZjQyLWFjZTEtODJjYzU0ZGYwYzNkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",Columbia Pictures Corporation,23 June 1976 (USA),94.0,Murder by Death,1976
3,,,"George Burns,Art Carney,Lee Strasberg,Charles Hallahan,Pamela Payton-Wright,Siobhan Keegan,Brian Neville,Constantine Hartofolis,Mary Testa,Jean Shevlin,James Manis,Tito Goya,William Pabst,Christopher Wynkoop,John McComb",Color,USA,"Joe, Al, and Willie are three old men who have resigned themselves to dying. One night, Joe hatches a scheme to put a bit of excitement back into their lives: robbing a bank.",Martin Brest,"Comedy, Crime, Drama","$26,869,286",,,13.0,,7.2,"2,426",28,English,,PG,"https://ia.media-imdb.com/images/M/MV5BMmZmY2E1MzYtOWViOS00MWJjLWE2OTUtMDFlNjQ1ZjY0MzQ0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg",Warner Bros.,25 December 1979 (USA),97.0,Going in Style,1979
4,,"RUR 1,000,000","Natalya Bondarchuk,Donatas Banionis,Jüri Järvet,Vladislav Dvorzhetskiy,Nikolay Grinko,Anatoliy Solonitsyn,Olga Barnet,Vitalik Kerdimun,Olga Kizilova,Tatyana Malykh,Aleksandr Misharin,Bagrat Oganesyan,Tamara Ogorodnikova,Sos Sargsyan,Yulian Semyonov", Black and White,Soviet Union,"The Solaris mission has established a base on a planet that appears to host some kind of intelligence, but the details are hazy and very secret. After the mysterious demise of one of the three scientists on the base, the main character is sent out to replace him. He finds the station run-down and the two remaining scientists cold and secretive. When he also encounters his wife who has been dead for ten years, he begins to appreciate the baffling nature of the alien intelligence.",Andrei Tarkovsky,"Drama, Mystery, Sci-Fi",,,,173.0,"2,543",8.1,"63,833",253,Russian,90.0,PG,"https://ia.media-imdb.com/images/M/MV5BZmY4Yjc0OWQtZDRhMy00ODc2LWI2NGYtMWFlODYyN2VlNDQyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR4,0,182,268_AL_.jpg",Mosfilm,26 September 1972 (Czechoslovakia),167.0,Solaris,1972
5,,"$300,000","Marilyn Burns,Allen Danziger,Paul A. Partain,William Vail,Teri McMinn,Edwin Neal,Jim Siedow,Gunnar Hansen,John Dugan,Robert Courtin,William Creamer,John Henry Faulk,Jerry Green,Ed Guinn,Joe Bill Hogan",Color,USA,"En route to visit their grandfather's grave (which has apparently been ritualistically desecrated), five teenagers drive past a slaughterhouse, pick up (and quickly drop) a sinister hitch-hiker, eat some delicious home-cured meat at a roadside gas station, before ending up at the old family home... where they're plunged into a never-ending nightmare as they meet a family of cannibals who more than make up in power tools what they lack in social skills...",Tobe Hooper,Horror,"$30,859,000",,,211.0,"1,874",7.5,"111,810",859,English,75.0,R,"https://ia.media-imdb.com/images/M/MV5BZDI3OWE0ZWMtNGJjOS00N2E4LWFiOTAtZjQ4OTNiNzIwN2NkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Vortex,4 October 1974 (USA),83.0,The Texas Chain Saw Massacre,1974
6,,"$20,000,000","Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon,Bob Balaban,J. Patrick McNamara,Warren J. Kemmerling,Roberts Blossom,Philip Dodds,Cary Guffey,Shawn Bishop,Adrienne Campbell,Justin Dreyfuss,Lance Henriksen,Merrill Connally",Color,USA,"Two parallel stories are told. In the first, a group of research scientists from a variety of backgrounds are investigating the strange appearance of items in remote locations, primarily desert regions. In continuing their investigation, one of the lead scientists, a Frenchman named Claude Lacombe, incorporates the Kodály method of music education as a means of communication in their work. The response, in turn, at first baffles the researchers, until American cartographer David Laughlin deciphers the meaning of the response. In the second, electric company lineman and family man Roy Neary and single mother Jillian Guiler are among some individuals in Muncie, Indiana who experience some paranormal activity before some flashes of bright lights in the sky, which they believe to be a UFO. Roy becomes obsessed with what he saw, unlike some others, especially in some form of authority, who refuse to acknowledge their belief that it was a UFO in not wanting to appear crazy. That obsession ...",Steven Spielberg,"Drama, Sci-Fi","$132,088,635",,"$303,788,635",209.0,"1,752",7.7,"157,885",373,English,90.0,PG,"https://ia.media-imdb.com/images/M/MV5BMjM1NjE5NjQxN15BMl5BanBnXkFtZTgwMjYzMzQxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg",Julia Phillips and Michael Phillips Productions,14 December 1977 (USA),133.0,Close Encounters of the Third Kind,1977
7,,"$1,000,000","Warren Oates,Ben Johnson,Michelle Phillips,Cloris Leachman,Harry Dean Stanton,Geoffrey Lewis,John P. Ryan,Richard Dreyfuss,Steve Kanaly,John Martino,Roy Jenson,Read Morgan,Frank McRae", Black and White,USA,"After a shoot-out kills five FBI agents in Kansas City the Bureau target John Dillinger as one of the men to hunt down. Waiting for him to break Federal law they sort out several other mobsters, while Dillinger's bank robbing exploits make him something of a folk hero. Escaping from jail he finds Pretty Boy Floyd and Baby Face Nelson have joined the gang and pretty soon he is Public Enemy Number One. Now the G-men really are after him.",John Milius,"Action, Biography, Crime, Drama",,,,35.0,,7.0,"3,916",58,English,,R,"https://ia.media-imdb.com/images/M/MV5BMTcyMTEyNjE4M15BMl5BanBnXkFtZTcwMDg4NTczNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",American International Pictures (AIP),8 November 1973 (Hong Kong),107.0,Dillinger,1973
8,,,"Richard Attenborough,Judy Geeson,John Hurt,Pat Heywood,Isobel Black,Miss Riley,Phyllis MacMahon,Ray Barron,Douglas Blackwell,Gabrielle Daye,Jimmy Gardner,Edward Evans,Tenniel Evans,David Jackson,Jack Carr",Color,UK,"London, 1949.",Richard Fleischer,"Biography, Crime, Drama",,,,55.0,,7.6,"6,149",81,English,,GP,"https://ia.media-imdb.com/images/M/MV5BYzc4NDVlYWEtNjAzOC00NWNkLTkxMDQtOWVkOGExNDAyMDFhXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",Columbia Pictures,29 January 1971 (UK),111.0,10 Rillington Place,1971
9,,,"Paul Rogers,Ian Holm,Cyril Cusack,Terence Rigby,Michael Jayston,Vivien Merchant",Color,UK,"Max is a surly pensioner who alternately venerates and vilifies his dead wife. Sam, his brother, is a supercilious chauffeur. Lenny is a smiling, snake-like pimp. Joey is a thick-witted, would-be boxer. These four men live together in a North London flat, the site of their perpetual sadomasochistic battle of words and sometimes physical violence. And then after nine years, Max's third son, Teddy, a philosophy professor living in California, comes back home for a visit. He brings his wife, Ruth. She is immediately drawn in to the family's ugly psychological games and quickly proves a worthy opponent. Soon, the game involves both of Teddy's brothers taking extreme liberties with Ruth, as the coiled Teddy obstinately refuses to spoil the malicious fun by objecting.",Peter Hall,Drama,,,,10.0,,7.1,555,13,English,,PG,"https://ia.media-imdb.com/images/M/MV5BNzhkM2YzMWMtMWYzMC00YzEyLTlmNjMtZTE5Mjk2ODA0OGUwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",Cinévision Ltée,16 April 1977 (France),111.0,The Homecoming,1973
