"id","startTime","endTime","text","title"
"1",70111,72534,"All right now.Y'all fresh niggers.","12 Years a Slave"
"2",72698,74245,"Y'all gonna bein a cutting gang.","12 Years a Slave"
"3",74658,77456,"Very simple. I want youto take your knife.","12 Years a Slave"
"4",77618,79370,"Get in them cane.","12 Years a Slave"
"5",80037,81414,"Make it sing.","12 Years a Slave"
"6",81581,83459,"Take the cane out.","12 Years a Slave"
"7",83625,84921,"Cut my tops.","12 Years a Slave"
"8",85085,87212,"Clean the shucks off.","12 Years a Slave"
"9",87587,91013,"Throw it on a pilefor the planting gang.","12 Years a Slave"
"10",91299,93769,"Now, them cane ain't gonnajump up and bite you.","12 Years a Slave"
"11",93926,94927,"Don't shy back.","12 Years a Slave"
"12",95094,96938,"Rush here, boys! Rush here!","12 Years a Slave"
"13",100641,101938,"My Lord","12 Years a Slave"
"14",102102,103444,"Sunshine","12 Years a Slave"
"15",103603,104695,"My Lord","12 Years a Slave"
"16",104854,106356,"Lord, Lord","12 Years a Slave"
"17",106522,107900,"My ma","12 Years a Slave"
"18",108066,109362,"She dead","12 Years a Slave"
"19",109526,110742,"My pa","12 Years a Slave"
"20",110902,112198,"He dead","12 Years a Slave"
"21",112361,113579,"My Lord","12 Years a Slave"
"22",113739,114956,"Sunshine","12 Years a Slave"
"23",115115,116366,"My Lord","12 Years a Slave"
"24",116533,117750,"Sunshine","12 Years a Slave"
"25",117908,119206,"Is late","12 Years a Slave"
"26",119368,119868,"In high","12 Years a Slave"
"27",123915,125212,"My Lord","12 Years a Slave"
"28",125375,126718,"Sunshine","12 Years a Slave"
"29",126876,128049,"My Lord","12 Years a Slave"
"30",128211,129633,"Lord, Lord","12 Years a Slave"
"31",129795,131048,"My ma","12 Years a Slave"
"32",131213,132466,"She dead","12 Years a Slave"
"33",132633,133884,"My pa","12 Years a Slave"
"34",134050,135394,"He dead","12 Years a Slave"
"35",135551,136804,"My Lord","12 Years a Slave"
"36",136969,138312,"Sunshine","12 Years a Slave"
"37",138472,139814,"My Lord","12 Years a Slave"
"38",139973,141224,"Yes, sir","12 Years a Slave"
"39",428093,430187,"All right, all right,all right, all right.","12 Years a Slave"
"40",431848,432894,"Into bed.","12 Years a Slave"
"41",433432,435026,"Into bed. Thank youfor the music.","12 Years a Slave"
"42",435185,436437,"Come on.Ouch.","12 Years a Slave"
"43",436603,438230,"Get in there.Come on.","12 Years a Slave"
"44",439898,441024,"Give me a kiss.","12 Years a Slave"
"45",444735,445737,"I love you, Margaret.","12 Years a Slave"
"46",446612,447613,"I love you, too.","12 Years a Slave"
"47",448406,449874,"Sleep well.","12 Years a Slave"
"48",451785,453206,"I'll take this.","12 Years a Slave"
"49",455956,458425,"I don't want tohear any more noise.","12 Years a Slave"
"50",469636,472058,"Three weeks and two days.","12 Years a Slave"
"51",472221,474394,"It is the custom.","12 Years a Slave"
"52",474557,476810,"I wonder what youwill do without me.","12 Years a Slave"
"53",477644,479612,"I won't stay idle.","12 Years a Slave"
"54",481064,483237,"Darling, it's good money.","12 Years a Slave"
"55",485317,488572,"If only I didn't have to shareyour cooking with other people.","12 Years a Slave"
"56",490072,491995,"You don't.","12 Years a Slave"
"57",497329,499923,"Be good for your mother.Okay, Alonzo?","12 Years a Slave"
"58",501668,503920,"Can I get a kiss, please?Thank you.","12 Years a Slave"
"59",504586,505588,"Travel safely.","12 Years a Slave"
"60",505754,507177,"Stay safely.","12 Years a Slave"
"61",510593,511764,"Ready?","12 Years a Slave"
"62",527245,529086,"Devil call hisname, there he is now.","12 Years a Slave"
"63",529111,530455,"Mr. Northup!","12 Years a Slave"
