"id","startTime","endTime","text","title"
"1",49250,51216,"(MEN CLAMORING)","13 Hours"
"2",69637,70796,"(INDISTINCT RADIO CHATTER)","13 Hours"
"3",83183,84263,"(CLAMORING CONTINUES)","13 Hours"
"4",84652,85652,"(GUNSHOT)","13 Hours"
"5",88322,91006,"BARACK OBAMA:This marks the end","13 Hours"
"6",91007,93691,"of a long and painful chapterfor the people of Libya,","13 Hours"
"7",93694,97096,"who now have the opportunityto determine their own destiny","13 Hours"
"8",97097,99331,"in a new and democratic Libya.","13 Hours"
"9",104771,106572,"FEMALE REPORTER:Warring gangs continue to raid","13 Hours"
"10",106573,108539,"Gaddafi's abandoned armories","13 Hours"
"11",108542,110662,"as a battle rages in Libya'stwo largest cities.","13 Hours"
"12",116250,117250,"(GUNFIRE)","13 Hours"
"13",130497,131657,"(INDISTINCT RADIO CHATTER)","13 Hours"
"14",143743,145310,"(INDISTINCT CHATTER CONTINUES)","13 Hours"
"15",176210,177408,"(PA BEEPS)","13 Hours"
"16",177411,178676,"(PILOT SPEAKING ARABIC)","13 Hours"
"17",180281,181546,"(INDISTINCT CONVERSATIONS)","13 Hours"
"18",258792,260031,"TYRONE: It's loaded.","13 Hours"
"19",261427,263427,"How's the team here?Good.","13 Hours"
"20",263430,264870,"Three ex-Marines,one ex-Army Ranger.","13 Hours"
"21",265798,267959,"It's nice havinganother team guy around.","13 Hours"
"22",270004,272163,"Good to see you,brother.","13 Hours"
"23",272305,273639,"Good to be back.","13 Hours"
"24",274341,275774,"Oh, man, it's hot!","13 Hours"
"25",287887,288786,"TYRONE: How arethe kids, Jack?","13 Hours"
"26",288788,289788,"JACK: They're good.","13 Hours"
"27",290557,292923,"They send their love.","13 Hours"
"28",292925,294326,"Can you believe Emily'sabout to start kindergarten?","13 Hours"
"29",294795,296495,"She dating yet?","13 Hours"
"30",296497,298656,"You better watch your mouth.(CHUCKLES)","13 Hours"
"31",298999,301432,"TYRONE: I thank GodI got three boys, man.","13 Hours"
"32",301435,302867,"You're in fora rough ride, Jack.","13 Hours"
"33",302870,305303,"Payback's a bitch and herstripper name is Karma.","13 Hours"
"34",305305,306904,"JACK: You come up withthat on your own?","13 Hours"
"35",306906,307572,"I saw it ona T-shirt in Mexico.","13 Hours"
"36",307875,309641,"(LAUGHS)","13 Hours"
"37",309643,310843,"TYRONE: Hey, check this out.","13 Hours"
"38",312646,314766,"Remnants ofthe revolution, man.","13 Hours"
"39",317016,320351,"Is Becky still mad at mefor dragging you into contracting?","13 Hours"
"40",320353,321853,"Oh, come on.She's mad at me, she's not mad at you.","13 Hours"
"41",321855,323521,"(RONE LAUGHS)","13 Hours"
"42",323524,325956,"I'm part of the old crowd,the old Jack.","13 Hours"
"43",325959,328459,"The new Jack carries adiaper bag instead of an M4.","13 Hours"
"44",328461,329961,"Is this comingfrom Tyrone Woods,","13 Hours"
"45",329963,332043,"dental nurse,who works for his wife?","13 Hours"
"46",333067,335466,"TYRONE: Guess what?Not out here, brother.","13 Hours"
"47",335468,336749,"How's the realestate business?","13 Hours"
"48",337403,338644,"Pretty bad.","13 Hours"
"49",339406,340706,"How bad is that?","13 Hours"
"50",340707,342841,"I'm here, aren't I?","13 Hours"
"51",342843,344942,"TYRONE: Well, this place sucks, Jack.Not only is it hot as balls,","13 Hours"
"52",344944,347024,"but you can't tell thegood guys from the bad guys.","13 Hours"
"53",352952,354418,"(MEN ARGUING)","13 Hours"
"54",354420,357055,"Shit. No, no, no,this isn't good.","13 Hours"
"55",358425,359425,"(WOMAN SCREAMING)","13 Hours"
"56",361028,362028,"Fuck!","13 Hours"
"57",364398,365497,"Who the fuckare these guys?","13 Hours"
"58",365499,366630,"What do we got?","13 Hours"
"59",366632,371737,"The brigade we coordinate withis the February 17th Martyrs.","13 Hours"
"60",371738,372819,"This ain't them.","13 Hours"
"61",373040,374473,"(TIRES SCREECHING)","13 Hours"
"62",377543,378677,"Shit, we're boxed in.","13 Hours"
"63",378678,379678,"(PEOPLE CLAMORING)","13 Hours"
"64",383884,385016,"Are we bailing?","13 Hours"
"65",386754,388754,"Base, this is Rone.","13 Hours"
"66",388755,390454,"This is Rone.Come in. Over.","13 Hours"
"67",390456,391812,"This is base.Go, Rone.","13 Hours"
"68",391812,393168,"TYRONE: I'm in a jamoff Fifth Ring Road.","13 Hours"
"69",393168,394524,"I'm looking at abouteight armed Tangos here.","13 Hours"
"70",394528,396060,"Copy that.Sit tight.","13 Hours"
"71",396062,398543,"TYRONE: ""Sit tight.""That's great advice.","13 Hours"
"72",399132,401132,"They got a KPV.","13 Hours"
"73",401134,403601,"Base, we ain'tgot all day.","13 Hours"
"74",403603,405137,"KRIS: Hey, Rone.They're trying to get Feb 17","13 Hours"
"75",405139,407572,"to back you up,but we're coming.","13 Hours"
"76",407574,408840,"Hey, Oz,I'm in a jam off Fifth Ring.","13 Hours"
"77",408841,410542,"Ty.","13 Hours"
"78",410543,411976,"(WOMAN CRYING)(MEN SHOUTING INDISTINCTLY)","13 Hours"
"79",411978,413911,"Rone, 17 Feb QRFis being alerted.","13 Hours"
"80",414148,415846,"Fuck that.","13 Hours"
"81",415848,417415,"The only Quick ReactionForce I want is my guys.","13 Hours"
"82",417418,419817,"No. Contact 17 Feb QRF.","13 Hours"
"83",419819,421485,"TYRONE: Send them!I want my guys.","13 Hours"
"84",421487,423555,"Tell them they're notallowed to leave the base.","13 Hours"
"85",423557,425055,"Negative, Rone.Just hang in there.","13 Hours"
"86",425057,426891,"Maybe I'm notmaking myself clear.","13 Hours"
"87",426894,428660,"I'm looking at multipleradical insurgents","13 Hours"
"88",428661,430795,"with AK's anda .50-cal technical","13 Hours"
"89",430798,432997,"set to blow my Rover all theway back to Zimbabwe. Over.","13 Hours"
"90",433000,435120,"It's not my call,brother.","13 Hours"
"91",437870,439571,"Here we go.(GUN CLATTERS)","13 Hours"
"92",439572,440872,"(SHOUTS IN ARABIC)","13 Hours"
"93",440874,442113,"Welcome to Benghazi.","13 Hours"
"94",446512,447752,"TYRONE: Salaam.","13 Hours"
"95",448882,450122,"Libyan visa.","13 Hours"
"96",451050,453170,"Official.Libyan government.","13 Hours"
"97",453487,454718,"Friendly? Hmm?Friendly?","13 Hours"
"98",455855,457221,"CLERIC: Pull overfor inspection.","13 Hours"
"99",458792,459872,"No.","13 Hours"
"100",460761,462661,"Pull overfor inspection!","13 Hours"
"101",462663,463862,"I'm sorry, sir,I can't do that.","13 Hours"
"102",463863,465024,"(SHOUTS IN ARABIC)","13 Hours"
"103",472105,473264,"Look up.","13 Hours"
"104",474240,476641,"Go ahead, look up.You see the drone?","13 Hours"
"105",478144,480644,"No? That's all right,because the drone sees you.","13 Hours"
"106",481514,482646,"Sees your face.","13 Hours"
"107",483182,484583,"We know who you are.","13 Hours"
"108",485552,487718,"If anything happensto us, your home,","13 Hours"
"109",487721,490488,"your family, boom, gone.","13 Hours"
"110",490490,491822,"Give the orderto let us go.","13 Hours"
"111",491824,492858,"I want the car!","13 Hours"
"112",494495,495994,"No, I'm notgonna do that.","13 Hours"
"113",495995,497928,"CLERIC: Look,","13 Hours"
"114",497930,500531,"I earn right to decide thefuture of my country.","13 Hours"
"115",500533,501800,"You're talkingto the wrong guy.","13 Hours"
"116",501802,504903,"How willing are youto die for your country?","13 Hours"
"117",504904,506584,"I'm ready to go,right here, right now.","13 Hours"
"118",517149,519230,"Leave herewhile you still can.","13 Hours"
"119",520153,521393,"(SHOUTING IN ARABIC)","13 Hours"
"120",522788,524022,"(JEEP ENGINE STARTING)","13 Hours"
"121",536102,537536,"We got air support?","13 Hours"
"122",538772,541211,"We don't have anyfucking support.","13 Hours"
"123",557323,559090,"Check the new rides.Gaddafi had a going-out-of-business sale","13 Hours"
"124",559091,560331,"on armored vehicles.","13 Hours"
"125",561028,563327,"(WHISTLES)Max-level armored, man.","13 Hours"
"126",563330,565230,"We got a great deal.","13 Hours"
"127",565231,566697,"We stole them.","13 Hours"
"128",568668,570308,"Sat unattendedat the airport.","13 Hours"
"129",571904,572904,"Hey, Chief!","13 Hours"
"130",573840,575240,"I don't want tohear it, Tyrone.","13 Hours"
"131",575241,577775,"Oh, no, no,I understand.","13 Hours"
"132",577778,579744,"I see whatyou're going for here.","13 Hours"
"133",579745,582813,"Secret spy base with fortified walls,gate cameras,","13 Hours"
"134",582816,584182,"and blue-eyedWesterners","13 Hours"
"135",584183,585951,"walking in and out ofthis place all day long.","13 Hours"
"136",585952,587351,"But if you wantto avoid...","13 Hours"
"137",587354,588986,"That's so rude.","13 Hours"
"138",588989,590621,"Can't believe hejust did that to me.","13 Hours"
"139",590624,591624,"(BUZZES)","13 Hours"
"140",593025,594893,"Chief, if you want to avoidan international incident,","13 Hours"
"141",594894,597095,"you give me my guyswhen I ask for them!","13 Hours"
"142",597096,599364,"Local faces need to resolvelocal conflicts, Tyrone.","13 Hours"
"143",599365,601365,"We're guestsin this country.","13 Hours"
"144",601368,602933,"TYRONE: We're unwantedguests, Bob.","13 Hours"
"145",602936,605070,"CHIEF: We're spies,you're security guards.","13 Hours"
"146",605072,607839,"Your job is to keep us out of trouble,not get into it yourselves.","13 Hours"
"147",607841,610174,"Well, then help me do myjob and give me my guys.","13 Hours"
"148",610177,611875,"Here's what youguys are good at.","13 Hours"
"149",611878,614980,"Working out,eating five hot meals a day.","13 Hours"
"150",614981,618082,"What you're not so good atis doing what you're told.","13 Hours"
"151",618085,620965,"Uh, I need your trace reporton yellowcake in five minutes.","13 Hours"
"152",621153,622886,"It's coming.","13 Hours"
"153",622889,625789,"That roadblock was run byAnsar al-Sharia.","13 Hours"
"154",625792,628726,"It's not just tribal groups andfreedom fighters anymore.","13 Hours"
"155",628729,630808,"If you have useful intel,Tyrone, put it in a memo.","13 Hours"
"156",631097,632831,"You guys bunk here,","13 Hours"
"157",633834,635066,"but you're not CIA.","13 Hours"
"158",635802,637067,"You're hired help.","13 Hours"
"159",637638,638736,"Act the part.","13 Hours"
"160",640139,641722,"Where are my manners?","13 Hours"
"161",641724,643307,"Jack Silva, this is ouresteemed Chief of Station.","13 Hours"
"162",643309,645076,"CHIEF: Hey, Tig.How are the twins?","13 Hours"
"163",645077,646911,"Crazy cute.CHIEF: Cute.","13 Hours"
"164",646913,648113,"You havea move tonight.","13 Hours"
"165",648115,650215,"No recon, Chief?","13 Hours"
"166",650216,652384,"What makes you SpecialOperators so special","13 Hours"
"167",652385,654184,"if you can't do what Ineed when I need it?","13 Hours"
"168",658759,659759,"He's fun.","13 Hours"
"169",660793,663260,"OZ: Well, that was fun.","13 Hours"
"170",663263,666431,"He gets his jollies pushingaround alphas because he can.","13 Hours"
"171",666432,668332,"We had this commanderback in Ranger school,","13 Hours"
"172",668335,670802,"he was a real cockbag.","13 Hours"
"173",670803,674072,"So on our last night,me and a buddy, we stole his beret.","13 Hours"
"174",674073,676106,"The whole barrackschubbed it.","13 Hours"
"175",676109,677908,"""Chubbed it""?Yeah, rubbed our dicks on it.","13 Hours"
"176",677911,679744,"(MEN LAUGHING)","13 Hours"
"177",679745,682113,"Leader was a formerGitmo detainee.","13 Hours"
"178",682115,683815,"Yeah, those guysusually don't hold a grudge.","13 Hours"
"179",683817,685950,"Jack. Mark Geist.","13 Hours"
"180",685951,687418,"Oz.Pleasure.","13 Hours"
"181",687421,691088,"Oh, brother,I'm sorry. Everybody, this is Jack Silva.","13 Hours"
"182",691091,693424,"It's our third contract together,so he knows the drill.","13 Hours"
"183",693427,695360,"We met trainingSEALs at Coronado.","13 Hours"
"184",695361,697895,"How do you get them to balancethat beach ball on their nose?","13 Hours"
"185",697898,699364,"It's tough.","13 Hours"
