"id","startTime","endTime","text","title"
"1",98410,99710,"Dan...","3:10 to Yuma"
"2",104410,105910,"Maybe it's the wind.","3:10 to Yuma"
"3",115810,116810,"No!","3:10 to Yuma"
"4",120710,121910,"Stop!","3:10 to Yuma"
"5",122010,123710,"Please! Stop!","3:10 to Yuma"
"6",125610,127010,"Tucker!","3:10 to Yuma"
"7",130510,133810,"You have a week, Evans.Then we burn the house.","3:10 to Yuma"
"8",136810,138410,"William?","3:10 to Yuma"
"9",138510,140510,"Hey! William!","3:10 to Yuma"
"10",144610,146110,"Out. Out!","3:10 to Yuma"
"11",150010,151010,"William!","3:10 to Yuma"
"12",159410,162510,"God damn it, William!William!","3:10 to Yuma"
"13",163710,165710,"God damn it!Put that down!","3:10 to Yuma"
"14",165810,167310,"- Come here!- Let go!","3:10 to Yuma"
"15",167510,168510,"Let go!","3:10 to Yuma"
"16",172810,175210,"lt's the last feed we got!","3:10 to Yuma"
"17",194010,196210,"l'll take care of this.","3:10 to Yuma"
"18",200010,201310,"No, you won't.","3:10 to Yuma"
"19",233910,235910,"Herd's over the ridge by now.","3:10 to Yuma"
"20",236010,238610,"You go get cleaned up.","3:10 to Yuma"
"21",248710,250110,"You lied to me, Dan.","3:10 to Yuma"
"22",252910,254710,"You told me we made payments to Hollander.","3:10 to Yuma"
"23",254810,257610,"We did...some.","3:10 to Yuma"
"24",257710,260210,"How do you thinkwe bought feed, Alice?","3:10 to Yuma"
"25",260310,261610,"Three months water?","3:10 to Yuma"
"26",261710,263810,"Medicine for Mark?","3:10 to Yuma"
"27",264710,267910,"l had a choice betweenour family and paying it down.","3:10 to Yuma"
"28",268110,270210,"We're supposed to makedecisions together.","3:10 to Yuma"
"29",270310,272610,"Would you have made it any different?","3:10 to Yuma"
"30",276510,280210,"Alice, we can't make it rain together.","3:10 to Yuma"
"31",280310,283910,"Or turn the dust into grass.","3:10 to Yuma"
"32",284010,286510,"Can't stop Hollander from sellingour land to the railroad, either.","3:10 to Yuma"
"33",291110,294110,"lt's too bad the doctors at Essexsaved so much of my leg.","3:10 to Yuma"
"34",295110,297310,"l read that the pension actpays by the pound now.","3:10 to Yuma"
"35",300610,302910,"Stop looking at me like that.","3:10 to Yuma"
"36",303010,305410,"You gonna tell the marshalwhat those men did?","3:10 to Yuma"
"37",305510,307210,"Marshal ain't doing shit.","3:10 to Yuma"
"38",307310,310210,"- William.- First thing, Mark,","3:10 to Yuma"
"39",310310,313210,"l'm gonna take you boys, andwe're gonna round up the herd,","3:10 to Yuma"
"40",313310,314410,"and then l'm goin' into town.","3:10 to Yuma"
"41",314610,315510,"What are you gonna do in town?","3:10 to Yuma"
"42",315710,319010,"l'm gonna tell Hollander to make this right.","3:10 to Yuma"
"43",319110,321110,"l'm gonna tell him...","3:10 to Yuma"
"44",321210,322610,"to pay for a new barn.","3:10 to Yuma"
"45",324310,326710,"Maybe we shouldjust shoot him like Will says.","3:10 to Yuma"
"46",356810,358410,"Coach is headed for Bisbee, Boss.","3:10 to Yuma"
"47",360110,362010,"Girded with iron, Pinks on top,","3:10 to Yuma"
"48",362210,364210,"double shotguns,","3:10 to Yuma"
"49",364310,366210,"and a Gatling.","3:10 to Yuma"
"50",414210,416510,"You shoulda let me save the feed.","3:10 to Yuma"
"51",419910,422610,"You gonna hock that?","3:10 to Yuma"
"52",422710,425410,"Someday, William...","3:10 to Yuma"
"53",425510,427710,"you walk in my shoes,you might understand.","3:10 to Yuma"
"54",427810,431010,"l ain't ever walking in your shoes.","3:10 to Yuma"
"55",431210,432510,"Tracks over here.","3:10 to Yuma"
"56",507010,508210,"Here we go.","3:10 to Yuma"
"57",509910,512610,"- Kenny, here we go.- Here they come.","3:10 to Yuma"
"58",543410,544810,"Pull that way!","3:10 to Yuma"
"59",545810,547210,"Now that one!","3:10 to Yuma"
"60",579410,582010,"Use the gun.Don't let 'em get it.","3:10 to Yuma"
"61",599010,601410,"Mark, stay near.","3:10 to Yuma"
"62",601510,602610,"Mark!","3:10 to Yuma"
"63",608710,609710,"God damn!Giddyap!","3:10 to Yuma"
"64",619810,621210,"Get down. Now!","3:10 to Yuma"
"65",621310,622710,"l got more!Here l come!","3:10 to Yuma"
"66",643710,645010,"Knock on 'em, Nonnie.Knock on 'em.","3:10 to Yuma"
"67",645110,646110,"Keep 'em goin'.","3:10 to Yuma"
"68",656510,658810,"Pull up. Pull up.","3:10 to Yuma"
"69",658910,660710,"Pull up!","3:10 to Yuma"
"70",715710,717310,"Morning, Pinkerton.","3:10 to Yuma"
"71",719410,720910,"Name's Charlie Prince.","3:10 to Yuma"
"72",721010,722710,"l expect you heard of me.","3:10 to Yuma"
"73",726410,727810,"Well, l heard of a...","3:10 to Yuma"
"74",727910,729910,"balled-up whore named...","3:10 to Yuma"
"75",730110,732710,"Charlie Princess.","3:10 to Yuma"
"76",732810,734910,"That you, missy?","3:10 to Yuma"
"77",740410,742010,"l hate Pinkertons.","3:10 to Yuma"
"78",742110,743710,"Byron McElroy.","3:10 to Yuma"
"79",745610,747310,"When did your hairturn all gray, Byron?","3:10 to Yuma"
"80",749010,751210,"Go to hell, Ben Wade.","3:10 to Yuma"
"81",754710,755910,"Well, would you look at all this?","3:10 to Yuma"
"82",756110,758810,"Y'all spared no expense this time, Byron.","3:10 to Yuma"
"83",760610,762210,"l gotta say, though,it's probably cheaper","3:10 to Yuma"
"84",762310,764510,"just to let me rob the damn thing.","3:10 to Yuma"
"85",770010,772310,"lf you're gonna kill me,","3:10 to Yuma"
"86",772410,773810,"just as soon get to it.","3:10 to Yuma"
"87",776710,778710,"l ain't gonna kill you.","3:10 to Yuma"
"88",778810,779810,"Not like this.","3:10 to Yuma"
"89",782610,785310,"Won't change a thing, lettin' me live.","3:10 to Yuma"
"90",787710,789110,"l'll come for you.","3:10 to Yuma"
"91",790810,792710,"l'd be disappointed if you didn't.","3:10 to Yuma"
"92",794310,796910,"- She's lit!- She's lit!","3:10 to Yuma"
"93",837110,838910,"All right, boys.","3:10 to Yuma"
"94",844410,847010,"There you go.lt's full.","3:10 to Yuma"
"95",864610,866710,"All right. There you go.","3:10 to Yuma"
"96",866910,869110,"Come on, give me one.One more.","3:10 to Yuma"
