"id","startTime","endTime","text","title"
"1",12967,15640,"Bad boys, bad boys","3 Men and a Baby"
"2",18007,20521,"Bad boys, bad boys","3 Men and a Baby"
"3",20607,22882,"Boys will be boys","3 Men and a Baby"
"4",22967,25640,"Bad boys, bad boys","3 Men and a Baby"
"5",25727,28161,"Boys will be boys","3 Men and a Baby"
"6",28247,30522,"Bad boys, bad boys","3 Men and a Baby"
"7",30607,33280,"- Boys will be boys-Always gettin'so restless","3 Men and a Baby"
"8",33367,36040,"Bad boys, bad boys","3 Men and a Baby"
"9",36127,38322,"- Boys will be boys- Nothin'but trouble","3 Men and a Baby"
"10",38407,40716,"Bad boys, bad boys","3 Men and a Baby"
"11",40807,43401,"- Boys will be boys- Get me feeling breathless","3 Men and a Baby"
"12",43487,45955,"Bad boys, bad boys","3 Men and a Baby"
"13",46047,48481,"- Boys will be boys- Nothin'but trouble","3 Men and a Baby"
"14",48567,51001,"Bad boys, bad boys","3 Men and a Baby"
"15",51087,54602,"Bad, bad, bad, bad boys","3 Men and a Baby"
"16",54687,57360,"You make me feel so good","3 Men and a Baby"
"17",60207,64803,"You naughtybad, bad, bad, bad boys","3 Men and a Baby"
"18",64887,67879,"You make me feel so good","3 Men and a Baby"
"19",68807,71116,"Knew you would","3 Men and a Baby"
"20",72847,76237,"The way you hold me tight","3 Men and a Baby"
"21",76327,79000,"You get me so excited","3 Men and a Baby"
"22",82967,85720,"You do me, oh, so right","3 Men and a Baby"
"23",85807,89561,"My heart goes beep-beepbeep-beep, beep-beep","3 Men and a Baby"
"24",91687,95316,"Bad, bad, bad, bad boys","3 Men and a Baby"
"25",95407,98001,"You make me feel so good","3 Men and a Baby"
"26",100847,105443,"I want yaBad, bad, bad, bad boys","3 Men and a Baby"
"27",105527,108121,"You make me feel so good","3 Men and a Baby"
"28",108207,111040,"Knew you would","3 Men and a Baby"
"29",132367,134801,"- Boys will be boys-Always gettin'so restless","3 Men and a Baby"
"30",134887,137447,"Bad boys, bad boys","3 Men and a Baby"
"31",137527,139916,"- Boys will be boys- Nothin'but trouble","3 Men and a Baby"
"32",140007,142237,"Bad boys, bad boys","3 Men and a Baby"
"33",142327,144966,"- Boys will be boys- Get me feeling breathless","3 Men and a Baby"
"34",145047,147561,"Bad boys, bad boys","3 Men and a Baby"
"35",147647,150115,"- Boys will be boys- Nothin'but trouble","3 Men and a Baby"
"36",150207,152767,"Bad boys, bad boys","3 Men and a Baby"
"37",154047,157198,"And when he drives me home","3 Men and a Baby"
"38",157287,160279,"I feel safe at night","3 Men and a Baby"
"39",164287,167324,"You call me on the phone","3 Men and a Baby"
"40",167407,172879,"It goes ring, ring, ringRing-a-ring-ring","3 Men and a Baby"
"41",172967,176516,"Bad, bad, bad, bad boys","3 Men and a Baby"
"42",176607,179201,"You make me feel so good","3 Men and a Baby"
"43",182207,186678,"I want yaBad, bad, bad, bad boys","3 Men and a Baby"
"44",186767,189327,"You make me feel so good","3 Men and a Baby"
"45",189407,191716,"Knew you would","3 Men and a Baby"
"46",213647,216081,"Boys will be boys","3 Men and a Baby"
"47",216167,218681,"Bad boys, bad boys","3 Men and a Baby"
"48",218767,221600,"Boys will be boys","3 Men and a Baby"
"49",221687,223678,"Bad boys, bad boys","3 Men and a Baby"
"50",223767,226281,"- Boys will be boys-Always gettin'so restless","3 Men and a Baby"
"51",226367,228801,"Bad boys, bad boys","3 Men and a Baby"
"52",228887,231355,"- Boys will be boys- Nothin'but trouble","3 Men and a Baby"
"53",231447,233881,"Bad boys, bad boys","3 Men and a Baby"
"54",233967,236356,"- Boys will be boys- Get me feeling breathless","3 Men and a Baby"
"55",236447,238915,"Bad boys, bad boys","3 Men and a Baby"
"56",239007,241521,"- Boys will be boys- Nothin'but trouble","3 Men and a Baby"
"57",241607,243996,"Bad boys, bad boys","3 Men and a Baby"
"58",244087,246476,"- Boys will be boys-Always gettin'so restless","3 Men and a Baby"
"59",246567,249081,"Bad boys, bad boys","3 Men and a Baby"
"60",249167,251362,"Boys will be boys","3 Men and a Baby"
"61",251447,254086,"- Good evening.- Is this the penthouse?
- Yes, ma'am.
- On the roof.","3 Men and a Baby"
"62",254167,259924,"Welcome to another edition ofLifestyles of the Average and Anxious.","3 Men and a Baby"
"63",260007,263158,"We move about the apartmentof Peter Mitchell...","3 Men and a Baby"
"64",263247,265886,"young architect about town.","3 Men and a Baby"
"65",265967,270643,"It's his late 30s-- Or is it hisearly 40s? We'll never know--","3 Men and a Baby"
"66",270727,272479,"- birthday party!- Hi!","3 Men and a Baby"
"67",272567,275639,"Entranced bythe euphoria and ease...","3 Men and a Baby"
"68",275727,278321,"these glamourous people exude...","3 Men and a Baby"
"69",278407,281922,"I think I spythe birthday boy himself.","3 Men and a Baby"
"70",282007,284202,"Peter!How are you, old chum?","3 Men and a Baby"
"71",284287,286960,"You're looking so well, so well.","3 Men and a Baby"
"72",287047,292804,"Over here is his semi-main squeeze,Rebecca Davidson.","3 Men and a Baby"
"73",292887,298007,"The public wants to knowwhat an attractive,
witty, successful woman sees...","3 Men and a Baby"
"74",298087,300203,"in a bozo like my roommate.","3 Men and a Baby"
"75",300287,303245,"Well, he's, um,he's charming and he's sweet.","3 Men and a Baby"
"76",303327,306364,"He's very thoughtful.He's sort of boyishly handsome.","3 Men and a Baby"
"77",306447,310838,"But he has gotthe most amazing--","3 Men and a Baby"
"78",312167,315557,"- Thank you, Rebecca.- You're welcome, Michael.","3 Men and a Baby"
"79",315647,320084,"So, Peter, tell me, are youand Rebecca still exclusive? Hmm?","3 Men and a Baby"
"80",320167,322727,"- Me and Rebecca?- Yeah.
- No, we both see other people.","3 Men and a Baby"
"81",322807,325401,"- Oh, really? Oh.- Yeah, a lot.
- Oh, that's nice to know.","3 Men and a Baby"
"82",325487,328001,"- Bye, Vanessa.- Bye.","3 Men and a Baby"
"83",328087,330840,"- Hey, uh, birthday boy.- Oh, hi, Adam.","3 Men and a Baby"
"84",330927,333157,"- Rebecca's looking sexier than ever.- Yeah.","3 Men and a Baby"
"85",333247,337240,"- You two, uh, still together?- Oh, yeah. Me and Rebecca
for five years now.","3 Men and a Baby"
"86",337327,339318,"- Tight. Tight as ever. Excuse me.- Cool.","3 Men and a Baby"
"87",342607,344996,"- Good lovin'- Gimme that good, good lovin'","3 Men and a Baby"
"88",345087,347317,"- Good lovin'-All I need is good lovin'","3 Men and a Baby"
"89",347407,349318,"- Good lovin'-James!","3 Men and a Baby"
"90",349407,351841,"- Yeah, baby.- Remember the Young Rascals?
What happened to them?","3 Men and a Baby"
"91",351927,354395,"- Man, they old.- No, don't say that.
- Real old.","3 Men and a Baby"
"92",354487,357445,"- I think one of them's a senator now.- No, God, no, no!","3 Men and a Baby"
"93",357527,360280,"- A real old senator!-Jack.Jack. Can I talk
to you for a minute?","3 Men and a Baby"
"94",360367,362562,"Paul, I'm serious. I'm not doingcommercials any more. Really.","3 Men and a Baby"
"95",362647,366765,"No more talking T-bonesor cowboys with heartburn.
I'm only doing serious stuff now.","3 Men and a Baby"
"96",366847,368758,"- Hi. How are ya?- Oh,Jack.","3 Men and a Baby"
"97",368847,371680,"Whew! Angela. Whew, boy,you look different. What happened?","3 Men and a Baby"
"98",371767,373917,"- I'm dressed.- That's it. That's it.","3 Men and a Baby"
"99",377207,380961,"Everybody gather 'round now","3 Men and a Baby"
"100",381047,383356,"Move your body to the beat","3 Men and a Baby"
"101",387807,389923,"Gentlemen, I'm in love.","3 Men and a Baby"
"102",390007,392237,"- You?- Yeah. In a generic sense.","3 Men and a Baby"
"103",392327,394443,"- Right. Right.- Oh, my. Oh.","3 Men and a Baby"
"104",394527,396483,"- So many women--- And so little time.","3 Men and a Baby"
"105",396567,399035,"So little time, yeah.","3 Men and a Baby"
"106",400287,402403,"- So,Jack.- Yeah, what's up?","3 Men and a Baby"
"107",402487,405763,"- You're not really gonnado this movie in Turkey, are ya?
- Yes. Yes, I am.","3 Men and a Baby"
"108",405847,408361,"As a matter of fact, I leavein a few short hours. Here.","3 Men and a Baby"
"109",408447,413601,"- What is it, uh, Zalmon the Beautician?- Barbarian. Zalmon the Barbarian.
I knew you were gonna say that.","3 Men and a Baby"
"110",413687,416520,"Okay, well, what about the play in Soho?The one you said you wanted to do.","3 Men and a Baby"
"111",416607,418165,"- You said it was a chance to--- Uh, excuse me, please.","3 Men and a Baby"
"112",418247,422160,"Excuse me. You said it wasa once-in-a-lifetime opportunity.","3 Men and a Baby"
"113",422247,423362,"- Hi.- Oh, come on.","3 Men and a Baby"
"114",423447,427679,"What d-- What do you want,my inevitably brilliant reviews,
or, uh, next month's rent?","3 Men and a Baby"
"115",427767,431646,"Forget about next month's rent.I'll cover you, you do the play.","3 Men and a Baby"
"116",431727,435481,"That's sweet of you. You know,you are a very decent man, Peter.","3 Men and a Baby"
"117",435567,439162,"- I'm a goddamned saint.- ''Saint'' is a little bit much, but--","3 Men and a Baby"
"118",439247,442557,"Hey, how's it goin', baby?","3 Men and a Baby"
"119",442647,444877,"Name's Johnny. Gimme five.","3 Men and a Baby"
"120",444967,449199,"Ooh, I mean, gimme three.Yeah. Yeah.","3 Men and a Baby"
"121",449287,452916,"I can't believe you draw Johnny Cool.Coolest cat in the world, right?","3 Men and a Baby"
"122",453007,455157,"No one cooler, baby.","3 Men and a Baby"
"123",456047,459164,"I can't believe it.Makes me so happy.","3 Men and a Baby"
"124",459247,461886,"- What's wrong?- It's David.","3 Men and a Baby"
"125",461967,466643,"- The guy you broke up with?- The good-looking one.
Incredibly good-looking.","3 Men and a Baby"
"126",466727,470197,"He used to read me Johnny Coolevery morning over breakfast.","3 Men and a Baby"
"127",470287,473518,"Hey. Hey, hey.Oh, you poor baby.","3 Men and a Baby"
"128",473607,476167,"You know howto get over a lover, hmm?","3 Men and a Baby"
"129",477927,481044,"Dance with a stranger.","3 Men and a Baby"
"130",482727,484957,"David's an incredible dancer.","3 Men and a Baby"
"131",485047,488084,"He studied for three yearswith the Joffrey Ballet.","3 Men and a Baby"
"132",489367,491961,"Three years? Joffrey Ballet?","3 Men and a Baby"
"133",494327,497683,"I think you guysare gonna get back together.","3 Men and a Baby"
"134",497767,501442,"You think that I could call him upand invite him to the party?","3 Men and a Baby"
"135",501527,503483,"Uh, yeah, uh--","3 Men and a Baby"
"136",503567,505319,"Come on, shake your bodyBaby, do that conga","3 Men and a Baby"
"137",505407,507318,"I know you can'tcontrol yourself any longer","3 Men and a Baby"
"138",507407,509398,"Feel the rhythm of the beatIt's getting stronger","3 Men and a Baby"
"139",509487,512081,"Don't you fight ittill you try to do that conga beat","3 Men and a Baby"
"140",513367,515358,"Twins!","3 Men and a Baby"
"141",516647,519445,"There it is.","3 Men and a Baby"
"142",519527,524521,"Yeah! Arguably one of the bestclutch shots of all time.","3 Men and a Baby"
"143",524607,529727,"Forget the guys playing today.Nobody played this game better
than Reed, West, Chamberlain, Baylor.","3 Men and a Baby"
"144",529807,532037,"I'll run it for you againin slow motion.","3 Men and a Baby"
"145",532127,535403,"People are asking for you.Come on, let's go mingle.","3 Men and a Baby"
"146",535487,538684,"I hate that word. It sounds likesomething sea lions do before they mate.","3 Men and a Baby"
"147",538767,541235,"You are the guest of honour,and they love you.","3 Men and a Baby"
"148",541327,543716,"Of course they do,but these guys need me in here.
Don't you need me in here, guys?","3 Men and a Baby"
"149",543807,547516,"- Go on, get outta here.- Leave your money.
- Yeah, we need that.","3 Men and a Baby"
"150",547607,550519,"- Wait, there it is.- Yeah!","3 Men and a Baby"
"151",550607,553963,"- Undoubtedly, the greatest clutch shotin basketball history.
- ...clutch shot in basketball...","3 Men and a Baby"
"152",554047,556561,"- Unarguably.- In slow motion.","3 Men and a Baby"
"153",556647,558239,"The best.","3 Men and a Baby"
"154",559927,562043,"Oh, Paul, Paul. Wait, wait.Listen to me, man.","3 Men and a Baby"
"155",562127,564402,"You are my friend.You're a great director.","3 Men and a Baby"
"156",564487,566682,"But I am not doing commercialsever again. I mean it.","3 Men and a Baby"
"157",566767,569759,"Jack, I don't want you to doa commercial. I need a favour.","3 Men and a Baby"
"158",569847,571758,"Oh. Yeah, all right, shoot. What?","3 Men and a Baby"
"159",571847,574520,"I'm having a package delivered tomorrow,but I won't be home to get it.","3 Men and a Baby"
"160",574607,577679,"I gotta go off to San Francisco all weekon a commercial shoot.","3 Men and a Baby"
"161",577767,580281,"- You're gonna shoot in San Francisco?- Yeah.","3 Men and a Baby"
"162",580367,582597,"- Who are you using?- Oh, Len Peters.","3 Men and a Baby"
"163",582687,586680,"Lenny. Lenny. What's wrong? Didn't youlike my last dog food commercial?","3 Men and a Baby"
"164",586767,588803,"Oh,Jack, that was a classic.","3 Men and a Baby"
"165",588887,591685,"But now look,I was hoping that I could have
this package delivered here instead.","3 Men and a Baby"
"166",591767,593723,"Sure, no problem. No problem.","3 Men and a Baby"
"167",593807,596605,"Listen, let me ask you something here.","3 Men and a Baby"
"168",596687,600999,"- Do you think I'm overexposed?- Overexposed? Oh, no,Jack, not at all.","3 Men and a Baby"
"169",601087,603601,"Now look, it'll be delivered tomorrowand picked up by a couple of guys
on Thursday morning.","3 Men and a Baby"
"170",603687,606076,"- That's all there is to it.- All right. Tomorrow, pick up Thursday.","3 Men and a Baby"
"171",606167,609842,"Okay, but this is-- this isa very delicate matter,Jack, so don't
mention it to anybody, all right?","3 Men and a Baby"
"172",609927,612839,"- All right, yeah. Delicate.- Happy birthday to you","3 Men and a Baby"
"173",612927,618206,"Happy birthday, dear Peter","3 Men and a Baby"
"174",618287,622838,"Happy birthday to you","3 Men and a Baby"
"175",626247,628681,"He's so shy.","3 Men and a Baby"
"176",628767,631964,"- Speech! Speech!- Oh, look, um--","3 Men and a Baby"
"177",635007,637919,"First of all, um, uh...","3 Men and a Baby"
"178",638007,641317,"I wanna thank, uh,Jack and Michael and Rebecca...","3 Men and a Baby"
"179",641407,646117,"for, uh, embarrassing mewith this unending flow of sentiment.","3 Men and a Baby"
"180",646207,648038,"- Oh!- I, uh--","3 Men and a Baby"
"181",648127,651039,"- Thanks for coming.- Hey, all right! All right!","3 Men and a Baby"
"182",651127,654199,"- Go on! Blow out the candles! Quick!- Whoa! Whoa!","3 Men and a Baby"
"183",657847,661044,"I think everybody had a great time.Don't you?","3 Men and a Baby"
"184",661127,663436,"I sure did.","3 Men and a Baby"
"185",666127,668641,"Why don't you stick around a while?","3 Men and a Baby"
"186",670207,672721,"I thought sentimentmade you uncomfortable.","3 Men and a Baby"
"187",674567,676398,"- I can handle it...- Mm-hmm.","3 Men and a Baby"
"188",676487,678796,"as long as it's disguised as sex.","3 Men and a Baby"
"189",681087,683396,"So stay tonight.","3 Men and a Baby"
"190",687007,689646,"I can't.","3 Men and a Baby"
"191",689727,692844,"- I have to be up at 7:00for a pretrial meeting.
- Yeah?","3 Men and a Baby"
"192",694487,696398,"Yeah.","3 Men and a Baby"
"193",702607,704916,"Happy birthday, Peter. Mmm.","3 Men and a Baby"
"194",707607,709916,"Yeah, right.","3 Men and a Baby"
"195",712087,714396,"It was a great party.","3 Men and a Baby"
"196",722167,726126,"You know, in this lightyou're kinda ugly. Yeah.","3 Men and a Baby"
"197",726207,729438,"Yeah, that rutin the middle of your forehead?
Gettin' out of hand. Out of hand.","3 Men and a Baby"
"198",729527,731597,"- How come that always happens to you?- What?","3 Men and a Baby"
"199",731687,733757,"Well, as soon as you geta woman into your room...","3 Men and a Baby"
"200",733847,736759,"you turn into her big brotherand start solving her problems.","3 Men and a Baby"
"201",736847,740840,"Well, unlike yourself and oursexually insatiable roommate...","3 Men and a Baby"
"202",740927,744840,"I happen to be a sensitive guy,and I have more on my mind
than simply pronging chicks.","3 Men and a Baby"
"203",744927,748397,"Hey, guys. Say, what's a good yearfor pronging chicks?","3 Men and a Baby"
