"id","startTime","endTime","text","title"
"1",40354,45150,"In 1945, America's greatest generationcame back from war.","42"
"2",47278,49863,"The flags of freedom fly over Europe.","42"
"3",51532,53075,"Nazi Germany had been defeated...","42"
"4",53243,57330,"...and three months later,Imperial Japan surrendered as well.","42"
"5",57497,59874,"And there's jubilation around this earth.","42"
"6",60041,64379,"Men returned home. Among them,some of baseball's most beloved names.","42"
"7",64546,67674,"Musial. DiMaggio. Williams.","42"
"8",67841,70468,"Life in the United Statescould return to normal.","42"
"9",70635,72512,"- What's the guy's name?- What's on second?","42"
"10",72679,74014,"- Who's on second?- Who's on first?","42"
"11",74180,75307,"- I don't know.- Third base.","42"
"12",76683,79895,"And baseball was proof positivethat democracy was real.","42"
"13",80062,82857,"A baseball box score, after all,is a democratic thing.","42"
"14",83024,85735,"It doesn't say how big you areor what religion you follow.","42"
"15",85901,88612,"It does not know how you votedor the color of your skin.","42"
"16",88779,92366,"It simply states what kind of ballplayeryou were on any particular day.","42"
"17",92533,94160,"And he did it. It's a home run.","42"
"18",94327,96162,"They knew he'd do it.","42"
"19",96329,99540,"African Americans had servedtheir country gallantly.","42"
"20",99707,102752,"They returned home from fightingto free the world from tyranny...","42"
"21",102918,106757,"...only to find racism, segregationand Jim Crow law still waiting at home.","42"
"22",106923,109259,"Segregation was the law...","42"
"23",109426,112679,"...and no group was more scrupulousin its observance of custom...","42"
"24",112846,114389,"...than organized baseball.","42"
"25",114556,115891,"There was a long road ahead.","42"
"26",119770,122105,"If African Americans dreamedof playing baseball...","42"
"27",122272,123899,"...it was not for the Yankees...","42"
"28",124066,127444,"...but for teams like the Kansas CityMonarchs of the Negro Leagues...","42"
"29",127611,131240,"...where the barnstorming style of playstood in contrast to the Majors.","42"
"30",131657,134535,"In 1946, there were16 Major League baseball teams...","42"
"31",134702,138122,"...with a total of 400 playerson their rosters.","42"
"32",138289,140917,"Every one of the 400 playerswere white.","42"
"33",141084,146756,"But when opening day came in 1947,that number dropped to 399...","42"
"34",146923,148841,"...and one man stood apart.","42"
"35",168487,172741,"Gentlemen, I have a plan.","42"
"36",174118,176829,"Plan's good, Mr. Rickey.You always have one.","42"
"37",176995,179665,"My wife says I'm too old. Heh, heh.","42"
"38",181583,184295,"That my health's not up to it.","42"
"39",185797,189342,"My son says, uh, everybody in...","42"
"40",190301,194514,"Everybody in baseballis gonna be against me. Heh.","42"
"41",196766,198768,"But I'm gonna do it.","42"
"42",199686,201855,"Do what, Mr. Rickey?","42"
"43",202689,206025,"I'm gonna bring a Negro ballplayer...","42"
"44",207026,209697,"...to the Brooklyn Dodgers.","42"
"45",217663,220374,"With all due respect, sir,have you lost your mind?","42"
"46",222126,224628,"Think... Think about...","42"
"47",226213,227298,"Think about the abuse...","42"
"48",227465,229758,"...that you are gonna takefrom the newspapers...","42"
"49",229925,232761,"...let alone how this is gonna play outin Flatbush!","42"
"50",233304,235056,"Please, Mr. Rickey.","42"
"51",235265,237184,"Sit down, Harold.","42"
"52",245150,247736,"No law against it, Clyde.","42"
"53",248695,250197,"No.","42"
"54",250780,253033,"No, but there's a code.","42"
"55",254159,257746,"You break a law and get away with it,some people think you're smart.","42"
"56",259415,261626,"You break an unwritten law...","42"
"57",262919,265254,"...you'll be an outcast.","42"
"58",265421,266422,"Mm-hm.","42"
"59",267840,269592,"So be it.","42"
"60",270843,274680,"New York's full of Negro baseball fans.","42"
"61",276390,281354,"Dollars aren't black and white,they're green.","42"
"62",281521,283940,"Every dollar's green.","42"
"63",285442,287486,"I don't know who he is...","42"
"64",288278,290113,"...or where he is...","42"
"65",291949,293867,"...but he's coming.","42"
"66",297621,299039,"Hey, runner!","42"
"67",299206,302417,"Where'd you learn to move like that,at a dime-a-dance night?","42"
"68",302584,304086,"Stand still!","42"
"69",304253,305629,"There you are!","42"
"70",307130,308131,"Ball!","42"
"71",309967,311719,"Safe!","42"
"72",312470,313763,"Catcher!","42"
"73",313930,315807,"When you gonna startthrowing for real?","42"
"74",315974,317225,"You talking to me?","42"
"75",317392,319394,"You got a rag arm, catcher.","42"
"76",319811,322772,"Steal home.You'll find out what kind of arm I got.","42"
"77",322939,324691,"Okay.","42"
"78",324899,325984,"I'm coming.","42"
"79",327318,328987,"Where's your shortstop from?","42"
"80",329153,330321,"California.","42"
"81",330488,332657,"Sure got a mouth on him.","42"
"82",342585,343627,"Safe!","42"
"83",356890,360019,"Discussions concerning Japan'soffer of surrender.","42"
"84",360185,362647,"Washington, London, Moscow,and Chungking...","42"
"85",362814,364858,"...now framing their decision.","42"
"86",365025,368361,"When this decision will be communicatedto Tokyo via the government's...","42"
"87",368528,370864,"- Fill her up?- Yes, sir.","42"
"88",373950,376703,"- You boys heading out?- Uh, Chicago.","42"
"89",376911,378663,"Chicago, huh? Heh.","42"
"90",379289,382542,"- You boys get around.- Yeah, we sure do.","42"
"91",384628,387797,"- Hey. Hey, you, where you going?- To the toilet.","42"
"92",388674,391636,"Hell, come on, boy.You know you can't go in there.","42"
"93",400519,402355,"Them Cokes are a nickel.","42"
"94",412365,413867,"Take that hose out of the tank.","42"
"95",414034,415744,"- Robinson.- What?","42"
"96",416411,418205,"I said take it out.","42"
"97",419247,421917,"We'll get our 99 gallons of gassomeplace else.","42"
"98",436014,438767,"All right, then. Go on.","42"
"99",439059,440687,"Go on! Use it.","42"
"100",445066,446734,"Roy Campanella.","42"
"101",446901,451406,"Hell of a player. He's too sweet.They'd eat him alive.","42"
"102",451572,453032,"All right.","42"
"103",453199,456536,"Oh, sorry. Oh, wait. Sorry.","42"
"104",458037,459956,"- Satchel Paige, then.- He's too old.","42"
"105",460456,462625,"We need a player with a future,not a past.","42"
"106",464711,466171,"Here.","42"
"107",466338,468048,"Jack Roosevelt Robinson.","42"
"108",468882,473637,"Four-sport college man, out of UCLA.That means he's played with white boys.","42"
"109",474054,476974,"Playing for the Kansas City Monarchs.","42"
"110",477141,480644,"Twenty-six years old.He's batting .350. Three-fifty.","42"
"111",481770,483605,"Methodist.","42"
"112",483772,485107,"Commissioned Army officer.","42"
"113",485274,486608,"He was court-martialed.","42"
"114",487776,489319,"He's a troublemaker.","42"
"115",489528,491823,"Well, he argues with umpires.","42"
"116",491990,493783,"A quick temper is his reputation.","42"
"117",493950,495785,"Well, what was he court-martialed for?","42"
"118",495952,500248,"Wouldn't sit in the back of amilitary bus. Fort Hood, Texas.","42"
"119",500415,503334,"Driver asked him to, uh, move back.","42"
"120",505044,507005,"MPs had to take him off.","42"
"121",507964,509090,"There, you see?","42"
"122",509257,512427,"I see he resents segregation.","42"
"123",514554,517933,"If he were white, we'd call that spirit.","42"
"124",518601,519935,"Robinson's a Methodist.","42"
"125",520853,524023,"I'm a Methodist. God's a Methodist.","42"
"126",524190,527318,"We can't go wrong. Find him.","42"
"127",528068,529653,"Bring him here.","42"
"128",529820,534867,"How are you, fellas?I'm looking for your, uh, shortstop.","42"
"129",542208,543376,"You Jackie Robinson?","42"
"130",545962,547714,"Who are you?","42"
"131",550884,552177,"Mr. Rickey.","42"
"132",553011,554471,"What's this about?","42"
"133",569237,571864,"This is about baseball, Jackie.","42"
"134",574617,578913,"I see you starting in springwith our affiliate in Montreal.","42"
"135",580248,582208,"If you make it there...","42"
"136",583876,585920,"...we'll try you down here...","42"
"137",586420,587505,"...with the Dodgers.","42"
"138",589674,592218,"With the white Brooklyn Dodgers.","42"
"139",593928,595764,"Hmm.","42"
"140",595931,598725,"I'll pay you $600 a month.","42"
"141",599434,604022,"And a $3500 bonuswhen you sign the contract.","42"
"142",604189,605232,"That agreeable?","42"
"143",606692,609695,"- Yes, that's fine but...- There's one condition.","42"
"144",609987,614032,"I know you can hit behind the runner.That you can read a pitch.","42"
"145",614366,616577,"One question is...","42"
"146",616743,618787,"...can you control your temper?","42"
"147",619705,620748,"My temper?","42"
"148",620915,623209,"Yes, your temper! What are you, deaf?","42"
"149",623960,628965,"A black man in white baseball, heh,can you imagine the reaction?","42"
"150",629132,631259,"The vitriol?","42"
"151",633887,638808,"Dodgers check into a hotel,a, uh, a decent, good hotel.","42"
"152",638975,641311,"You're worn out from the road.","42"
"153",641477,645189,"Some clerk won't give you the pento sign in with.","42"
"154",645356,649945,"""We got no room for you, boy. Not evendown in the coal bin where you belong.""","42"
"155",650112,654074,"Team stops at a restaurant.Waiter won't take your order.","42"
"156",654241,658120,"""Didn't you see the sign on the door?No niggers allowed.""","42"
"157",658287,662082,"What are you gonna do then?Fight him? Ruin all my plans?","42"
"158",663834,666295,"Answer me, you black son of a bitch!","42"
"159",672093,674846,"You want a player who doesn'thave the guts to fight back?","42"
"160",676598,677974,"No.","42"
"161",679351,680852,"No.","42"
"162",681728,686316,"I want a player who's got the gutsnot to fight back.","42"
"163",687734,690028,"People aren't gonna like this.","42"
"164",690487,694282,"They're gonna do anythingto get you to react.","42"
"165",694449,698371,"Echo a curse with a curseand, uh, they'll hear only yours.","42"
"166",698537,703209,"Follow a blow with a blow and they'll say,""The Negro lost his temper.""","42"
"167",703376,706420,"That ""The Negro does not belong.""","42"
"168",706587,708881,"Your enemy will be out in force...","42"
"169",709048,712510,"...and you cannot meet himon his own low ground.","42"
"170",712969,717223,"We win with hitting, running, fielding.Only that.","42"
"171",717390,721560,"We win if the world is convincedof two things:","42"
"172",721727,726066,"That you are a fine gentlemanand a great baseball player.","42"
"173",730487,732781,"Like our Savior...","42"
"174",733323,735409,"...you gotta have the guts...","42"
"175",736034,737911,"...to turn the other cheek.","42"
"176",738870,740664,"Can you do it?","42"
"177",757098,760810,"You give me a uniform...","42"
"178",762854,767442,"...you give me a, heh,number on my back...","42"
"179",770611,772613,"...and I'll give you the guts.","42"
"180",779580,780706,"Hello?","42"
"181",780873,782249,"Rae...","42"
"182",783751,785252,"Jack.","42"
"183",786837,788297,"I'm in Brooklyn.","42"
"184",789840,792092,"Brooklyn? For what?","42"
"185",792259,793969,"Uh...","42"
"186",794136,797056,"I don't want to say on the phone.","42"
"187",797473,800935,"In fact, I'm not supposed to tell anyone.","42"
"188",801895,805815,"What's going on? Aren't you supposedto be playing in Chicago?","42"
"189",807776,810945,"We've been tested, you and me.","42"
"190",812489,815950,"We've done everythingthe right way. We have.","42"
"191",816493,821372,"Me trying to make money,you finishing school.","42"
"192",822290,824000,"We don't owe the world a thing.","42"
"193",824459,825878,"Only each other.","42"
"194",826045,829840,"Jack, what are you talking about?What is going on? What happened?","42"
"195",831008,832676,"Will you marry me, Rae?","42"
"196",836680,838182,"Absolutely.","42"
"197",840768,842186,"Yes. Yes.","42"
"198",844814,845856,"When?","42"
"199",846023,847775,"Um...","42"
"200",847942,850027,"How about right now?","42"
"201",855200,857285,"Did my mom look happy?","42"
"202",858161,861665,"Yes. You know your mother loves me.","42"
