"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","50 First Dates"
"2",50093,53138,"So tell me. How was Hawaii?","50 First Dates"
"3",53680,56766,"- It was unbelievable.- Oh, yeah?","50 First Dates"
"4",56933,59477,"- Well, what happened?- I met this guy.","50 First Dates"
"5",59644,62230,"It was the best week of my life.","50 First Dates"
"6",62397,65275,"It was just a littlevacation romance.","50 First Dates"
"7",65442,67318,"But he was so sweet.","50 First Dates"
"8",67485,69821,"He took me to all thesecool local places.","50 First Dates"
"9",69988,72282,"We went scuba diving...","50 First Dates"
"10",72449,74826,"- Snorkeling.- Mountain climbing.","50 First Dates"
"11",79247,82125,"Well, we got a little drunk.","50 First Dates"
"12",82292,84169,"- He gave me...- A back rub.","50 First Dates"
"13",84335,85628,"We slow danced...","50 First Dates"
"14",85795,87172,"--in the rain.","50 First Dates"
"15",87338,89466,"But it wasn't just about the sex.","50 First Dates"
"16",94179,96097,"It ended kind of weird, though.","50 First Dates"
"17",96264,98516,"When I asked for his number,he said he's...","50 First Dates"
"18",98683,99976,"- Married.- Gay.","50 First Dates"
"19",100143,102812,"- Entering the priesthood.- He doesn't believe in phones.","50 First Dates"
"20",102979,106357,"He just kind of ran away.","50 First Dates"
"21",106524,109027,"You know, it was justa little fling, but...","50 First Dates"
"22",109194,110695,"I won't forget my week...","50 First Dates"
"23",110862,112280,"--with Henry Roth.","50 First Dates"
"24",112447,115158,"- Henry Roth.- Harry.","50 First Dates"
"25",115325,117869,"Harry Paratesticles.","50 First Dates"
"26",118036,122499,"- Henry Roth.- Henry Roth.","50 First Dates"
"27",122665,125877,"Henry Roth, why didn't you tell meyou were a secret agent?","50 First Dates"
"28",126044,130715,"I prefer intelligence operative,and I couldn't tell you until I knew you.","50 First Dates"
"29",130882,132884,"Well, can I call you when I land?","50 First Dates"
"30",133051,136596,"You can call me, but I'll be in Peru.I said that a little loud.","50 First Dates"
"31",136763,140725,"Come on, that's a 187, code blue.We got the wolf sleeping at night.","50 First Dates"
"32",140892,145230,"He's slipping his arm in the drawerand out comes the cookie jar. All clear.","50 First Dates"
"33",146147,147398,"Got it?","50 First Dates"
"34",148233,150652,"Well, maybe when youget back from Peru.","50 First Dates"
"35",151194,154239,"- I don't think that's an option, Lisa.- Linda.","50 First Dates"
"36",154405,157742,"I know. I changed your namefor your protection.","50 First Dates"
"37",159160,161996,"We have to go our separate ways now.","50 First Dates"
"38",162163,164666,"Well, goodbye.","50 First Dates"
"39",164833,166668,"Got it! Moving out!","50 First Dates"
