"id","startTime","endTime","text","title"
"1",129712,131546,"Can I help you, ma'am?","A Streetcar Named Desire"
"2",132216,135842,"Well, they told me to takea streetcar named Desire...","A Streetcar Named Desire"
"3",136010,138513,"and then transferto one called Cemeteries...","A Streetcar Named Desire"
"4",138680,142724,"and ride six blocksand get off at Elysian Fields.","A Streetcar Named Desire"
"5",142893,144060,"There's your car now.","A Streetcar Named Desire"
"6",154987,156572,"Thank you.","A Streetcar Named Desire"
"7",194235,196361,"When he got home, she was waiting.","A Streetcar Named Desire"
"8",196530,199407,"Boy, you never heard nothing like that.","A Streetcar Named Desire"
"9",205288,207080,"What's the matter, honey?You lost?","A Streetcar Named Desire"
"10",207248,209332,"I'm looking for Elysian Fields.","A Streetcar Named Desire"
"11",209501,212127,"This is Elysian Fields.What number you looking for?","A Streetcar Named Desire"
"12",212378,214170,"Six forty-two.","A Streetcar Named Desire"
"13",214338,216632,"You don't need to look no further.","A Streetcar Named Desire"
"14",217300,221554,"I'm looking for my sister, Stella DuBois.I mean, Mrs. Stanley Kowalski.","A Streetcar Named Desire"
"15",221763,226057,"Yeah, that's the party, all right.You just did miss her, though.","A Streetcar Named Desire"
"16",226475,227977,"This?","A Streetcar Named Desire"
"17",229103,233441,"- Can this be her home?- She got the downstairs. I got the up.","A Streetcar Named Desire"
"18",233609,235651,"Oh, she's out?","A Streetcar Named Desire"
"19",235819,238153,"You notice that bowling alleyup the street?","A Streetcar Named Desire"
"20",238322,240948,"- I'm not sure I did.- Well, that's where she's at, honey.","A Streetcar Named Desire"
"21",241116,243241,"She's watching her husband bowl.","A Streetcar Named Desire"
"22",253211,254920,"Blanche!","A Streetcar Named Desire"
"23",258300,260009,"Blanche, honey!","A Streetcar Named Desire"
"24",260302,263762,"- Stella. Oh, Stella for star!- Blanche!","A Streetcar Named Desire"
"25",263930,268225,"Oh, my darling. Now, let me look at you.But don't you look at me, Stella. No, no!","A Streetcar Named Desire"
"26",268393,271562,"- I won't be seen in this merciless glare.- Did you find our place?","A Streetcar Named Desire"
"27",271730,273564,"What are you doing in a place like that?","A Streetcar Named Desire"
"28",273731,276358,"Never, never, neverin my worst dreams did I picture...","A Streetcar Named Desire"
"29",276526,280112,"Only Poe. Only Mr. Edgar Allan Poecould do justice to it.","A Streetcar Named Desire"
"30",280279,282238,"What are you doingin that horrible place?","A Streetcar Named Desire"
"31",282406,284574,"Oh, what am I saying?I didn't mean to say that.","A Streetcar Named Desire"
"32",284742,287995,"I meant to be nice and say,""What a convenient location,"" and such.","A Streetcar Named Desire"
"33",288163,291122,"- You haven't said a word to me.- You haven't given me a chance to.","A Streetcar Named Desire"
"34",291290,294834,"- Open your pretty mouth and talk.- Come say hello to Stanley first.","A Streetcar Named Desire"
"35",295002,297379,"- No, not now. Not now.- Just say hello.","A Streetcar Named Desire"
"36",297547,300716,"Oh, which is he?Which one is he?","A Streetcar Named Desire"
"37",306098,309891,"- Is he the one that's...?- The one that's making all the rhubarb.","A Streetcar Named Desire"
"38",310060,312310,"Isn't he wonderful-looking?","A Streetcar Named Desire"
"39",317442,321153,"Stella, I can't meet him now.Not till I've bathed and rested.","A Streetcar Named Desire"
"40",321321,323101,"Would you like a cold drink?","A Streetcar Named Desire"
"41",323115,324906,"Oh, bless you for thatlovely inspiration.","A Streetcar Named Desire"
"42",329663,331913,"Oh, my baby, my baby.","A Streetcar Named Desire"
"43",333290,334750,"Would you like some pop?","A Streetcar Named Desire"
"44",334918,337127,"Honey. Pop?","A Streetcar Named Desire"
"45",337295,339629,"Not with my nerves tonight.Scotch for me, please.","A Streetcar Named Desire"
"46",339798,341423,"Grape.","A Streetcar Named Desire"
"47",341591,346721,"You haven't asked me how I got awayfrom school before the spring term ended.","A Streetcar Named Desire"
"48",346887,350473,"I thought you'd volunteer thatinformation if you want to tell me.","A Streetcar Named Desire"
"49",350641,351933,"You thought I'd been fired?","A Streetcar Named Desire"
"50",352101,354937,"No. I thoughtyou might have resigned.","A Streetcar Named Desire"
