"id","startTime","endTime","text","title"
"1",173904,176506,"You see? You seethe symbolism of it?","A Time to Kill"
"2",176506,178508,"Capital and Labordestroy each other.","A Time to Kill"
"3",178509,181345,"It teaches a moral lesson.It has social significance.","A Time to Kill"
"4",181346,183482,"Who wants to see that kind of stuff?It gives me the creeps.","A Time to Kill"
"5",183482,185484,"Tell him how long it playedin the Music Hall.","A Time to Kill"
"6",185485,187487,"It was held over a fifth week.","A Time to Kill"
"7",187488,189623,"Who goes to the Music Hall?Communists!","A Time to Kill"
"8",189623,192459,"Communists? This picture'san answer to Communists!","A Time to Kill"
"9",192460,194429,"It shows we're awake...","A Time to Kill"
"10",194430,196432,"and not dunking our heads in the sandlike a bunch of ostriches!","A Time to Kill"
"11",196432,198768,"I want this picture to bea commentary on modern conditions.","A Time to Kill"
"12",198769,201271,"Stark realism. The problemsthat confront the average man.","A Time to Kill"
"13",201272,203274,"- But with a little sex.- A little,
but I don't want to stress it.","A Time to Kill"
"14",203275,205277,"I want this pictureto be a document.","A Time to Kill"
"15",205277,207279,"I want to holda mirror up to life.","A Time to Kill"
"16",207280,209282,"I want this to bea picture of dignity--","A Time to Kill"
"17",209282,211751,"- a true canvasof the suffering of humanity.
- But with a little sex.","A Time to Kill"
"18",211752,213754,"- With a little sex in it.- How about a nice musical?","A Time to Kill"
"19",213755,215757,"How can you talk about musicalsat a time like this,","A Time to Kill"
"20",215757,217759,"with the worldcommitting suicide?","A Time to Kill"
"21",217760,219762,"With corpses piling upin the street,","A Time to Kill"
"22",219763,221799,"with grim death gargling at youfrom every corner,","A Time to Kill"
"23",221799,224034,"- with people slaughtered like sheep!- Maybe they'd like to forget.","A Time to Kill"
"24",224035,227340,"Then why did they hold this one overfor a fifth week? For the ushers?","A Time to Kill"
"25",227340,229442,"- It died in Pittsburgh.- Like a dog.","A Time to Kill"
"26",229443,231445,"- What do they know in Pittsburgh?- They know what they like.","A Time to Kill"
"27",231445,233447,"If they knew what they liked,they wouldn't live in Pittsburgh.","A Time to Kill"
"28",233448,236584,"If you pandered to the public,you'd still be in the horse age.","A Time to Kill"
"29",236585,238787,"- You think we're not?Look at Hopalong Cassidy.
- You look at him!","A Time to Kill"
"30",238787,242058,"We'd still be making Keystone chases,bathing beauties, custard pie--","A Time to Kill"
