"id","startTime","endTime","text","title"
"1",77243,79337,"Sir, shoals on every side.","Alice Through the Looking Glass"
"2",80246,81418,"Sand or reef, I cannot say.","Alice Through the Looking Glass"
"3",84251,87254,"Captain, the Malay pirateshave us cornered.","Alice Through the Looking Glass"
"4",87670,88763,"We must surrender.","Alice Through the Looking Glass"
"5",91382,93009,"Surrendering my father's ship","Alice Through the Looking Glass"
"6",93093,95015,"will not guarantee survival, Mr Phelps.","Alice Through the Looking Glass"
"7",103520,105396,"Shallow water.","Alice Through the Looking Glass"
"8",105563,107566,"Dead ahead, full sails!","Alice Through the Looking Glass"
"9",108400,110323,"Captain! The ship will run aground.","Alice Through the Looking Glass"
"10",110694,111819,"It's impossible!","Alice Through the Looking Glass"
"11",112695,114948,"You know my views on that word, Mr Phelps.","Alice Through the Looking Glass"
"12",117033,119253,"Full sails. Full sails!","Alice Through the Looking Glass"
"13",120412,121584,"Full sails, boys.","Alice Through the Looking Glass"
"14",121996,123373,"Full sails!","Alice Through the Looking Glass"
"15",127753,129675,"Hard to port, Harper!","Alice Through the Looking Glass"
"16",130338,133342,"Turning to port at full sailwill tip us over.","Alice Through the Looking Glass"
"17",134092,135183,"Exactly!","Alice Through the Looking Glass"
"18",140056,142560,"Lads, get those sails down!","Alice Through the Looking Glass"
"19",142643,144520,"We haven't got all day!","Alice Through the Looking Glass"
"20",149775,151276,"Hold on, everyone!","Alice Through the Looking Glass"
"21",157699,158950,"It's too shallow.","Alice Through the Looking Glass"
"22",160743,162086,"We need full sails!","Alice Through the Looking Glass"
"23",164747,166216,"Will! Hold on, lad!","Alice Through the Looking Glass"
"24",166290,167383,"Help!","Alice Through the Looking Glass"
"25",191733,192734,"She's going over.","Alice Through the Looking Glass"
"26",197239,198411,"Hold on, boys!","Alice Through the Looking Glass"
"27",204704,205705,"Hold on, lads!","Alice Through the Looking Glass"
"28",235317,236661,"You did it, Captain!","Alice Through the Looking Glass"
"29",249248,251671,"The only way to achieve the impossible","Alice Through the Looking Glass"
"30",251752,253594,"is to believe it is possible.","Alice Through the Looking Glass"
"31",254670,257264,"Set a course for London, Harper.","Alice Through the Looking Glass"
"32",258341,260343,"Our work here is done.","Alice Through the Looking Glass"
"33",261052,262519,"Splice the mainbrace, lads!","Alice Through the Looking Glass"
"34",262596,263848,"We're going home!","Alice Through the Looking Glass"
"35",312269,313942,"Captain ashore.","Alice Through the Looking Glass"
"36",315189,316442,"Captain.","Alice Through the Looking Glass"
"37",325115,326117,"- Mother.- Well...","Alice Through the Looking Glass"
"38",327244,328665,"Here you are.","Alice Through the Looking Glass"
"39",329120,329790,"Finally.","Alice Through the Looking Glass"
"40",330247,331338,"Miss Kingsleigh?","Alice Through the Looking Glass"
"41",332456,334550,"You and the Wonder have beenexpected for over a year.","Alice Through the Looking Glass"
"42",334709,335925,"There were complications.","Alice Through the Looking Glass"
"43",336377,337300,"Pirates and such.","Alice Through the Looking Glass"
"44",337461,338759,"The ledgers are in my cabin.","Alice Through the Looking Glass"
"45",339213,342055,"And would you please let Lord Ascot knowI should like to see him immediately.","Alice Through the Looking Glass"
"46",342925,345896,"I'm afraid Lord Ascot passedaway whilst you were at sea.","Alice Through the Looking Glass"
"47",346262,347810,"The title's been passed on to his son.","Alice Through the Looking Glass"
"48",348430,349932,"- Hamish?- Indeed.","Alice Through the Looking Glass"
"49",350432,351605,"Now chairman of the board.","Alice Through the Looking Glass"
"50",352978,354399,"How unfortunate.","Alice Through the Looking Glass"
"51",367449,369497,"Your letters were so infrequent.","Alice Through the Looking Glass"
"52",369911,372004,"I hardly know whereyou've been all this time.","Alice Through the Looking Glass"
"53",372454,373831,"Mother, China's incredible.","Alice Through the Looking Glass"
"54",374249,376297,"We followed the Yangtzedeep into the interior.","Alice Through the Looking Glass"
"55",377252,378754,"Most of the people had never seen","Alice Through the Looking Glass"
"56",378836,380259,"a person with yellow hair before.","Alice Through the Looking Glass"
"57",380422,382139,"- Were you never afraid?- Of course.","Alice Through the Looking Glass"
"58",383591,385310,"But, when I was, I thought of Father.","Alice Through the Looking Glass"
"59",386302,387646,"You sound just like him.","Alice Through the Looking Glass"
"60",390432,391478,"I miss him.","Alice Through the Looking Glass"
"61",392808,394310,"I do, too.","Alice Through the Looking Glass"
"62",394935,397108,"But the years pass quickly for me now.","Alice Through the Looking Glass"
"63",398105,400153,"Time is a cruel master.","Alice Through the Looking Glass"
"64",401108,404079,"Time is a thief. And a villain.","Alice Through the Looking Glass"
"65",404571,407699,"I hear the Ascots are markingHamish's succession tonight.","Alice Through the Looking Glass"
"66",407865,408582,"Perfect.","Alice Through the Looking Glass"
"67",408992,410288,"We should go.","Alice Through the Looking Glass"
"68",410451,413000,"I'm afraid the invitation musthave been lost in the post.","Alice Through the Looking Glass"
"69",413454,415752,"Nonsense. Lady Ascot once saidwe would always be welcome.","Alice Through the Looking Glass"
"70",417709,418755,"Besides, I have a proposition for Hamish.","Alice Through the Looking Glass"
"71",419336,421384,"Hamish married last year, Alice.","Alice Through the Looking Glass"
"72",421754,423802,"He seems to have got overyour public rejection.","Alice Through the Looking Glass"
"73",423964,425182,"A business proposition, Mother.","Alice Through the Looking Glass"
"74",426468,427720,"You're leaving again?","Alice Through the Looking Glass"
"75",428136,429182,"So soon?","Alice Through the Looking Glass"
"76",430846,434187,"There are matters here which mightbenefit from your attention.","Alice Through the Looking Glass"
"77",434684,436060,"After my next voyage...","Alice Through the Looking Glass"
"78",436478,438230,"you won't have to worry about anything.","Alice Through the Looking Glass"
"79",438562,440815,"Am I permitted to worry about tonight?","Alice Through the Looking Glass"
"80",452201,454204,"I do wish you'd worn that yellow dress.","Alice Through the Looking Glass"
"81",454370,457215,"If it's good enough forthe Dowager Empress of China...","Alice Through the Looking Glass"
"82",457374,459047,"then it's good enough for the Ascots.","Alice Through the Looking Glass"
"83",459209,461336,"Must you always be so headstrong?","Alice Through the Looking Glass"
"84",461502,463221,"No. It's just more fun that way.","Alice Through the Looking Glass"
"85",473723,476396,"- What is she wearing?- It's the Kingsleigh girl.","Alice Through the Looking Glass"
"86",476558,477560,"Excuse me.","Alice Through the Looking Glass"
"87",477978,479942,"- Outrageous.- Circus performer.","Alice Through the Looking Glass"
"88",482399,483365,"Miss Kingsleigh?","Alice Through the Looking Glass"
"89",484401,485653,"What are you doing here?","Alice Through the Looking Glass"
"90",486110,487737,"I've come to give my report to Lord Ascot.","Alice Through the Looking Glass"
"91",489072,490574,"Right.","Alice Through the Looking Glass"
"92",490740,492083,"Well, follow me.","Alice Through the Looking Glass"
"93",501584,502300,"Helen.","Alice Through the Looking Glass"
"94",502668,504216,"What a surprise.","Alice Through the Looking Glass"
"95",504629,507223,"Alice. Well. Welcome home.","Alice Through the Looking Glass"
"96",507882,510259,"We were afraid you mightnever come back with our ship.","Alice Through the Looking Glass"
"97",510927,512769,"My ship. Hello, Hamish.","Alice Through the Looking Glass"
"98",512928,514931,"It's proper to refer tomy husband as Lord Ascot.","Alice Through the Looking Glass"
"99",515597,517942,"That is why we're havingthis little soirée after all.","Alice Through the Looking Glass"
"100",518600,522447,"Miss Kingsleigh,this is my wife, Alexandra.","Alice Through the Looking Glass"
"101",522813,524066,"The new Lady Ascot.","Alice Through the Looking Glass"
"102",526400,528610,"Hamish tells me you've travelledthe world these last three years.","Alice Through the Looking Glass"
"103",528986,530283,"Yes. I've just returned.","Alice Through the Looking Glass"
"104",531197,531993,"Well, then how was it?","Alice Through the Looking Glass"
"105",532448,533200,"The world?","Alice Through the Looking Glass"
"106",533700,534451,"Yes.","Alice Through the Looking Glass"
"107",536452,539501,"Highly enjoyable.You should visit it sometime.","Alice Through the Looking Glass"
"108",543125,544719,"Apologies for the intrusion, Lord Ascot...","Alice Through the Looking Glass"
"109",545086,546302,"but I've come to give my report.","Alice Through the Looking Glass"
"110",547297,548139,"Of course.","Alice Through the Looking Glass"
"111",549548,550765,"Follow me, Miss Kingsleigh.","Alice Through the Looking Glass"
"112",552927,554519,"And you, Mr Harcourt.","Alice Through the Looking Glass"
"113",558975,562229,"Gentlemen, might I introduceMiss Alice Kingsleigh.","Alice Through the Looking Glass"
"114",562394,563897,"Miss Kingsleigh, the board.","Alice Through the Looking Glass"
"115",566191,567192,"Good evening, gentlemen.","Alice Through the Looking Glass"
"116",567609,570111,"The world has opened to us,but we must move quickly.","Alice Through the Looking Glass"
"117",570945,573038,"It is my belief that further expeditions","Alice Through the Looking Glass"
"118",573114,574206,"along the Wu River...","Alice Through the Looking Glass"
"119",574365,575832,"I'm sorry, Miss Kingsleigh.","Alice Through the Looking Glass"
"120",576241,578370,"There will be no further expeditions.","Alice Through the Looking Glass"
"121",579953,580955,"What?","Alice Through the Looking Glass"
"122",581748,584171,"Now, there is a positionin our clerking office.","Alice Through the Looking Glass"
"123",584667,586465,"You will start in files...","Alice Through the Looking Glass"
"124",586836,588634,"but in time...","Alice Through the Looking Glass"
"125",589004,590427,"This isn't about China, is it?","Alice Through the Looking Glass"
"126",591256,593759,"It's because I turned you downwhen you asked me to marry you.","Alice Through the Looking Glass"
"127",596471,599644,"I am sorry, Miss Kingsleigh,but this is all that we can do for you.","Alice Through the Looking Glass"
"128",600350,604144,"No other company is in the businessof hiring female clerks.","Alice Through the Looking Glass"
"129",604604,606731,"Let alone ship's captains.","Alice Through the Looking Glass"
"130",611903,613200,"You can't do this.","Alice Through the Looking Glass"
"131",613613,615490,"I own 10% of the company.","Alice Through the Looking Glass"
"132",615657,617375,"Your father set those shares aside for me.","Alice Through the Looking Glass"
"133",617866,619335,"Oh, correction.","Alice Through the Looking Glass"
"134",619701,621249,"He gave them to your mother...","Alice Through the Looking Glass"
"135",621412,624253,"who sold them to me a year ago,while you were gone.","Alice Through the Looking Glass"
"136",624666,626087,"Along with the bond on the house.","Alice Through the Looking Glass"
"137",626750,627842,"Her house?","Alice Through the Looking Glass"
"138",628253,630004,"The bond we will redeem against your ship.","Alice Through the Looking Glass"
"139",631463,633216,"But that was my father's ship.","Alice Through the Looking Glass"
"140",633841,634842,"Indeed.","Alice Through the Looking Glass"
"141",636635,638388,"Sign over the vessel...","Alice Through the Looking Glass"
"142",638554,641307,"and you will redeem the house.","Alice Through the Looking Glass"
"143",641850,642817,"Report to work Monday morning...","Alice Through the Looking Glass"
"144",642975,644899,"and you will receive a salaryand a pension.","Alice Through the Looking Glass"
"145",646062,647529,"And give up the Wonder?","Alice Through the Looking Glass"
"146",648773,651025,"Otherwise, we cannot help you.","Alice Through the Looking Glass"
"147",651192,653068,"Or your mother.","Alice Through the Looking Glass"
"148",665373,666090,"Alice.","Alice Through the Looking Glass"
"149",668083,668960,"Alice.","Alice Through the Looking Glass"
"150",669460,670302,"Alice!","Alice Through the Looking Glass"
"151",670461,671758,"How could you sell our shares?","Alice Through the Looking Glass"
"152",672754,674631,"Everything I do is for you, Alice.","Alice Through the Looking Glass"
"153",675091,676263,"So you can make a decent start in life.","Alice Through the Looking Glass"
"154",676967,678970,"Five minutes ago I was a sea captain.","Alice Through the Looking Glass"
"155",679345,680642,"A sea captain is no job for a lady.","Alice Through the Looking Glass"
"156",682222,684100,"Time is against you, andyou're being careless with it.","Alice Through the Looking Glass"
"157",686561,690903,"I once believed I could do as manyas six impossible things before breakfast.","Alice Through the Looking Glass"
"158",691065,693692,"That is a child's dream, Alice.","Alice Through the Looking Glass"
"159",695528,697120,"The Wonder is just a ship.","Alice Through the Looking Glass"
"160",698030,699953,"It's not just a ship.","Alice Through the Looking Glass"
"161",700115,701288,"It's Father's ship.","Alice Through the Looking Glass"
"162",701993,703461,"Everything he loved.","Alice Through the Looking Glass"
"163",703870,705212,"Everything I love.","Alice Through the Looking Glass"
"164",705370,706587,"He never would have let this happen.","Alice Through the Looking Glass"
"165",706956,708128,"Well, he's not here any more!","Alice Through the Looking Glass"
"166",711336,713713,"You can't just make thingshowever you want them to be.","Alice Through the Looking Glass"
"167",714672,717596,"Every woman must face that, Alice.","Alice Through the Looking Glass"
"168",717759,718806,"I've had to.","Alice Through the Looking Glass"
"169",719802,722100,"Well, the last thing I wantis to end up like you.","Alice Through the Looking Glass"
"170",738363,740036,"Sign over the Wonder?","Alice Through the Looking Glass"
"171",741282,743659,"And give up on the impossible?","Alice Through the Looking Glass"
"172",743826,745749,"Then who will I be?","Alice Through the Looking Glass"
"173",748331,751585,"You're Alice, of course.","Alice Through the Looking Glass"
"174",754504,755629,"Absolem?","Alice Through the Looking Glass"
"175",762010,762852,"Absolem.","Alice Through the Looking Glass"
"176",775066,776739,"She had spent months up river.","Alice Through the Looking Glass"
"177",777150,779403,"Dressed like she'd gone native.","Alice Through the Looking Glass"
"178",779778,783162,"Of course, it's known to do strange thingsto a man's mind, let alone a woman's.","Alice Through the Looking Glass"
"179",783533,785500,"- Wait!- Just like her father.","Alice Through the Looking Glass"
"180",785868,788461,"A great man, no doubt,but one touched in the head.","Alice Through the Looking Glass"
"181",788870,791090,"It appears the apple hasnot fallen far from the tree.","Alice Through the Looking Glass"
