"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","Alice in Wonderland"
"2",23607,27485,"♫ How do you get to Wonderland? ♫","Alice in Wonderland"
"3",27569,31489,"♫ Over the hill or underland ♫","Alice in Wonderland"
"4",31573,35868,"♫ Or just behind the tree? ♫","Alice in Wonderland"
"5",35953,40164,"♫ When clouds go rolling by ♫","Alice in Wonderland"
"6",40249,44293,"♫ They roll away and leave the sky ♫","Alice in Wonderland"
"7",44378,48297,"♫ Where is the land beyond the eye ♫","Alice in Wonderland"
"8",48382,52051,"♫ That people cannot see? ♫","Alice in Wonderland"
"9",53303,56472,"♫ Where can it be? ♫","Alice in Wonderland"
"10",57141,60977,"♫ Where do stars go? ♫","Alice in Wonderland"
"11",61061,64731,"♫ Where is the crescent moon? ♫","Alice in Wonderland"
"12",64815,68985,"♫ They must be somewhere ♫","Alice in Wonderland"
"13",69069,73614,"♫ In a sunny afternoon ♫","Alice in Wonderland"
"14",75367,81497,"♫ Alice in Wonderland ♫","Alice in Wonderland"
"15",81582,86586,"♫ Where is the path to Wonderland? ♫","Alice in Wonderland"
"16",86670,92133,"♫ Over the hill or here or there ♫","Alice in Wonderland"
"17",93343,100641,"♫ I wonder where ♫","Alice in Wonderland"
"18",116867,119952,"""..wanted leaders, and had been of late","Alice in Wonderland"
"19",120037,124415,"much accustomedto usurpation and conquest.""","Alice in Wonderland"
"20",124500,130379,"""Edwin and Morcar, the Earls of Merciaand Northumbria declared for him,","Alice in Wonderland"
"21",130464,132799,"and even Stigand...""","Alice in Wonderland"
"22",132883,135593,"- Alice.- Hmm?","Alice in Wonderland"
"23",135677,137178,"I'm listening.","Alice in Wonderland"
"24",137262,140556,"""And even Stigand,the Archbishop of Canterbury,","Alice in Wonderland"
"25",140641,144977,"agreed to meet with Williamand offer him the crown.""","Alice in Wonderland"
"26",145062,148272,"""William's conduct at first was...""","Alice in Wonderland"
"27",148357,149732,"Alice.","Alice in Wonderland"
"28",149817,152735,"Will you kindly pay attentionto your history lesson.","Alice in Wonderland"
"29",152820,155905,"I'm sorry. But how can onepossibly pay attention","Alice in Wonderland"
"30",155989,158074,"to a book with no pictures in it?","Alice in Wonderland"
"31",158158,164163,"My dear child, there are many good booksin this world without pictures.","Alice in Wonderland"
"32",164248,166332,"In this world, perhaps.","Alice in Wonderland"
"33",166416,169919,"But in my world the bookswould be nothing but pictures.","Alice in Wonderland"
"34",170003,173256,"Your world? What nonsense.","Alice in Wonderland"
"35",173340,176008,"- Nonsense?- Once more, from the beginning.","Alice in Wonderland"
"36",176093,177593,"That's it, Dinah.","Alice in Wonderland"
"37",178428,182223,"If I had a world of my own,everything would be nonsense.","Alice in Wonderland"
"38",182307,186727,"Nothing would be what it is becauseeverything would be what it isn't.","Alice in Wonderland"
"39",186812,190773,"And, contrariwise,what it is, it wouldn't be.","Alice in Wonderland"
"40",190858,194026,"And what it wouldn't be, it would.You see?","Alice in Wonderland"
"41",195863,199448,"In my world, you wouldn't say ""meow"".","Alice in Wonderland"
"42",199533,203160,"You'd say, ""Yes, Miss Alice.""","Alice in Wonderland"
"43",203245,206455,"But you would.You'd be just like people, Dinah.","Alice in Wonderland"
"44",206540,208958,"And all the other animals, too.","Alice in Wonderland"
"45",209042,210751,"In my world...","Alice in Wonderland"
"46",210836,217300,"♫ Cats and rabbits would residein fancy little houses ♫","Alice in Wonderland"
"47",217384,221596,"♫ And be dressed inshoes and hats and trousers ♫","Alice in Wonderland"
"48",223599,228185,"♫ In a world of my own ♫","Alice in Wonderland"
"49",228270,234609,"♫ All the flowers would havevery extra special powers ♫","Alice in Wonderland"
"50",234693,238821,"♫ They would sitand talk to me for hours ♫","Alice in Wonderland"
"51",238906,245161,"♫ When I'm lonely in a world of my own ♫","Alice in Wonderland"
"52",245245,247496,"♫ There'd be new birds ♫","Alice in Wonderland"
"53",247581,251417,"♫ Lots of nice and friendlyhowdy-do birds ♫","Alice in Wonderland"
"54",251877,257089,"♫ Everyone would have a dozen bluebirds ♫","Alice in Wonderland"
"55",257174,262637,"♫ Within that world of my own ♫","Alice in Wonderland"
"56",262721,267475,"♫ I could listen to a babbling brook ♫","Alice in Wonderland"
"57",267559,272647,"♫ And hear a songthat I could understand ♫","Alice in Wonderland"
"58",273690,279946,"♫ I keep wishing it could be that way ♫","Alice in Wonderland"
"59",280030,287703,"♫ Because my worldwould be a wonderland ♫","Alice in Wonderland"
"60",299174,304053,"Oh, Dinah. It's just a rabbitwith a waistcoat... and a watch.","Alice in Wonderland"
"61",304137,306764,"My fur and whiskers!I'm late, I'm late, I'm late!","Alice in Wonderland"
"62",306848,310685,"This is curious. What coulda rabbit possibly be late for?","Alice in Wonderland"
"63",310769,312770,"Please, sir.","Alice in Wonderland"
"64",312854,315398,"I'm late, I'm latefor a very important date.","Alice in Wonderland"
"65",315482,318317,"No time to say hello, goodbye.I'm late, I'm late, I'm late.","Alice in Wonderland"
"66",318402,322196,"It must be awfully important,like a party or something.","Alice in Wonderland"
"67",322280,324323,"Mr. Rabbit. Wait!","Alice in Wonderland"
"68",324408,328327,"No, no, no, I'm overdue.I'm really in a stew.","Alice in Wonderland"
"69",328412,331831,"No time to say goodbye, hello.I'm late, I'm late, I'm late.","Alice in Wonderland"
"70",331915,336002,"My. What a peculiar placeto have a party.","Alice in Wonderland"
"71",337504,342383,"You know, Dinah,we really shouldn't... be doing this.","Alice in Wonderland"
"72",343677,348305,"After all,we haven't been invited...","Alice in Wonderland"
"73",349349,353811,"and curiosity often leads to trouble.","Alice in Wonderland"
"74",357024,360234,"Goodbye, Dinah. Goodbye!","Alice in Wonderland"
"75",363822,365906,"Oh...","Alice in Wonderland"
"76",366908,372913,"Well, after this I shall think nothingof... of falling down stairs.","Alice in Wonderland"
"77",399900,401984,"Oh!","Alice in Wonderland"
"78",409826,415623,"Goodness. What if I should fallright through the centre of the Earth...","Alice in Wonderland"
"79",417501,421378,"and come out the other sidewhere people walk upside down?","Alice in Wonderland"
"80",421463,423547,"But that's silly. Nobody...","Alice in Wonderland"
"81",424633,426801,"Oh!","Alice in Wonderland"
"82",429930,434016,"Mr. Rabbit. Wait. Please!","Alice in Wonderland"
"83",450909,453619,"Curiouser and curiouser.","Alice in Wonderland"
"84",456957,458999,"Ow.","Alice in Wonderland"
"85",459084,461378,"I beg your pardon.","Alice in Wonderland"
"86",463462,465256,"Quite all right,but you did give me quite a turn.","Alice in Wonderland"
"87",465340,469009,"- You see I was following...- Rather good, what? Door knob, turn.","Alice in Wonderland"
"88",469094,474140,"- Please, sir.- One good turn deserves another.","Alice in Wonderland"
"89",474224,477560,"- What can I do for you?- Well I'm looking for a white rabbit.","Alice in Wonderland"
"90",477644,480354,"- So, if you don't mind...- Eh?","Alice in Wonderland"
"91",480438,481522,"Oh.","Alice in Wonderland"
"92",481606,483858,"There he is. I simply must get through.","Alice in Wonderland"
"93",483942,487194,"Sorry. You're much too big.Simply impassable.","Alice in Wonderland"
"94",487279,491240,"- You mean impossible.- No, impassable. Nothing's impossible.","Alice in Wonderland"
"95",492284,495619,"- Why don't you try the bottle on the table.- Table?","Alice in Wonderland"
"96",496872,501208,"Read the directions. Directly you'll bedirected in the right direction.","Alice in Wonderland"
"97",501293,504420,"""Drink me."" Hmm.","Alice in Wonderland"
"98",504504,509258,"Better look first, for if one drinksmuch from a bottle marked ""Poison"",","Alice in Wonderland"
"99",509342,513429,"it's almost certainto disagree with one sooner or later.","Alice in Wonderland"
"100",514181,518058,"- Beg your pardon?- Just giving myself some good advice.","Alice in Wonderland"
"101",518143,519894,"But...","Alice in Wonderland"
"102",521229,523731,"Tastes like cherry tart.","Alice in Wonderland"
"103",525192,528152,"Custard, pineapple, roast turkey.","Alice in Wonderland"
"104",528236,530446,"Goodness!","Alice in Wonderland"
"105",530530,532823,"What did I do?","Alice in Wonderland"
