"id","startTime","endTime","text","title"
"1",300716,305262,"Bio readouts are all in the green.Looks like she's alive.","Aliens"
"2",307766,310768,"Well, there goesour salvage, guys.","Aliens"
"3",337211,340338,"How are we today?Ohh. Terrible.","Aliens"
"4",340423,343300,"Well, better thanyesterday, at least.","Aliens"
"5",343384,346137,"Where am I?You're safe.","Aliens"
"6",346221,348639,"You're at Gateway Station.Been here a couple of days.","Aliens"
"7",348723,352143,"You were pretty groggy at first,but now you're okay.","Aliens"
"8",352226,354728,"Oh, looks likeyou've got a visitor.","Aliens"
"9",356605,358941,"Jonesy. Come here.","Aliens"
"10",360110,362235,"Hey, come here.","Aliens"
"11",362319,364697,"How are you,you stupid cat?","Aliens"
"12",364781,368701,"How are you?Where have you been?","Aliens"
"13",368785,372620,"Guess you twohave met, huh?
I'm Burke. Carter Burke.","Aliens"
"14",372706,377250,"I work for the company,but don't let that fool you.
I'm really an okay guy.","Aliens"
"15",378545,380463,"I'm glad to see you'refeeling a little better.","Aliens"
"16",380547,384091,"They tell me that allthe weakness and disorientation
should pass soon.","Aliens"
"17",384216,390096,"That's just natural side effectsof such an unusually long hypersleep,
or something like that.","Aliens"
"18",390182,392348,"What do you mean?","Aliens"
"19",392433,394810,"How longwas I out there?","Aliens"
"20",394894,396978,"Inhalation Therapy, report to-","Aliens"
"21",397064,399314,"Has no one discussedthis with you yet?","Aliens"
"22",399399,401399,"No.But, I mean...","Aliens"
"23",401485,405487,"I don't... recognizethis place.","Aliens"
"24",405572,407572,"No, I know. Uh-","Aliens"
"25",407656,411367,"Okay. It's just that,uh, this might be
a shock to you.","Aliens"
"26",411495,414079,"It's long-How long?","Aliens"
"27",414163,416165,"Please.","Aliens"
"28",417167,421127,"57 years.What?","Aliens"
"29",421213,425466,"That's the thing.You were out there
for 57 years.","Aliens"
"30",425550,428677,"What happened wasyou had drifted
right through the core systems.","Aliens"
"31",428762,431596,"And it's reallyjust blind luck...","Aliens"
"32",431680,434891,"that a deep-salvage teamfound you when they did.","Aliens"
"33",434975,437269,"It's one in a thousand,really.","Aliens"
"34",437353,442065,"I think you're damn luckyto be alive, kiddo. You could
be floating out there forever.","Aliens"
"35",442149,445360,"You- You okay?","Aliens"
"36",445444,448279,"- Uhh-","Aliens"
"37",451785,454536,"- Uuh!","Aliens"
"38",454620,456872,"You okay?","Aliens"
"39",461418,466215,"- Oh-h-h! Oh, God!","Aliens"
"40",467634,471177,"Nurse! Please!God!","Aliens"
"41",471303,474264,"Someone get in here now!","Aliens"
"42",474348,476391,"Now!","Aliens"
"43",476475,478685,"- Hold!- Please.","Aliens"
"44",478769,480980,"Hold on!","Aliens"
"45",481064,483064,"Kill me!","Aliens"
"46",490740,494660,"No!","Aliens"
"47",495661,497745,"Uh!","Aliens"
"48",500457,503586,"Bad dreams again?You want something
to help you sleep?","Aliens"
"49",503670,505920,"No.","Aliens"
"50",506005,508007,"I've slept enough.","Aliens"
"51",509925,512177,"Jonesy.","Aliens"
"52",512261,514263,"Come here.","Aliens"
"53",514346,516432,"Shh.","Aliens"
"54",520729,522730,"It's all right.","Aliens"
"55",523731,527525,"It's all right now.","Aliens"
"56",527610,529653,"It's over.","Aliens"
"57",548881,554845,"Dr Hirsch, 334. Dr. Hirsch, 334.","Aliens"
