"id","startTime","endTime","text","title"
"1",44281,48030,"Here comes the President's helicopter,Marine helicopter number one...","All the President's Men"
"2",48118,52246,"landing in the Plaza on the east sideof the east front of the Capitol.","All the President's Men"
"3",52624,55743,"Helicopter hovering gently,just off the ground.","All the President's Men"
"4",56753,60287,"Amazing timing. The Presidentflying all the way across the world...","All the President's Men"
"5",60381,61923,"across the Atlantic Ocean...","All the President's Men"
"6",62008,66385,"arriving almost exactly as scheduledat 9:30...","All the President's Men"
"7",66763,68257,"in the Capitol Plaza...","All the President's Men"
"8",68347,71099,"so that he can go up the stepsof the House of Representatives...","All the President's Men"
"9",71183,75016,"go into the chamber, and address themembers of the House and the Senate...","All the President's Men"
"10",75105,77974,"the Supreme Court,the diplomatic corps of Washington...","All the President's Men"
"11",78066,80188,"all of whom are inside waiting for him...","All the President's Men"
"12",80275,82150,"in the chamberof the House of Representatives.","All the President's Men"
"13",82236,83611,"Mr. Speaker...","All the President's Men"
"14",83697,86614,"the President of the United States.","All the President's Men"
"15",94164,96953,"And the President,accompanied by the Escort Committee...","All the President's Men"
"16",97043,100543,"comes down the central aisle,approaching the podium...","All the President's Men"
"17",101923,103334,"greets members of his Cabinet...","All the President's Men"
"18",103424,106674,"and those who are waiting to be confirmedas members of his Cabinet...","All the President's Men"
"19",106760,108837,"as he reaches the rostrum.","All the President's Men"
"20",111891,114643,"Shakes hands with the Speaker,Carl Albert...","All the President's Men"
"21",115353,117429,"A happy President, smiling.","All the President's Men"
"22",118772,121939,"Ladies and gentlemen,President Nixon will, in a moment...","All the President's Men"
"23",122027,125644,"address the Congressand the people of the United States.","All the President's Men"
"24",128407,129522,"Thank you.","All the President's Men"
"25",245692,248099,"Car 727. Car 727.","All the President's Men"
"26",248194,250437,"Open doorat the Watergate office building.","All the President's Men"
"27",250531,253068,"Possible burglary. See the security guard.","All the President's Men"
"28",253157,255032,"Are you sure you want us?","All the President's Men"
"29",255201,257278,"517 is closer and they're in uniform.","All the President's Men"
"30",257370,259612,"They're getting gas. You take it.","All the President's Men"
"31",282062,283687,"Unit 1 to Unit 2.","All the President's Men"
"32",285816,287394,"Unit 1 to Unit 2.","All the President's Men"
"33",287901,289978,"- What?- We're home.","All the President's Men"
"34",308004,309795,"Base 1 to Unit 1.","All the President's Men"
"35",310925,312300,"Base 1 to Unit 1.","All the President's Men"
"36",313177,315004,"We have some activity here.","All the President's Men"
"37",315721,317262,"Silence is advised.","All the President's Men"
"38",320850,322048,"Shut it off.","All the President's Men"
"39",331444,333069,"Base 1 to Unit 1.","All the President's Men"
"40",333947,335856,"Lights on the eighth floor.","All the President's Men"
"41",336742,338367,"Base 1 to Unit 1.","All the President's Men"
"42",340245,341954,"Is there anybody there?","All the President's Men"
"43",347961,350879,"There's people, people on the balcony.Armed people.","All the President's Men"
"44",353466,355175,"Base 1 to Unit 1.","All the President's Men"
"45",357721,361173,"Base 1 to Unit 1.We may have some problems.","All the President's Men"
"46",366896,368355,"Someone's here.","All the President's Men"
"47",394675,396917,"- Hold it, you...- Police!","All the President's Men"
"48",398012,399423,"Put your hands up!","All the President's Men"
"49",410483,411894,"Drop that jacket!","All the President's Men"
"50",414278,418062,"Walkie-talkie, two 35mm cameras.","All the President's Men"
"51",418990,420783,"Got it. That's good.","All the President's Men"
"52",421244,422821,"All right, stay there.","All the President's Men"
"53",423620,425613,"I already got something for you.Did you see this?","All the President's Men"
"54",425706,427615,"A couple sleeping in bed,car hits the house...","All the President's Men"
"55",427708,429701,"goes through the bedroom,comes out the other side.","All the President's Men"
"56",429793,431122,"Good morning. Crash.","All the President's Men"
"57",431211,433288,"Lewis is over at Democratic headquarters.","All the President's Men"
"58",433380,435788,"One of the burglars had $814.","All the President's Men"
"59",436007,439507,"One $230, one $215, and one $234.","All the President's Men"
"60",439803,443636,"Most of it was in $100 billsand in sequence.","All the President's Men"
"61",444350,445678,"- Woodward?- Yeah?","All the President's Men"
"62",445768,447807,"There's been a break-inat the Democratic headquarters.","All the President's Men"
"63",447894,449887,"- There's been an arrest.- Local Democratic headquarters.","All the President's Men"
"64",449980,451060,"They were bugging the place.","All the President's Men"
"65",451149,453603,"Check the time of arraignment,and get over there.","All the President's Men"
"66",453692,456480,"And, Woodward,it was National Democratic headquarters.","All the President's Men"
"67",456571,457899,"All right.","All the President's Men"
"68",459324,461316,"- Anything else?- Anything else?","All the President's Men"
"69",461658,464659,"Break-in, car crash.That's not bad for a Saturday.","All the President's Men"
"70",464745,466536,"Okay, let me know what happens.Hello, Carl.","All the President's Men"
"71",466622,467903,"Got anything on that couple?","All the President's Men"
"72",467999,470370,"Harry, I know somebody on the staffover at Watergate.","All the President's Men"
"73",470459,473829,"Bernstein, why don't you finish one storybefore trying to get on another?","All the President's Men"
"74",473922,475331,"I finished it.","All the President's Men"
"75",475673,477629,"- The Virginia Legislature story?- I finished it.","All the President's Men"
"76",477716,479377,"All right, give it to me.","All the President's Men"
"77",479802,482339,"I'm just polishing it. I'll work the phones.","All the President's Men"
"78",482430,484802,"Polishing it? Yeah, you work the phones.","All the President's Men"
"79",490687,494223,"Excuse me, I'm sorry, who are the lawyersfor the five men arrested at Watergate?","All the President's Men"
"80",494317,495396,"Do you know?","All the President's Men"
"81",495485,497891,"- Well, these two were assigned to it.- I'm sorry?","All the President's Men"
"82",497987,500312,"These two were appointed to the case.","All the President's Men"
"83",500531,503567,"But only now it turns outthe burglars have their own counsel.","All the President's Men"
"84",503660,505865,"- The burglars have their own counsel?- That's right.","All the President's Men"
"85",505954,507992,"That's kind of unusual, wouldn't you say?","All the President's Men"
"86",508081,509740,"For burglars it's unusual.","All the President's Men"
"87",509832,513533,"- You know the name of the counsel?- I don't know. Some country-club type.","All the President's Men"
"88",514254,516625,"You are chargedwith soliciting prostitution...","All the President's Men"
"89",516713,518672,"at 14th and east street.","All the President's Men"
"90",519299,522716,"And you get as your solicitor,one Perry Woodstock.","All the President's Men"
"91",523178,527224,"Your Honor, Mrs. Hawkin has in the pastbeen a reliable, hardworking parent.","All the President's Men"
"92",527307,531601,"Parents are sworn over.I think $300 would be acceptable...","All the President's Men"
"93",531687,533894,"Excuse me, what is your name?","All the President's Men"
"94",535066,537770,"I'm Bob Woodwardof the Washington Post.","All the President's Men"
"95",538945,540653,"- Markham.- Markham.","All the President's Men"
"96",540864,544563,"Mr. Markham, are you here in connectionwith the Watergate burglary?","All the President's Men"
"97",545409,546903,"I'm not here.","All the President's Men"
"98",550206,551285,"Okay.","All the President's Men"
"99",553751,555875,"Well, clearly, I am here...","All the President's Men"
"100",556296,559462,"but only as an individual,not as the attorney of record.","All the President's Men"
"101",559591,560753,"Who is?","All the President's Men"
"102",561551,562926,"Mr. Starkey.","All the President's Men"
"103",564346,566504,"- Do you have any...- Whatever you want...","All the President's Men"
"104",566597,570014,"you'll have to get it from him.I have nothing more to say.","All the President's Men"
"105",580028,581855,"Starkey. S-T...","All the President's Men"
"106",586534,588158,"Mr. Starkey was very helpful.","All the President's Men"
"107",588245,591614,"Four Cuban Americansand another man, James W. McCord.","All the President's Men"
"108",592456,595540,"Look, I told you inside,I have nothing more to say.","All the President's Men"
"109",595626,597287,"I understand that.","All the President's Men"
"110",597962,600832,"What I don't understand ishow you got here.","All the President's Men"
"111",601508,604628,"I assure you there's nothingvery mysterious involved.","All the President's Men"
"112",604802,607590,"Well, a little while ago, I was talkingto a couple of the lawyers...","All the President's Men"
"113",607681,609471,"assigned to represent the burglars.","All the President's Men"
"114",609557,610636,"So?","All the President's Men"
"115",610725,613298,"They never would have been assignedto represent the burglars...","All the President's Men"
"116",613394,616312,"had anyone known the burglarshad arranged for their own counsel.","All the President's Men"
"117",616398,618971,"Only, the burglars couldn't have arrangedfor their own counsel...","All the President's Men"
"118",619067,621475,"since they never even made a phone call.","All the President's Men"
"119",621903,624940,"So, if no one asked you to be here,why are you here?","All the President's Men"
"120",625740,627732,"I don't want youto take this personally, Mr...","All the President's Men"
"121",627826,629320,"- Woodward.- Woodward.","All the President's Men"
"122",629702,631659,"It'd be a mistake to do that.","All the President's Men"
"123",632413,634537,"I just don't have anything to say.","All the President's Men"
"124",646010,649379,"Did one of the other meninvolved in the break-in call you?","All the President's Men"
"125",650807,653892,"What reason do you have to assumethat there were other people involved?","All the President's Men"
"126",653976,656931,"Well, one of your clientswas arrested with a walkie-talkie.","All the President's Men"
"127",657022,658682,"They're not my clients.","All the President's Men"
"128",660107,661934,"Now, I don't wantto talk about this anymore.","All the President's Men"
"129",662027,664351,"You're a lawyer and you're here.","All the President's Men"
"130",665947,669779,"One of the defendants, Mr. Barker,and I met at a social occasion once.","All the President's Men"
"131",669868,673034,"- Where?- I have nothing else to say.","All the President's Men"
"132",673120,674201,"A Miami social occasion?","All the President's Men"
"133",674288,676911,"Mr. Starkey saysthe Cubans were from Miami.","All the President's Men"
"134",677793,679701,"L-62, James McCord.","All the President's Men"
"135",679794,681586,"L-63, Bernard Barker.","All the President's Men"
"136",681672,684423,"L-64, Virgil Gonzales.","All the President's Men"
"137",684508,686666,"L-65, Eugenio Martinez.","All the President's Men"
"138",686802,689340,"L-66, Frank Sturgis.","All the President's Men"
"139",689804,692047,"Please step forward, Attorney Starkey.","All the President's Men"
"140",692140,694133,"All charged with Burglary 2.","All the President's Men"
"141",696727,699812,"- Mr. Starkey, will you represent all five?- Yes, Your Honor.","All the President's Men"
"142",699898,703101,"And are all five gentlemen chargedwith burglary, second degree?","All the President's Men"
"143",703192,704272,"Yes, Your Honor.","All the President's Men"
"144",704360,706982,"Your names, please,and state your professions.","All the President's Men"
"145",707239,710240,"Bernard Barker, anti-communist.","All the President's Men"
"146",711033,714783,"Anti-communist?That, sir, is not your average profession.","All the President's Men"
"147",717540,720542,"James McCord, security consultant.","All the President's Men"
"148",720668,721831,"Where?","All the President's Men"
"149",721919,724874,"Government. Recently retired.","All the President's Men"
"150",725341,729089,"- Where in the government?- Central Intelligence Agency.","All the President's Men"
"151",729552,730716,"Where?","All the President's Men"
"152",731054,732253,"The CIA.","All the President's Men"
"153",733097,736015,"Sturgis, Frank A., salvage operator.","All the President's Men"
"154",736601,737929,"Holy shit!","All the President's Men"
"155",739187,741893,"Eugenio Martinez, known as Gene Valdez.","All the President's Men"
"156",741981,744270,"James W. McCord, alias Edward Martin.","All the President's Men"
"157",744360,746232,"Frank Sturgis, alias Frank Fiorini.","All the President's Men"
"158",746320,748193,"All five of them had at least one alias.","All the President's Men"
"159",748279,751317,"Is there any proof they were trying to bugthe National Democratic Chairman?","All the President's Men"
"160",751408,753152,"It's obviousthey were trying to bug O'Brien.","All the President's Men"
"161",753244,755235,"They wouldn't go to all that troubleto bug secretaries.","All the President's Men"
"162",755328,756609,"- There's no proof.- Wait a minute.","All the President's Men"
"163",756705,757950,"I called a lawyer in Miami I know.","All the President's Men"
"164",758039,760709,"He said four of the guyswho were arrested were from Miami...","All the President's Men"
"165",760793,763164,"Gonzales, Martinez, Sturgis, and Barker.","All the President's Men"
"166",763254,767001,"Yeah, Barker. And all four of themwere involved in CIA activities...","All the President's Men"
"167",767091,768668,"- No, they weren't.- Yeah.","All the President's Men"
"168",768759,771961,"No, only one of them was admitted CIA,and the CIA won't confirm that.","All the President's Men"
"169",772053,773962,"In fact, they deny even knowing McCord.","All the President's Men"
"170",774056,777306,"Yeah, but I just think it's obvious thatwith all that money and equipment...","All the President's Men"
"171",777393,781057,"they weren't out to work by themselves.Somebody hired them.","All the President's Men"
"172",781147,782937,"I'm not interestedin what you think is obvious.","All the President's Men"
"173",783023,784138,"I'm interested in what you know.","All the President's Men"
"174",784232,786985,"What we don't know is why they wantedto bug Democratic Headquarters.","All the President's Men"
"175",787068,788610,"Whether they were workingfor themselves...","All the President's Men"
"176",788696,790355,"or other individuals or other organizations.","All the President's Men"
"177",790447,792404,"Could be a story,or could just be crazy Cubans.","All the President's Men"
"178",792490,794614,"Bachinski, when you get there tonight,take it easy.","All the President's Men"
"179",794701,796326,"The police are nervous.","All the President's Men"
"180",804961,806076,"Yeah?","All the President's Men"
"181",806172,807879,"Bachinski, calling fromPolice Headquarters.","All the President's Men"
"182",807965,810373,"A friend just showed mewhat they found in the hotel rooms...","All the President's Men"
"183",810467,811547,"of the Watergate burglars.","All the President's Men"
"184",811634,813674,"There's something hereyou might want to look into.","All the President's Men"
"185",813763,816134,"Hang on. Okay, go ahead.","All the President's Men"
"186",816222,819307,"There's a strange entryin two of the burglars'address books.","All the President's Men"
"187",819393,822808,"- Yeah.- One says, ""H.H. At W.H.""","All the President's Men"
"188",823522,826475,"The other says, ""Howard Hunt, W. House.""","All the President's Men"
"189",829903,831860,"You can dial the White House direct,can't you?","All the President's Men"
"190",831947,833062,"Yeah.","All the President's Men"
"191",833157,837071,"- What's the number?- 456-1414.","All the President's Men"
"192",847922,850376,"- White House.- Howard Hunt, please.","All the President's Men"
"193",850924,853130,"Mr. Hunt isn't here just now.","All the President's Men"
