"id","startTime","endTime","text","title"
"1",136760,138920,"It's just...","Alone in the Dark"
"2",138724,141044,"the chiIdren are  my responsibiIity.","Alone in the Dark"
"3",141400,143240,"We've been through this before.","Alone in the Dark"
"4",143280,146120,"These chiIdren have been  speciaIIy seIected.","Alone in the Dark"
"5",146200,149480,"If my work is a success,  thousands of Iives can be saved.","Alone in the Dark"
"6",149560,151720,"It's not about a few chiIdren.","Alone in the Dark"
"7",151800,154800,"It's about the future  of our species.","Alone in the Dark"
"8",159240,163320,"Anyway, it's too Iate  for doubt now.","Alone in the Dark"
"9",163400,164920,"The process  has aIready started.","Alone in the Dark"
"10",165000,168040,"Just do what we agreed.","Alone in the Dark"
"11",168120,170360,"At 10 P.M.,  you caII the poIice...","Alone in the Dark"
"12",170440,173320,"and you teII them  the chiIdren have disappeared.","Alone in the Dark"
"13",173400,175640,"Sir, the subjects  have been transported.","Alone in the Dark"
"14",175720,176920,"Good.","Alone in the Dark"
"15",177000,178520,"But, sir, there's a probIem.","Alone in the Dark"
"16",178600,180480,"Head count had twenty of them  before transport.","Alone in the Dark"
"17",180520,182520,"Now we've onIy got nineteen.  Someone's missing.","Alone in the Dark"
"18",182600,184320,"Shit!","Alone in the Dark"
"19",215880,217720,"Good evening, Sheriff.","Alone in the Dark"
"20",217800,219640,"What's going on, Adams?","Alone in the Dark"
"21",219720,221480,"There's twenty kids  Iive at this orphanage.","Alone in the Dark"
"22",221560,223240,"AII twenty of them  have gone missing.","Alone in the Dark"
"23",223280,225680,"-And then?  -After the power went out...","Alone in the Dark"
"24",225760,227640,"I went to check  on the chiIdren.","Alone in the Dark"
"25",227720,230200,"Their beds were empty,  every one of them.","Alone in the Dark"
"26",230280,232600,"They just...","Alone in the Dark"
"27",232680,234480,"disappeared.","Alone in the Dark"
"28",247680,249200,"Did you have a nightmare?","Alone in the Dark"
"29",249280,253120,"My mommy says that there's  nothing to be afraid of...","Alone in the Dark"
"30",253160,254920,"in the dark.","Alone in the Dark"
"31",261440,263480,"Your mother's wrong, kid.","Alone in the Dark"
