"id","startTime","endTime","text","title"
"1",243910,247996,"Derek.","American History X"
"2",248581,249623,"Derek.","American History X"
"3",249832,253001,"Fucking pervert, Dan.- Jesus, what the fuck are you thinking?","American History X"
"4",253169,256004,"There's a black guy outside.He's breaking into your car.","American History X"
"5",257882,259800,"How long's he been there?- I don't know.","American History X"
"6",259968,262344,"What's going on?- Not right now, honey. How many?","American History X"
"7",263763,266181,"- Danny, how many?- One, I think.","American History X"
"8",266349,268267,"Is he strapped?","American History X"
"9",268434,271436,"- Does he have a fucking gun, Danny?- Man, I don't fucking know.","American History X"
"10",273273,275524,"Wait a second.What the fuck is going on, Derek?","American History X"
"11",275692,277442,"- Stay right here and be quiet.- Jesus.","American History X"
"12",277610,280362,"- Stay right here.Wait a second, Derek. Wait.","American History X"
"13",280530,281989,"Derek.","American History X"
"14",284200,285742,"Shh, shh, shh.","American History X"
"15",285910,287411,"They're right here.","American History X"
"16",388471,390639,"I don't have a personal problemwith him, okay?","American History X"
"17",391349,393350,"Don't insult my intelligence, Murray.","American History X"
"18",393518,396311,"You hate this childand I think I know why.","American History X"
"19",403986,406029,"I went out with his mother a few times.","American History X"
"20",406197,408323,"That was three years ago. It was nothing.","American History X"
"21",408491,409825,"Nothing. Really? Hmm.","American History X"
"22",409992,413120,"That paper, Bob, it's a travesty.","American History X"
"23",413287,416164,"Arguing for Hitler as a civil-rights hero?","American History X"
"24",416332,417749,"You've gotta draw the line.","American History X"
"25",417917,420001,"Murray, you actually did this to yourself.","American History X"
"26",420169,422629,"You told them they coulddo a report on any book...","American History X"
"27",422797,426007,"...that related to the strugglefor civil rights. In plain English.","American History X"
"28",427760,431847,"I am not disputing the fact that the childis confused and harbors some sick ideas...","American History X"
"29",432014,434641,"...but I am not readyto give up on him yet.","American History X"
"30",435435,437436,"His brother probably put him up to it.","American History X"
"31",438521,441606,"I can guarantee you 100 percenthis brother did not put him up to this.","American History X"
"32",441774,444109,"I find that hard to believe. Whatever.","American History X"
"33",444277,447362,"I know he was a good kidand it's a shame what he's been through...","American History X"
"34",447530,449781,"...but that is dangerous.- Dangerous in what way?","American History X"
"35",449949,452617,"Bob, that goes too far.","American History X"
"36",452785,456413,"This racist propaganda,this Mein Kampf psychobabble?","American History X"
"37",456581,459499,"He learned this nonsense, Murray,and he can unlearn it too.","American History X"
"38",459667,462335,"I will not give up on this child yet.","American History X"
"39",480438,483023,"- I knew it was you.Danny, get in here.","American History X"
"40",483191,487235,"I said, get in here. Get in here!","American History X"
"41",487403,489029,"Five, four, three...","American History X"
"42",489280,491990,"...two... Shut the door.","American History X"
"43",494869,496703,"What's it gonna be, Danny?","American History X"
"44",497872,499164,"What's what gonna be?","American History X"
"45",499332,501750,"This petty crap you're pulling.","American History X"
"46",503711,504753,"I don't know.","American History X"
"47",504921,506463,"Have a seat.","American History X"
"48",512887,514554,"How you doing?","American History X"
"49",516432,518183,"Fine.","American History X"
"50",518935,520602,"Things at home okay?","American History X"
"51",521646,522979,"Yeah.","American History X"
"52",526400,528276,"Derek got out this morning, did he not?","American History X"
"53",530905,532280,"Yeah, he did.","American History X"
"54",532782,535784,"He was one of my students.You knew that, right?","American History X"
"55",536202,539621,"Honors English.He was a brilliant student.","American History X"
"56",540289,543959,"Like you. But he hung outwith simple-minded fools.","American History X"
"57",544126,546294,"- Heh-heh-heh.- Also like you.","American History X"
"58",546462,548922,"Look, did you bring me in hereto talk about Derek?","American History X"
"59",549090,551299,"Because what happened to himhas nothing to do with me.","American History X"
"60",551801,554970,"Everything you do right nowhas something to do with Derek.","American History X"
"61",555137,557722,"Look, I followed directionsand I wrote an A paper.","American History X"
"62",559100,560976,"""Mein Kampf""?","American History X"
"63",562311,564479,"- I should expel you.- Go ahead.","American History X"
"64",564647,568650,"- You don't think I could handle it?- No, I think the street would kill you.","American History X"
"65",568818,572487,"Your rhetoric and your propagandaaren't gonna save you out there.","American History X"
"66",573656,575907,"So here's the drill.","American History X"
"67",576659,578618,"I'm your history teacher from now on.","American History X"
"68",579996,582330,"We will discuss current events.","American History X"
"69",582498,584916,"We will call this class...","American History X"
"70",586127,588837,"...American History X.","American History X"
"71",589714,591840,"We meet once a day.","American History X"
"72",592049,596678,"All right, your first assignment is toprepare for me a new paper due tomorrow.","American History X"
"73",596846,600473,"Oh, come on. It took me a weekto read Mein Kampf. That isn't fair.","American History X"
"74",610985,613445,"- What do you want me to do it on?- Your brother.","American History X"
"75",614614,616865,"Oh, God, man.Please tell me you're joking.","American History X"
"76",617033,619200,"No, no, no. I'm not kidding.","American History X"
"77",620036,624706,"I want you to analyze and interpret all theevents surrounding Derek's incarceration.","American History X"
"78",625249,628501,"How these events helped shapeyour present perspective...","American History X"
"79",628669,632088,"...concerning lifein contemporary America.","American History X"
"80",632256,634007,"The impact on your life.","American History X"
"81",634634,636259,"Your family's.","American History X"
"82",638471,640930,"Whatever you wanna say, Danny...","American History X"
"83",644101,646394,"...I'll be the only one reading it.","American History X"
"84",647938,650065,"But if it's not on my desk...","American History X"
"85",650232,652025,"...tomorrow morning...","American History X"
"86",652777,656071,"...you are a ghost at Venice Beach High.","American History X"
"87",657239,659240,"Are you clear?","American History X"
"88",660117,662202,"Yeah, I'm clear.","American History X"
"89",667375,669250,"Telling teacher I'm fucking cheating?","American History X"
"90",669418,671544,"Is that what's happening?","American History X"
"91",671712,674839,"- I never cheated in my life.- Beat his motherfucking ass, Henry.","American History X"
"92",675007,677759,"- I didn't say anything.- Why you tripping on me?","American History X"
"93",680262,682764,"Why you all kicking him like that?","American History X"
"94",682932,684599,"What's up, man?","American History X"
"95",685559,687936,"What you scared for?I ain't gonna do nothing.","American History X"
"96",695528,696986,"What's up?","American History X"
"97",697321,701282,"Want some too, bitch?Punk. What's wrong with you?","American History X"
"98",701450,703243,"You wanna die?","American History X"
"99",704370,706538,"Punk-ass white boy.","American History X"
"100",713295,716297,"You lucky I gotta go to class.He ain't gonna do nothing.","American History X"
"101",716465,719342,"He don't wanna see me and the heater.","American History X"
"102",721095,724139,"Lucky the bell rung.I would have clocked that white boy.","American History X"
"103",724306,725765,"Punk-ass motherfucker.","American History X"
"104",725933,726975,"We'd smoke that fool.","American History X"
"105",728436,730478,"You gotta fucking stand up for yourself.","American History X"
"106",746287,748204,"We got a whole file on skinheads.","American History X"
"107",748372,751332,"These all part of the same gang?Venice Beach Gang.","American History X"
"108",751500,753918,"Where's my buddy?He's doing a stretch at YA.","American History X"
"109",754086,756421,"This guy C.C.?Mm-hm.","American History X"
"110",756589,759174,"That him?Yeah, that's him right there.","American History X"
"111",761177,764345,"This morning we have a guest coming in,and there he is.","American History X"
