"id","startTime","endTime","text","title"
"1",9000,15000,"Subtitles downloaded from podnapisi.NET","American Pie 2"
"2",33825,36577,"- Sure you don't wanna go to my room?- No. Why?","American Pie 2"
"3",36578,39330,"My roommate's already moved out.We'll be all alone.","American Pie 2"
"4",39331,40998,"- All right.- The door is locked.","American Pie 2"
"5",40999,42959,"- Okay, Jim, relax. Relax.- Okay, yeah, sure.","American Pie 2"
"6",42960,46170,"No strings attached, okay?It's just friendly goodbye sex.","American Pie 2"
"7",46171,48774,"Yeah, right. Right, right, right, right.","American Pie 2"
"8",49758,52385,"But you see, it's just that...","American Pie 2"
"9",52386,55388,"we've never even had friendly hello sex.","American Pie 2"
"10",55389,59117,"- So do you not wanna do this?- Oh, no, no, no.","American Pie 2"
"11",59142,62788,"Oh, I do. Yeah. No, I definitely do.","American Pie 2"
"12",63480,65439,"It's just that...","American Pie 2"
"13",65440,67859,"you see, this is actually my first time.","American Pie 2"
"14",67860,71028,"Well, not my first.It's my first time...","American Pie 2"
"15",71029,73674,"since my first time.","American Pie 2"
"16",74658,76909,"So, technically, that's my second time.","American Pie 2"
"17",76910,80162,"And I don't... I don't wanna suck at it.","American Pie 2"
"18",80163,82683,"So if I'm not up to par,performance-wise...","American Pie 2"
"19",83208,86419,"Jim, this isn't exactly a turn-on.","American Pie 2"
"20",86420,89231,"I mean, girls like a guywith confidence.","American Pie 2"
"21",90549,91924,"Hey, I'm confident.","American Pie 2"
"22",91925,96196,"Oh, I am... I'm absolutely,totally confident.","American Pie 2"
"23",97556,99449,"- Let's get naked.- Okay.","American Pie 2"
"24",102352,106081,"Seems like just yesterday my dad pickedme up after my first year at college.","American Pie 2"
"25",107149,109275,"We popped a couple of beers...","American Pie 2"
"26",109276,111694,"and he said, ""Now, you're a man.""","American Pie 2"
"27",111695,114113,"And today I get to saythe same thing to my son.","American Pie 2"
"28",114114,116282,"Honey, your speeches embarrass him.","American Pie 2"
"29",116283,119535,"So, try and do what the kids say,and just be cool.","American Pie 2"
"30",119536,123247,"I think I bring new meaningto the word ""cool,"" honey.","American Pie 2"
"31",123248,125017,"That's his dormitory up ahead.","American Pie 2"
"32",140766,142451,"Turn over.","American Pie 2"
"33",149942,152360,"- Can't bring alcohol in the dorms.- Good.","American Pie 2"
"34",152361,156572,"Thank you, Matt. I'm just hereto surprise my son Jim.","American Pie 2"
"35",156573,158783,"- Now pin my leg up.- What?","American Pie 2"
"36",158784,161386,"Pin my leg up, like this.","American Pie 2"
"37",164665,167225,"Maybe you can help me out, you know.","American Pie 2"
"38",171088,172755,"Is that the one? No.","American Pie 2"
"39",172756,173774,"There!","American Pie 2"
"40",177803,179237,"Now I remember.","American Pie 2"
"41",181348,183766,"I didn't do this for you.","American Pie 2"
"42",183767,185452,"Thanks, dude.","American Pie 2"
"43",186895,189623,"- Where's my big guy?- Oh, my God!","American Pie 2"
"44",194319,196988,"- Jesus!- Jim, we got here a little early.","American Pie 2"
"45",196989,199240,"- Dad, get out!- I'll wait in the car.","American Pie 2"
"46",199241,200842,"Go, Dad! Oh, my...","American Pie 2"
"47",202411,203971,"- Jeez!- Was that your dad?","American Pie 2"
"48",204162,206455,"- I'm so sorry.- For your own edification...","American Pie 2"
"49",206456,207915,"son, I'm not embarrassed.","American Pie 2"
"50",207916,209041,"I am!","American Pie 2"
"51",209042,213171,"It's a perfectly normal thingfor two human beings to do.","American Pie 2"
"52",213172,215339,"This is human nature...human nature at its best.","American Pie 2"
"53",215340,219635,"Son, everybody does it. Your motherand I... Well, not so much any more.","American Pie 2"
"54",219636,222096,"Got your favourite.Oh, my God! They're fucking!","American Pie 2"
"55",222097,225391,"Honey, honey, listen.I'm gonna take her...","American Pie 2"
"56",225392,228186,"- Please just go!- Actually, if you wouldn't mind.","American Pie 2"
"57",228187,230706,"Honey... I'll take her to the car.","American Pie 2"
"58",232691,234483,"- Hi, Mama.- What?","American Pie 2"
"59",234484,235818,"Natalie!","American Pie 2"
"60",235819,237320,"I'm Jim's dad.","American Pie 2"
"61",237321,239006,"You must be the parentsof this young lady.","American Pie 2"
"62",239406,242342,"I'm sorry I didn't get her name,but hopefully my son did...","American Pie 2"
"63",242459,244327,"because I have not beenhere the whole time.","American Pie 2"
"64",244328,246621,"Natalie, get dressed!","American Pie 2"
"65",246622,249373,"- Beer?- Avert your eyes! Turn around!","American Pie 2"
"66",249374,251560,"- Thanks, Jim. Don't believe in locks?- Oh, my God!","American Pie 2"
"67",271897,273272,"Hey, fuckface.","American Pie 2"
"68",273273,277252,"- Mornin', dude.- Come on, Ozzy. It's show time.","American Pie 2"
"69",280072,282615,"Before you go to Ann Arborto pick up Heather...","American Pie 2"
"70",282616,284676,"I wanna show you what you're missing.","American Pie 2"
"71",286328,289121,"See what they are today, dude.See what they are today.","American Pie 2"
"72",289122,291475,"Okay, here we go. Moment of truth.","American Pie 2"
"73",295504,298256,"- There's little hearts on her panties!- Super.","American Pie 2"
"74",298257,301175,"There's little hearts on her panties!Come on, look, you pussy. Look.","American Pie 2"
"75",301176,303678,"What the fuck, man? Come on!","American Pie 2"
"76",303679,305263,"I'm disappointed in you.","American Pie 2"
"77",305264,308266,"Here it is, the end of our freshman yearand you screwed one girl.","American Pie 2"
"78",308267,310434,"One.","American Pie 2"
"79",310435,312436,"You're a disgrace to men everywhere.","American Pie 2"
"80",312437,315523,"Look at the Stifmeister.I got laid 23 times this year...","American Pie 2"
"81",315524,318985,"and I'm not counting the hummerI got in the library stacks, baby.","American Pie 2"
"82",318986,321779,"All right, here's a new ideafor you, Stifler, okay?","American Pie 2"
"83",321780,324031,"You find a girl.You two become best friends.","American Pie 2"
"84",324032,326993,"You don't bother counting how manytimes you have sex with each other.","American Pie 2"
"85",326994,330705,"- You laugh at the people who do count.- Here's a new idea for you.","American Pie 2"
"86",330706,333207,"I'll get you a spoonso you can eat my ass.","American Pie 2"
"87",333208,337229,"Okay, people, notebooks closed.Let's get this exam rolling.","American Pie 2"
"88",338422,341465,"Oh, shit! Do we got an exam today?","American Pie 2"
"89",341466,344152,"- Are you kiddin' me?- Bullshit.","American Pie 2"
"90",348473,349682,"Yes!","American Pie 2"
"91",349683,352476,"I'm never even gonna thinkabout political science again.","American Pie 2"
"92",352477,354562,"Hey. How'd you do?","American Pie 2"
"93",354563,356772,"- Fine.- Yeah?","American Pie 2"
"94",356773,360568,"Can't believe I'm going abroad for summer.Last thing I need is more classes.","American Pie 2"
"95",360569,363588,"- You're gonna have a great time.- Hello, summer!","American Pie 2"
"96",364740,367592,"- Did that exam blow or what?- Yeah, it sucked.","American Pie 2"
"97",368577,370536,"- Kev, what's up, man? How are you?- Good.","American Pie 2"
"98",370537,372788,"Put your party hat on.","American Pie 2"
"99",372789,375350,"- We got 12 weeks of immortality ahead.- Yes, sir!","American Pie 2"
"100",384134,385777,"Weird.","American Pie 2"
"101",402194,405130,"The one that got away, huh, son?","American Pie 2"
"102",412204,414288,"Well, evidently you two...","American Pie 2"
"103",414289,416975,"made quite the handsome coupleon the Internet.","American Pie 2"
"104",419878,421462,"I didn't see it.","American Pie 2"
"105",421463,425049,"It was brought up at a PTA meeting.","American Pie 2"
"106",425050,428010,"Anyway, my point is...","American Pie 2"
"107",428011,430930,"these little sexual debaclesshould not get you down...","American Pie 2"
"108",430931,432682,"because you know what?","American Pie 2"
"109",432683,434517,"It happens to the best of us.","American Pie 2"
"110",434518,436853,"In fact...","American Pie 2"
"111",436854,439897,"the first time your mother and I...","American Pie 2"
"112",439898,441649,"got together...","American Pie 2"
"113",441650,442984,"I used a condom.","American Pie 2"
"114",442985,447005,"Well, she referred to itas ""shrink wrapping.""","American Pie 2"
"115",449408,451284,"But I got over it.","American Pie 2"
"116",451285,453578,"Anyway, keep your chin up.You keep plugging...","American Pie 2"
"117",453579,456205,"and good things will happen.","American Pie 2"
"118",456206,458850,"Good to have you home, son.","American Pie 2"
"119",462629,465315,"It's good to be home, Dad.","American Pie 2"
"120",465883,468217,"It's gonna be nice to hit Stifler'stonight after exams.","American Pie 2"
"121",468218,471554,"- Did you get through 'em?- There's the mystery man!","American Pie 2"
"122",471555,473323,"Finch, how are you?","American Pie 2"
"123",480022,481522,"It's Japanese.","American Pie 2"
"124",481523,484859,"It means ""hello."" Hello.","American Pie 2"
"125",484860,489488,"- Finch, what happened to Latin?- Met a Japanese girl at the art museum.","American Pie 2"
"126",489489,491616,"Changed majors.","American Pie 2"
"127",491617,493868,"Wanted to understandthe things she was moaning.","American Pie 2"
"128",493869,496787,"- You got laid in an art museum?- The Met.","American Pie 2"
"129",496788,500333,"- And the Guggenheim with Francesca.- The Guggenheim?","American Pie 2"
"130",500334,503461,"And then my social-psych professorin Baskin-Robbins.","American Pie 2"
"131",503462,505046,"All right, enough.","American Pie 2"
"132",505047,509050,"But I'll tell you,none of these women even compare to...","American Pie 2"
"133",509051,510652,"Stifler's mom.","American Pie 2"
"134",511970,514239,"Stifler's mom is a goddess.","American Pie 2"
"135",519102,522104,"How about some more of Stifmeister'scollegiate concoction?","American Pie 2"
"136",522105,525959,"This thing is like half alcohol.You're just trying to get me drunk.","American Pie 2"
"137",526818,529445,"Mary, would I do that?","American Pie 2"
"138",529446,534075,"- My name's Christy.- Christy, right. Beautiful name.","American Pie 2"
"139",534076,535618,"Like it matters.","American Pie 2"
"140",535619,537662,"Hey, how you doing?","American Pie 2"
"141",537663,539914,"Howdy-howdy, fuckin' partners!","American Pie 2"
"142",539915,542476,"Johnny C., how's it going?Good to see you.","American Pie 2"
"143",543460,545670,"Looks like someonegained the freshman 15.","American Pie 2"
"144",545671,547755,"- This'll help.- You're an asshole.","American Pie 2"
"145",547756,549090,"Missed you too.","American Pie 2"
"146",549091,553070,"All right, everybodyhaving a good time? Ladies?","American Pie 2"
"147",554096,556514,"Fellas! How's it going?","American Pie 2"
"148",556515,559141,"The keg's back there as always. Enjoy.","American Pie 2"
