"id","startTime","endTime","text","title"
"1",76944,78924,"It's a fucking hot box.","American Sniper"
"2",79680,83025,"Man, the fucking dirt heretastes like dog shit.","American Sniper"
"3",83182,85025,"Oh, well, you'd know, wouldn't you?","American Sniper"
"4",85185,87186,"Shut the fuck up.","American Sniper"
"5",93460,94700,"Breacher up!","American Sniper"
"6",133400,135073,"I got a military-age male...","American Sniper"
"7",135235,138341,"...that's on a cell phone,watching the convoy. Over.","American Sniper"
"8",138504,140575,"If he's reporting troop movement...","American Sniper"
"9",140740,143085,"you have a green light. Your call.Over.","American Sniper"
"10",143242,147191,"Maybe he's just calling his old lady. Heh.","American Sniper"
"11",153486,154864,"He stepped off.","American Sniper"
"12",163963,168936,"Hold on, I got a woman and a kid 200 yardsout, moving towards the convoy.","American Sniper"
"13",173873,176286,"Her arms aren't swinging.She's carrying something.","American Sniper"
"14",186118,189293,"She's got a grenade. She got a RKG Russiangrenade she just handed to the kid.","American Sniper"
"15",189955,191127,"A woman and a kid?","American Sniper"
"16",192359,193804,"You got eyes on this? Can you confirm?","American Sniper"
"17",194227,197230,"Negative. You know the ROEYour call.","American Sniper"
"18",197396,200639,"They fry you if you're wrong.They send your ass to Leavenworth.","American Sniper"
"19",218317,220525,"- You got him.-Heh.","American Sniper"
"20",236436,237437,"Now get back here.","American Sniper"
"21",240606,242848,"You don't ever leave your rifle in the dirt.","American Sniper"
"22",243075,244110,"Yes, sir.","American Sniper"
"23",248782,250522,"It was a hell of a shot, son.","American Sniper"
"24",251251,252558,"You got a gift.","American Sniper"
"25",254287,256596,"You're gonna make a fine hunter someday.","American Sniper"
"26",258290,259860,"Here in the Book of Acts...","American Sniper"
"27",260026,263199,"...several times,Paul stands in judgment...","American Sniper"
"28",264029,265475,"...for what he believes.","American Sniper"
"29",266565,268204,"At times, we all have to do that.","American Sniper"
"30",268367,270711,"I mean, we don't see with his eyes...","American Sniper"
"31",270870,273715,"...so we don't know the glory of his plan.","American Sniper"
"32",274574,278112,"Our lives unfold before us likepuzzling reflections in a mirror.","American Sniper"
"33",279946,283052,"- What are you doing?- Shh. Shh.","American Sniper"
"34",283783,286093,"But on the day we rise,we will see with clarity...","American Sniper"
"35",286252,288129,"...and understand the mystery of his ways.","American Sniper"
"36",288889,290231,"Let us pray.","American Sniper"
"37",291223,293567,"There are three types of people in this world.","American Sniper"
"38",294728,297470,"Sheep, wolves and sheepdogs.","American Sniper"
"39",298965,302639,"Now, some people prefer to believethat evil doesn't exist in the world.","American Sniper"
"40",303769,307684,"And if it ever darkened their doorstep, theywouldn't know how to protect themselves.","American Sniper"
"41",307841,308911,"Those are the sheep.","American Sniper"
"42",310410,312185,"And then you got predators.","American Sniper"
"43",312345,315086,"They use violence to prey on the weak.","American Sniper"
"44",315247,316658,"They're the wolves.","American Sniper"
"45",317149,318423,"Come on, Jeff, punch him.","American Sniper"
"46",318584,321656,"And then there are those whdve beenblessed with the gift of aggression...","American Sniper"
"47",322189,324829,"...and the overpowering needto protect the flock.","American Sniper"
"48",326759,328204,"These men are a raze breed""...","American Sniper"
