"id","startTime","endTime","text","title"
"1",5356,10356,"Subtitles downloaded from podnapisi.NET","Anger Management"
"2",57357,58847,"Hey, Timmy, get me a hot dog.","Anger Management"
"3",79079,82105,"Hey, Dave.I like your Dukes of Hazzard T-shirt.","Anger Management"
"4",82282,84648,"Well, thanks, Sara.I like your CHiPs T-shirt.","Anger Management"
"5",84818,87082,"- Thanks.- Fun party, huh?","Anger Management"
"6",87253,89813,"Yeah. Except for Arnie Shankmanbeing here.","Anger Management"
"7",89989,93152,"Wedgie! Wedgie! Wedgie!","Anger Management"
"8",93927,97021,"I feel bad for him with his sisterlosing her mind and all.","Anger Management"
"9",100333,101425,"Whatever.","Anger Management"
"10",102001,104765,"You know what we should do?Play Truth or Dare.","Anger Management"
"11",105004,107336,"- You want to?- Sure.","Anger Management"
"12",107507,110271,"Okay, I'll go first. Truth or dare?","Anger Management"
"13",110810,111799,"Truth.","Anger Management"
"14",112512,114275,"Have you ever kissed a girl before?","Anger Management"
"15",114447,116039,"- Well, I...- Family doesn't count.","Anger Management"
"16",117250,120185,"- Maybe I'll take dare.- Okay.","Anger Management"
"17",121020,122351,"I dare you to kiss me.","Anger Management"
"18",123423,124515,"Right here?","Anger Management"
"19",124691,128491,"Yeah. I want everyone to seethat your first kiss is with me.","Anger Management"
"20",154888,158187,"Got any mustard for that cocktail frank,butt-lick?","Anger Management"
"21",169903,172428,"- David Buznik.- I just landed in St. Louis.","Anger Management"
"22",172605,176132,"- I hope you wrote my speech.- I did, sir. I pulled an all nighter.","Anger Management"
"23",176409,179310,"I look forward to this, Mr. Head.Never been to St. Louis.","Anger Management"
"24",179546,182242,"Thank you for allowing meto come on this trip...","Anger Management"
"25",184551,186542,"Yeah. Yeah. Okay, that sounds great.","Anger Management"
"26",186719,189483,"If we finish our work,I'd love to go to a jazz club.","Anger Management"
"27",189656,190645,"Terrific.","Anger Management"
"28",190823,193917,"- He hung up on you again, didn't he?- Yes. Yes, he did.","Anger Management"
"29",194160,197755,"He's a jerk. You came up with the ideafor the Husky Cat clothing line.","Anger Management"
"30",197931,200729,"He didn't say thank you.He should give you a promotion.","Anger Management"
"31",200900,203926,"There's a creative executive positionthat just opened up, so...","Anger Management"
"32",204103,207266,"Bring that up on the trip.You gotta stick up for yourself.","Anger Management"
"33",207440,209567,"I know. I'll figure something out.","Anger Management"
"34",210243,212871,"I gotta go. Sorry.","Anger Management"
"35",213046,215947,"I'm gonna miss you.","Anger Management"
"36",217517,218779,"That guy's looking at us.","Anger Management"
"37",218952,221614,"You know I don't like it when peoplewatch me kiss.","Anger Management"
"38",221788,222914,"I'm sorry.","Anger Management"
"39",224190,225452,"Take care.","Anger Management"
"40",226526,228653,"Okay. Bye.","Anger Management"
"41",230463,231452,"Dave...","Anger Management"
"42",233366,235800,"- Have a good flight.- Okay.","Anger Management"
"43",244711,245803,"I'm sorry.","Anger Management"
"44",254053,255987,"I think you're in my seat.","Anger Management"
"45",256823,260486,"Come on, pal. I'm already settled inhere. Can't you sit somewhere else?","Anger Management"
"46",261327,263921,"You're supposed to sit in the seatthey assigned you.","Anger Management"
"47",264097,267066,"Nobody cares. Just sit in the seatI'm supposed to sit in.","Anger Management"
"48",269869,272861,"Excuse me. This seat's available.","Anger Management"
"49",276909,278433,"Okay. Thank you.","Anger Management"
"50",279712,281202,"You're very welcome.","Anger Management"
"51",284550,285812,"No air.","Anger Management"
"52",286886,288376,"That's too bad, huh?","Anger Management"
"53",300266,302063,"You're on my side of the armrest.","Anger Management"
"54",302235,304396,"We're not gonna have problems, are we?","Anger Management"
"55",305071,306060,"No.","Anger Management"
"56",338638,341106,"I'm wetting my Jockeys here.","Anger Management"
"57",348181,350172,"You gotta get a load of this, keed.","Anger Management"
"58",350350,352181,"I mean, you like comedies?","Anger Management"
"59",352352,356755,"I just haven't been sleeping a lotlately so I was trying to catch some...","Anger Management"
"60",363529,365588,"Look at this actress here.","Anger Management"
"61",366599,370433,"What is your positionon breast implants?","Anger Management"
"62",372305,373294,"This guy.","Anger Management"
"63",373473,375998,"I can just watch the movie with you.","Anger Management"
"64",377143,378132,"Excuse me.","Anger Management"
"65",378311,380506,"- Could I get a headset?- Certainly.","Anger Management"
"66",380847,381905,"Thank you.","Anger Management"
"67",386986,389386,"Probably make outwith my next boyfriend.","Anger Management"
"68",393092,394889,"Oh, my God, it was disgusting.","Anger Management"
"69",396095,397119,"Miss?","Anger Management"
"70",398064,399361,"I'll be right there, sir.","Anger Management"
"71",400700,402258,"Where's your headset?","Anger Management"
"72",402902,405803,"She's busy right now, but it's coming.","Anger Management"
"73",406439,410705,"For crying out loud. You're missingimportant plot points.","Anger Management"
"74",413579,415240,"Ma'am?","Anger Management"
"75",415515,417506,"Could you give me a second, sir?","Anger Management"
"76",428027,429221,"Excuse me.","Anger Management"
"77",429595,431756,"Could I maybe get that headset,please?","Anger Management"
"78",431931,435526,"- Do not raise your voice to me, sir.- I wasn't raising my voice.","Anger Management"
"79",435701,436759,"Just calm down.","Anger Management"
"80",436936,438801,"I am calm. I just want my headset.","Anger Management"
"81",438971,441599,"Our country is going througha difficult time now.","Anger Management"
"82",441774,443298,"If you won't cooperate...","Anger Management"
"83",443543,446535,"I don't know where a headsetties into patriotism.","Anger Management"
"84",447246,448736,"Is there a problem here, sir?","Anger Management"
"85",449816,450976,"I don't think so.","Anger Management"
"86",451150,454119,"Can you come to the back with meso we can have a talk?","Anger Management"
"87",454287,456380,"A talk about what? There's not aproblem.","Anger Management"
"88",456556,459184,"- The stewardess just keeps...- Flight attendant.","Anger Management"
"89",459492,461756,"The flight attendant keepsignoring me when...","Anger Management"
"90",461928,462952,"Calm down.","Anger Management"
"91",463129,465097,"I am calm.What is it with you people?","Anger Management"
"92",465665,466893,"""You people""?","Anger Management"
"93",467266,468665,"Now wait a minute.","Anger Management"
"94",468835,471429,"I don't mean you people.I mean you people.","Anger Management"
"95",471604,474437,"I will not tolerate any racistbehavior on the plane.","Anger Management"
"96",474607,476768,"This is a difficult timefor our country.","Anger Management"
"97",476943,479605,"I'm not a racist.I just want to watch the movie.","Anger Management"
"98",479779,483374,"I'm only going to say thisone more time, sir. Calm down.","Anger Management"
"99",483549,484607,"I'm calm!","Anger Management"
"100",492124,493591,"All rise.","Anger Management"
"101",496496,499761,"- What do you think?- Not guilty. It's a no-brainer.","Anger Management"
"102",499932,506428,"Mr. Buznik. In case 723, assault andbattery against a flight attendant...","Anger Management"
"103",507206,508332,"...I find you guilty.","Anger Management"
"104",510276,514007,"I'm ordering you to pay a fineof $3500.","Anger Management"
"105",514180,515340,"Thank God you're okay.","Anger Management"
"106",515515,518348,"In addition, to preventfurther acts of rage...","Anger Management"
"107",518518,523615,"...this court orders you to undergo 20hours of anger management therapy.","Anger Management"
"108",524891,526449,"Anger management?","Anger Management"
"109",538237,540637,"Oh, my goodness. Bobby Knight.","Anger Management"
"110",540973,543806,"- You're in this group?- Oh, yeah. This is my first day.","Anger Management"
"111",543976,547434,"- It's my first day also.- I hope this class cures me.","Anger Management"
"112",547613,549274,"Working on the anger problem?","Anger Management"
