"id","startTime","endTime","text","title"
"1",246179,247733,"Think you could hide from me, did you?","Annabelle: Creation"
"2",247812,250893,"Did you read what it said? It said,""Found you!"" And it means that I tickle...","Annabelle: Creation"
"3",250953,254187,"Samuel. Bee. That's enough.","Annabelle: Creation"
"4",258422,261345,"- You don't want to get overheated.- I'm not.","Annabelle: Creation"
"5",261425,265016,"You sure? Good.Because now it's my turn!","Annabelle: Creation"
"6",265096,266250,"Dad, help!","Annabelle: Creation"
"7",266329,269177,"You need help?Sure, I can help tickle you.","Annabelle: Creation"
"8",270432,273846,"I think the bottom of these feetmight be very ticklish.","Annabelle: Creation"
"9",286314,288360,"Time for bed, Bee.","Annabelle: Creation"
"10",291512,293365,"Thank you.","Annabelle: Creation"
"11",300394,303572,"- Love you, Mommy.- Love you more.","Annabelle: Creation"
"12",308569,310148,"Mommy?","Annabelle: Creation"
"13",316244,319290,"- Just for a little while.- Thanks.","Annabelle: Creation"
"14",348738,352230,"Mommy?Can we play dollies when we get home?","Annabelle: Creation"
"15",352310,355531,"Well, I think if you help mewith the washing up...","Annabelle: Creation"
"16",355612,358034,"I could play dollieswith you all afternoon.","Annabelle: Creation"
"17",358115,359456,"- Sam!- Yes!","Annabelle: Creation"
"18",359536,361060,"Sam!","Annabelle: Creation"
"19",361951,364206,"- Morning, Sam. Morning, Esther.- Morning.","Annabelle: Creation"
"20",364286,366307,"Hey, there, busy Bee.","Annabelle: Creation"
"21",366588,370011,"Sam, just wondering if you gotthat order of mine ready yet.","Annabelle: Creation"
"22",370091,374098,"I got customers coming into my storeevery day asking about your dolls.","Annabelle: Creation"
"23",374178,377685,"You can send your son overtomorrow, Vic. They're ready.","Annabelle: Creation"
"24",377766,381021,"Well, hallelujah. I guess prayersdo get answered, don't they?","Annabelle: Creation"
"25",381101,383656,"- They do.- All right, well, thank you so much.","Annabelle: Creation"
"26",383737,386817,"- Y'all have a good Sunday.- You have a good day, too.","Annabelle: Creation"
"27",389009,390593,"In you get.","Annabelle: Creation"
"28",393444,396345,"- Damn it!- Language.","Annabelle: Creation"
"29",401120,404411,"There's a car coming. Why don't I wave itdown and see if we can get some help?","Annabelle: Creation"
"30",404490,406701,"No, no, no, no. I got it.","Annabelle: Creation"
"31",414598,416380,"I'll get it!","Annabelle: Creation"
"32",420536,422081,"No!","Annabelle: Creation"
"33",467798,470471,"B-L-U-E.","Annabelle: Creation"
"34",470550,472798,"Okay, pick a number.","Annabelle: Creation"
"35",473887,475432,"Linda?","Annabelle: Creation"
"36",478457,479978,"Four.","Annabelle: Creation"
"37",480059,481569,"Okay.","Annabelle: Creation"
"38",482326,484774,"""You will soon make new friends.""","Annabelle: Creation"
"39",485928,487600,"Do mine now.","Annabelle: Creation"
"40",490536,492348,"What's wrong?","Annabelle: Creation"
"41",493471,498029,"I just wish you and me were going toa new home instead of a new orphanage.","Annabelle: Creation"
"42",498745,500755,"Sweet Sue does, too.","Annabelle: Creation"
"43",504581,506603,"It'd be nice to have a home.","Annabelle: Creation"
"44",506983,509507,"Yeah, but only if you're there.","Annabelle: Creation"
"45",509588,511637,"I don't wanna go anywhere you're not.","Annabelle: Creation"
