"id","startTime","endTime","text","title"
"1",53959,56375,"""So, even though he wanted to do a lot as President,","Annie"
"2",56472,59725,"""he died of pneumonia after only 32 days.","Annie"
"3",59808,62603,"""So, we can all learn from William Henry Harrison","Annie"
"4",62686,67024,"""to wear our coats and wash our hands,so we have better immune systems.","Annie"
"5",67108,68733,"""The end.""","Annie"
"6",74323,76200,"Good job, Annie.","Annie"
"7",76283,79411,"Okay, Annie B., your turn.","Annie"
"8",81414,85417,"You sure there's time?I don't wanna keep anyone from vacation.","Annie"
"9",85501,86626,"Just get up here.","Annie"
"10",88670,90713,"- Where's your essay?- Up here.","Annie"
"11",91341,93341,"And it's more of a performance piece.","Annie"
"12",94051,95093,"Here we go.","Annie"
"13",95177,97596,"My president is Franklin Delano Roosevelt.","Annie"
"14",97680,101808,"He was elected in 1932, when almost everyone was poor.","Annie"
"15",101893,105145,"So, pretty much just like now, but without the lnternet.","Annie"
"16",105896,109108,"Everyone except the front row, you be the poor people.","Annie"
"17",109234,112860,"You're hungry and mad.So, growl and stomp your feet.","Annie"
"18",119868,122037,"Front row, good news, you're the rich people.","Annie"
"19",122121,124331,"Laugh and clap like you're better than everybody.","Annie"
"20",130087,134299,"But FDR didn't like it that everyone was poor,so, he gave them all jobs.","Annie"
"21",135050,136467,"He called it the New Deal.","Annie"
"22",137219,139721,"Work hard, and you get rich.","Annie"
"23",139848,142265,"So, when I tap you, you're rich.","Annie"
"24",142349,144810,"He had people build roads and got paid.","Annie"
"25",145395,148354,"Cut down trees and got paid.","Annie"
"26",148438,151150,"Made it easy to buy a house, go to college.","Annie"
"27",151234,153151,"Soon, the whole country was happy.","Annie"
"28",153694,154944,"But don't worry, rich people.","Annie"
"29",155028,158073,"You're still better than everyonebecause you get even richer!","Annie"
"30",163913,167582,"Good job, Annie.Have a good vacation, everyone!","Annie"
"31",168668,170836,"- You gonna make it in time?- I always do.","Annie"
"32",170920,173713,"- We'll cover for you. Good luck.- Luck's for suckers.","Annie"
"33",191191,194735,"Tomorrow...To-To-Tomorrow","Annie"
"34",194818,196819,"To-Tomorrow","Annie"
"35",198198,204286,"It's the hard-knock life for us","Annie"
"36",206955,210959,"- Excuse me! Do you have any time left?- I have about 10 minutes.","Annie"
"37",211085,212668,"- I'll return it for you.- Really?","Annie"
"38",212753,213753,"Promise.","Annie"
"39",215465,216715,"Thanks!","Annie"
"40",236944,239278,"Stand clear of the closing doors, please.","Annie"
"41",245662,252626,"I think I'm gonna like it I'm sure I'm gonna like it","Annie"
"42",252710,256338,"I think I'm gonna like it here","Annie"
"43",257339,260634,"Ten, nine, eight, seven, six,","Annie"
