"id","startTime","endTime","text","title"
"1",48840,50800,"There's an old joke.","Annie Hall"
"2",50880,53720,"Two elderly women areat a Catskill mountain resort.","Annie Hall"
"3",53800,56920,"One says, ""The food atthis place is really terrible.""","Annie Hall"
"4",57000,59840,"The other says,""I know, and such small portions.""","Annie Hall"
"5",59920,62800,"That's essentiallyhow I feel about life:","Annie Hall"
"6",62840,66440,"Full of loneliness, misery,suffering and unhappiness...","Annie Hall"
"7",66480,69520,"and it's all overmuch too quickly.","Annie Hall"
"8",69600,71520,"The other important joke for me...","Annie Hall"
"9",71600,74920,"is one usually attributedto Groucho Marx...","Annie Hall"
"10",74960,78680,"but it appears originally in Freud'sWit and lts Relation to the Unconscious.","Annie Hall"
"11",78760,80880,"It goes like this, I'm paraphrasing:","Annie Hall"
"12",80960,85160,"I never want to belong to any club thatwould have someone like me for a member.","Annie Hall"
"13",85200,89880,"That's the key joke of my adult lifein terms of my relationships with women.","Annie Hall"
"14",89960,93000,"Lately the strangest thingshave been going through my mind...","Annie Hall"
"15",93080,96560,"because I turned 40, and I guessI'm going through a life crisis.","Annie Hall"
"16",96640,99240,"I'm not worried about aging.I'm not one of those characters.","Annie Hall"
"17",99320,102760,"But I'm balding slightly on top. That'sabout the worst you can say about me.","Annie Hall"
"18",102840,106040,"I think I'm going to get betteras I get older.","Annie Hall"
"19",106120,108960,"I think I'm going to bethe balding, virile type...","Annie Hall"
"20",109040,112680,"as opposed to the distinguished gray.","Annie Hall"
"21",112760,114680,"Unless I'm neither of those two.","Annie Hall"
"22",114760,117120,"Unless I'm one of those guys with salivadribbling out of his mouth...","Annie Hall"
"23",117200,121640,"who wanders into a cafeteria with ashopping bag, screaming about socialism.","Annie Hall"
"24",122600,126120,"Annie and I broke up, and I stillcan't get my mind around that.","Annie Hall"
"25",126160,129600,"I keep sifting the piecesof the relationship through my mind...","Annie Hall"
"26",129680,134320,"examining my life and trying tofigure out where did the screwup come.","Annie Hall"
"27",134400,137200,"A year ago we were in love.","Annie Hall"
"28",138760,142280,"It's funny. I'm not a morose type.I'm not a depressive character.","Annie Hall"
