"id","startTime","endTime","text","title"
"1",222055,223764,"Did you hear that?","Assault on Precinct 13"
"2",231524,232730,"Come on.","Assault on Precinct 13"
"3",240198,241782,"Freeze, this is the police.","Assault on Precinct 13"
"4",241866,243866,"Drop your weaponsand place your hands above your heads.","Assault on Precinct 13"
"5",275024,276149,"And in the local news,","Assault on Precinct 13"
"6",276233,279360,"six youth gang members were killedin a shoot-out last night","Assault on Precinct 13"
"7",279444,281778,"with police in South Los Angeles.","Assault on Precinct 13"
"8",281863,285199,"Police Commissioner Davidson calleda news conference earlier this morning","Assault on Precinct 13"
"9",285283,287076,"to comment on the shooting.","Assault on Precinct 13"
"10",287161,289327,"As Police Commissionerof Los Angeles County,","Assault on Precinct 13"
"11",289413,293832,"I have called this emergencynews conference. We have a crisis.","Assault on Precinct 13"
"12",293917,297336,"The juvenile gang problemis completely out of control.","Assault on Precinct 13"
"13",297420,300547,"The missing automatic weaponshave not been recovered.","Assault on Precinct 13"
"14",300632,302132,"We now have a lead which shows","Assault on Precinct 13"
"15",302216,305677,"that some of the weaponshave fallen into the wrong hands.","Assault on Precinct 13"
"16",305762,309682,"It's true that law enforcementis being driven to deplorable extremes,","Assault on Precinct 13"
"17",309766,313476,"but those guns are out there.And believe me,","Assault on Precinct 13"
"18",313562,318064,"if the people who have them get organized,no one will stand a chance.","Assault on Precinct 13"
"19",318149,319483,"Commissioner Davidson also said","Assault on Precinct 13"
"20",319567,320817,"that several weapons have been...","Assault on Precinct 13"
"21",341880,343298,"For the six.","Assault on Precinct 13"
"22",457536,461872,"One-W-90, this is Lieutenant Bishop inunmarked vehicle, requesting assignment.","Assault on Precinct 13"
"23",461956,463790,"Is Staff Seven there?","Assault on Precinct 13"
"24",465211,466461,"Stand by.","Assault on Precinct 13"
"25",468963,471298,"One-W-20, this is Staff Four.","Assault on Precinct 13"
"26",471382,474677,"If I look around real hard,maybe I can find something for you to do.","Assault on Precinct 13"
"27",474762,479807,"Hey, hey, Captain Collins. Hello there.I'm surprised to hear your voice, sir.","Assault on Precinct 13"
"28",481310,485228,"W-20, so, how's it goingso far, Lieutenant?","Assault on Precinct 13"
"29",485312,491067,"One-W-90, okay. Seeing asI've been on the job exactly four minutes.","Assault on Precinct 13"
"30",491153,494322,"W-20, I've got a temporary reassignmentfor you tonight.","Assault on Precinct 13"
"31",494404,497824,"A little supervisory jobfor the Police Department.","Assault on Precinct 13"
"32",497910,502329,"Proceed to Precinct Nine, Division 13,and take over from Captain Gordon.","Assault on Precinct 13"
"33",504122,507500,"- Isn't that the Anderson Precinct?- Affirmative.","Assault on Precinct 13"
"34",509420,511004,"But they're closing it down.","Assault on Precinct 13"
"35",511088,515091,"Nothing for me to do there,except stare at the packing crates.","Assault on Precinct 13"
"36",515176,518427,"You wanna be a hero your firstnight out, Lieutenant?","Assault on Precinct 13"
"37",518513,520471,"Yes, sir.","Assault on Precinct 13"
"38",520556,522181,"There are no heroesanymore, Bishop,","Assault on Precinct 13"
