"id","startTime","endTime","text","title"
"1",45409,50829,"East and West do notmistrust each other because we're armed.","Atomic Blonde"
"2",51329,55210,"We're armed becausewe mistrust each other.","Atomic Blonde"
"3",55579,56920,"Mr. Gorbachev,","Atomic Blonde"
"4",57210,60000,"tear down this wall.","Atomic Blonde"
"5",130620,132990,"James fucking Gasciogne.","Atomic Blonde"
"6",133280,135039,"How did you find me?","Atomic Blonde"
"7",135750,138670,"Maybe you're not as good atthis spy shit as you think.","Atomic Blonde"
"8",140579,143710,"It was Satchel, wasn't it?Satchel gave me up.","Atomic Blonde"
"9",148930,150340,"I always thoughtif I got tagged,","Atomic Blonde"
"10",150430,152550,"it would be by the best.","Atomic Blonde"
"11",152969,155680,"But you're not the best,are you, Bakhtin?","Atomic Blonde"
"12",156849,159810,"You're the biggestfucking cunt in the KGB.","Atomic Blonde"
"13",162229,163939,"Sticks and stones, Jimmy.","Atomic Blonde"
"14",432750,434709,"That's a nasty black eye.","Atomic Blonde"
"15",436050,437170,"Where's C?","Atomic Blonde"
"16",437259,439129,"Given the scaleof recent world events,","Atomic Blonde"
"17",439220,441180,"C will not be joining us.","Atomic Blonde"
"18",444220,445759,"Yes, of course.","Atomic Blonde"
"19",454899,456819,"The voices on recordare the following.","Atomic Blonde"
"20",456899,460110,"Myself, Senior DirectorateOfficer Eric Gray,","Atomic Blonde"
"21",460189,463110,"our American guest,Emmett Kurzfeld,","Atomic Blonde"
"22",463199,464990,"of the U.S.Central Intelligence Agency,","Atomic Blonde"
"23",465069,467790,"and returning British OperationalOfficer Lorraine Broughton.","Atomic Blonde"
"24",467870,469790,"Before we begin, sir,may I formally request","Atomic Blonde"
"25",469870,472420,"that Mr. Kurzfeld be removedfrom the debriefing.","Atomic Blonde"
"26",472500,473709,"Request denied.","Atomic Blonde"
"27",473790,476170,"What I have to tell you, sir,is not for the CIA to hear.","Atomic Blonde"
"28",476250,478500,"Lorraine, you are the subjectof this debriefing.","Atomic Blonde"
"29",478590,480339,"Not its controller.I understand that.","Atomic Blonde"
"30",480420,482300,"I was there, in Berlin.","Atomic Blonde"
"31",482629,486259,"And I'm here with the fullexecutive authority of Langley.","Atomic Blonde"
"32",486889,488310,"Would it make youmore comfortable?","Atomic Blonde"
"33",488389,491180,"I could stand behind themirror with everybody else.","Atomic Blonde"
"34",491269,493519,"But it's a littlecrowded back there.","Atomic Blonde"
"35",496769,497819,"Cocksucker.","Atomic Blonde"
"36",497899,499279,"What did you say?","Atomic Blonde"
"37",501490,502649,"I didn't say anything.","Atomic Blonde"
"38",502740,504259,"I'm sorry. Did you saysomething, Lorraine?","Atomic Blonde"
"39",504279,505819,"Did you hear mesay something?","Atomic Blonde"
"40",505910,506930,"I thought yousaid something.","Atomic Blonde"
"41",506949,509079,"What did she say?","Atomic Blonde"
"42",509160,510240,"What?","Atomic Blonde"
"43",512659,513870,"Well...","Atomic Blonde"
"44",514419,516919,"Do you want to playthe tape back?","Atomic Blonde"
"45",524590,525840,"Well, then.","Atomic Blonde"
"46",528049,529639,"Shall we begin?","Atomic Blonde"
"47",532480,533850,"Berlin.","Atomic Blonde"
"48",534940,536399,"What happened?","Atomic Blonde"
"49",536480,537649,"Yeah.","Atomic Blonde"
"50",537980,539690,"Berlin.","Atomic Blonde"
"51",544399,545490,"Fuck.","Atomic Blonde"
"52",554000,555409,"Ah... Lorraine.","Atomic Blonde"
"53",555500,557460,"Sorry to bring you inon such short notice.","Atomic Blonde"
"54",558379,559919,"You know C.","Atomic Blonde"
"55",560000,561000,"Yes.","Atomic Blonde"
"56",561049,562759,"We were justgoing over your file.","Atomic Blonde"
"57",562840,564720,"I see your Russianis excellent.","Atomic Blonde"
"58",564799,567259,"An expert inescape and evasion.","Atomic Blonde"
"59",567340,570179,"Proficient in intelligencecollection and hand-to-hand combat.","Atomic Blonde"
"60",571179,573100,"It's an impressiveset of skills.","Atomic Blonde"
"61",573179,575230,"And knowingthe Reds as I do,","Atomic Blonde"
"62",575309,577269,"she'll need to useevery damn one of them.","Atomic Blonde"
"63",578350,580059,"I'll getstraight to the point.","Atomic Blonde"
"64",580690,582360,"How well do youknow James Gasciogne?","Atomic Blonde"
"65",583360,584740,"Enough to say hello.","Atomic Blonde"
"66",584820,586529,"We worked togetherin Istanbul in '85.","Atomic Blonde"
"67",586610,587610,"He's dead.","Atomic Blonde"
"68",590659,594120,"Gasciogne was killed lastnight on a mission in Berlin.","Atomic Blonde"
"69",595039,598289,"The West German Police fished hisbody out of the Spree this morning.","Atomic Blonde"
"70",598750,602379,"And a coroner extracteda 7.62 Tokarev round","Atomic Blonde"
"71",602460,603960,"from the base of his skull.","Atomic Blonde"
"72",604049,605169,"Soviets.","Atomic Blonde"
"73",605259,610139,"Yesterday, Gasciogne met with aStasi officer, code-named Spyglass.","Atomic Blonde"
"74",610220,612139,"We promisedSpyglass immunity","Atomic Blonde"
"75",612220,616139,"in exchange for a document onmicrofilm, code-named The List.","Atomic Blonde"
"76",616230,617980,"Hidden ina Swiss watch, no less.","Atomic Blonde"
"77",618059,621399,"The List contains everyactive clandestine officer,","Atomic Blonde"
"78",621480,623149,"all their shady deals.","Atomic Blonde"
"79",623230,625320,"It's an atomic bombof information","Atomic Blonde"
"80",625399,628029,"that could extend the ColdWar for another 40 years.","Atomic Blonde"
"81",628110,632120,"And we believe the man thatkilled Gasciogne now has it.","Atomic Blonde"
"82",633080,636330,"Our sources pointto Yuri Bakhtin,","Atomic Blonde"
"83",636409,640000,"a KGB hatchet man with morethan a dozen confirmed kills.","Atomic Blonde"
"84",640580,641889,"So you want mein Moscow?","Atomic Blonde"
"85",641919,642919,"No.","Atomic Blonde"
"86",642960,644629,"Bakhtin nevergot on the flight.","Atomic Blonde"
"87",644710,646919,"So he's still in Berlinalong with The List.","Atomic Blonde"
"88",649429,650629,"Everyone'shunting for it.","Atomic Blonde"
"89",650720,653259,"The Yanks, the Frogs,Soviets of course.","Atomic Blonde"
"90",653350,655009,"And our man,Percival.","Atomic Blonde"
"91",655100,656269,"Who's Percival?","Atomic Blonde"
"92",656350,659850,"David Percival.He's our number one in Berlin.","Atomic Blonde"
"93",661480,663110,"He's your pointof contact there.","Atomic Blonde"
"94",675950,678750,"Straight fromthe tit of the Virgin Mary.","Atomic Blonde"
"95",696059,697720,"The Jordache wasn't easy.","Atomic Blonde"
"96",697809,699389,"It's for my wife's birthday.","Atomic Blonde"
"97",699480,702190,"That's really nice. Now,where's that fucking list?","Atomic Blonde"
"98",702269,704610,"I gave the microfilmto Gasciogne last night.","Atomic Blonde"
"99",704690,706230,"James didn't show up.","Atomic Blonde"
"100",706320,708570,"I did my part.I gave him the list.","Atomic Blonde"
"101",708649,710649,"You have to get meand my family across.","Atomic Blonde"
"102",710740,712570,"It's not safefor us anymore here.","Atomic Blonde"
"103",712659,714070,"The Russians are onto me.","Atomic Blonde"
"104",714159,715870,"No list, no deal.","Atomic Blonde"
"105",717909,719120,"I risked everything.","Atomic Blonde"
"106",719200,720330,"No list, no deal.","Atomic Blonde"
"107",720409,721789,"You listen to me, Spyglass.","Atomic Blonde"
"108",721870,723639,"Without that list, whyshouldn't I take you outside","Atomic Blonde"
"109",723669,724730,"and shoot youin the fucking head?","Atomic Blonde"
"110",724750,727340,"You are going to killa Stasi officer?","Atomic Blonde"
"111",727419,729549,"One that's about to defectto the West? Yeah.","Atomic Blonde"
"112",730090,731919,"Without an embassyto look after him,","Atomic Blonde"
"113",732009,734259,"Percival has gonesomewhat native.","Atomic Blonde"
"114",734340,736009,"Gone fucking feral.","Atomic Blonde"
"115",736389,737889,"Berlin is the Wild West.","Atomic Blonde"
"116",737970,740100,"And if that bloody wallcomes crashing down,","Atomic Blonde"
"117",740179,741350,"we don't wantto be under it.","Atomic Blonde"
"118",741850,745519,"If the Russians get that list,we're all buggered sideways.","Atomic Blonde"
"119",747360,748940,"You're Elizabeth Lloyd,","Atomic Blonde"
"120",749019,750529,"a Cambridge-educated lawyer","Atomic Blonde"
"121",750610,752149,"sent by JamesGasciogne's family","Atomic Blonde"
"122",752240,753480,"to retrievethe body and effects","Atomic Blonde"
"123",753529,755409,"of theirrecently deceased son.","Atomic Blonde"
"124",755490,757620,"Your mission isto connect with Percival","Atomic Blonde"
"125",757700,760080,"and do whatever it takesto get that list home.","Atomic Blonde"
"126",760159,763000,"And remember, Lorraine,this is highly sensitive.","Atomic Blonde"
"127",763080,764960,"Trust no one.","Atomic Blonde"
"128",770879,772840,"Follow me!Come, come, come!","Atomic Blonde"
"129",774220,775220,"Quickly! This way!","Atomic Blonde"
"130",775299,776470,"Tell me you made a copy.","Atomic Blonde"
"131",776549,777639,"I memorized it.","Atomic Blonde"
"132",777720,778720,"Memorized it?","Atomic Blonde"
"133",778759,780009,"Every single agenton that list?","Atomic Blonde"
"134",780100,782220,"Every Wednesday,you visit the Penny Lane brothel.","Atomic Blonde"
"135",782309,784850,"Your favorite girl is Margot.Her real name is Maria.","Atomic Blonde"
"136",784940,785980,"Maria?","Atomic Blonde"
"137",787190,788480,"All right,I'll get you across.","Atomic Blonde"
"138",788559,789690,"You're a good man,Percival.","Atomic Blonde"
"139",789769,790769,"Fuck off.","Atomic Blonde"
"140",790860,792990,"I just want the list.Once I... Oh, fuck!","Atomic Blonde"
"141",793490,794740,"I'll be in touch.","Atomic Blonde"
"142",796200,797200,"Uh...","Atomic Blonde"
"143",799370,800740,"Ooh!","Atomic Blonde"
"144",881490,883279,"I'm so fucking late.","Atomic Blonde"
"145",927039,929710,"Miss Broughton,Mr. Percival was running late.","Atomic Blonde"
"146",929789,931750,"He sent meto pick you up.","Atomic Blonde"
"147",931830,933080,"Checked bags?","Atomic Blonde"
