"id","startTime","endTime","text","title"
"1",150384,151949,"Put your hands in the air!","Baby Driver"
"2",151951,154453,"Get on the ground now!I need you on the ground!","Baby Driver"
"3",154454,156854,"Stay there!","Baby Driver"
"4",156856,157723,"Don't you move!","Baby Driver"
"5",157724,159158,"Get down!Don't fucking move!","Baby Driver"
"6",161427,162360,"Let's go!","Baby Driver"
"7",162362,164429,"Let's go, let's go,let's go!","Baby Driver"
"8",164430,165597,"Nobody move!","Baby Driver"
"9",165598,166798,"Nobody move!","Baby Driver"
"10",166800,169501,"Everybody, stay down!","Baby Driver"
"11",169502,171203," Thank you very much,","Baby Driver"
"12",171204,173938," ladies and gentlemen. Right now,
 I got to tell you about...","Baby Driver"
"13",176843,178911," ...the fabulous,","Baby Driver"
"14",178913,181180," most groovy...","Baby Driver"
"15",181681,183115," Bellbottoms!","Baby Driver"
"16",241375,242139,"Oh!","Baby Driver"
"17",244877,248112,"Whoa, whoa, whoa, whoa! Whoa!","Baby Driver"
"18",351516,355052," Driving a red Subaru wrx.","Baby Driver"
"19",397730,399230,"No, no, no.","Baby Driver"
"20",405973,409641,"I'm here. You're late.I'm waiting on you again.","Baby Driver"
"21",411745,412711,"Hurry up.","Baby Driver"
"22",414148,416047,"Asshole!","Baby Driver"
"23",416048,417682,"Hey! Taxi!","Baby Driver"
"24",419920,421819,"Yeah.You go, girl.","Baby Driver"
"25",423089,424990,"You know it, honey.","Baby Driver"
"26",429963,431663,"Hey! Jerk.","Baby Driver"
"27",466300,469567,"Next customer.Next customer.","Baby Driver"
"28",469569,470735,"Oh, uh...","Baby Driver"
"29",470737,472303,"Can I take your order?","Baby Driver"
"30",472305,473504,"Uh...","Baby Driver"
"31",473507,475540,"Yeah, yeah, yeah.","Baby Driver"
"32",475542,478076,"I'll have, uh,four black coffees, medium.","Baby Driver"
"33",478077,479744,"Name?Baby.","Baby Driver"
"34",479745,481012,"""Baby""?","Baby Driver"
"35",481014,482379,"B-a-b-y, baby.","Baby Driver"
"36",484382,486016,"Could you pass that?","Baby Driver"
"37",490524,492189,"Baby.","Baby Driver"
"38",495862,497394," Subaru wrx believed","Baby Driver"
"39",497396,499497," to be connected to the robbery...","Baby Driver"
