"id","startTime","endTime","text","title"
"1",75912,78164,"Ja, all this is under control.","Bad Boys II"
"2",97727,102105,"A hundred and fifty million dollarsand my dope is on the way.","Bad Boys II"
"3",102606,104817,"Today is gonna be a good day.","Bad Boys II"
"4",106944,109530,"We are 25 degrees north,84 degrees west.","Bad Boys II"
"5",110156,112283,"The cargo's being dropped.","Bad Boys II"
"6",145149,146275,"Good.","Bad Boys II"
"7",146651,148360,"- Do you want to see his gun?- Yeah.","Bad Boys II"
"8",151906,153740,"Bang. Bang.","Bad Boys II"
"9",155492,157495,"Sorry, Johnny.","Bad Boys II"
"10",157912,159163,"Fucking bitches.","Bad Boys II"
"11",163543,165377,"Infrared's got a live oneon the water.","Bad Boys II"
"12",165545,167587,"Air Force Stallion C-1 4to Coast Guard.","Bad Boys II"
"13",167838,172259,"We've got a fast-moving contactheading 3-5-0 toward South Florida.","Bad Boys II"
"14",172425,175429,"Captain, Air Force Stallion has acontact at 1 -8-0 closing fast.","Bad Boys II"
"15",175847,178807,"This is Coast Guard cutter Valiant.Request to know your intentions.","Bad Boys II"
"16",179015,181811,"Vessel off our port bow,this is U.S. Coast Guard.","Bad Boys II"
"17",182186,184855,"Intercept is 1 -8-0, speed 1 7 knots.","Bad Boys II"
"18",185021,186691,"Make it so, chief. Scramble the helo.","Bad Boys II"
"19",191069,193197,"Vessel off our port bow.","Bad Boys II"
"20",193447,194824,"This is U.S. Coast Guard.","Bad Boys II"
"21",195032,197450,"Request to know your intentionsat this time.","Bad Boys II"
"22",201872,203331,"Incoming.","Bad Boys II"
"23",215135,216429,"Valiant, Valiant.","Bad Boys II"
"24",216596,218514,"This is Coast Guard 6-0-0-3.","Bad Boys II"
"25",219014,220932,"Negative contact with target. Over.","Bad Boys II"
"26",221391,222727,"Captain, we've lost target.","Bad Boys II"
"27",235906,238074,"Here's your delivery and payment.","Bad Boys II"
"28",241287,242330,"Is it done?","Bad Boys II"
"29",242580,245415,"- Cargo is on Dixie 7.- Okay.","Bad Boys II"
"30",255384,258346,"All right, TNT, for the millionth time,listen up.","Bad Boys II"
"31",258596,262766,"Since 9-1 1, we've gone hi-tech overwater. Dope runners have gone low.","Bad Boys II"
"32",262975,265937,"Our source says the biggest Xshipment on record arrives tonight...","Bad Boys II"
"33",266144,267855,"...and we want to knowwho's behind it.","Bad Boys II"
"34",268064,270899,"Hopefully in a few hourswe'll have our answer.","Bad Boys II"
"35",271067,272651,"We'll hit from three directions:","Bad Boys II"
"36",272860,277490,"We'll go in with a water team, vehicleassault and we got guys on foot.","Bad Boys II"
"37",277697,282536,"We cannot make a move until our UCshave ID'd the drugs and called us in.","Bad Boys II"
"38",282745,286331,"No call, we back away.And these guys we're going after...","Bad Boys II"
"39",286540,291002,"...they got a lot of firepower and theyhate the law. So eyes open out there.","Bad Boys II"
"40",298134,299637,"Bravo's on the move.","Bad Boys II"
"41",320365,322201,"Heads up. Here comes the drop.","Bad Boys II"
"42",329625,332170,"Fuck. My lens is flaring.","Bad Boys II"
"43",332377,334088,"I can't see shit.","Bad Boys II"
"44",334504,338050,"Brothers! Gather around!","Bad Boys II"
"45",340970,341928,"Hey.","Bad Boys II"
"46",342137,345516,"- Why didn't you say there was a rally?- Who's looking?","Bad Boys II"
"47",345682,348394,"- Take that shit. I'm out of here.- Shit.","Bad Boys II"
"48",351062,352731,"- White power!- White power!","Bad Boys II"
"49",352899,355317,"- White power!- White power!","Bad Boys II"
"50",360031,362490,"Blue power, motherfuckers.Miami PD.","Bad Boys II"
"51",362699,365244,"Aw, damn. It's the Negroes.","Bad Boys II"
"52",365536,368413,"Casper, drop the bag.Alpha leader, bring them in.","Bad Boys II"
"53",368581,371625,"Bad boys, bad boysWhat you gonna do?","Bad Boys II"
"54",371875,374795,"What you gonna doWhen we come for you?","Bad Boys II"
"55",378966,382011,"- Dude, you gotta learn the words.- We usually only do the chorus.","Bad Boys II"
"56",382220,384012,"Alpha leader, hit it. Br...","Bad Boys II"
"57",384180,385514,"Repeat your transmission.","Bad Boys II"
"58",386389,389601,"Alpha leader to Bravo Four,please continue relay.","Bad Boys II"
"59",390603,391728,"Where's backup?","Bad Boys II"
"60",392062,395233,"- Alpha leader, bring them in. Hit it.- Mike, I'm only getting static.","Bad Boys II"
"61",395441,397276,"It's all static.The radios are fucked.","Bad Boys II"
"62",398610,401947,"- Something funny? Something funny?- Mike, where are they?","Bad Boys II"
"63",406911,408579,"Got you, nigger.","Bad Boys II"
"64",411122,414418,"- Looks like we got us a situation here.- You won't shoot.","Bad Boys II"
"65",414584,418213,"You got a gun to his head, so youthink I won't splatter you all over?","Bad Boys II"
"66",418422,419423,"That's what I think.","Bad Boys II"
"67",419590,422468,"My partner came here tonightprepared to die.","Bad Boys II"
"68",422634,423718,"Hell... Hell, no!","Bad Boys II"
"69",423927,426555,"Incinerating trash like you.Ready to die, right, Marcus?","Bad Boys II"
"70",426764,429475,"- The fuck I want to do that for?- Scared, ain't you, boy?","Bad Boys II"
"71",429684,432185,"A: Put the gun down, tell mewho brings this shit in...","Bad Boys II"
"72",432394,434521,"...and maybe I'll justpop one in your shoulder.","Bad Boys II"
"73",434689,437358,"Or B: Keep acting all Brodyand I'll put one in your chest.","Bad Boys II"
"74",437524,440319,"Or C: You know, take the timeto talk a minute.","Bad Boys II"
"75",441194,442988,"You know, de-escalate the situation.","Bad Boys II"
"76",443154,445533,"See, that's my partner'snew spiritual bullshit.","Bad Boys II"
"77",445699,448369,"Me? I actually prefer shootingmotherfuckers.","Bad Boys II"
"78",448786,450413,"A lot of movement going on.","Bad Boys II"
"79",450620,451788,"Can't see the UCs.","Bad Boys II"
"80",451956,454417,"- I think something's going down.- Don't move yet.","Bad Boys II"
"81",454584,456877,"Mike, the man has a gun to my head.","Bad Boys II"
"82",457086,459463,"He'll put it down if a hollow point'sin his eye!","Bad Boys II"
"83",459672,461465,"Your partner's a cocky nigger.","Bad Boys II"
"84",461798,464843,"- Damn. Now, was that necessary, sir?- See?","Bad Boys II"
"85",465052,467387,"He can't just be a cop?He got to be a nigga too?","Bad Boys II"
"86",467555,468555,"I'll hot this fool.","Bad Boys II"
"87",468805,471016,"- Calm down.- Calm down? I'm calm.","Bad Boys II"
"88",471183,474687,"I'm calm! Hey! Whoa! Whoa!","Bad Boys II"
"89",474853,476771,"I am way too unstablefor that bullshit.","Bad Boys II"
"90",476939,480610,"Stop all the goddamned movement!Everybody stop moving!","Bad Boys II"
"91",480817,483778,"We can't let you all go, but thisshit'll get worked out in court.","Bad Boys II"
"92",484322,485906,"We got our rights.","Bad Boys II"
"93",486115,488283,"Exercise your rightto shut the fuck up.","Bad Boys II"
"94",488826,493872,"I'm all right. I'll give you a warning.It's the best I can do for all of youse!","Bad Boys II"
"95",494040,495708,"Okay? He's crazy.","Bad Boys II"
"96",495958,499879,"- You got 3 seconds to drop your gun.- He has anger issue problems!","Bad Boys II"
"97",500045,502214,"- One.- He goes to bed early for this shit!","Bad Boys II"
"98",502380,504925,"Just to wake up to pop onein a motherfucker!","Bad Boys II"
"99",505134,506843,"- Two!- Mike, no!","Bad Boys II"
"100",507011,508095,"Gun!","Bad Boys II"
"101",511057,512642,"Rock 'n' roll! Let's go!","Bad Boys II"
"102",512850,514184,"Kill them cops!","Bad Boys II"
"103",546509,547467,"Marcus!","Bad Boys II"
"104",582919,585213,"Go! Go! Go! Go! Come on, go!","Bad Boys II"
"105",591261,592596,"- Get down!- Drop the...!","Bad Boys II"
"106",594682,596267,"- I didn't do shit!- Get your hands up.","Bad Boys II"
"107",596475,597434,"I didn't do it!","Bad Boys II"
"108",597643,601062,"The radios were fucked up. Get somemedics over here. You guys okay?","Bad Boys II"
"109",601272,603691,"- Yeah, we're fine.- What you mean, ""we""?","Bad Boys II"
"110",603857,606485,"Motherfucker shot mein the ass, man.","Bad Boys II"
"111",607485,610530,"- Who shot you in the ass?- Who? That ""who"" would be you.","Bad Boys II"
"112",610740,612700,"- Me? I shot you?- Yeah.","Bad Boys II"
"113",612950,616328,"I mean, I was shooting.Yeah, I did a lot of shooting.","Bad Boys II"
"114",616537,618956,"But I ain't saying I shot youin the ass.","Bad Boys II"
"115",619164,621750,"I ain't saying I didn't shoot you...","Bad Boys II"
"116",622000,625754,"...but, damn! Somebody shot youin the ass.","Bad Boys II"
"117",626004,627048,"Tell me about it.","Bad Boys II"
"118",627215,629383,"- Yo, man, how's it feel?- It's hot, man.","Bad Boys II"
"119",629591,631302,"I can smell my ass burning.","Bad Boys II"
"120",631552,634679,"Mike, you should give it a little kissso it'll feel better.","Bad Boys II"
"121",634846,636682,"Pretend like we're not even here.","Bad Boys II"
"122",636849,639769,"Hey, isn't Ricky Martin havinga concert? Get the fuck on.","Bad Boys II"
"123",639936,642772,"- You always gotta go racial, man.- It's sad, man.","Bad Boys II"
"124",644731,647777,"I think it's cool. It hit the meat.It ain't nowhere near the hole.","Bad Boys II"
"125",650238,651614,"Two lousy bags?","Bad Boys II"
"126",651822,655534,"What about the biggest shipmentof ecstasy to come out of Amsterdam?","Bad Boys II"
"127",655743,657411,"Let me worry about my snitch,all right?","Bad Boys II"
"128",657577,659621,"It's a lot of cop work for nothing!","Bad Boys II"
"129",659831,661666,"Take your ass home somewhere.","Bad Boys II"
"130",669215,672176,"Tonight la policia jacked my mules.","Bad Boys II"
"131",672384,677222,"Who can tell me how those jackalsknew where to bite Johnny Tapia?","Bad Boys II"
"132",677431,679808,"Speak up, cousins.","Bad Boys II"
"133",680058,683104,"You're lucky they did not findmy drugs on Dixie 7.","Bad Boys II"
"134",683770,685063,"Change the boat schedule.","Bad Boys II"
"135",685230,687649,"We can't.We got a shipment Thursday.","Bad Boys II"
"136",687859,691028,"Change it after.Just keep them guessing.","Bad Boys II"
"137",692697,697493,"You know, unlike you, my daddydidn't leave me no trust fund.","Bad Boys II"
"138",697784,700078,"I got real-world shitto deal with, Mike.","Bad Boys II"
"139",700620,702623,"I'm not in it for the thrills.","Bad Boys II"
"140",702831,704792,"Same old shit, different day.","Bad Boys II"
"141",705710,708671,"All right, yes, damn.I shot you, all right?","Bad Boys II"
"142",709129,711841,"But you'd be seeing nothing at allif I hadn't made my move.","Bad Boys II"
"143",712048,713676,"I don't know whyyou acting so angry.","Bad Boys II"
"144",713842,717053,"- You're misinformed. I'm not angry.- No, you're very angry.","Bad Boys II"
"145",717221,719097,"No, I'm not angry.","Bad Boys II"
"146",719890,722894,"You are angry. It's okay.","Bad Boys II"
"147",723059,727523,"I'm not angry. Except whenyou keep repeating ""you're angry.""","Bad Boys II"
"148",727773,729692,"That shit's fucking annoying.","Bad Boys II"
"149",729900,732778,"Like a fucking gnat at a barbecue.","Bad Boys II"
"150",732986,735280,"Just bugging the fuck out of me.","Bad Boys II"
"151",735447,737408,"Good. I want you to say:","Bad Boys II"
"152",737575,741953,"""I'm angry. It's okay.I'll process my anger.","Bad Boys II"
"153",742120,743873,"I love myself.","Bad Boys II"
"154",744123,745457,"Whoosah.""","Bad Boys II"
"155",745625,747250,"I don't know what the fuckyou mean.","Bad Boys II"
"156",747418,749879,"Yes, you do know what the fuckI mean.","Bad Boys II"
"157",750046,751588,"You're the one that needs therapy.","Bad Boys II"
"158",751755,753048,"- I did my therapy.- When?","Bad Boys II"
"159",753298,756302,"Capt. Howard made me do it afterI shot them people at the airport.","Bad Boys II"
"160",758221,760181,"Whoosah.","Bad Boys II"
"161",760806,762682,"Whoosah!","Bad Boys II"
"162",763225,764769,"Officer Mike.","Bad Boys II"
"163",767522,769690,"- Papi. That's ""daddy,"" right?- Yeah.","Bad Boys II"
"164",770982,772235,"Whoosah.","Bad Boys II"
"165",772442,775988,"Mike, you go to therapyto get your issues worked out...","Bad Boys II"
"166",776197,777948,"...not bang your therapist.","Bad Boys II"
"167",778115,781576,"- See, now you just talking nasty.- I gotta survive.","Bad Boys II"
"168",782662,784371,"I gotta start loving me for me.","Bad Boys II"
"169",784663,786624,"That sound like that group thing.","Bad Boys II"
"170",787207,789585,"Maybe I did the group thingonce or twice.","Bad Boys II"
"171",789961,791461,"Whoosah.","Bad Boys II"
"172",791671,794090,"- And whoosah.- Whoosah.","Bad Boys II"
"173",794256,799177,"A bunch of men hugging and kissing,that's some cult shit.","Bad Boys II"
"174",837299,838301,"Buy.","Bad Boys II"
"175",880051,882385,"Ignore him, doc, he's blowingthis out of proportion.","Bad Boys II"
"176",882595,886515,"My ass is what's out of proportion,Mike, okay? I got a big chunk missing.","Bad Boys II"
"177",886724,888183,"It's actually a small chunk.","Bad Boys II"
"178",888392,890769,"This tension you bringinginto this relationship...","Bad Boys II"
"179",891019,892522,"...won't be healthyin the long run.","Bad Boys II"
"180",892772,894815,"Maybe there ain't gonna beno long run.","Bad Boys II"
"181",895066,896234,"Whatever.","Bad Boys II"
"182",896359,898152,"He's seeing a shrink. I mean...","Bad Boys II"
"183",902365,905201,"- Icepick, Lowrey.- Hey, brother.","Bad Boys II"
"184",905408,908412,"Two bags? You embarrassed mein front of my people.","Bad Boys II"
"185",908955,911874,"Wait, brother. No, no, no, brother.Wait, wait, wait, wait.","Bad Boys II"
"186",912082,914668,"Whatever. You better prayto whoever it is you pray to...","Bad Boys II"
"187",914876,918548,"...because you got 24 hoursto find that X before I find you.","Bad Boys II"
"188",925888,927097,"The cops hit my mule.","Bad Boys II"
"189",927264,930142,"Well, Mr. Tapia, I don't knowwhere the heat is coming from.","Bad Boys II"
"190",930350,933062,"It's a delicate situationfor both of us, isn't it?","Bad Boys II"
"191",933312,936566,"- I'm telling you, I've checked them.- Alex, look. A guy's OD'ing.","Bad Boys II"
"192",936731,938109,"I'm sorry, I gotta hang up.","Bad Boys II"
"193",938317,940735,"Some fucking punkthinks he can die in my club.","Bad Boys II"
"194",943947,945866,"Ecstasy fucks them up.","Bad Boys II"
"195",947201,950203,"- Get him out of here, Josef.- We'll dump him around the block.","Bad Boys II"
"196",955793,957253,"Dump him.","Bad Boys II"
"197",977148,978941,"Auntie Syd, it must be so cool.","Bad Boys II"
"198",979149,981360,"Young, single, living in New York.","Bad Boys II"
"199",981568,983778,"Probably hook upwith a lot of cute guys.","Bad Boys II"
"200",983988,987575,"- Just like Sex and the City.- Theresa, cancel the damn cable.","Bad Boys II"
"201",988576,990702,"So, Auntie Syd,you're a cop too, huh?","Bad Boys II"
"202",990912,993623,"Sort of. I work for the DEA,but I just push a lot of papers.","Bad Boys II"
"203",993831,996082,"- Nothing exciting.- Well, you keep pushing papers.","Bad Boys II"
"204",996542,999961,"Don't have to worry aboutmy little sister fighting crime.","Bad Boys II"
"205",1000212,1001172,"Okay?","Bad Boys II"
"206",1001880,1004049,"Possibly getting hurt.","Bad Boys II"
"207",1005551,1008471,"James. Get my screwdriver.Damn bolts.","Bad Boys II"
"208",1008638,1010889,"Ignore him. He's being meanbecause he got injured.","Bad Boys II"
"209",1011057,1014268,"- Are you okay?- His wound is fine. It's...","Bad Boys II"
"210",1014434,1017062,"...other thingsthat were affected.","Bad Boys II"
"211",1017230,1018813,"- Theresa!- What?","Bad Boys II"
"212",1019856,1022567,"You... It's just nerve damage,that's all.","Bad Boys II"
"213",1024444,1026113,"Y'all not gonna spoil it.","Bad Boys II"
"214",1026530,1027698,"I'll talk to you about it.","Bad Boys II"
"215",1036289,1038166,"It's a donut.","Bad Boys II"
"216",1038334,1039501,"It's a medical thing.","Bad Boys II"
"217",1039751,1042712,"I got it from a maternity store.You know, pregnant women use it.","Bad Boys II"
"218",1042922,1045967,"They can put one cheek here.It take pressure off the other cheek.","Bad Boys II"
"219",1046384,1048426,"- For you, dog.- Thoughtful.","Bad Boys II"
"220",1049720,1051012,"Look, man...","Bad Boys II"
"221",1051556,1054099,"...last night there was somethingdifferent in your eyes.","Bad Boys II"
"222",1054307,1057269,"You know, Mike, I had an epiphany.You know?","Bad Boys II"
"223",1058520,1061481,"- I realized you're an enigma.- Yeah, I could see that.","Bad Boys II"
"224",1061691,1064652,"God sent you here to test me.But guess what?","Bad Boys II"
"225",1064861,1067738,"You not gonna break me, Mike. No.","Bad Boys II"
"226",1067947,1069906,"Whoosah.","Bad Boys II"
"227",1070282,1071784,"Is that Syd?","Bad Boys II"
"228",1071992,1073994,"- That's Syd.- Now's not a good time.","Bad Boys II"
"229",1074202,1076163,"Mike, listen, now's not a good time.","Bad Boys II"
"230",1076329,1077832,"Hit me, hit me, hit me.","Bad Boys II"
"231",1078415,1080876,"No throwing balls in the house.","Bad Boys II"
"232",1085882,1087048,"Whoosah.","Bad Boys II"
"233",1087299,1088843,"- What's up, Theresa?- Hey.","Bad Boys II"
"234",1089050,1091053,"Aw, they ain't tell me it was a luau.","Bad Boys II"
"235",1095098,1096933,"Syd, hold up. Hold up.Hold on.","Bad Boys II"
"236",1097143,1099769,"Behave yourself, girl. Hey, hold up.Hold up. Hold up.","Bad Boys II"
"237",1100020,1102440,"Oh, look at you. Look at you.","Bad Boys II"
"238",1102647,1104858,"Oh, okay. Okay. I see now.","Bad Boys II"
"239",1105067,1106903,"You didn't tell Marcusabout New York.","Bad Boys II"
"240",1107944,1111031,"- He knows about New York.- About us? You told him about us?","Bad Boys II"
"241",1111240,1113116,"No, he knows about New York.","Bad Boys II"
"242",1113326,1117454,"You know, it's a nice city and that Idropped a witness off last month.","Bad Boys II"
"243",1120458,1122542,"Mike is so sweet.","Bad Boys II"
"244",1123794,1127214,"- So sweet he make your teeth rot.- So have you told him yet?","Bad Boys II"
"245",1127882,1130425,"Baby, soon, okay? Real soon.","Bad Boys II"
"246",1130675,1134096,"He needs to know you're transferringand won't be his partner anymore.","Bad Boys II"
"247",1134262,1135972,"Theresa, timing is everything.","Bad Boys II"
"248",1136182,1138267,"Marcus is not very happywith me right now.","Bad Boys II"
"249",1138934,1142104,"No, no, Syd, I'm telling you, that isScarface limping around in there.","Bad Boys II"
"250",1142313,1145357,"We need to give that boy a fewminutes to let his butt heal up good.","Bad Boys II"
"251",1145566,1147442,"We like each other.What's the big deal?","Bad Boys II"
"252",1147652,1150613,"I'm just gonna go tell him right now,because this is dumb.","Bad Boys II"
"253",1150779,1152906,"Hold up. Hold up. I'm gonna tell him.","Bad Boys II"
"254",1153074,1155451,"It ain't like I won't tell him.How am I not tell him?","Bad Boys II"
"255",1155660,1157327,"- When?- I need a minute.","Bad Boys II"
"256",1157537,1160873,"Straight up. We're not vibingright now. I just need a minute.","Bad Boys II"
"257",1161499,1165461,"Mike, he's my brother, okay?Don't be scared. Toughen up, chief.","Bad Boys II"
"258",1165670,1168463,"Whoa. Hey.Hey, I ain't say I was scared.","Bad Boys II"
"259",1168798,1171634,"Just... There's something wrongwith your brother.","Bad Boys II"
"260",1174971,1178598,"So, Mike, I understand youwere in New York last month.","Bad Boys II"
"261",1181352,1182854,"Yeah, I was...","Bad Boys II"
"262",1183144,1185397,"- Remember I did the thing?- No.","Bad Boys II"
"263",1185605,1186941,"You remember?","Bad Boys II"
"264",1187107,1190903,"The two of you should've gottentogether. That would've been nice.","Bad Boys II"
"265",1191653,1193990,"I never told you Mike was in New York.","Bad Boys II"
"266",1194656,1196116,"Well, you know what, Mike?","Bad Boys II"
"267",1196325,1199578,"Syd, she's gonna be in town,what, another week?","Bad Boys II"
"268",1199787,1201873,"Why don't you show her around?That'd be nice.","Bad Boys II"
"269",1202080,1203499,"That would be so great.","Bad Boys II"
"270",1203915,1206794,"Yeah. Yeah, I could...Well, me and...","Bad Boys II"
"271",1207420,1210756,"Marcus, you want to show hersome stuff?","Bad Boys II"
"272",1212008,1214384,"Yeah, because I'm in townon vacation.","Bad Boys II"
"273",1214594,1216511,"I'm stayingat the most amazing hotel.","Bad Boys II"
"274",1216761,1219557,"The view, the pool. Oh, my God.","Bad Boys II"
"275",1219765,1220974,"We got a pool right here.","Bad Boys II"
"276",1222727,1224103,"That ain't exactly a pool, man.","Bad Boys II"
"277",1224311,1227772,"That's like a big-ass puddlewrapped in blue plastic.","Bad Boys II"
"278",1227981,1230692,"Didn't they have any good poolswhen you bought this one?","Bad Boys II"
"279",1230902,1232903,"Megan, that pool cost $3900.","Bad Boys II"
"280",1233153,1235030,"Okay, so how muchdo the good pools cost?","Bad Boys II"
"281",1235740,1238201,"- It's all right, baby.- It is kind of whack, huh?","Bad Boys II"
"282",1239117,1242329,"I gotta go meet somebody.It was nice seeing you again, Mike.","Bad Boys II"
"283",1242579,1244499,"Nice... Good to see you.","Bad Boys II"
"284",1246000,1247000,"Where you going?","Bad Boys II"
"285",1247210,1248294,"- Bye, sweetie.- Bye.","Bad Boys II"
"286",1248502,1250171,"I thought you were on vacation.","Bad Boys II"
"287",1251172,1252632,"So glad you could join us, Mike.","Bad Boys II"
"288",1252839,1255800,"I'm telling you, spending time like thismake a partnership strong.","Bad Boys II"
"289",1256009,1257802,"Mike, can I see youby my stupid pool?","Bad Boys II"
"290",1258971,1260640,"What's the deal, baby?","Bad Boys II"
"291",1261557,1264477,"Why you gotta always come overhere and try to take over, Mike?","Bad Boys II"
