"id","startTime","endTime","text","title"
"1",111361,112623,"Stopping?","Bad Day at Black Rock"
"2",172989,175480,"Man, they look woebegone and faraway.","Bad Day at Black Rock"
"3",175592,177526,"I'll only be here 24 hours.","Bad Day at Black Rock"
"4",177627,180357,"In a place like this, it could be a lifetime.","Bad Day at Black Rock"
"5",182999,186332,"- Good luck, Mr. Macreedy.- Thank you. Thanks very much.","Bad Day at Black Rock"
"6",196012,197536,"You for Black Rock?","Bad Day at Black Rock"
"7",198214,200614,"- That's right.- There must be some mistake.","Bad Day at Black Rock"
"8",200683,204881,"I'm Hastings, the telegraph agent.Nobody told me this train was stopping.","Bad Day at Black Rock"
"9",204988,207957,"- They didn't?- No, I just told you they didn't.","Bad Day at Black Rock"
"10",208024,211482,"And they ought to.What I want to know is, why didn't they?","Bad Day at Black Rock"
"11",211561,214325,"- Maybe they didn't think it was important.- Important?","Bad Day at Black Rock"
"12",214397,217491,"It's the first time the streamlinerstopped here in four years.","Bad Day at Black Rock"
"13",217567,220968,"You being met?You visiting folks or something?","Bad Day at Black Rock"
"14",221037,222971,"I mean, what do you want?","Bad Day at Black Rock"
"15",223573,227805,"I want to go to a place called Adobe Flat.Are there any cabs available?","Bad Day at Black Rock"
"16",227977,230844,"Adobe Flat? No cabs.","Bad Day at Black Rock"
"17",233216,234649,"Hotel open?","Bad Day at Black Rock"
"18",236552,238019,"Is the hotel open?","Bad Day at Black Rock"
"19",238688,240087,"Thank you.","Bad Day at Black Rock"
"20",286602,288263,"Pete, now listen.","Bad Day at Black Rock"
"21",289105,292802,"A man just got off the trainand asked for Adobe Flat.","Bad Day at Black Rock"
"22",294310,295834,"Afternoon.","Bad Day at Black Rock"
"23",296646,298614,"Anything I can do for you?","Bad Day at Black Rock"
"24",298815,301340,"- You run this hotel?- No.","Bad Day at Black Rock"
"25",301918,304512,"Then there's nothing you can do for me.","Bad Day at Black Rock"
"26",308257,309747,"Find Smith.","Bad Day at Black Rock"
"27",320770,322635,"Hello. Like a room.","Bad Day at Black Rock"
"28",323272,326571,"- We're all filled up.- Have you any idea where I could...","Bad Day at Black Rock"
"29",326642,329475,"This is 1945, mister.There's been a war on.","Bad Day at Black Rock"
"30",331014,333414,"It ended a couple of months ago, didn't it?","Bad Day at Black Rock"
"31",333483,336179,"Yeah, but the OPA lingers on.","Bad Day at Black Rock"
"32",337520,340648,"- You don't know about the OPA?- No, you tell me.","Bad Day at Black Rock"
"33",341124,343854,"Well, for establishmentswith less than 50 rooms...","Bad Day at Black Rock"
"34",343960,346793,"the hotelkeeper's got to report regularly...","Bad Day at Black Rock"
"35",346863,351459,"about tenants and registration.There are penalties imposed.","Bad Day at Black Rock"
"36",356773,360334,"- You seem to have lots of vacancies.- Well, as I said...","Bad Day at Black Rock"
"37",362678,364942,"They're every one of them locked up.","Bad Day at Black Rock"
"38",365515,367210,"Some are showrooms...","Bad Day at Black Rock"
"39",368918,371580,"for feed salesmen, cattle buyers.","Bad Day at Black Rock"
"40",371988,373615,"The rest, they're spoken for.","Bad Day at Black Rock"
"41",373689,376749,"Rented to cowboys, ranch handsfor when they come into town.","Bad Day at Black Rock"
"42",376826,378384,"They pay by the month.","Bad Day at Black Rock"
"43",378461,380952,"We provide for their every wishand comfort.","Bad Day at Black Rock"
