"id","startTime","endTime","text","title"
"1",127459,129836,"All right, folks.Can we all settle down for a sec?","Bad Teacher"
"2",130546,132004,"I know that you...","Bad Teacher"
"3",132090,133632,"- Hey, you settle down.- No.","Bad Teacher"
"4",133716,136342,"Come on, everybody, settle down.Sandy, come on.","Bad Teacher"
"5",136426,137677,"So... No, none of that.","Bad Teacher"
"6",137762,141556,"This is not a time to make silly jokes.It's the time for a little bit of talking","Bad Teacher"
"7",141640,143516,"before we really get to the important part.","Bad Teacher"
"8",143600,146228,"Here we go. Well, it's beenanother great year here at JAMS.","Bad Teacher"
"9",147062,149272,"Who can forgetMr. Pinkus' Haunted Classroom?","Bad Teacher"
"10",149356,152234,"- Thank you, Sandy, for that.- Yeah, I ain't afraid of no ghost.","Bad Teacher"
"11",154153,157614,"Or the wild success of the book drivefor the women's prison,","Bad Teacher"
"12",157699,160324,"which Miss Pavicic's class sponsored?","Bad Teacher"
"13",160951,164163,"Thank you, Beth.But, as summer draws upon us,","Bad Teacher"
"14",164247,167081,"it's time not only to say goodbyeto another school year,","Bad Teacher"
"15",167167,170793,"but, sadly, also to say goodbyeto one of our faculty members.","Bad Teacher"
"16",170878,172336,"Yes. Elizabeth?","Bad Teacher"
"17",173213,175257,"Is Elizabeth Halsey here? There she is.","Bad Teacher"
"18",175341,176508,"Elizabeth, can you come on up here?","Bad Teacher"
"19",177509,180762,"Yes, that's appropriate, applause, I think.","Bad Teacher"
"20",181681,186185,"Elizabeth, even though you wereonly with us for one short year,","Bad Teacher"
"21",187145,191272,"please know that we will always consider youpart of the JAMS family.","Bad Teacher"
"22",191356,193734,"- That's sweet.- And we got you a little something.","Bad Teacher"
"23",195402,196485,"Thank you.","Bad Teacher"
"24",198865,200740,"Almost $40.","Bad Teacher"
"25",201116,203367,"- Thank you.- You're very welcome. Speech.","Bad Teacher"
"26",203453,208456,"Okay, well, I'm really terrible at thesetypes of things, so I'll make it quick.","Bad Teacher"
"27",209125,213211,"I know I've only been here a year,but there's so much I will miss.","Bad Teacher"
"28",213295,214879,"My students probably most.","Bad Teacher"
"29",221387,223972,"And I wish that I had gotten to knowall of you better.","Bad Teacher"
"30",229145,230520,"Happy birthday!","Bad Teacher"
"31",230604,234858,"But between four classesand planning a wedding, my plate was full.","Bad Teacher"
"32",235235,237652,"Still, I know our students are in good hands.","Bad Teacher"
"33",239906,243157,"And even thoughI'll never teach again professionally,","Bad Teacher"
"34",243242,247120,"I've realized that I don't need a blackboardor a classroom","Bad Teacher"
"35",248038,249830,"to set an example.","Bad Teacher"
"36",268350,269935,"Adiós, bitches.","Bad Teacher"
"37",280822,284240,"Baby doll? I'm home.","Bad Teacher"
"38",284324,285533,"In here.","Bad Teacher"
"39",285617,289620,"Get yourself hard, 'cause I'm gonna suckyour dick like I'm mad at it.","Bad Teacher"
"40",290540,295293,"Look, your mom's here. Hi, Mom.What a fun surprise.","Bad Teacher"
"41",295377,297879,"Suitcases. Honey, are we going on a trip?","Bad Teacher"
"42",297963,301591,"- Elizabeth, we need to talk.- Sure.","Bad Teacher"
"43",301675,305052,"I'm starting to think that maybewe need to take a break.","Bad Teacher"
"44",305137,306430,"- Forever.- Mom.","Bad Teacher"
"45",306514,308682,"- Tell her what the accountant said.- Mom.","Bad Teacher"
"46",309600,313644,"Steven said that you spent$16,000 last month.","Bad Teacher"
"47",314396,315730,"He thinks you're bad news.","Bad Teacher"
"48",315814,318149,"- I know women like you.- Damn it, Mom.","Bad Teacher"
"49",318233,321944,"- I told you I could handle this.- I just want to ask her something.","Bad Teacher"
"50",322029,324197,"You truly love my son?","Bad Teacher"
"51",324656,327074,"I love him so much it hurts.","Bad Teacher"
"52",327785,331204,"- All right, then. When is his birthday?- Mom.","Bad Teacher"
"53",332831,337586,"I'm not, you know... That is just offensivethat you would even ask me that.","Bad Teacher"
"54",337670,338920,"It's today.","Bad Teacher"
"55",340798,343675,"I know. God.","Bad Teacher"
"56",344761,346845,"That's why I got you this.","Bad Teacher"
"57",346928,349389,"Okay? Honey, happy birthday.","Bad Teacher"
"58",350057,352350,"- Boston Market?- And I was gonna suck his dick.","Bad Teacher"
"59",352435,353518,"So two presents.","Bad Teacher"
"60",354687,357314,"Okay, fine. I'll sign the prenup.","Bad Teacher"
"61",357856,359733,"It's over, Elizabeth.","Bad Teacher"
"62",360401,361692,"Mark, I'm pregnant.","Bad Teacher"
"63",361778,363194,"- Bullshit.- No, you're not.","Bad Teacher"
"64",363904,365822,"Okay, fine, I'm not actually pregnant.","Bad Teacher"
"65",365906,368158,"You know what, I'm starting to wonder","Bad Teacher"
"66",368242,370869,"whether this has always beenabout the money.","Bad Teacher"
"67",370952,373204,"- You never loved me.- I don't love you?","Bad Teacher"
"68",373288,376707,"I have been listening to you whineabout opera for the last year.","Bad Teacher"
"69",377000,381670,"Okay. If the younger generationdoesn't get into opera, then guess what?","Bad Teacher"
"70",381755,384632,"No more opera. An art form has died.","Bad Teacher"
"71",384716,387427,"If opera goes away, we're fucked.","Bad Teacher"
"72",388178,389346,"I want my ring back.","Bad Teacher"
"73",389805,392641,"What am I supposed to do, huh?Where am I supposed to go?","Bad Teacher"
"74",427718,431346,"There she is. Elizabeth Halsey.","Bad Teacher"
"75",434057,437101,"I am so excited we're gonna beacross-the-hall mates,","Bad Teacher"
"76",437185,440896,"but I am so sadit's because your relationship ended.","Bad Teacher"
"77",441565,443692,"- Who are you, again?- Amy Squirrel.","Bad Teacher"
"78",444944,447903,"- Squirrel?- Yeah. You know...","Bad Teacher"
"79",449990,453826,"Don't worry,you were kind of a lone wolf last year","Bad Teacher"
"80",453911,456913,"and so busy planning the wedding.","Bad Teacher"
"81",457415,460250,"- I found him in bed with somebody else.- Oh, my gosh.","Bad Teacher"
"82",460334,463377,"- It was another man.- Shut the front door.","Bad Teacher"
"83",465130,466965,"Somebody needs a hug.","Bad Teacher"
"84",467048,468257,"Somebody doesn't.","Bad Teacher"
"85",468843,474221,"Look. I know you kind of skated by last year,doing the bare-minimum thing,","Bad Teacher"
"86",474307,477016,"but I just want to say, now you're back,","Bad Teacher"
"87",477100,481312,"I just knowyou are gonna get your teaching on.","Bad Teacher"
"88",485567,488528,"I thought the teacherswere supposed to get the apples.","Bad Teacher"
"89",488612,492281,"Well, I think the students teach meat least as much as I teach them.","Bad Teacher"
"90",494076,495911,"That's just something I say sometimes.","Bad Teacher"
"91",495995,497245,"Stupid.","Bad Teacher"
"92",513261,517890,"Sorry. I just wanted to knowif you wanted to grab some lunch.","Bad Teacher"
"93",518433,520018,"I'm kind of in the middle of something, Lynn.","Bad Teacher"
"94",520101,521227,"My treat.","Bad Teacher"
"95",522980,525440,"You know, Lynn, when I first started teaching","Bad Teacher"
"96",525524,528275,"I thought that I was doing itfor all the right reasons.","Bad Teacher"
"97",528360,530861,"Shorter hours, summers off,no accountability.","Bad Teacher"
"98",530947,533907,"I love my summers. Fresh corn.","Bad Teacher"
"99",534951,539037,"From now on, my full-time job is findinga guy who's gonna take care of me.","Bad Teacher"
