"id","startTime","endTime","text","title"
"1",12279,18117,"♪ Love is a song that never ends ♪","Bambi"
"2",18118,23789,"♪ Life may be swift and fleeting ♪","Bambi"
"3",23790,29295,"♪ Hope may dieYet love's beautiful music ♪","Bambi"
"4",29296,35200,"♪ Comes each day like the dawn ♪","Bambi"
"5",35201,40906,"♪ Love is a song that never ends ♪","Bambi"
"6",40907,46512,"♪ One simple theme repeating ♪","Bambi"
"7",46513,52284,"♪ Like the voice ofa heavenly choir ♪","Bambi"
"8",52285,59703,"♪ Love's sweet music flows on ♪","Bambi"
"9",66032,72438,"♪ Like the voice ofa heavenly choir ♪","Bambi"
"10",72439,79521,"♪ Love's sweet music flows on ♪","Bambi"
"11",122288,124790,"(BIRD SINGS)","Bambi"
"12",133266,135768,"(BIRD WHISTLES)","Bambi"
"13",171070,173572,"(BIRD WHISTLES)","Bambi"
"14",199199,201366,"(SNORING)","Bambi"
"15",201367,204136,"Hoo!","Bambi"
"16",204137,206104,"(SNORES)","Bambi"
"17",206105,208473,"Hoo-hoo, hoo, hoo.","Bambi"
"18",208474,210542,"(OWL SNORES)","Bambi"
"19",210543,212147,"Hoo-hoo!","Bambi"
"20",220086,222588,"(CHICKS TWEET)","Bambi"
"21",249182,251719,"(BIRD SINGS)","Bambi"
"22",261327,263829,"(BIRD SINGS)","Bambi"
"23",269335,272111,"(CHORUS OF BIRDSONG)","Bambi"
"24",287020,289488,"(DRUMMING)","Bambi"
"25",289489,292950,"- THUMPER: Wake up! Wake up!- Oh, what now?","Bambi"
"26",292951,296862,"- THUMPER: Wake up, Friend Owl.- Hey, what's going on around here?","Bambi"
"27",296863,299531,"- Wake up!- It's happened. It's happened.","Bambi"
"28",299532,301500,"The new prince is born.","Bambi"
"29",301501,305448,"- We're going to see him.- Come on. You better hurry up.","Bambi"
"30",316316,320730,"Oh. Well, look.","Bambi"
"31",323623,326626,"- Well.- Isn't he cute?","Bambi"
"32",326926,328393,"Oh...","Bambi"
"33",328394,332967,"Well... (CHUCKLES)this is quite an occasion.","Bambi"
"34",333466,337914,"Yes, sir, it isn't everyday a prince is born.","Bambi"
"35",338971,341140,"You're to be congratulated.","Bambi"
"36",341141,343210,"- Yes, congratulations.- Congratulations.","Bambi"
"37",343211,347213,"- Congratulations.- Thank you very much.","Bambi"
"38",347847,352056,"Come on. Wake up.We have company.","Bambi"
"39",357123,359091,"Hello. Hello, there.","Bambi"
"40",359092,362061,"- Hello, little prince.- Hello. Hello, there.","Bambi"
"41",362062,364563,"Hello, little prince.","Bambi"
"42",364564,367066,"OWL: Hoo-hoo!","Bambi"
"43",367767,369401,"Hoo-hoo!","Bambi"
"44",369402,372439,"(CHUCKLES) Hoo-hoo!","Bambi"
"45",372538,375450,"(OWL LAUGHS)","Bambi"
"46",378111,380613,"- (LAUGHS)- (ANIMALS LAUGH)","Bambi"
"47",382315,386228,"Look! He's trying to get up.","Bambi"
"48",408574,410909,"Kinda wobbly, isn't he?","Bambi"
"49",410910,413412,"Thumper!","Bambi"
"50",414046,416548,"Well, he is.","Bambi"
"51",417984,421226,"- Aren't you?- (BLEATS)","Bambi"
"52",422622,425124,"(ANIMALS LAUGH)","Bambi"
