"id","startTime","endTime","text","title"
"1",269436,271897,"- Here we go, Nick.- All right","Basic Instinct"
"2",274733,276652,"- Good morning, Detective.- I want a shot of the two detectives.","Basic Instinct"
"3",276735,278862,"Keep it back, folks.","Basic Instinct"
"4",278946,280864,"- Howdy.- Morning.","Basic Instinct"
"5",283242,285369,"Up there.","Basic Instinct"
"6",289623,291875,"- How's it going, Gus?- Morning, Pete.","Basic Instinct"
"7",291959,296129,"- Who was this fucking guy?- Rock and roll, Gus.Johnny Boz.","Basic Instinct"
"8",296213,298549,"- Never heard of him.- Before your time, cowboy.","Basic Instinct"
"9",298632,300926,"- Hey, Ronny, where they hiding?- Upstairs, to the right.","Basic Instinct"
"10",301009,304721,"Mid '60s, had five or six hits.Got a club down on Fillmore now.","Basic Instinct"
"11",304805,306223,"Not now, he don't.","Basic Instinct"
"12",307724,309977,"- Do we have a time of death?- Almost.","Basic Instinct"
"13",310060,312437,"- Do you guys know Captain Tallcott?- Sure.","Basic Instinct"
"14",312479,315732,"- What's the Chief's office doing here?- Observing.","Basic Instinct"
"15",315816,317734,"- You get that stuff out of the wall?- I got it.","Basic Instinct"
"16",317818,321780,"- What's it say, Doc?- Ninety-two degrees. About six hours.","Basic Instinct"
"17",321864,324408,"Puts time of deathat around 2:00 a.m.","Basic Instinct"
"18",324491,327828,"Can somebody closethe drapes over there?","Basic Instinct"
"19",327911,330497,"Maid came in about an hour agoand found the body.","Basic Instinct"
"20",330581,332958,"- She's not a live-in.- Maybe the maid did it.","Basic Instinct"
"21",333041,335586,"She's 54 years oldand weighs 240 pounds.","Basic Instinct"
"22",335669,338130,"- No bruises on the body.- It ain't the maid.","Basic Instinct"
"23",338172,339590,"Never know.","Basic Instinct"
"24",343343,344803,"Sorry.","Basic Instinct"
"25",344845,348348,"He was last seen leaving the clubwith his girlfriend about midnight.","Basic Instinct"
"26",348432,352186,"- What was it?- Ice pick. Left it in the living room.","Basic Instinct"
"27",354688,357858,"There's come stainsall over the sheets.","Basic Instinct"
"28",365407,368952,"- Very impressive.- He got off before he got off.","Basic Instinct"
"29",369036,371038,"Gentlemen, this is sensitive.","Basic Instinct"
"30",371121,373832,"Mr. Boz was a major contributorto the mayor's campaign.","Basic Instinct"
"31",373916,376335,"He was chairman of the boardof the Palace of Fine Arts.","Basic Instinct"
"32",376376,378337,"I thought he was a rock and roll star.","Basic Instinct"
"33",378378,380547,"He was a retiredrock and roll star.","Basic Instinct"
"34",380631,383884,"A civic-minded, very respectablerock and roll star.","Basic Instinct"
"35",383967,386345,"Then, what's that over there?","Basic Instinct"
"36",388555,391850,"Looks like civic-minded,very respectable cocaine.","Basic Instinct"
"37",394186,397022,"Listen to me, Curran.I'm gonna get a lot of heat on this.","Basic Instinct"
"38",397105,399024,"I don't want any mistakes.","Basic Instinct"
