"id","startTime","endTime","text","title"
"1",150000,151000,"Halt!","Beau Geste"
"2",154700,158000,"Where are all your Touaregs and thebattle, murder, and sudden death?","Beau Geste"
"3",158000,161000,"You know the Arabs alwayscarry off their own dead, Major.","Beau Geste"
"4",161100,162400,"Wake them up in there!","Beau Geste"
"5",162500,163600,"Yes, sir.","Beau Geste"
"6",174200,175900,"The lookout toweris empty.","Beau Geste"
"7",176000,179200,"The place is probably bulgingwith Touaregs, sir.","Beau Geste"
"8",179700,181600,"No, I don't think so.","Beau Geste"
"9",193100,194700,"I'm gonna takea closer look.","Beau Geste"
"10",194700,196100,"Attack if I'mfired on again.","Beau Geste"
"11",196100,197300,"Yes, sir.","Beau Geste"
"12",202800,205800,"Major Beaujolais with arelief column from Fort Tokotu.","Beau Geste"
"13",205800,207300,"Call your officer and tell...","Beau Geste"
"14",258000,260200,"Give me your rope.I'm going over the wall.","Beau Geste"
"15",260300,262300,"Attack if you don't hearfrom me in 10 minutes.","Beau Geste"
"16",262400,263400,"May I aska question, sir?","Beau Geste"
"17",263500,264500,"They're all dead.","Beau Geste"
"18",264500,266200,"Dead, sir?Exactly. Dead.","Beau Geste"
"19",266300,267700,"It may be a trap, Major.Let me go.","Beau Geste"
"20",267800,268800,"You are too important.","Beau Geste"
"21",268900,270000,"May I go, sir?","Beau Geste"
"22",270100,271000,"Yes.","Beau Geste"
"23",271100,272900,"Go over the walland open the gates.","Beau Geste"
"24",273000,274800,"Keep your eyes open!","Beau Geste"
"25",313900,315500,"What aboutthose 2 shots, sir?","Beau Geste"
"26",315500,317900,"I can ask the questionsmyself, Dufour.","Beau Geste"
"27",320900,322400,"It shouldn't havetaken him this long.","Beau Geste"
"28",322500,323500,"No, sir.","Beau Geste"
"29",323600,324600,"I'm going over myself.","Beau Geste"
"30",324700,327100,"I'll tear the place down ifyou're not out in 5 minutes.","Beau Geste"
"31",327200,328200,"All right.","Beau Geste"
"32",412300,413500,"Bugler!","Beau Geste"
"33",414700,415900,"Bugler!","Beau Geste"
"34",421000,422600,"Bugler!Answer me!","Beau Geste"
"35",459700,460700,"Bugler!","Beau Geste"
"36",461600,462600,"Bugler!","Beau Geste"
"37",504000,505100,"Halt!","Beau Geste"
"38",505200,506600,"I'm gladto see you, sir.","Beau Geste"
"39",506700,507600,"Thanks.","Beau Geste"
"40",507800,508800,"Come here.","Beau Geste"
"41",513500,515800,"Not a soul alivein the place.","Beau Geste"
"42",516700,518200,"No sign of an enemy?","Beau Geste"
"43",518500,519700,"No, sir.","Beau Geste"
"44",522400,523600,"They're dead.","Beau Geste"
"45",524400,525600,"Yes, sir.","Beau Geste"
"46",530300,531600,"Where's the bugler?","Beau Geste"
"47",531700,534200,"Look for him if you want to.I have.","Beau Geste"
"48",534300,535600,"No thanks, sir.","Beau Geste"
"49",535600,538100,"Up here is a young manwho died peacefully.","Beau Geste"
"50",538600,540000,"Beside him is a sergeant","Beau Geste"
"51",540100,542400,"with a French bayonetthrough his heart.","Beau Geste"
"52",545800,546900,"Where, sir?","Beau Geste"
"53",550000,551100,"Never mind.","Beau Geste"
"54",561600,563900,"I have several questionsI'd like to ask, sir.","Beau Geste"
"55",564000,565300,"I have a few myself.","Beau Geste"
"56",565400,566900,"We'll campin the oasis tonight.","Beau Geste"
"57",567000,568700,"Tomorrow, I'll getto the bottom of this","Beau Geste"
"58",568800,570700,"if I have to take a tripto the next world.","Beau Geste"
"59",570800,572700,"Touaregs!","Beau Geste"
"60",572700,574100,"Fall backon the oasis.","Beau Geste"
"61",574100,577000,"Break ranksand fall back to the oasis!","Beau Geste"
"62",598100,600900,"Dufour, I want 2 men to go backto Fort Tokotu for reinforcements.","Beau Geste"
"63",601000,602200,"Right, sir.We'll go, sir.","Beau Geste"
"64",602300,603300,"Good.","Beau Geste"
"65",603400,604800,"Now, one of youmust get through.","Beau Geste"
"66",604900,606300,"Split up when you getin the desert.","Beau Geste"
"67",606400,609400,"Have Lt. St. Andre bring hismounted Senegalese as fast as he can.","Beau Geste"
"68",609500,611000,"Yes, sir.","Beau Geste"
"69",611100,612200,"Cease firing!","Beau Geste"
"70",612300,613600,"Cease firing!","Beau Geste"
"71",615000,616700,"Cease firing.","Beau Geste"
"72",617600,618800,"Look, Major!","Beau Geste"
"73",622900,624600,"There goes the evidence.","Beau Geste"
"74",625300,626800,"Of what, sir?","Beau Geste"
"75",627800,629400,"I don't know.","Beau Geste"
"76",632000,634500,"Dufour, how am I gonnamake a report about this?","Beau Geste"
"77",634600,636300,"If I say exactlywhat's happened,","Beau Geste"
"78",636400,638600,"they'll say I'm madat Headquarters.","Beau Geste"
"79",669300,671200,"I think thisis a silly game!","Beau Geste"
"80",672800,674600,"For that remark,Ghastly Gussie,","Beau Geste"
"81",674700,677200,"you are reduced from captainto a common seaman!","Beau Geste"
"82",677300,680600,"How much longer do I have tobe a common seaman, Admiral?","Beau Geste"
"83",680800,682800,"Well, it takes timeto work up.","Beau Geste"
"84",685400,686800,"You know, Digby,","Beau Geste"
"85",687000,689400,"John's a good workerfor a common seaman.","Beau Geste"
"86",689500,692200,"It, uh, it wouldn't be agood idea to promote him.","Beau Geste"
"87",692200,694700,"That's right, Beau.He might stop working.","Beau Geste"
"88",697800,699800,"I knew somethingwould happen.","Beau Geste"
"89",699800,701000,"Are you hit?","Beau Geste"
"90",701100,702400,"Y-Yes, sir.","Beau Geste"
"91",702500,703600,"Well, come ashore.","Beau Geste"
"92",703700,705200,"And bring the ships.","Beau Geste"
"93",706300,707900,"Are you hurt much?","Beau Geste"
"94",708000,710000,"Yeah. No.","Beau Geste"
"95",710000,711000,"Are you all right?","Beau Geste"
"96",711100,712000,"Well...","Beau Geste"
"97",712100,714000,"Now be careful.It hit pretty hard.","Beau Geste"
"98",714000,715200,"Don't bump that leg.","Beau Geste"
"99",715300,716600,"Here we are.","Beau Geste"
"100",716700,718000,"Lie down...Steady.","Beau Geste"
"101",718000,720000,"...and we'll examinethe wound.","Beau Geste"
"102",722000,724100,"Do you... Do you wantto bite on a bullet?","Beau Geste"
"103",724200,725700,"That's what theyalways do in books.","Beau Geste"
"104",725800,727800,"Will... will I getpromoted if I do?","Beau Geste"
"105",728100,729500,"If you don't shout.","Beau Geste"
"106",729500,731100,"l... I won't shout.","Beau Geste"
"107",736300,737300,"I'm ready,Captain.","Beau Geste"
"108",737400,738900,"Sit on him.Yes, sir.","Beau Geste"
"109",745100,747500,"Wait till Aunt Patriciahears about this.","Beau Geste"
"110",756000,757100,"There it is.","Beau Geste"
