"id","startTime","endTime","text","title"
"1",35400,38400,"I'm goingto tell you a story now.","Bedtime Stories"
"2",38400,40900,"But as any good storyteller knows,","Bedtime Stories"
"3",41000,44600,"one must first be surethe audience is prepared.","Bedtime Stories"
"4",44700,47100,"Is everybody comfortably seated?","Bedtime Stories"
"5",47100,49400,"Does anyone need to use the bathroom?","Bedtime Stories"
"6",49500,52600,"Oh. You, sir, in the back?","Bedtime Stories"
"7",52600,54500,"Well, hold it in.","Bedtime Stories"
"8",56900,59500,"You ready? Here we go.","Bedtime Stories"
"9",62500,65300,"My name is Marty Bronson.","Bedtime Stories"
"10",65400,69400,"I owned and operatedthe Sunny Vista Motel,","Bedtime Stories"
"11",69500,73100,"which I established on the cornerof Sunset and La Cienega Boulevards","Bedtime Stories"
"12",73200,78300,"in Los Angeles, California,in the year 1974.","Bedtime Stories"
"13",78300,81900,"The motel was my labor of love,","Bedtime Stories"
"14",81900,84800,"and I ran it with the helpWendy...","Bedtime Stories"
"15",84800,89000,"Wendy, the key, please,for Mr. and Mrs. Dixon.","Bedtime Stories"
"16",90400,91400,"Thank you.","Bedtime Stories"
"17",91400,92600,"And Skeeter.","Bedtime Stories"
"18",95500,98100,"May I help you with your bags,Mr. and Mrs. Dixon?","Bedtime Stories"
"19",98200,100700,"- Yes, please.- Why, thank you, young man.","Bedtime Stories"
"20",105100,106600,"You, uh, need a hand?","Bedtime Stories"
"21",106700,108400,"No, no. I got it.","Bedtime Stories"
"22",109600,110800,"OK.","Bedtime Stories"
"23",112600,116400,"To my boy Skeeter,the motel was a wonderland.","Bedtime Stories"
"24",116500,118100,"Way too hyper.","Bedtime Stories"
"25",118200,120800,"The galaxy's not big enoughfor the both of us.","Bedtime Stories"
"26",120800,122300,"A magical place.","Bedtime Stories"
"27",125400,128900,"Full of new adventuresfor a six-year-old boy.","Bedtime Stories"
"28",130400,133500,"Oh, Skeeter. Come here.","Bedtime Stories"
"29",136200,140000,"Skeeter loved the old placeas much as I did.","Bedtime Stories"
"30",140000,143500,"And he always tried to come upwith ways to make it even better.","Bedtime Stories"
"31",143500,146800,"I've got a lot of ideas howto improve things around here.","Bedtime Stories"
"32",146900,150700,"I was thinking we could putan extra pair of socks in each room","Bedtime Stories"
"33",150800,154500,"because people always forget to packenough socks when they go on a trip.","Bedtime Stories"
"34",155500,157000,"That's a good idea.","Bedtime Stories"
"35",157100,159500,"Time for bed,I'm meeting with Mr. Nottingham.","Bedtime Stories"
"36",159600,162200,"Wait, Dad. I'm not even tired.","Bedtime Stories"
