"id","startTime","endTime","text","title"
"1",58576,60300,"I come for peace","Beowulf"
"2",60609,62920,"Give me peace my reyna","Beowulf"
"3",63173,65687,"DENMARK507 after Christ","Beowulf"
"4",70093,72341,"My beautiful reyna","Beowulf"
"5",79251,82414,"The is called Mr. of the death","Beowulf"
"6",82727,89808,"It will be accepted as the only God","Beowulf"
"7",125378,126409,"hold","Beowulf"
"8",134991,137633,"My fans, my beautiful fans","Beowulf"
"9",137888,141350,"One year ago they made metheir king","Beowulf"
"10",141629,144054,"We take place tonight","Beowulf"
"11",144326,145941,"and a new home","Beowulf"
"12",146184,147978,"Majestic and beautiful","Beowulf"
"13",154673,159709,"We will share the goldand the treasure","Beowulf"
"14",160183,165134,"And this it should be a placeof happiness and fornication","Beowulf"
"15",170278,174721,"Until the end of the timeI name him...","Beowulf"
"16",191895,197730,"A place full with virgins","Beowulf"
"17",198306,201331,"And this to make honors","Beowulf"
"18",204145,206691,"Where demons thesebastard's piece","Beowulf"
"19",207616,209230,"here my king","Beowulf"
"20",210695,212013,"They come here","Beowulf"
"21",241984,243646,"The king is not a king","Beowulf"
"22",245909,248309,"Not it is of the reyna type","Beowulf"
"23",252104,259920,"The king of many battles","Beowulf"
"24",357779,359389,"These stealing","Beowulf"
"25",359682,360993,"these stealing?","Beowulf"
"26",364657,366762,"As you dare to make me that","Beowulf"
"27",474875,476568,"A sword!Give me a sword!","Beowulf"
"28",578268,579233,"Fight with me!","Beowulf"
"29",583725,584698,"Fight with me!","Beowulf"
"30",628988,630456,"It fights with me damned","Beowulf"
"31",680551,682649,"That that was?","Beowulf"
"32",685501,687242,"Grendel","Beowulf"
"33",701334,703403,"That you have made?","Beowulf"
"34",721732,725557,"Man...  destination","Beowulf"
"35",734456,737853,"He/she has left many","Beowulf"
"36",786396,788367,"good boy","Beowulf"
"37",804161,806421,"Men...  there is another fire","Beowulf"
"38",807398,809250,"This but there of everything","Beowulf"
"39",810031,811279,"And he/she burns until the death","Beowulf"
"40",812252,815510,"Seal all the doors and windows","Beowulf"
"41",815745,820787,"For the king's order...  there won't beany sin","Beowulf"
"42",826152,827592,"He/she comes to see me","Beowulf"
"43",827807,831602,"It looked for me until the placebut deep of the island","Beowulf"
"44",833636,838583,"To the one that discovers it I will give him/herhalf of my reyno and 20 men","Beowulf"
"45",839861,843533,"The king knows that peopleit would be sacrificed but","Beowulf"
"46",843730,847518,"he/she knows, for their pleasure...","Beowulf"
"47",848243,851479,"...  he/she will live in big","Beowulf"
"48",851915,855419,"Jesus Christ perhaps canto cure our afflictions","Beowulf"
"49",860099,863049,"The God won't make anythingwe are us alone","Beowulf"
"50",864424,865801,"What we need is a hero","Beowulf"
"51",883364,884733,"Do they come it to come?","Beowulf"
"52",885050,886424,"As soon as they see it they shoot","Beowulf"
"53",886591,888671,"I don't see anything but thatthe wind in the rain","Beowulf"
"54",890094,893625,"We are lost","Beowulf"
"55",894498,897362,"They will see my friends","Beowulf"
"56",897618,900169,"They can take me until the moon","Beowulf"
"57",922607,925066,"The storm this worse one my Lord","Beowulf"
"58",926689,928893,"I was never so sure","Beowulf"
"59",929192,932257,"These demons didn't leave us","Beowulf"
"60",933021,935258,"If we win we will eat","Beowulf"
"61",1013499,1014443,"Who are?","Beowulf"
"62",1015419,1016685,"They are dressed as warriors","Beowulf"
"63",1016972,1019509,"He/she speaks or I will cross you","Beowulf"
"64",1019784,1023436,"We are navigating... I am Beowulf","Beowulf"
"65",1023677,1025204,"Son of...","Beowulf"
"66",1026465,1029716,"We come to see your kingfor friendship","Beowulf"
"67",1030552,1032965,"He/she said that they have a mounstro here","Beowulf"
"68",1033696,1035924,"They said that their landsthey are damned","Beowulf"
"69",1036260,1036949,"Who says it?","Beowulf"
"70",1037285,1041328,"I have seen the king in lands ejanas","Beowulf"
"71",1041626,1044735,"-Not hy shame for those demons-I Am Beowulf","Beowulf"
"72",1045773,1047558,"And I came to kill to your mounstro","Beowulf"
"73",1050855,1055654,"We have already had silly many heroesthat they come and they die for gold","Beowulf"
"74",1055919,1059094,"If we die... it will be for glory","Beowulf"
"75",1059792,1060665,"not for gold","Beowulf"
"76",1076129,1077872,"There are warriors out...  thieves","Beowulf"
"77",1078548,1082174,"-One of them calls you Beowulf and he/she said... -Bewulf?","Beowulf"
"78",1084843,1086479,"Where these?","Beowulf"
"79",1086709,1089055,"You are welcome, son","Beowulf"
