"id","startTime","endTime","text","title"
"1",107560,108799,"Get up! Get up!","Big Hero 6"
"2",132919,138609,"The winner,by total annihilation...","Big Hero 6"
"3",138800,140528,"Yama!","Big Hero 6"
"4",140759,141841,"Who is next?","Big Hero 6"
"5",142120,145123,"Who has the guts to step intothe ring with Little Yama?","Big Hero 6"
"6",145240,147049,"Yama!","Big Hero 6"
"7",147639,149608,"- Can I try?- Hmm.","Big Hero 6"
"8",151000,154003,"I have a robot.I built it myself.","Big Hero 6"
"9",160759,161966,"Beat it, kid.","Big Hero 6"
"10",162199,164884,"House rules.You gotta pay to play.","Big Hero 6"
"11",165079,167320,"Oh, uh, is this enough?","Big Hero 6"
"12",167800,170371,"What's your name, little boy?","Big Hero 6"
"13",171039,173168,"Hiro. Hiro Hamada.","Big Hero 6"
"14",173680,176968,"Prepare your bot, Zero.","Big Hero 6"
"15",188759,190409,"Two bots enter,","Big Hero 6"
"16",190639,192687,"one bot leaves.","Big Hero 6"
"17",192800,193800,"Fighters ready?","Big Hero 6"
"18",195080,196161,"Fight!","Big Hero 6"
"19",207719,210165,"That was my first fight.I... Can I try again?","Big Hero 6"
"20",210400,213210,"No one likes a sore loser,little boy.","Big Hero 6"
"21",213439,215090,"Go home.","Big Hero 6"
"22",215360,216724,"I've got more money.","Big Hero 6"
"23",222520,224204,"Fighters ready?","Big Hero 6"
"24",224439,225850,"Fight!","Big Hero 6"
"25",228960,231122,"Mega-bot, destroy.","Big Hero 6"
"26",232360,233360,"Huh?","Big Hero 6"
"27",237479,238686,"What? Huh?","Big Hero 6"
"28",261920,264490,"- No more Little Yama.- But, wha...","Big Hero 6"
"29",264720,266290,"This is not possible!","Big Hero 6"
"30",267040,269088,"Hey, I'm as surprisedas you are.","Big Hero 6"
"31",269319,270651,"Beginner's luck.","Big Hero 6"
"32",270879,273167,"Do you want to go again, Yama?","Big Hero 6"
"33",274040,276122,"- No one hustles Yama!- Whoa. Hey...","Big Hero 6"
"34",276759,278728,"Teach him a lesson.","Big Hero 6"
"35",279319,281846,"Hey, fellas.Let's talk about this.","Big Hero 6"
"36",285079,286808,"- Hiro! Get on!- Tadashi!","Big Hero 6"
"37",287279,288441,"Oh, good timing!","Big Hero 6"
"38",292639,293641,"A-ha!","Big Hero 6"
