"id","startTime","endTime","text","title"
"1",30359,33363,"(Flies buzzing)","Bone Tomahawk"
"2",43079,46084,"(Grunting)","Bone Tomahawk"
"3",49920,52923,"(Crunching)","Bone Tomahawk"
"4",56240,58322,"(Dripping)","Bone Tomahawk"
"5",58759,60569,"Why do they alwayswet themselves?","Bone Tomahawk"
"6",60640,62243,"Just get on with the task.","Bone Tomahawk"
"7",68159,70322,"- They got books.-Well, shake 'em out.","Bone Tomahawk"
"8",70400,72289,"See if money comesout the pages.","Bone Tomahawk"
"9",74239,76242,"It won't be in thetable of contents.","Bone Tomahawk"
"10",77280,79885,"Save them jokes that nobodylikes for the campfire.","Bone Tomahawk"
"11",92599,93930,"(Gunshot)","Bone Tomahawk"
"12",94960,96085,"(Screams)","Bone Tomahawk"
"13",99680,101204,"You didn't cut him deep enough.","Bone Tomahawk"
"14",101960,105600,"He had a lot of blood.An unusual amount.","Bone Tomahawk"
"15",105680,107603,"He has the same as every other.","Bone Tomahawk"
"16",109319,110366,"Help me up.","Bone Tomahawk"
"17",117200,121204,"There are 16 majorveins in the neck","Bone Tomahawk"
"18",121280,123442,"And you have to cutthrough 'em all.","Bone Tomahawk"
"19",123560,125209,"There ain't 16.","Bone Tomahawk"
"20",125280,126769,"My uncle hadan acquaintance with","Bone Tomahawk"
"21",126840,128682,"A man who usedto be a doctor","Bone Tomahawk"
"22",128759,129841,"And that's what he said.","Bone Tomahawk"
"23",129919,132810,"Now you get on with the task.","Bone Tomahawk"
"24",133680,135408,"Worthless.","Bone Tomahawk"
"25",136079,138081,"Don't throw no Bibles in there.","Bone Tomahawk"
"26",138520,140647,"I know it's bad luck.","Bone Tomahawk"
"27",141479,144131,"Besides you can alwayssell them to some idiot.","Bone Tomahawk"
"28",152280,153930,"Buddy...","Bone Tomahawk"
"29",154400,155889,"I hear horses.","Bone Tomahawk"
"30",155960,157121,"Are you certain?","Bone Tomahawk"
"31",157319,158526,"(Horses approachingin the distance)","Bone Tomahawk"
"32",158599,160090,"Positively.","Bone Tomahawk"
"33",161079,163686,"Damn! It was that gun shot.","Bone Tomahawk"
"34",163759,165489,"A bat in Chinacould've heard that.","Bone Tomahawk"
"35",165599,166930,"That's a full gallop.","Bone Tomahawk"
"36",167159,169925,"We're gonna have to get upthere in them rocks and hide.","Bone Tomahawk"
"37",187240,189082,"Fifteen minutes 'tilthey get there.","Bone Tomahawk"
"38",189159,190400,"Buddy: Scurry.","Bone Tomahawk"
"39",192159,194127,"(Eerie horn blowing)","Bone Tomahawk"
"40",194199,195360,"You hear that?","Bone Tomahawk"
"41",195439,196646,"Buddy: It was a gust.","Bone Tomahawk"
"42",196719,198643,"That's a real musical gust.","Bone Tomahawk"
"43",198759,200045,"Buddy: And?","Bone Tomahawk"
"44",200120,201450,"It's ominous.","Bone Tomahawk"
"45",201520,204921,"This is not the time forwomanly imaginings.","Bone Tomahawk"
"46",205680,206760,"Go.","Bone Tomahawk"
"47",212479,215289,"What's that? A wolf?","Bone Tomahawk"
"48",215400,217050,"Bear, looks like.","Bone Tomahawk"
"49",224280,227966,"Is this some kind of sign?""Keep Out"" or something.","Bone Tomahawk"
"50",228079,229569,"We got permission.","Bone Tomahawk"
"51",234560,236129,"(Quick footsteps)","Bone Tomahawk"
"52",236199,237406,"Was that us?","Bone Tomahawk"
"53",240800,243929,"I thought the sun wasin the other direction.","Bone Tomahawk"
"54",244000,245444,"Well, it's here now.","Bone Tomahawk"
"55",246280,247360,"Get.","Bone Tomahawk"
"56",258879,260848,"That's where we're goin'.","Bone Tomahawk"
"57",260920,263810,"Straight through thisplace and deeper in.","Bone Tomahawk"
"58",263879,265689,"Maybe we shouldn'tbe going some place","Bone Tomahawk"
"59",265759,267569,"That looks like aburial ground.","Bone Tomahawk"
"60",267639,269880,"To a bunch of godless savages.","Bone Tomahawk"
"61",269959,272485,"Ain't no concern ofthe civilized man.","Bone Tomahawk"
"62",283759,285841,"A jail on fire is saferthan a place like this.","Bone Tomahawk"
"63",285920,288048,"It's better than sittin'in that damn gulch,","Bone Tomahawk"
"64",288120,291283,"Riders comin' in from one wayand savages the other.","Bone Tomahawk"
"65",291360,292805,"You want to go back there, go.","Bone Tomahawk"
