"id","startTime","endTime","text","title"
"1",80180,82341," Some wagonce remarked that after New York...","Boomerang!"
"2",82415,84542,"it's all Connecticut.","Boomerang!"
"3",84617,89179,"The intent was humorous, but like manysarcasms, it contained the germ of truth...","Boomerang!"
"4",89255,92019,"for the small cities which make upthe backbone of the nation...","Boomerang!"
"5",92092,94356,"are all in the same pattern.","Boomerang!"
"6",94427,96156,"That's why it doesn'treally make much difference...","Boomerang!"
"7",96229,99198,"that we have brought youto this town in Connecticut.","Boomerang!"
"8",99265,101699,"The basic facts of our storyactually occurred...","Boomerang!"
"9",101768,104669,"in a Connecticut communitymuch like this one...","Boomerang!"
"10",104737,106728,"but they could'vehappened anywhere�","Boomerang!"
"11",106806,110572,"in Oregon or Mississippi,Georgia or Utah.","Boomerang!"
"12",110643,113168,"You may have other namesfor your streets...","Boomerang!"
"13",113246,117080,"but whether you call them Center Street,North Street or Main Street...","Boomerang!"
"14",117150,119345,"they're not much differentfrom these.","Boomerang!"
"15",119419,122388,"And the people, well,maybe they dress a little differently...","Boomerang!"
"16",122455,124855,"or talk a littledifferently here...","Boomerang!"
"17",124924,129554,"but underneath they're the sameas your next-door neighbor,
and you probably know them all�","Boomerang!"
"18",129629,131893,"the cop on the beat,the kid selling papers...","Boomerang!"
"19",131965,137232,"shopkeepers, lawyers,good people, bad people.","Boomerang!"
"20",137303,139771,"And if your town is lucky,you may have a minister...","Boomerang!"
"21",139839,143866,"who is as familiar to youas Father Lambert was to this town�","Boomerang!"
"22",143943,146844,"a man knownand loved by all.","Boomerang!"
"23",146913,149211,"You might find him almostany evening on Main Street...","Boomerang!"
"24",149282,152012,"taking his constitutionalafter supper.","Boomerang!"
"25",152085,155543,"A cheerful, kindly figurewith a friendly word for everyone.","Boomerang!"
"26",155622,157613,"- Good evening, Father.- Give me a match, will you?","Boomerang!"
"27",157690,160625,"- Sure. There you are. Good night.- Thanks.","Boomerang!"
"28",168835,171269,"- Hello, Father.- Hello, my dear.","Boomerang!"
"29",187654,189713,"Stop that man!","Boomerang!"
"30",192058,196461,"Hey, stop that man! Stop him!Grab him! Grab him!","Boomerang!"
"31",196529,199726,"Is he dead?","Boomerang!"
"32",199799,203735,"- It's poor old Father Lambert.- Somebody'd better do something!","Boomerang!"
"33",203803,206931,"Look out, look out.I seen the whole thing.","Boomerang!"
"34",207006,208769,"- I was standing over there.- So did I.","Boomerang!"
"35",208841,211105,"- I seen the whole thing.- We'd better get the cops.","Boomerang!"
"36",211177,213577,"- Where's the nearest phone?- There's one over at the drugstore.","Boomerang!"
"37",213646,215773,"- Well, go, somebody!- I'll go.","Boomerang!"
"38",215848,217941,"Put down that pipe.Don't touch a thing.","Boomerang!"
"39",218017,221714,"- That's right.- Nobody touch anything until the cops come.","Boomerang!"
"40",237036,240096," It seems incredible,but in your town and my town...","Boomerang!"
"41",240173,242698,"these things actually happen.","Boomerang!"
"42",242775,245005,"Life is pleasant and a little dull...","Boomerang!"
"43",245078,249105,"and night after night, we yawn,flick off the radio and go to bed.","Boomerang!"
"44",249182,251173,"Then one morning,black headlines stare at us.","Boomerang!"
"45",251251,255210,"A war is declared,the stock market crashes...","Boomerang!"
"46",255288,258689,"or a kindly old manis shot down on the street...","Boomerang!"
"47",258758,262353,"and the quiet pool of community lifeis suddenly stirred up.","Boomerang!"
"48",262428,267365,"Its waters boil, and its quiet currentstwist in new and devious ways.","Boomerang!"
"49",267433,269799,"- I can't believe it.- No one in town can.","Boomerang!"
"50",269869,273600,"That's right. No one does.Extra! Paper!","Boomerang!"
"51",290623,292818,"You better do this, George.","Boomerang!"
"52",295061,297256,"We took a vote, lady,and, well, here.","Boomerang!"
"53",297330,300663,"- He did us favors from time to time.- Put it up close, will you?","Boomerang!"
"54",300733,304396,"Thank you, boys.Thank you.","Boomerang!"
"55",304470,307030,"More than any man I have ever known.","Boomerang!"
"56",307106,311702,"He gave his life completely to the serviceand to the welfare of others.","Boomerang!"
"57",311778,314713,"He was simple and unassuming...","Boomerang!"
"58",314781,317909,"yet we who knew himfelt he wore the mantle of greatness.","Boomerang!"
"59",319952,322011,"We will miss him.","Boomerang!"
"60",327493,329620," Yes, the deathof a man like Father Lambert...","Boomerang!"
"61",329696,331926,"leaves a gap in any community...","Boomerang!"
"62",331998,334796,"for unfortunately,there are too few like him.","Boomerang!"
"63",334867,337631,"The old minister spentmost ofhis life here...","Boomerang!"
"64",337704,339729,"quietly building uphis parish...","Boomerang!"
"65",339806,342240,"sharing the simple lifeofhis neighborhood...","Boomerang!"
"66",342308,344435,"and, somehow,imbuing his parishioners...","Boomerang!"
"67",344510,348571,"with some ofhis ownkindliness and humanity.","Boomerang!"
"68",348648,351412,"Maybe he was luckierthan most pastors...","Boomerang!"
"69",351484,354647,"for late in life a reform governmenttook over the city...","Boomerang!"
"70",354721,359624,"ousting the machine politiciansand bringing fresh impetus to city planning.","Boomerang!"
"71",359692,364220,"To such projects as parks,playgrounds and recreational centers...","Boomerang!"
"72",364297,368165,"the old man gladly contributedhis own wisdom and experience...","Boomerang!"
"73",368234,371226,"and the dignity and weightofhis church.","Boomerang!"
"74",371304,373568,"Mr. Harris has kindlypointed out this section.","Boomerang!"
"75",373639,375630,"I merely mentionedits accessibility...","Boomerang!"
"76",375708,378836,"and the fact that the bankmay be able to arrange for its purchase.","Boomerang!"
"77",378911,381937,"- Father Lambert?- Looks like an excellent site.","Boomerang!"
"78",382014,386348,"- I find bankers always seemto know these things.","Boomerang!"
"79",386419,390753,"Of course, Mrs. Harvey,as chairman, will have the final say.","Boomerang!"
"80",390823,394281,"I think it's just fine.It's wonderful.","Boomerang!"
"81",394360,397261," But his everyday workwas with the people ofhis parish...","Boomerang!"
"82",397330,400788,"and especially with thosewho sought his advice and counsel.","Boomerang!"
"83",400867,404496,"Since he was a man of God,his labors sometimes led him...","Boomerang!"
"84",404570,408131,"into the strange and secret placesof men's souls.","Boomerang!"
"85",408207,411699,"He was just and forgiving,but he was also a man...","Boomerang!"
"86",411778,414770,"and a stern and uncompromisingjudge of character.","Boomerang!"
"87",414847,416906,"Stop that.","Boomerang!"
"88",419419,422547,"Even if I had wantedto forgive you, l� I couldn't.","Boomerang!"
"89",422622,425386,"It's out of my hands.","Boomerang!"
"90",425458,427619,"- Jim, you're a sick man.- But, Father, l�","Boomerang!"
"91",427693,429684,"We've been through itall before.","Boomerang!"
"92",429762,432629,"I can't help you.A sanitarium, perhaps.","Boomerang!"
"93",432698,436134,"No, I won't.If� If people would�","Boomerang!"
"94",436202,438693,"It's not people, son.It's you.","Boomerang!"
"95",438771,441171,"I've told you that before.","Boomerang!"
"96",441240,444676,"This time, fortunately,no great harm has been done.","Boomerang!"
"97",444744,447008,"But the next time�","Boomerang!"
"98",447079,449172,"No, I can't let yougo any longer.","Boomerang!"
"99",449248,451375,"It's got to be a sanitarium.","Boomerang!"
"100",452785,456016,"Have you spokento your mother about this?","Boomerang!"
"101",456088,458079,"You wouldn't tell her.","Boomerang!"
"102",458157,460250,"- I haven't spoken to anyone.- What about Father Gardiner?","Boomerang!"
"103",460326,463227,"Oh, Jim, you're startingall over again.","Boomerang!"
"104",463296,466857,"This is just between the two of us.","Boomerang!"
"105",466933,470096,"I prefer that youmake up your own mind, son...","Boomerang!"
"106",470169,474538,"but if you can't,I won't wait long.","Boomerang!"
"107",474607,477599,"For your own sake,I can't wait long.","Boomerang!"
"108",500766,504065,"Services will be heldTuesday at 11:00.","Boomerang!"
"109",504136,506934,"The body will lie in statein the church.","Boomerang!"
"110",520653,522985,"In the honorable office of priest...","Boomerang!"
"111",523055,525990,"grant, we beseech thee,that he may also be joined with them...","Boomerang!"
"112",526058,530392,"in a perpetual fellowshipthrough Jesus Christ our Lord...","Boomerang!"
"113",530463,533557,"who, with theeand the Holy Ghost livest...","Boomerang!"
"114",533633,536101,"ever a one-god woridwithout end.","Boomerang!"
"115",536168,539729,"Amen.","Boomerang!"
"116",539805,542638,"Grant, we beseech thee,O Lord, that the soul of thy servant...","Boomerang!"
"117",542708,545905,"the priest George, whom,while dwelling in this worid...","Boomerang!"
"118",545978,548344,"God has adornedwith holy gifts...","Boomerang!"
"119",548414,552180,"may ever rejoice with gloryin the heavenly mansions.","Boomerang!"
"120",554654,558317,"O God, who has bidden us to honorour father and our mother...","Boomerang!"
"121",558391,562487,"of thy mercy and compassionon the souls of my father and mother.","Boomerang!"
"122",562562,565963,"Forgive their sins.","Boomerang!"
"123",566032,569365,"- Well?- For a moment, I thought it was him.","Boomerang!"
"124",579845,582939,"The man thought it was him,but no luck.","Boomerang!"
"125",583015,585813,"- What'd you expect?- It's a chance, Chief.","Boomerang!"
