"id","startTime","endTime","text","title"
"1",172004,173028,"Hey.","Breakfast at Tiffany's"
"2",181848,183974,"Hey, baby. What's going on here?","Breakfast at Tiffany's"
"3",184082,185050,"Oh, hi.","Breakfast at Tiffany's"
"4",206772,208263,"Miss Golightly.","Breakfast at Tiffany's"
"5",211110,213305,"Some day... Some day...","Breakfast at Tiffany's"
"6",213646,215135,"Miss Golightly.","Breakfast at Tiffany's"
"7",217716,219308,"What happened to you, anyway?","Breakfast at Tiffany's"
"8",219418,220713,"You take off for the powder room","Breakfast at Tiffany's"
"9",220715,222013,"and that's the last I see you.","Breakfast at Tiffany's"
"10",222121,224748,"- Now, really, Harry...- Harry was the other guy.","Breakfast at Tiffany's"
"11",224856,227985,"I'm Sid. Sid Arbuck. You like me, remember?","Breakfast at Tiffany's"
"12",228127,231756,"Miss Golightly, I protest!","Breakfast at Tiffany's"
"13",232664,235326,"Oh, darling, I am sorry, but I lost my key.","Breakfast at Tiffany's"
"14",235468,237264,"But that was two weeks ago.","Breakfast at Tiffany's"
"15",237370,239997,"You cannot go on and keep ringing my bell.","Breakfast at Tiffany's"
"16",240240,243231,"You disturb me! You must have a key made!","Breakfast at Tiffany's"
"17",243643,245907,"But it won't do any good. I just lose them all.","Breakfast at Tiffany's"
"18",246012,248343,"Come on, baby. You like me. You know you do.","Breakfast at Tiffany's"
"19",248448,249675,"I worship you, Mr. Arbuck...","Breakfast at Tiffany's"
"20",249782,252478,"- but good night, Mr. Arbuck.- Baby, wait a minute. What is this?","Breakfast at Tiffany's"
"21",252585,254382,"You like me. I'm a liked guy.","Breakfast at Tiffany's"
"22",255121,256519,"You like me, baby. You know you do.","Breakfast at Tiffany's"
"23",256622,258317,"Didn't I pick up the check for five people?","Breakfast at Tiffany's"
"24",258423,259891,"Your friends. I've never seen them before.","Breakfast at Tiffany's"
"25",259992,262290,"And when you asked for a littlechange for the powder room...","Breakfast at Tiffany's"
"26",262394,264124,"what do I give you? A $50 bill.","Breakfast at Tiffany's"
"27",264230,266790,"Now doesn't that give me some rights?","Breakfast at Tiffany's"
"28",267000,269298,"In 30 seconds I going to call the police!","Breakfast at Tiffany's"
"29",270235,273228,"All the time disturbance! I get no sleep!","Breakfast at Tiffany's"
"30",273740,276038,"I got to get my rest! I'm an artist!","Breakfast at Tiffany's"
"31",276442,279069,"I am going to call the vice squad on you!","Breakfast at Tiffany's"
"32",279312,282007,"Don't be angry, you dear littleman, I won't do it again.","Breakfast at Tiffany's"
"33",282115,283103,"If you promise not to be angry...","Breakfast at Tiffany's"
"34",283216,286048,"I might let you take those pictures we mentioned.","Breakfast at Tiffany's"
"35",286718,287776,"When?","Breakfast at Tiffany's"
"36",288920,290149,"Sometime.","Breakfast at Tiffany's"
"37",292158,293386,"Anytime.","Breakfast at Tiffany's"
"38",294093,295286,"Good night.","Breakfast at Tiffany's"
"39",380178,383670,"I'm sorry to bother you, but Icouldn't get the downstairs door open.","Breakfast at Tiffany's"
"40",386418,388944,"I guess they sent me the upstairs key.","Breakfast at Tiffany's"
"41",389055,391420,"I couldn't get the downstairs door open.","Breakfast at Tiffany's"
"42",393692,397992,"I said, I guess they sent me the upstairs key.","Breakfast at Tiffany's"
"43",398096,401396,"I couldn't get the downstairs door open.I'm sorry to wake you.","Breakfast at Tiffany's"
"44",401701,403293,"That's quite all right.","Breakfast at Tiffany's"
"45",404569,407334,"It could happen to anyone, quitefrequently does. Good night.","Breakfast at Tiffany's"
"46",407439,408805,"I hate to...","Breakfast at Tiffany's"
"47",410442,413810,"I hate to bother you, but if Icould ask one more favor...","Breakfast at Tiffany's"
"48",413946,415675,"could I use the phone?","Breakfast at Tiffany's"
"49",417316,418374,"Sure.","Breakfast at Tiffany's"
"50",419317,420410,"Why not?","Breakfast at Tiffany's"
"51",421553,422713,"Thank you.","Breakfast at Tiffany's"
"52",424055,425682,"Well, this is...","Breakfast at Tiffany's"
"53",426459,428757,"a nice little place you've got here.","Breakfast at Tiffany's"
"54",429327,432694,"- You just moved in, too, huh?- No. I've been here about a year.","Breakfast at Tiffany's"
"55",433331,434764,"The phone's over there.","Breakfast at Tiffany's"
"56",436201,437430,"Well, it was.","Breakfast at Tiffany's"
"57",439038,440129,"Oh, I remember.","Breakfast at Tiffany's"
"58",440639,443768,"I stuck it in the suitcase.Kind of muffles the sound.","Breakfast at Tiffany's"
"59",451451,452713,"I'm sorry.","Breakfast at Tiffany's"
"60",454252,456084,"- Is he all right?- Sure.","Breakfast at Tiffany's"
"61",456588,458750,"Sure. He's okay, aren't you, cat?","Breakfast at Tiffany's"
"62",459091,460524,"Poor old cat.","Breakfast at Tiffany's"
"63",461293,464752,"Poor slob. Poor slob without a name.","Breakfast at Tiffany's"
"64",465264,467596,"The way I look at it, I don'thave the right to give him one.","Breakfast at Tiffany's"
"65",467699,471100,"We don't belong to each other.We just took up by the river one day.","Breakfast at Tiffany's"
"66",471204,472762,"I don't even want to own anything...","Breakfast at Tiffany's"
"67",472872,475807,"until I find a place whereme and things go together.","Breakfast at Tiffany's"
"68",476042,479442,"I'm not sure where that is,but I know what it's like.","Breakfast at Tiffany's"
"69",481112,482579,"It's like Tiffany's.","Breakfast at Tiffany's"
"70",482682,485016,"Tiffany's? You mean the jewelry store?","Breakfast at Tiffany's"
"71",485317,486512,"That's right.","Breakfast at Tiffany's"
"72",487185,489177,"I'm crazy about Tiffany's.","Breakfast at Tiffany's"
"73",490689,491713,"Listen.","Breakfast at Tiffany's"
"74",492591,495355,"You know those days when you get the mean reds?","Breakfast at Tiffany's"
"75",495894,498125,"The mean reds? You mean like the blues?","Breakfast at Tiffany's"
"76",498230,499197,"No.","Breakfast at Tiffany's"
"77",499398,502526,"The blues are because you're getting fator maybe it's been raining too long.","Breakfast at Tiffany's"
"78",502634,504535,"You're just sad, that's all.","Breakfast at Tiffany's"
"79",505303,507134,"The mean reds are horrible.","Breakfast at Tiffany's"
"80",507240,510538,"Suddenly you're afraid and youdon't know what you're afraid of.","Breakfast at Tiffany's"
"81",510643,513634,"- Do you ever get that feeling?- Sure.","Breakfast at Tiffany's"
"82",514413,516471,"Well, when I get it, the onlything that does any good...","Breakfast at Tiffany's"
"83",516581,519049,"is to jump into a cab and go to Tiffany's.","Breakfast at Tiffany's"
"84",519619,521313,"Calms me down right away.","Breakfast at Tiffany's"
"85",522254,524154,"The quietness and the proud look of it.","Breakfast at Tiffany's"
"86",524256,526725,"Nothing very bad could happen to you there.","Breakfast at Tiffany's"
"87",526959,528823,"If I could find a real-life place...","Breakfast at Tiffany's"
"88",528927,531590,"that made me feel like Tiffany's, then...","Breakfast at Tiffany's"
"89",532697,535724,"Then I'd buy some furniture and give the cat a name.","Breakfast at Tiffany's"
"90",538169,540263,"I'm sorry. You wanted something.","Breakfast at Tiffany's"
"91",540639,542038,"The telephone.","Breakfast at Tiffany's"
"92",542575,544839,"It's just that I was supposed to meet somebody.","Breakfast at Tiffany's"
"93",544976,548071,"I mean, this is 10:00 Thursday morning, isn't it?","Breakfast at Tiffany's"
"94",548179,551081,"I just got off a plane fromRome and I'm not too sure.","Breakfast at Tiffany's"
"95",551182,553913,"Thursday. Is this Thursday?","Breakfast at Tiffany's"
"96",554052,556452,"- I think so.- Thursday! Oh, no, it can't be!","Breakfast at Tiffany's"
"97",556556,558114,"It's too gruesome.","Breakfast at Tiffany's"
"98",561360,564453,"Well, what's so gruesome about Thursday?","Breakfast at Tiffany's"
"99",564730,567630,"Nothing, except I can neverremember when it's coming up.","Breakfast at Tiffany's"
"100",567732,569633,"Wednesdays, I generally justdon't go to bed at all...","Breakfast at Tiffany's"
"101",569735,572100,"because I have to be up to catch the 10:45.","Breakfast at Tiffany's"
"102",572203,575001,"And they're so particular about visiting hours.","Breakfast at Tiffany's"
"103",575240,576902,"Would you be a darling and look under the bed...","Breakfast at Tiffany's"
"104",577009,578976,"and see if you can find a pair of alligator shoes?","Breakfast at Tiffany's"
"105",579345,580334,"Sure.","Breakfast at Tiffany's"
"106",583048,585073,"I've got to do something about the way I look.","Breakfast at Tiffany's"
"107",585183,588312,"I mean, a girl just can't go toSing Sing with a green face.","Breakfast at Tiffany's"
"108",588421,589751,"Sing Sing?","Breakfast at Tiffany's"
"109",590722,593248,"Yes, I always thought it was aridiculous name for a prison.","Breakfast at Tiffany's"
"110",593359,597351,"Sing Sing, I mean. It sounds more like itshould be an opera house or something.","Breakfast at Tiffany's"
"111",597462,599054,"Black alligator.","Breakfast at Tiffany's"
"112",599932,603163,"You know, all the visitors make an effortto look their best. It's only fair.","Breakfast at Tiffany's"
"113",603302,606293,"Actually, it's very touching, all thewomen wearing their prettiest things.","Breakfast at Tiffany's"
"114",606404,608895,"I just love them for it. And I love the kids, too.","Breakfast at Tiffany's"
"115",609008,610804,"I mean the kids the wives bring.","Breakfast at Tiffany's"
"116",610909,613309,"It should be sad seeing kids there, but it isn't.","Breakfast at Tiffany's"
"117",613412,616575,"They all have ribbons in their hairand lots of shine on their shoes.","Breakfast at Tiffany's"
"118",616682,618274,"You'd think there was going to be ice cream.","Breakfast at Tiffany's"
"119",618384,621080,"Now, as I understand it, what we'redoing is getting you ready...","Breakfast at Tiffany's"
"120",621187,623552,"- to visit somebody at Sing Sing.- That's right.","Breakfast at Tiffany's"
