"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Bride of Frankenstein"
"2",129837,131713,"How beautifully dramatic.","Bride of Frankenstein"
"3",132424,137344,"The crudest savage exhibitionof nature at her worst without...","Bride of Frankenstein"
"4",137429,138971,"And we three,","Bride of Frankenstein"
"5",139056,141890,"we elegant three within.","Bride of Frankenstein"
"6",142016,144477,"I should like to thinkthat an irate Jehovah","Bride of Frankenstein"
"7",144561,147687,"was pointing those arrows oflightning directly at my head,","Bride of Frankenstein"
"8",147772,151442,"the unbowed head ofGeorge Gordon Lord Byron,","Bride of Frankenstein"
"9",151526,153235,"England's greatest sinner.","Bride of Frankenstein"
"10",153611,155947,"But I cannot flattermyself to that extent.","Bride of Frankenstein"
"11",156573,159324,"Possibly those thundersare for our dear Shelley,","Bride of Frankenstein"
"12",159408,162078,"heaven's applause forEngland's greatest poet.","Bride of Frankenstein"
"13",162579,163829,"What of my Mary?","Bride of Frankenstein"
"14",163913,165831,"She is an angel.","Bride of Frankenstein"
"15",165915,167625,"You think so.","Bride of Frankenstein"
"16",169961,171795,"You hear?","Bride of Frankenstein"
"17",172296,174924,"Come, Mary.Come and watch the storm.","Bride of Frankenstein"
"18",175008,177468,"You know howlightning alarms me.","Bride of Frankenstein"
"19",177927,181013,"Shelley, darling,will you please light these candles for me?","Bride of Frankenstein"
"20",181098,183807,"Oh, Mary, darling.","Bride of Frankenstein"
"21",183891,185852,"Astonishing creature.","Bride of Frankenstein"
"22",186228,188020,"I, Lord Byron?","Bride of Frankenstein"
"23",188104,190689,"Frightened of thunder,fearful of the dark,","Bride of Frankenstein"
"24",190774,192191,"and yet you havewritten a tale","Bride of Frankenstein"
"25",192276,194485,"that sent my bloodinto icy creeps.","Bride of Frankenstein"
"26",194986,196486,"Look at her, Shelley.","Bride of Frankenstein"
"27",196572,200490,"Can you believe that bland and lovelybrow conceived of Frankenstein,","Bride of Frankenstein"
"28",200575,204787,"a monster created from cadavers out of rifled graves?","Bride of Frankenstein"
"29",204954,206622,"Isn't it astonishing?","Bride of Frankenstein"
"30",206706,208748,"I don't know whyyou should think so.","Bride of Frankenstein"
"31",208834,210293,"What do you expect?","Bride of Frankenstein"
"32",210669,212711,"Such an audienceneeds something stronger","Bride of Frankenstein"
"33",212795,214754,"than a prettylittle love story.","Bride of Frankenstein"
"34",214840,217008,"So, why shouldn'tI write of monsters?","Bride of Frankenstein"
"35",217216,218884,"No wonder Murray has refused to publish the book.","Bride of Frankenstein"
"36",218968,221262,"He says his reading publicwould be too shocked.","Bride of Frankenstein"
"37",221346,223598,"It will be published,I think.","Bride of Frankenstein"
"38",223682,226224,"Then, darling, you willhave much to answer for.","Bride of Frankenstein"
"39",226935,232022,"The publishers did not see that mypurpose was to write a moral lesson","Bride of Frankenstein"
"40",232106,237402,"of the punishment that befell a mortalman who dared to emulate God.","Bride of Frankenstein"
"41",237486,239070,"Well, whatever your purposemay have been, my dear,","Bride of Frankenstein"
"42",239156,242574,"I take great relish in savoring each separate horror.","Bride of Frankenstein"
"43",242658,244576,"I roll them overon my tongue.","Bride of Frankenstein"
"44",244661,247913,"Don't, Lord Byron.Don't remind me of it tonight.","Bride of Frankenstein"
"45",247997,251082,"What a setting in that churchyard,to begin with.","Bride of Frankenstein"
"46",251168,255670,"The sobbing women,the first clod of earth on the coffin.","Bride of Frankenstein"
"47",255838,257464,"That was a pretty chill.","Bride of Frankenstein"
"48",257966,259507,"Frankenstein and the dwarf","Bride of Frankenstein"
"49",259593,262177,"stealing the bodyout of its new-made grave,","Bride of Frankenstein"
"50",262596,264680,"cutting the hanged mandown from the gallows,","Bride of Frankenstein"
"51",264764,267141,"where he swungcreaking in the wind.","Bride of Frankenstein"
"52",267391,270394,"The cunning of Frankensteinin his mountain laboratory,","Bride of Frankenstein"
"53",270603,274689,"taking dead men apart andbuilding up a human monster,","Bride of Frankenstein"
"54",274774,276692,"so fearfuland so horrible,","Bride of Frankenstein"
"55",276776,279528,"that only a half-crazed brain could have devised.","Bride of Frankenstein"
"56",280197,282031,"And then the murders...","Bride of Frankenstein"
"57",282365,284742,"The little child drowned.","Bride of Frankenstein"
"58",285159,286869,"Henry Frankenstein himself","Bride of Frankenstein"
"59",286954,288620,"thrown from the topof the burning mill","Bride of Frankenstein"
"60",288704,290538,"by the very monsterhe had created.","Bride of Frankenstein"
"61",291207,296629,"And it was these fragile whitefingers that penned the nightmare.","Bride of Frankenstein"
"62",296713,300216,"Oh! You've made meprick myself, Byron.","Bride of Frankenstein"
"63",300800,302384,"It's bleeding.","Bride of Frankenstein"
"64",303011,304762,"There, there.","Bride of Frankenstein"
"65",304846,308641,"I do think it a shame, Mary,to end your story quite so suddenly.","Bride of Frankenstein"
"66",308725,310350,"That wasn't the end at all.","Bride of Frankenstein"
"67",310560,313019,"Would you like to hearwhat happened after that?","Bride of Frankenstein"
"68",313562,315480,"I feel like telling it.","Bride of Frankenstein"
"69",315940,318942,"It's the perfect nightfor mystery and horror.","Bride of Frankenstein"
"70",319026,322404,"The air itselfis filled with monsters.","Bride of Frankenstein"
"71",322488,324072,"I'm all ears.","Bride of Frankenstein"
"72",324574,328661,"While heaven blasts the night without,open up your pits of hell.","Bride of Frankenstein"
"73",328745,333624,"Well, then,imagine yourself standing by the wreckage of the mill.","Bride of Frankenstein"
"74",333709,335875,"The fire is dying down.","Bride of Frankenstein"
"75",336586,340380,"Soon the bare skeleton of the building will be visible,","Bride of Frankenstein"
"76",340465,343259,"the gaunt raftersagainst the sky.","Bride of Frankenstein"
"77",361278,367199,"Well, I must say,that's the best fire I ever saw in all me life!","Bride of Frankenstein"
"78",369076,370786,"What are you crying for?","Bride of Frankenstein"
"79",370870,372038,"It's terrible.","Bride of Frankenstein"
"80",372122,374622,"I know it's terrible,but after all them murders,","Bride of Frankenstein"
"81",374708,377293,"and poor Mr. Henrybeing brought home to die,","Bride of Frankenstein"
"82",377461,381713,"I'm glad to see the monster roastedto death before my very eyes.","Bride of Frankenstein"
"83",381798,382923,"It's too good for him.","Bride of Frankenstein"
"84",384300,386093,"It's all the Devil's work,","Bride of Frankenstein"
"85",386177,389305,"and you better cross yourself quick, Marta,before he gets you.","Bride of Frankenstein"
"86",391641,394601,"Come along, come along.It's all over.","Bride of Frankenstein"
"87",394810,397312,"Get back to your homes.Go to sleep.","Bride of Frankenstein"
"88",398064,399314,"Whoo!","Bride of Frankenstein"
"89",399399,403778,"There it goes again!It ain't burned out at all. There's more yet.","Bride of Frankenstein"
"90",403862,405821,"Isn't the monster dead yet?","Bride of Frankenstein"
"91",405906,409492,"It's high time every decent man and wife was in bed.","Bride of Frankenstein"
"92",410701,412995,"That's his insides,caught at last.","Bride of Frankenstein"
"93",413163,415915,"Insides is alwaysthe last to be consumed.","Bride of Frankenstein"
"94",415999,418584,"Move on.You've had enough excitement for one night.","Bride of Frankenstein"
"95",418668,422170,"This strange man you call a monster is dead.","Bride of Frankenstein"
"96",422254,424589,"""Monster,"" indeed.","Bride of Frankenstein"
"97",424716,427093,"You may thankyour lucky stars","Bride of Frankenstein"
"98",427177,430137,"they sent for me to safeguard life and property.","Bride of Frankenstein"
"99",430387,433348,"Why didn't you safeguard thosewhat lies drowned and murdered?","Bride of Frankenstein"
"100",433432,437269,"Come now.We want no rioting. No riots.","Bride of Frankenstein"
"101",437353,438437,"Who's rioting?","Bride of Frankenstein"
"102",438521,439730,"Move on, move on.","Bride of Frankenstein"
"103",439814,442565,"Good night, all,and pleasant dreams.","Bride of Frankenstein"
"104",442776,445026,"Ah, pleasant dreams,yourself.","Bride of Frankenstein"
"105",445694,449406,"Thinks he's everybody,just because he's the burgomaster.","Bride of Frankenstein"
"106",454329,456204,"Poor Mr. Henry.","Bride of Frankenstein"
"107",456372,458456,"He was to havebeen married today","Bride of Frankenstein"
"108",458542,460543,"to that lovely girl,Elizabeth.","Bride of Frankenstein"
"109",460627,461918,"Cover him up.","Bride of Frankenstein"
"110",462002,465172,"Someone must break the news to the poor girl.","Bride of Frankenstein"
"111",465257,467632,"Ride as fast as you can to the castle","Bride of Frankenstein"
"112",467716,471553,"and tell the old Baron Frankensteinwe are bringing his son home.","Bride of Frankenstein"
"113",472889,474223,"Oh, dear.","Bride of Frankenstein"
"114",474516,475850,"Oh, shut up.","Bride of Frankenstein"
"115",477726,481105,"Come home, Hans.The monster is dead now.","Bride of Frankenstein"
"116",481189,483940,"Nothing could be leftalive in that furnace.","Bride of Frankenstein"
"117",484024,485608,"Why do you stay here?","Bride of Frankenstein"
"118",485694,489071,"I want to seewith me own eyes.","Bride of Frankenstein"
"119",489156,491490,"Oh, Hans,he must be dead.","Bride of Frankenstein"
"120",491574,496120,"And dead or alive,nothing can bring our little Maria back to us.","Bride of Frankenstein"
"121",496204,499372,"If I can seehis blackened bones,","Bride of Frankenstein"
"122",499456,500957,"I can sleep at night.","Bride of Frankenstein"
"123",501959,503418,"Come back, Hans!","Bride of Frankenstein"
"124",503502,505254,"You will beburned yourself!","Bride of Frankenstein"
"125",505338,507505,"Maria drowned to deathand you burned up.","Bride of Frankenstein"
"126",507591,509591,"What should I do then?","Bride of Frankenstein"
"127",509675,511634,"No!","Bride of Frankenstein"
"128",532990,534616,"Ah!","Bride of Frankenstein"
"129",551592,555261,"Hans! Hans, where are you?","Bride of Frankenstein"
"130",555346,557889,"Hans! Are you all right?","Bride of Frankenstein"
"131",561061,562561,"I hear you. Here.","Bride of Frankenstein"
"132",562645,564605,"Give me your hand, Hans.","Bride of Frankenstein"
"133",566316,567649,"Here.","Bride of Frankenstein"
"134",632590,634383,"Oh, heaven,what is this?","Bride of Frankenstein"
"135",637553,639221,"Henry.","Bride of Frankenstein"
"136",639889,641472,"Tell me.","Bride of Frankenstein"
"137",641557,645226,"Oh, milady,how can we tell you?","Bride of Frankenstein"
"138",652110,653527,"Bring him in.","Bride of Frankenstein"
"139",665581,666914,"Albert!","Bride of Frankenstein"
"140",667000,668292,"What do you want?","Bride of Frankenstein"
"141",668375,671669,"It's alive!The monster... It's alive!","Bride of Frankenstein"
"142",673423,675006,"Oh, shut up,you old fool.","Bride of Frankenstein"
"143",675091,676341,"I saw it.","Bride of Frankenstein"
"144",676426,679302,"It ain't turnedto no skeleton at all.","Bride of Frankenstein"
"145",679386,681638,"It lived rightthrough the fire.","Bride of Frankenstein"
"146",681764,685017,"Go bite your tongue off.We don't believe in ghosts.","Bride of Frankenstein"
"147",685225,687226,"Nobody'll believe me.","Bride of Frankenstein"
"148",687312,689855,"All right.I wash my hands of it.","Bride of Frankenstein"
"149",689938,693859,"Let 'em all be murdered in their beds,for all of me. Hmph!","Bride of Frankenstein"
"150",723264,724681,"Speak to me, Henry.","Bride of Frankenstein"
"151",725140,729061,"Oh, milady,he'll never speak again.","Bride of Frankenstein"
"152",729144,731312,"I was foretold of this.","Bride of Frankenstein"
"153",731398,733941,"I was toldbeware my wedding night.","Bride of Frankenstein"
"154",740990,742157,"Ahhh!","Bride of Frankenstein"
"155",743618,746245,"Oh! Look! Milady!He's alive!","Bride of Frankenstein"
"156",748664,750624,"Henry, darling!","Bride of Frankenstein"
"157",752668,754544,"Elizabeth.","Bride of Frankenstein"
"158",756255,759966,"Oh, what a terrible wedding night!","Bride of Frankenstein"
"159",774857,777192,"You can goto bed now, Mary.","Bride of Frankenstein"
"160",786619,787785,"You'll soonbe better, Henry.","Bride of Frankenstein"
"161",787870,789745,"I feel almost myself again.","Bride of Frankenstein"
"162",789831,791623,"As soon as you're strong enough,we'll go away","Bride of Frankenstein"
"163",791707,793917,"and forget all thishorrible experience.","Bride of Frankenstein"
"164",794001,795210,"Forget?","Bride of Frankenstein"
"165",795294,799715,"If only I could forget,but it's never out of my mind.","Bride of Frankenstein"
"166",799841,803469,"I've been cursed for delving into the mysteries of life.","Bride of Frankenstein"
"167",803552,807556,"Perhaps death is sacred,and I've profaned it.","Bride of Frankenstein"
"168",807639,810725,"For what a wonderfulvision it was!","Bride of Frankenstein"
"169",811019,814354,"I dreamed of being the first to give to the world","Bride of Frankenstein"
"170",814438,817691,"the secret that Godis so jealous of.","Bride of Frankenstein"
"171",817774,820235,"The formula for life.","Bride of Frankenstein"
"172",820403,824615,"Think of the powerto create a man.","Bride of Frankenstein"
"173",824990,828576,"And I did. I did it!I created a man. And who knows?","Bride of Frankenstein"
"174",828661,831120,"In time I could have trained him to do my will.","Bride of Frankenstein"
"175",831498,833123,"I could have bred a race.","Bride of Frankenstein"
"176",833207,835625,"I might even have foundthe secret of eternal life.","Bride of Frankenstein"
"177",835710,838794,"Henry, don't say those things.Don't think them.","Bride of Frankenstein"
"178",838879,840547,"It's blasphemousand wicked.","Bride of Frankenstein"
"179",840631,842256,"We are not meantto know those things.","Bride of Frankenstein"
"180",842591,845969,"It may be that I'm intended to know the secret of life.","Bride of Frankenstein"
"181",846678,849181,"It may be partof the divine plan.","Bride of Frankenstein"
"182",849264,852808,"No. No! It's the Devilthat prompts you.","Bride of Frankenstein"
"183",852936,856062,"It's death, not life,that is in it all and at the end of it all.","Bride of Frankenstein"
"184",856605,857773,"Listen, Henry.","Bride of Frankenstein"
"185",857856,860359,"While you have been lying here,tossing in your delirium,","Bride of Frankenstein"
"186",860442,861943,"I couldn't sleep.","Bride of Frankenstein"
"187",862028,864488,"And when you ravedof your insane desire","Bride of Frankenstein"
"188",864572,868325,"to create living menfrom the dust of the dead,","Bride of Frankenstein"
"189",868408,872078,"a strange apparition has seemed to appear in the room.","Bride of Frankenstein"
"190",872163,874373,"It comes,a figure like death,","Bride of Frankenstein"
"191",874456,877292,"and each time it comesmore clearly, nearer.","Bride of Frankenstein"
"192",877376,879211,"It seems to bereaching out for you","Bride of Frankenstein"
"193",879294,881046,"as if it wouldtake you away from me!","Bride of Frankenstein"
"194",881129,885716,"There it is!Look! There!","Bride of Frankenstein"
"195",885802,888052,"I see nothing, Elizabeth.Where?","Bride of Frankenstein"
"196",888136,890221,"There's nothing there.","Bride of Frankenstein"
"197",890306,894893,"There! There! It's coming for you!Nearer! Henry!","Bride of Frankenstein"
"198",894977,897229,"Henry! Henry! Henry!","Bride of Frankenstein"
"199",909491,910908,"Albert!","Bride of Frankenstein"
"200",910994,913870,"Drat the man.He's never here when he's wanted.","Bride of Frankenstein"
"201",913996,916498,"What's the good of stuffed footmen, anyway?","Bride of Frankenstein"
"202",917542,920001,"All right. All right!","Bride of Frankenstein"
"203",920336,924088,"Don't knock the castle over.We're not all dead yet.","Bride of Frankenstein"
"204",934267,935975,"There's nobody at home.","Bride of Frankenstein"
"205",936059,937476,"Let me in,my good woman.","Bride of Frankenstein"
