"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","Bullitt"
"2",195211,197784,"- This is Pete.- Yeah?","Bullitt"
"3",199048,200211,"We lost him.","Bullitt"
"4",201467,205844,"He's your brother, Ross. If you can'tfind him, we have people who will.","Bullitt"
"5",207306,209513,"And you're paying for the contract.","Bullitt"
"6",284802,287471,"Excuse me.Have you got a message for Mr. Ross?","Bullitt"
"7",287554,289464,"What room, sir?","Bullitt"
"8",289640,290671,"I'm not a guest.","Bullitt"
"9",290766,292806,"- I'll check.- Thanks.","Bullitt"
"10",298983,301688,"- That's, Johnny Ross.- Yes, sir.","Bullitt"
"11",305698,307240,"Sorry, sir, nothing.","Bullitt"
"12",307700,308731,"Nothing?","Bullitt"
"13",309243,310322,"Are you sure?","Bullitt"
"14",310411,311989,"I'm sure, sir.","Bullitt"
"15",314624,315869,"Okay, thanks.","Bullitt"
"16",337689,339183,"Thank you.","Bullitt"
"17",356917,359123,"Yes, I'm sure it was him.","Bullitt"
"18",359503,361910,"Sunshine Cab, 6912.","Bullitt"
"19",369680,371968,"Would you pull up?I want to make a call.","Bullitt"
"20",372057,373302,"Right.","Bullitt"
"21",433661,434906,"Yeah?","Bullitt"
"22",435288,436367,"Delgetti.","Bullitt"
"23",436831,438290,"What is it?","Bullitt"
"24",438374,439655,"Work.","Bullitt"
"25",441711,443538,"Frank, let me in, will you?","Bullitt"
"26",474119,477488,"What time did you get to bedthis morning, Frank?","Bullitt"
"27",478040,479582,"About 5:00.","Bullitt"
"28",495724,497682,"""Mumps vaccine on the market.","Bullitt"
"29",497768,499393,"""The government authorized yesterday...","Bullitt"
"30",499478,503856,"""... what officials term the first clearlyeffective vaccine to prevent mumps.","Bullitt"
"31",507028,510147,"""... announced it has granteda license for the vaccine...","Bullitt"
"32",515620,517826,"""... at 12:45 Wednesday... ""","Bullitt"
"33",517914,522125,"Why don't you just relax and haveyour orange juice, and shut up, Delgetti?","Bullitt"
"34",526130,527625,"Let's go, Frank.","Bullitt"
"35",589903,592192,"Lt. Bullitt to see you, Mr. Chalmers.","Bullitt"
"36",596535,598243,"It was purely unintentional, I assure you.","Bullitt"
"37",598329,600654,"It wasn't that I wasso well-informed...","Bullitt"
"38",600748,602787,"...it was just that he was so ill-informed.","Bullitt"
"39",602875,605876,"Would you excuse mefor a moment, please?","Bullitt"
"40",611175,613002,"What do you like about...?","Bullitt"
"41",613511,617509,"In Orinda, we have all this beautifuldry sunshine. Absolutely perfect for roses.","Bullitt"
"42",617598,620552,"I do all my own work.See my hands? They prove it.","Bullitt"
"43",620810,623727,"Hello. Lieutenant, how are you?","Bullitt"
"44",625148,628018,"Thanks for coming over.Name is Frank, isn't it?","Bullitt"
"45",628109,630398,"- That's right.- Please call me Walter.","Bullitt"
"46",634657,636116,"I have an important job for you.","Bullitt"
"47",636201,638573,"Captain Bennet suggested that you take it.","Bullitt"
"48",638661,642280,"As you know, there is a SenateSubcommittee hearing here Monday.","Bullitt"
"49",642540,645114,"I have a star witnesswho needs protection.","Bullitt"
"50",645377,647950,"Sam said that you werethe man for the job.","Bullitt"
"51",648546,651084,"And I can't find a flaw in that statement.","Bullitt"
"52",651174,652716,"Protection from who?","Bullitt"
"53",654344,655755,"The Organization.","Bullitt"
"54",656096,659429,"His name is Ross.Johnny Ross. From Chicago.","Bullitt"
"55",660767,664219,"Once and for all, the top menin law enforcement are united.","Bullitt"
"56",664563,666935,"We're going to expose the Organization.","Bullitt"
"57",667024,668518,"I read your speech.","Bullitt"
"58",669192,670651,"Why San Francisco?","Bullitt"
"59",671028,673732,"Ross is safer here. That's your province.","Bullitt"
"60",674573,676945,"Keeping him out of reach for 40 hours.","Bullitt"
"61",677034,677947,"Where?","Bullitt"
"62",678410,679904,"The Hotel Daniels.","Bullitt"
"63",679995,682949,"226 Embarcadero Road. Room 634.","Bullitt"
"64",683791,686198,"He's there now, expecting you.","Bullitt"
"65",687795,689787,"Now that you know where my house is...","Bullitt"
"66",689880,692881,"...I hope that we'll get to seea lot more of each other.","Bullitt"
"67",692967,695540,"Particularly in view of the investigation.","Bullitt"
"68",695636,697593,"A senatorial hearing has a way of...","Bullitt"
"69",697680,700883,"...catapulting everyone involvedinto the public eye...","Bullitt"
"70",701058,703728,"...with a subsequent effect on one's career.","Bullitt"
"71",704937,707393,"It will be a pleasure to have you along.","Bullitt"
"72",708899,711058,"Have him in court on Monday, Frank.","Bullitt"
"73",726292,727917,"What was that all about?","Bullitt"
"74",728002,728702,"Pals.","Bullitt"
"75",728795,731712,"You and Chalmers, huh?There's a lot of juice?","Bullitt"
"76",731798,734040,"Hotel Daniels, 226 Embarcadero Road.","Bullitt"
"77",734133,735925,"State's evidence witness,and we're babysitting.","Bullitt"
"78",736010,737042,"Let's go.","Bullitt"
"79",788564,790473,"- Yeah, who is it?- Police.","Bullitt"
"80",790566,792274,"The roof and the exits.","Bullitt"
"81",803078,805118,"Mr. Chalmers said you'd be here by 5:00.","Bullitt"
"82",805206,806486,"He guaranteed me that.","Bullitt"
"83",806582,809287,"Oh, sorry,we got held up in traffic.","Bullitt"
"84",809877,811288,"Got any firearms?","Bullitt"
"85",811879,815165,"No, man, I've got nothing on me.Just my wallet...","Bullitt"
"86",815258,816835,"...cigarette lighter.","Bullitt"
"87",817301,818630,"Want to check me out yourself?","Bullitt"
"88",818719,822931,"No, that's not necessary.Put that stuff on the bed, will you, please?","Bullitt"
"89",825893,829179,"How did you...how did you get here from Chicago?","Bullitt"
"90",829272,830517,"I flew.","Bullitt"
"91",831941,835191,"Sure none of the boys were on the planewith you, or saw you get on?","Bullitt"
"92",835278,837187,"How would I know? I wouldn't know.","Bullitt"
"93",837280,839189,"Why did you pick this room to hole up?","Bullitt"
"94",839282,841654,"I didn't pick it. Chalmers picked it.","Bullitt"
"95",841826,842989,"Why?","Bullitt"
"96",843119,845954,"Stay away from those windows!That's why.","Bullitt"
"97",851378,854996,"Sit down and relax, Ross.It's a long wait until Monday morning.","Bullitt"
"98",855090,857166,"We'd better get a fix on some food.","Bullitt"
"99",857259,859298,"- What?- Some food.","Bullitt"
"100",859970,863919,"I know Chalmers wants youto be happy, and we'll do the best we can.","Bullitt"
"101",864015,865047,"Dad, it's for you.","Bullitt"
"102",865142,868974,"Listen, you're not going. You're not going.We're going to a movie.","Bullitt"
"103",870856,874556,"Hold it down. Hold it down.Now, don't be too late.","Bullitt"
"104",875485,877395,"- Hello.- Hello. Captain?","Bullitt"
"105",877487,878104,"Frank?","Bullitt"
"106",878196,880023,"We'll see you later, Dad.","Bullitt"
"107",880115,881609,"I've seen Chalmers.","Bullitt"
"108",882326,883571,"What do you know about Ross?","Bullitt"
"109",883660,885203,"Chicago. It could be very big.","Bullitt"
"110",885287,887196,"He had access to all the records.","Bullitt"
"111",887289,889578,"He ran the wire serviceswith his brother, Pete.","Bullitt"
"112",889666,891374,"Did Chalmers ask for me?","Bullitt"
"113",891460,893702,"Uh-huh.","Bullitt"
"114",894046,895244,"Do you happen to know why?","Bullitt"
"115",895339,898625,"Yes, I know why.He's grooming himself for public office.","Bullitt"
"116",899134,902338,"You make good copy.They love you in the papers, Frank.","Bullitt"
"117",902429,903509,"I see.","Bullitt"
"118",904140,906381,"Okay. So long, Sam.","Bullitt"
"119",907518,910721,"Say, who were you talking to about meon that telephone?","Bullitt"
"120",911355,913977,"Mr. Chalmers saidthis was just between me and him.","Bullitt"
"121",914066,915893,"Me and him, and that's all.","Bullitt"
"122",917653,920191,"Delgetti will take the first shift.Stanton will be on at 12:00.","Bullitt"
"123",920281,921230,"I'll take the third.","Bullitt"
"124",921324,923897,"All you have to worry about isto stay away from the windows.","Bullitt"
"125",923993,925368,"Especially at night.","Bullitt"
"126",925453,926828,"You call me before you leave.","Bullitt"
"127",926913,928075,"Excuse me.","Bullitt"
