"id","startTime","endTime","text","title"
"1",2000,7900,"Rome Pag","Caligula"
"2",12900,19300,"AD 37- AD 41","Caligula"
"3",25900,32900,"What would a man profit if he couldgain the whole world ...","Caligula"
"4",32900,39600,"and lose his own soul.Mark 8:36.","Caligula"
"5",139000,142300,"Die, die.","Caligula"
"6",213400,215700,"I have existedfrom the morning of the world...","Caligula"
"7",215700,219700,"...and I shall exist until thelast star falls from the heavens.","Caligula"
"8",219800,222800,"Although I have taken theform of Gaius Caligula,","Caligula"
"9",222800,226000,"I am all men as Iam no man and so...","Caligula"
"10",226100,228400,"...I am a god.","Caligula"
"11",248500,253400,"""CALGULA""","Caligula"
"12",336500,340500,"What's it like with Marcellus?-With what like?","Caligula"
"13",341300,345100,"He's so fat. It's disgusting.-He's not.","Caligula"
"14",345100,348400,"He's only large.","Caligula"
"15",348500,351200,"-And tiny where it counts.","Caligula"
"16",351900,354000,"How do you know?","Caligula"
"17",355000,357600,"-I saw him at the baths.","Caligula"
"18",360600,366000,"Poor... poor Drusilla.-You are vile.","Caligula"
"19",370000,371700,"Hold.-Messenger to the Prince.","Caligula"
"20",371800,374100,"Identify yourself.-Macro.","Caligula"
"21",376000,378800,"Password?-Justice.","Caligula"
"22",398000,399800,"Prince?","Caligula"
"23",402600,404300,"Forgive me, Prince.","Caligula"
"24",405200,409400,"The Emperor commands you to wait upon him.What does he want?","Caligula"
"25",409400,413100,"A last look at you perhaps.He is 77.","Caligula"
"26",413100,415300,"May he live forever.","Caligula"
"27",419700,421500,"How is Ennia?","Caligula"
"28",421700,425800,"My wife lives on if in the dayshe can see you again, Prince.","Caligula"
"29",429000,431300,"Wait outside.","Caligula"
"30",447400,449700,"What does all this mean?","Caligula"
"31",450000,452500,"-Take care, little boots.","Caligula"
"32",452800,457300,"Pray to Isis for me.-I'll follow you as soon as I can.","Caligula"
"33",470900,473300,"I hate I'm back here, Macro.","Caligula"
"34",475700,478100,"He's planning something.","Caligula"
"35",478700,482900,"You've nothing to fear.I command Praetorian guards.","Caligula"
"36",482900,486000,"With Tiberius,there's always something to fear.","Caligula"
"37",486100,490500,"Be very careful of Nerva.They say he can even tell what you're thinking.","Caligula"
"38",494500,497400,"Nerva.Prince. -Dear friend.","Caligula"
"39",497500,500900,"Ten years is a long time for the Emperor...to be heading away.","Caligula"
"40",501000,505200,"I should feel a great deal happier......if he would back in Rome where he belongs.","Caligula"
"41",505200,509800,"Tell me, how is the Emperor?-Old, like me.","Caligula"
"42",509800,512300,"I mean, how is his mood?","Caligula"
"43",512900,516700,"Like the weather.But the weather's good today.","Caligula"
"44",517100,519200,"Changeable.","Caligula"
