"id","startTime","endTime","text","title"
"1",46881,48883,"Okay, here we go.","Cars 3"
"2",48966,52887,"Focus. Speed. I am speed.","Cars 3"
"3",55055,59893,"One winner, 42 losers.I eat losers for breakfast.","Cars 3"
"4",62479,63648,"Did I used to say that?","Cars 3"
"5",64064,65650,"Yes, sir, you did.","Cars 3"
"6",66150,69528,"- You used to say that all the time.- Mater, what are you doing in here?","Cars 3"
"7",69695,71698,"Well, I didn't want you to be lonely.","Cars 3"
"8",71989,76118,"Thank you.But I'm kind of preparing for a race.","Cars 3"
"9",76201,77203,"I need a little quiet.","Cars 3"
"10",77412,79246,"Oh, right. You got it, buddy.","Cars 3"
"11",81039,82709,"Hey, everybody, listen up.","Cars 3"
"12",82875,87337,"My best friend, Lightning McQueen,needs quiet. Perfect quiet!","Cars 3"
"13",89382,90799,"Okay. Where was I?","Cars 3"
"14",92509,95305,"Racing. Real racing.","Cars 3"
"15",97097,100183,"That ain't racing.That wasn't even a Sunday drive.","Cars 3"
"16",100350,101477,"That was one lap.","Cars 3"
"17",101644,104813,"Racing is 500 of those.Everybody fighting to move up.","Cars 3"
"18",104980,108942,"Lap after lap. Inside, outside,inches apart. Never touching.","Cars 3"
"19",109484,110527,"Now that's racing.","Cars 3"
"20",110694,114698,"Well, I can't argue with The Doc Hudson.","Cars 3"
"21",114781,117200,"How true, how true.","Cars 3"
"22",120037,121204,"Hey, Lightning, you ready?","Cars 3"
"23",121371,123707,"Oh, yeah. Lightning's ready.","Cars 3"
"24",126585,128670,"This one's for you, Doc.","Cars 3"
"25",148056,149139,"Whoo-hoo! Come on, Stickers.","Cars 3"
"26",149306,151350,"Pardon me. Excuse me.Best friend coming through.","Cars 3"
"27",151433,153436,"Go, McQueen! Whoo-hoo!","Cars 3"
"28",153812,157106,"- Pass him now, 24!- Lightning McQueen!","Cars 3"
"29",159817,161694,"Go, 95!","Cars 3"
"30",161777,162987,"Whoo-hoo!","Cars 3"
"31",163609,165819,"Hey, Cal, your blinker's on.","Cars 3"
"32",165986,169781,"What? No, it's not. Hey! Your blinker's on.","Cars 3"
"33",169949,171074,"Good comeback, Cal.","Cars 3"
"34",171741,175163,"# Because I want to run that race","Cars 3"
"35",175788,178875,"# I want to run that race","Cars 3"
"36",179167,182544,"# I do it at my pace","Cars 3"
"37",182836,185590,"# Long as I get to run that race #","Cars 3"
"38",186340,188175,"Into the pit goes Lightning McQueen,","Cars 3"
"39",188259,189593,"Bobby Swift and Cal Weathers.","Cars 3"
"40",189759,191888,"These three are fun to watch,aren't they, Darrell?","Cars 3"
"41",192054,194806,"You know, Bob, I can't tellif they have more fun on or off the track.","Cars 3"
"42",196933,198936,"Finito! Mmm.","Cars 3"
"43",199353,201313,"You getting a car wash too, Cal?","Cars 3"
"44",201480,204108,"No, you're getting a car wash, McQueen.","Cars 3"
"45",204275,205401,"Good comeback, Cal.","Cars 3"
"46",205610,208487,"# We gotta run that race","Cars 3"
"47",209030,211908,"# We gotta run that race","Cars 3"
"48",212616,215411,"# We do it at our pace","Cars 3"
"49",215912,219831,"# Long as we get to run that raceHey, hey, hey, hey #","Cars 3"
"50",220115,223492,"Lightning, how do you keep your focusracing against Bobby and Cal?","Cars 3"
"51",223659,225662,"I think the key is we respect each other.","Cars 3"
"52",225745,227538,"These guys are real class acts...","Cars 3"
"53",228831,230707,"Congratulations, cupcake.","Cars 3"
"54",231459,233418,"Oh, they are gonna pay.","Cars 3"
"55",242134,244137,"Go, Dinoco!","Cars 3"
"56",244429,245514,"Great win today, Cal.","Cars 3"
"57",245722,248224,"Thank you, Shannon.It was a great boost and I was...","Cars 3"
"58",248307,250644,"Hey! Hey! Guido!","Cars 3"
"59",250727,251895,"Pit stop.","Cars 3"
"60",251978,254021,"Ha, ha. Laugh it up. Real funny.","Cars 3"
"61",262531,263824,"Keep it going, buddy!","Cars 3"
"62",268317,269319,"Whoo!","Cars 3"
"63",272363,275908,"Hey! Are my sponsors happy today?","Cars 3"
"64",276076,277411,"Stop winning for crying out loud.","Cars 3"
"65",277494,279370,"We're running out of bumper cream to sell.","Cars 3"
"66",279538,281415,"Lightning McQueen!","Cars 3"
"67",281581,284042,"Hey, Big Tex. How's my favorite competitor?","Cars 3"
"68",284209,286961,"Just say the word and...I'll boot Cal off the Dinoco team","Cars 3"
"69",287045,288213,"and replace him with you.","Cars 3"
"70",288379,290966,"You know I can hear you, right?I'm right here.","Cars 3"
"71",291132,294552,"Bye, Cal. See you next week. Or not.","Cars 3"
"72",295052,297055,"Oh, come on now. I'm joking.","Cars 3"
"73",297384,301512,"Go, little buddy! Whoo-hoo!And big buddy too!","Cars 3"
"74",305975,307017,"Another great finish in the making.","Cars 3"
"75",307310,309353,"McQueen and Swift nose to nose.","Cars 3"
"76",309646,311355,"How's the view back there, Bobby?","Cars 3"
"77",311523,312565,"Well, you better not blink.","Cars 3"
"78",312649,313899,"I'll blow right past you.","Cars 3"
"79",314192,315444,"The flag is out.","Cars 3"
"80",315526,317696,"It's the final stretch. McQueen in the lead.","Cars 3"
