"id","startTime","endTime","text","title"
"1",53720,55312,"Okay.","Casper"
"2",56014,58808,"One picture and we're history.","Casper"
"3",58809,61482,"That's what I'm afraid of.","Casper"
"4",62312,63854,"Come on.","Casper"
"5",82249,84542,"Oh, man, do we have to do this?","Casper"
"6",84543,87420,"You want everyone in schoolto think we're chicken?","Casper"
"7",87421,88879,"I could live with that.","Casper"
"8",88880,91053,"You wuss. Come on.","Casper"
"9",102519,105271,"I don't see anything. Do you?","Casper"
"10",105272,108070,"No, I don't see anything.","Casper"
"11",110235,112862,"Let's just take the pictureand get out of here.","Casper"
"12",112863,115866,"Fine. Here, take the picture.","Casper"
"13",118201,121954,"Wait, I should be in the picture, too,or no one will believe I was here.","Casper"
"14",121955,123414,"Shut up and take the picture!","Casper"
"15",123415,124707,"You take the picture.","Casper"
"16",124708,126250,"- You take it!- You!","Casper"
"17",126251,129721,"Guys, don't fight.I'll take the picture.","Casper"
"18",130714,132887,"Say ""cheese.""","Casper"
"19",134217,137094,"A ghost!","Casper"
"20",163997,168959,"""...and to the Save the DolphinsFoundation, $11 million.","Casper"
"21",168960,174432,"""To the Save the PumasFoundation, $1.2 million.","Casper"
"22",174549,178094,"""To the PatagonianWasp Salvation Fund,","Casper"
"23",178095,180554,"""$1.4 million.","Casper"
"24",180555,183599,"""To the DyslexicDalmatians Foundation...""","Casper"
"25",183600,187103,"To hell with the livestock. Whatdid the old stiff leave me?","Casper"
"26",188772,192233,"I believe that what thebereaved is trying to express","Casper"
"27",192234,196654,"is that the sudden deathof her only father","Casper"
"28",196655,201200,"has left a great gaping voidin her bank... in her life.","Casper"
"29",201201,206832,"And Carrigan wonders what hehas left her to fill it up with.","Casper"
"30",207874,209751,"Let's see.","Casper"
"31",210168,213087,"""Bobcats, owls,","Casper"
"32",213088,215010,"""snakes,","Casper"
"33",215507,217759,"""daughter Carrigan,","Casper"
"34",218677,221350,"""Whipstaff Manor in Maine.""","Casper"
"35",222347,223973,"And?","Casper"
"36",223974,227351,"And I'm late for lunch,so if you'll excuse me...","Casper"
"37",227352,231981,"Are you telling me that I just spent thelast two days holding his clammy hand","Casper"
"38",231982,236026,"waiting for him to kick it, and all Iget is one lousy piece of property?","Casper"
"39",236027,238404,"No, it was lousy 50 years ago.","Casper"
"40",238405,241454,"Now it's condemned. Enjoy.","Casper"
"41",243785,247413,"Wait a minute. This is not fair!","Casper"
"42",247414,251500,"I'll contest, and then I'll drag you andall of those damned dolphins into court.","Casper"
"43",251501,253594,"Knock yourself out.","Casper"
"44",254796,257423,"Dibs, this is all your fault.","Casper"
"45",257424,260551,"As usual. If you would havejust forged the damn will.","Casper"
"46",260552,263304,"This is condemnedseafront property.","Casper"
"47",263305,266183,"Dibs, don't you get it?","Casper"
"48",266349,268934,"Flipper got more money than me.","Casper"
"49",268935,271813,"Carrigan! The deed's in there!","Casper"
"50",272898,274650,"My God.","Casper"
"51",282616,285910,"""Buccaneers and buried gold,","Casper"
