"id","startTime","endTime","text","title"
"1",18268,21437,"Now, where to begin?","Chicken Little"
"2",21479,25482,"How 'bout, ""Once upon a time""?","Chicken Little"
"3",26443,29111,"How many times have youheard that to begin a story?","Chicken Little"
"4",29195,30904,"Let's do somethin' else.","Chicken Little"
"5",30947,34158,"I got it, I got it, here we go.Here's how to open a movie!","Chicken Little"
"6",35994,39455,"No, I don't think so.It sounds familiar. Doesn't it, to you?","Chicken Little"
"7",41291,42541,"Oh, no, no, not the book.","Chicken Little"
"8",42625,45544,"How many have seen""opening the book"" before?","Chicken Little"
"9",45628,47671,"Close the book.We're not doing that.","Chicken Little"
"10",47756,49339,"Here's what we're gonna do.","Chicken Little"
"11",49424,51884,"Why don't I justgo back to the day","Chicken Little"
"12",51968,54970,"things took a turn for the worse?","Chicken Little"
"13",60852,64146,"Run for your lives!Everyone run for cover!","Chicken Little"
"14",64230,67149,"SOS! Mayday! Mayday!","Chicken Little"
"15",67233,69985,"Code red! Duck and cover!","Chicken Little"
"16",70028,71445,"You're all in danger!","Chicken Little"
"17",78453,80329,"Run for cover!","Chicken Little"
"18",82373,84708,"Run for your lives!","Chicken Little"
"19",86711,88837,"Emergency! Emergency!","Chicken Little"
"20",115448,118367,"- Run for your lives!- Look out! Take cover!","Chicken Little"
"21",136719,139012,"Run for cover!","Chicken Little"
"22",140557,143559,"Chicken Little!What is it? What's going on?","Chicken Little"
"23",143601,146311,"The sky is falling!The sky is falling!","Chicken Little"
"24",146396,149565,"- The sky is falling?- Are you crazy?","Chicken Little"
"25",149649,151567,"No, no, no!It's true! Come with me!","Chicken Little"
"26",151609,155154,"No. Son? What?","Chicken Little"
"27",155238,157406,"It happened under the old oak tree!","Chicken Little"
"28",157490,159658,"I'm not making this up.I know it's here.","Chicken Little"
"29",159742,161869,"There's a pieceof the sky somewhere...","Chicken Little"
"30",161911,163662,"...somewhereon the ground here.","Chicken Little"
"31",163746,165747,"It was shaped like that!","Chicken Little"
"32",165832,168083,"- It looks like a stop sign?- Yes!","Chicken Little"
"33",168168,171920,"Only it doesn't say ""stop""and it's blue and it has a cloud on it.","Chicken Little"
"34",172005,174047,"And it hit me on the head!","Chicken Little"
"35",174090,176633,"- It looked like a stop sign.- Wait! What's that?","Chicken Little"
"36",176718,178677,"- Son, is this what hit you?- What?","Chicken Little"
