"id","startTime","endTime","text","title"
"1",155050,156850,"All right, Curly, enough's enough.","Chinatown"
"2",156950,161580,"You can't eat the Venetian blinds. I just had them installed on Wednesday.","Chinatown"
"3",177840,179430,"Down the hatch.","Chinatown"
"4",191690,194590,"- She's no good.- What can I tell you, kid? You're right.","Chinatown"
"5",194690,196320,"When you're right, you're right.","Chinatown"
"6",196460,198120,"And you're right.","Chinatown"
"7",199290,201230,"I'll pay you the rest next week.","Chinatown"
"8",201330,204160,"We only caught 60 tonne of skipjack down in San Benedict.","Chinatown"
"9",204300,207460,"And they don't pay you the same for skipjack as they do albacore or tuna.","Chinatown"
"10",207600,208800,"Forget it, will you, Curly?","Chinatown"
"11",208940,212240,"I only brought it up to illustrate a point. I don't want your last dime.","Chinatown"
"12",212340,214570,"What kind of a guy do you think I am?","Chinatown"
"13",214680,217080,"- Thank you, Mr. Gittes.- Call me Jake.","Chinatown"
"14",217180,219610,"Careful driving home, Curl, huh?","Chinatown"
"15",220380,224340,"Mrs. Mulwray's waiting for you with Mr. Walsh and Mr. Duffy.","Chinatown"
"16",225350,228150,"Mrs. Mulwray, may I present Mr. Gittes?","Chinatown"
"17",228890,232120,"- Mrs. Mulwray, how do you do?- Mr. Gittes.","Chinatown"
"18",232690,235660,"Now, what seems to be the problem?","Chinatown"
"19",236500,237960,"My husband,","Chinatown"
"20",238730,240700,"I believe, is seeing another woman.","Chinatown"
"21",242870,245670,"- No. Really?- I'm afraid so.","Chinatown"
"22",246240,247440,"I am sorry.","Chinatown"
"23",247540,251500,"Mr. Gittes, please, do you think we could discuss this alone?","Chinatown"
"24",253820,256720,"I'm afraid not, Mrs. Mulwray. These are my operatives,","Chinatown"
"25",256850,260120,"and at some point, they're going to have to assist me.","Chinatown"
"26",260220,262620,"I can't do everything myself.","Chinatown"
"27",262720,264060,"Of course not.","Chinatown"
"28",264190,265490,"Now,","Chinatown"
"29",269400,272330,"what makes you certain that your husband is...","Chinatown"
"30",273740,275030,"involved with someone?","Chinatown"
"31",275170,276830,"A wife can tell.","Chinatown"
"32",278270,281500,"Mrs. Mulwray, do you love your husband?","Chinatown"
"33",282710,283840,"Yes, of course!","Chinatown"
"34",283950,286350,"- Then go home and forget everything.- But, I...","Chinatown"
"35",286450,288570,"I'm sure that he loves you, too, Mrs. Mulwray.","Chinatown"
"36",288720,292580,"Do you know the expression, ""Let sleeping dogs lie""?","Chinatown"
"37",293760,296160,"You're better off not knowing.","Chinatown"
"38",296260,297880,"I have to know.","Chinatown"
"39",302760,304160,"Very well.","Chinatown"
"40",305430,308030,"What is your husband's first name?","Chinatown"
"41",308140,309260,"Hollis.","Chinatown"
"42",309400,311000,"Hollis Mulwray.","Chinatown"
"43",312110,315170,"- Water and Power?- He's Chief Engineer.","Chinatown"
"44",316610,318410,"Chief Engineer?","Chinatown"
"45",325620,327610,"Mrs. Mulwray, this...","Chinatown"
"46",327760,332160,"This type of investigation can be hard on your pocketbook.","Chinatown"
"47",332790,334420,"It takes time...","Chinatown"
"48",334560,337330,"Money doesn't matter to me, Mr. Gittes.","Chinatown"
"49",340900,342730,"Okay, we'll...","Chinatown"
"50",343710,345760,"We'll see what we can do.","Chinatown"
"51",346340,348430,"Gentlemen, today you can walk out that door,","Chinatown"
"52",348580,351600,"turn right, hop a streetcar, and within 25 minutes,","Chinatown"
"53",351750,354240,"end up smack in the Pacific Ocean.","Chinatown"
"54",354380,358050,"Now, you can swim in it and you can fish in it, but you can't drink it,","Chinatown"
"55",358150,361420,"and you can't irrigate an orange grove with it.","Chinatown"
"56",361560,364080,"Now remember, we live next door to the ocean,","Chinatown"
"57",364390,367260,"but we also live on the edge of a desert.","Chinatown"
"58",367400,370020,"Los Angeles is a desert community.","Chinatown"
"59",370130,373690,"Beneath this building, beneath our streets, is a desert.","Chinatown"
"60",373970,376800,"And without water, the dust will rise up and cover us...","Chinatown"
"61",376900,378300,"as though we never existed.","Chinatown"
"62",378440,381600,"Now, the Alto Vallejo can save us from this,","Chinatown"
"63",381740,385580,"and I respectfully suggest that $8.5 million...","Chinatown"
"64",385680,389640,"is a fair price to pay to keep the desert from our streets...","Chinatown"
"65",389780,390770,"and not on top of them.","Chinatown"
"66",391020,392040,"Hear, hear!","Chinatown"
"67",396960,400620,"Mayor Bagby, let's hear from all the departments again.","Chinatown"
"68",400760,403960,"I suppose we'd better take Water and Power first.","Chinatown"
"69",404100,405290,"Mr. Mulwray?","Chinatown"
"70",416840,418780,"In case you've forgotten, gentlemen,","Chinatown"
"71",418880,422510,"over 500 lives were lost when the Van der Lip Dam gave way.","Chinatown"
