"id","startTime","endTime","text","title"
"1",118134,126799,"","Cinema Paradiso"
"2",126808,129879,"Yes, Salvatore. Di Vita, Salvatore.","Cinema Paradiso"
"3",134365,136800,"What do you mean you don't know him?","Cinema Paradiso"
"4",138111,141782,"Yes, that's right. This is his mother.","Cinema Paradiso"
"5",141879,146000,"I'm calling from Sicily. I've been trying all day.","Cinema Paradiso"
"6",149455,151659,"I see. He's not there.","Cinema Paradiso"
"7",154427,157632,"Then can you tell me, please...","Cinema Paradiso"
"8",160286,166849,"656-220-56. Thank you. Good-bye.","Cinema Paradiso"
"9",172021,173680,"Mama, it's no use calling.","Cinema Paradiso"
"10",174399,176692,"He's a busy man. He could be anywhere.","Cinema Paradiso"
"11",176901,181625,"He won't remember anymore. Come on, let it go.","Cinema Paradiso"
"12",183033,185180,"He hasn't been here in 30 years.","Cinema Paradiso"
"13",187504,189099,"You know how he is.","Cinema Paradiso"
"14",192418,195337,"He'll remember. I'm sure he'll remember.","Cinema Paradiso"
"15",195545,198466,"I know him better than you.","Cinema Paradiso"
"16",198674,201009,"If he finds out later we didn't tell him,","Cinema Paradiso"
"17",201218,203221,"he'll be upset.","Cinema Paradiso"
"18",204431,208977,"I'd like to talk to Mr. Salvatore Di Vita.","Cinema Paradiso"
"19",209186,210937,"This is his mother.","Cinema Paradiso"
"20",245931,248509,"What the hell are you looking at?","Cinema Paradiso"
"21",298800,303096,"Salvatore... what time is it?","Cinema Paradiso"
"22",304930,311439,"It's very late. I'm sorry.","Cinema Paradiso"
"23",311814,317403,"There was no way to let you know. Go back to sleep.","Cinema Paradiso"
"24",322115,328038,"Your mother called. She took me for someone else.","Cinema Paradiso"
"25",329706,331207,"What did you tell her?","Cinema Paradiso"
"26",331542,334463,"I played along. I didn't want to disappoint her.","Cinema Paradiso"
"27",334670,336840,"We had a long talk.","Cinema Paradiso"
"28",338425,341677,"She said you haven't visited her in 30 years.","Cinema Paradiso"
"29",341887,344680,"When she wants to see you, she comes to Rome.","Cinema Paradiso"
"30",344889,347558,"She called just to say that?","Cinema Paradiso"
"31",351687,358487,"No. She said someone died- someone named Alfredo.","Cinema Paradiso"
"32",358737,365536,"The funeral is tomorrow. Who is he, a relative?","Cinema Paradiso"
"33",367204,372543,"No. Go to sleep.","Cinema Paradiso"
"34",444826,447913,"This boy will be the death of me.","Cinema Paradiso"
"35",448581,453418,"""With this cup of holy blood...","Cinema Paradiso"
"36",453627,455545,"""Please...","Cinema Paradiso"
"37",459466,461218,"""Please...","Cinema Paradiso"
"38",461509,463428,"Toto!","Cinema Paradiso"
"39",465641,470394,"""Please absolve all our sins."" Amen.","Cinema Paradiso"
"40",475490,477959,"Better late than never.","Cinema Paradiso"
"41",478487,480029,"How often must I say it?","Cinema Paradiso"
"42",480160,482661,"Without the bell, I lose my place. You're always sleeping.","Cinema Paradiso"
"43",482819,486865,"What do you do at night, eat?","Cinema Paradiso"
"44",487031,490954,"Father, at my house we don't even eat at noon.","Cinema Paradiso"
"45",491161,494708,"The veterinarian says so. That's why I'm tired.","Cinema Paradiso"
"46",494915,496292,"I know why you're tired.","Cinema Paradiso"
"47",496500,500922,"Don't think I don't. Now run along home.","Cinema Paradiso"
"48",501130,502257,"I've something to do.","Cinema Paradiso"
"49",502464,503048,"Can I come?","Cinema Paradiso"
"50",503257,503966,"No, you cannot.","Cinema Paradiso"
"51",504175,505552,"Yes, yes!","Cinema Paradiso"
"52",505759,508137,"Toto, out!","Cinema Paradiso"
"53",508346,510139,"I want to! I want to!","Cinema Paradiso"
"54",520609,525740,"Alfredo. Alfredo!","Cinema Paradiso"
"55",526657,527615,"Yes!","Cinema Paradiso"
"56",527825,529201,"You can start.","Cinema Paradiso"
"57",542380,544301,"Here we go again.","Cinema Paradiso"
"58",562235,567198,"Fix the picture!","Cinema Paradiso"
"59",575875,577835,"","Cinema Paradiso"
"60",578919,580879,"","Cinema Paradiso"
"61",587095,589054,"","Cinema Paradiso"
"62",596855,599899,"Pepe, one day we'll have it all.","Cinema Paradiso"
"63",600734,606573,"We'll go away together... live the easy life...","Cinema Paradiso"
"64",607073,609158,"where no one knows us.","Cinema Paradiso"
"65",609368,611828,"Forget it.","Cinema Paradiso"
"66",612663,615039,"You don't love me anymore.","Cinema Paradiso"
"67",615582,617000,"No.","Cinema Paradiso"
"68",631590,633620,"It would be nice...","Cinema Paradiso"
"69",633393,636605,"if you could spare a few kind words.","Cinema Paradiso"
"70",636980,637938,"I can't.","Cinema Paradiso"
"71",638148,639482,"Oh, well. Thanks anyway.","Cinema Paradiso"
"72",712017,713183,"No!","Cinema Paradiso"
"73",744133,747470,"One pair, two pair!","Cinema Paradiso"
"74",747677,750221,"One hundred lire! Real nylon!","Cinema Paradiso"
"75",766155,768115,"You mustn't come here.","Cinema Paradiso"
"76",768658,771286,"Can't you get it through your thick skull?","Cinema Paradiso"
"77",771495,773956,"If the film catches fire...","Cinema Paradiso"
"78",774163,776540,"little as you are, you'll go up...","Cinema Paradiso"
"79",776750,777876,"voom!","Cinema Paradiso"
"80",778086,780254,"""And turn into a lump of coal.""","Cinema Paradiso"
"81",783100,785384,"Like to wag your tongue, eh?","Cinema Paradiso"
"82",786179,791518,"One day I'll cut it off. Like that.","Cinema Paradiso"
"83",805866,810746,"Can I have it? Come on, can I have it?","Cinema Paradiso"
"84",812081,813290,"Well, can I?","Cinema Paradiso"
"85",813500,819880,"What, are you deaf?","Cinema Paradiso"
"86",820088,825094,"I have to splice it back in before I return the film. You're such a pest!","Cinema Paradiso"
"87",826053,830558,"Why didn't you splice these in when you gave the films back?","Cinema Paradiso"
"88",831143,836190,"Sometimes I can't find the right place,","Cinema Paradiso"
"89",836399,840149,"so they stay here. Anyway, they kiss too much.","Cinema Paradiso"
"90",841445,843739,"Then I can have them.","Cinema Paradiso"
"91",843947,846325,"No. Now look, come here.","Cinema Paradiso"
"92",848869,851788,"Before I kick your behind, let's make a deal.","Cinema Paradiso"
"93",851996,854542,"All those are yours- a present.","Cinema Paradiso"
"94",854750,855626,"Thanks.","Cinema Paradiso"
"95",855836,858171,"But one, you keep out of here,","Cinema Paradiso"
"96",858379,860841,"and two, they stay with me. Got it?","Cinema Paradiso"
"97",861258,863259,"All right.","Cinema Paradiso"
"98",863467,865136,"Right. Then we agree. Now scram.","Cinema Paradiso"
"99",877024,879109,"What kind of a deal is that?","Cinema Paradiso"
"100",879317,882947,"If they're mine, how come you keep them?","Cinema Paradiso"
"101",887118,890163,"Don't come back, or I'll split your head open!","Cinema Paradiso"
"102",898837,900840,"""Shoot first, think later.""","Cinema Paradiso"
"103",901048,905635,"""This is no job for cowards, you backstabbing dog!""","Cinema Paradiso"
"104",910100,915105,"""Hey, you! Hands off the gold, you rotten bastard!""","Cinema Paradiso"
"105",918484,921986,"""You dirty swine, stay away from me...","Cinema Paradiso"
"106",922196,926616,"""or I'll smash your face in.""","Cinema Paradiso"
"107",943009,945886,"Mama, if the war's over,","Cinema Paradiso"
"108",946096,948597,"why doesn't Papa come back?137","Cinema Paradiso"
"109",949014,953311,"He'll come back, you'll see. One of these days.","Cinema Paradiso"
"110",953644,958732,"I don't remember him. Where's Russia?","Cinema Paradiso"
"111",958942,964322,"It takes years to get there... and years to come back.","Cinema Paradiso"
"112",965575,968159,"Go to bed. It's late.","Cinema Paradiso"
"113",1003905,1006950,"You can fool your mother, but not me!","Cinema Paradiso"
"114",1008494,1010412,"Get your diploma and join the police!","Cinema Paradiso"
"115",1010620,1015626,"Lazybones! Good-for-nothing!","Cinema Paradiso"
"116",1022759,1024676,"Get a move on!","Cinema Paradiso"
"117",1037690,1040819,"Well? What is 5 times 5?","Cinema Paradiso"
"118",1044448,1045990,"Thirty.","Cinema Paradiso"
"119",1052789,1056544,"Silence! The fives times table, dimwit.","Cinema Paradiso"
"120",1056751,1059087,"One times 5 is 5...","Cinema Paradiso"
"121",1059296,1061632,"2 times 5 is 10...","Cinema Paradiso"
"122",1061840,1063968,"3 times 5 is 15...","Cinema Paradiso"
"123",1064175,1067305,"4 times 5 is 20.","Cinema Paradiso"
"124",1067513,1070057,"5 times 5?","Cinema Paradiso"
"125",1070599,1071768,"Forty.","Cinema Paradiso"
"126",1081528,1084780,"Silence!","Cinema Paradiso"
"127",1084990,1086907,"Boccia...","Cinema Paradiso"
"128",1087366,1088743,"twenty-five.","Cinema Paradiso"
"129",1088951,1093708,"Learn your times tables, or you'll never get a job.","Cinema Paradiso"
"130",1094959,1099547,"For the last time... what is 5 times 5?","Cinema Paradiso"
"131",1099756,1101257,"Christmas!","Cinema Paradiso"
"132",1140673,1143969,"I paid to get in. I'm seeing the movie.","Cinema Paradiso"
"133",1144176,1145679,"Get down from there, you rascal.","Cinema Paradiso"
"134",1145886,1149307,"Go back to your seat.","Cinema Paradiso"
"135",1149516,1155188,"Worse than rabbits. They're all over the place. Little monsters.","Cinema Paradiso"
"136",1165490,1168994,"I'm off to Oregon. Wait for me at my ranch.","Cinema Paradiso"
"137",1169787,1171705,"Wait for a dead man?","Cinema Paradiso"
"138",1172373,1174375,"A star-studded cast...","Cinema Paradiso"
"139",1174584,1179255,"featuring John Wayne, Claire Trevor-","Cinema Paradiso"
"140",1191433,1195146,"Hello, everyone! Can't I say hello?","Cinema Paradiso"
"141",1195355,1196606,"It's a double feature today.","Cinema Paradiso"
"142",1196815,1198525,"So? I'm here to sleep.","Cinema Paradiso"
"143",1200152,1201319,"Got some smokes?","Cinema Paradiso"
"144",1201528,1203779,"American.","Cinema Paradiso"
"145",1206866,1209494,"Cut the news, Alfredo!","Cinema Paradiso"
"146",1212538,1214875,"","Cinema Paradiso"
"147",1215083,1218170,"Shut up! This stuff is important!","Cinema Paradiso"
"148",1218377,1222133,"""The men and women who fought in secret...","Cinema Paradiso"
"149",1222342,1225804,"""our brave partisans, are reunited in Rome...","Cinema Paradiso"
"150",1226011,1230057,"""for the first Resistance Rally organized by the CVL.","Cinema Paradiso"
"151",1230266,1234520,"Parri is the acting president. Sandro Pertini...","Cinema Paradiso"
"152",1248201,1250246,"Good evening, everyone!","Cinema Paradiso"
"153",1251079,1254750,"Will you show the movie already?","Cinema Paradiso"
"154",1255329,1256900,"Sit down and be quiet!","Cinema Paradiso"
"155",1256919,1259630,"The Earth Trembles","Cinema Paradiso"
"156",1259838,1261798,"Sicilian fishermen","Cinema Paradiso"
"157",1265094,1268180,"Visconti","Cinema Paradiso"
"158",1280943,1282153,"What does it say?","Cinema Paradiso"
"159",1282362,1284114,"I'm illiterate.","Cinema Paradiso"
"160",1284321,1285990,"- You too?- Yes.","Cinema Paradiso"
"161",1290953,1292998,"","Cinema Paradiso"
"162",1293205,1295083,"","Cinema Paradiso"
"163",1295584,1298086,"Twelve hours ofblood and sweat...","Cinema Paradiso"
"164",1298295,1303925,"and what they bring home barely keeps them from starving.","Cinema Paradiso"
"165",1304509,1307137,"Yet when they pulled in their nets...","Cinema Paradiso"
"166",1307346,1310516,"they were full.","Cinema Paradiso"
"167",1311183,1313769,"They wanted 750 lire.","Cinema Paradiso"
"168",1313978,1315480,"It's always the same.","Cinema Paradiso"
"169",1315688,1318857,"But they don't pay us enough.","Cinema Paradiso"
"170",1319067,1320817,"That's how it's always been.","Cinema Paradiso"
"171",1321027,1323195,"And it's never going to change.","Cinema Paradiso"
"172",1351393,1352560,"I knew it!","Cinema Paradiso"
"173",1354645,1358400,"In 20 years I've never seen a kiss on the screen!","Cinema Paradiso"
"174",1358607,1361736,"As if they'd let us!","Cinema Paradiso"
"175",1365155,1366865,"Kiss my ass!","Cinema Paradiso"
"176",1426761,1429096,"- Don Vincenzo.- You and you, to work.
- What about me?","Cinema Paradiso"
"177",1431476,1433519,"Go ask Stalin for a job.","Cinema Paradiso"
"178",1433728,1437190,"His day will come. You watch.","Cinema Paradiso"
"179",1437397,1440317,"I always get left out.","Cinema Paradiso"
"180",1440902,1444864,"Good movie. The kid really acted well.","Cinema Paradiso"
"181",1445073,1446574,"Too bad he was so unlucky.","Cinema Paradiso"
"182",1446782,1449701,"What a jackass to buy that boat.","Cinema Paradiso"
"183",1449911,1452872,"Idiot, you didn't get it at all.","Cinema Paradiso"
"184",1454457,1458461,"Right, boys, you work from dawn to dusk.","Cinema Paradiso"
"185",1458671,1462258,"And don't ask how much it pays.","Cinema Paradiso"
"186",1491163,1494207,"I've been looking for you all day. Did you get the milk?","Cinema Paradiso"
"187",1494415,1495541,"No.","Cinema Paradiso"
"188",1495750,1497419,"Where's the money?","Cinema Paradiso"
"189",1498878,1500212,"It got stolen.","Cinema Paradiso"
"190",1502382,1504634,"You spent it at the movies?","Cinema Paradiso"
"191",1507136,1511183,"Movies, always movies!","Cinema Paradiso"
"192",1512894,1513894,"Signora Maria, stop.","Cinema Paradiso"
"193",1514103,1515771,"Leave him alone. Take it easy.","Cinema Paradiso"
"194",1517773,1521443,"- And you, why do you tell lies?- You know you got in free.","Cinema Paradiso"
"195",1521653,1528409,"Tell your mother. Maybe he lost the money inside.","Cinema Paradiso"
"196",1529076,1530036,"How much did you have?","Cinema Paradiso"
"197",1530243,1531703,"Fifty lire.","Cinema Paradiso"
"198",1533247,1536919,"What did you find under the seats tonight?","Cinema Paradiso"
"199",1541548,1553184,"A comb. Two shoe lifts. A can of tobacco...","Cinema Paradiso"
"200",1552740,1554970,"And...","Cinema Paradiso"
"201",1554811,1565323,"fifty lire. See?","Cinema Paradiso"
"202",1566490,1571246,"Thank you, Alfredo. Good night.","Cinema Paradiso"
"203",1571539,1572630,"Bye.","Cinema Paradiso"
"204",1574710,1575680,"Go.","Cinema Paradiso"
"205",1581047,1583258,"I knew where you were going.","Cinema Paradiso"
"206",1583842,1585634,"The square is mine! It's mine!","Cinema Paradiso"
"207",1590682,1596980,"It's midnight. Midnight! Out! Shoo! I have to close the square.","Cinema Paradiso"
