"id","startTime","endTime","text","title"
"1",103662,119568,"You must get this amount orit will be serious.Your Father","City Girl"
"2",150560,154365,"""First call for lunchin the dining car""!","City Girl"
"3",174615,179893,"Your handkerchiefs areunder your shirts.","City Girl"
"4",179930,183409,"Use a clean one every day.","City Girl"
"5",183445,186755,"Don't stay out late at night","City Girl"
"6",186792,193421,"Don't take up with strangers.Remember we are depending on you
to do your best.","City Girl"
"7",198404,201722,"Was that the first call for luncheon?","City Girl"
"8",207415,211175,"Guess so. It's the first oneI've heard, ma'am.","City Girl"
"9",262947,265987,"Maybe I made a mistake...","City Girl"
"10",266024,268780,"...sendin' Lem to Chicago...alone.","City Girl"
"11",342930,348033,"I raise wheat to sell, not toplay with! Every grain counts!","City Girl"
"12",410995,414055,"Give us this dayour daily bread....","City Girl"
"13",506020,511232,"Get to work, Kate... that fan'sfor the files!","City Girl"
"14",519540,526127,"If the files are as hot asI am, they need it!","City Girl"
"15",539218,541909,"Can you beat it ?He's praying !","City Girl"
"16",544036,548560,"Betcha two bits he's gonnatake a chance on the hash !","City Girl"
"17",577375,581330,"I'd like some corned beef hashand coffee, please.","City Girl"
"18",585083,586837,"You win!","City Girl"
"19",627345,628635,"Gee! I'm sorry!","City Girl"
"20",631479,635427,"It was my fault...forputting 'em there.","City Girl"
"21",643678,646334,"Mother.","City Girl"
"22",655377,656642,"Minnesota, eh?","City Girl"
"23",660779,662109,"Swede ?","City Girl"
"24",664783,667744,"No.. pa is ScotchMa is Canadian...","City Girl"
"25",667781,670683,"...and I'm plain American.","City Girl"
"26",675239,678317,"Lonesome in the big city, aint it ?","City Girl"
"27",678343,681258,"What you doin' here?","City Girl"
"28",685680,690338,"I'm down here to sellour wheat crop.","City Girl"
"29",700018,706049,"Well, old wheat king, how aboutsome bread pudding for desert?","City Girl"
"30",757291,761677,"I always do that at home.It makesMa's work easier.","City Girl"
"31",774750,778183,"Living on a farmmust be wonderful!","City Girl"
"32",843225,846514,"I'm certainly glad to have met you!","City Girl"
"33",848248,849658,"I'm glad too.","City Girl"
"34",877127,880190,"CROP ESTIMATE PUTS CORN PRICE UP,WHEAT DOWN.","City Girl"
"35",1052330,1057078,"No letter from Lem yet.I'm worried, Mother.","City Girl"
"36",1060430,1069139,"Lem's doin' what's right...You keepforgettin' our boy's a grown man now.","City Girl"
"37",1074924,1078044,"maybe you're right,...","City Girl"
"38",1078081,1083758,"...but I can't help thinkin'of him as a little shaver.","City Girl"
"39",1091572,1098506,"Just the same, if he don't sell right,I'll never be able to make both ends meet!","City Girl"
"40",1196760,1200481,"Hey! How does he rate a private breeze?","City Girl"
"41",1223678,1225962,"How old is this fish anyway ?","City Girl"
"42",1229405,1233103,"Don't ask me Mister!Look in his mouth!","City Girl"
"43",1248666,1255481,"Figurin' how much it'll cost totake her out tonight, Buddy?","City Girl"
"44",1283411,1289121,"I sold the wheat today...I hope Pop won't be mad.","City Girl"
"45",1294070,1298718,"He sent you to sell it, didn't he?","City Girl"
"46",1302617,1306963,"But i didn't get his price.","City Girl"
"47",1306989,1313268,"It was droppin' so fast I wasafraid to hold out any longer.","City Girl"
"48",1351640,1355603,"I'd rather be deaf than blind,wouldn't you ?","City Girl"
"49",1373850,1382584,"I can see you'd be nice company.What do you do with your evenings?","City Girl"
"50",1384321,1386538,"You'll never know!","City Girl"
"51",1410894,1414880,"You shouldn't 'a done that!Fighting over me!","City Girl"
"52",1418261,1424425,"I'd fight anybody who triedto lay a hand on you!","City Girl"
"53",1435505,1439649,"I'm going home....on the one o'clock train.","City Girl"
"54",1445566,1452880,"Cut short the side order, Kate...the boss is givin' you the eagle eye!","City Girl"
"55",1469604,1473023,"There's something I wanted to ask..","City Girl"
"56",1485261,1489190,"I wanted to ask...If you...","City Girl"
"57",1491702,1493327,"If you... like...","City Girl"
"58",1495227,1497942,"...like.. like living in the city?","City Girl"
"59",1507734,1511337,"Guess one place is good as another.","City Girl"
"60",1511374,1514467,"It's all a wash-out,If you ask me!!","City Girl"
"61",1529637,1535035,"Well s'long Kid! Give my loveto the cows and the chickens!","City Girl"
"62",1622622,1625579,"I think... I'll wait a minute.","City Girl"
"63",1650762,1653372,"YOUR WEIGHT andYOUR FORTUNE.","City Girl"
"64",1682336,1685895,"If you marry the one you arethinking of all will be well.","City Girl"
"65",1723125,1727299,"I left something behind...got to get it.","City Girl"
"66",1875260,1880585,"If we get married right awaywe can be home by morning.","City Girl"
"67",1938362,1943943,"Just married a sweet girlwaitress in big resyaurant","City Girl"
"68",1943980,1949881,"Know you will love her. Bringingher home tomorrow. ","City Girl"
"69",1953628,1955161,"Your Son","City Girl"
"70",1986084,1989227,"Good girls ain't that free and easyabout getting married.","City Girl"
"71",1989368,1991929,"The boy's been roped in!","City Girl"
"72",2073401,2077933,"Oh, Lem, it's wonderful to have a homeand a mother and father...","City Girl"
"73",2080047,2082694,"And a man of my own...","City Girl"
"74",2082805,2087462,"...a real two-fisted guy...to take care of me!","City Girl"
"75",2268166,2270056,"Ma ...this is Kate!","City Girl"
"76",2305043,2309119,"This is the prettiest bridal bouquetI ever saw!","City Girl"
"77",2309156,2311213,"You're Marie, ain't you?","City Girl"
"78",2400122,2404928,"If I catch you playin' with wheatagain, I'll whip you!","City Girl"
"79",2434582,2436202,"Father... here's Kate.","City Girl"
"80",2444336,2448223,"How much did you getfor the wheat?","City Girl"
"81",2480270,2483867,"Didn't I tell you not to sellunder $1.15?","City Girl"
"82",2502024,2508272,"If you'd been tendin' to my business'stead of your own, you'd 'a waited.","City Girl"
"83",2524746,2527920,"Change your clothesand get to work!","City Girl"
"84",2527956,2530830,"The harvesters arecomin' in the mornin'!","City Girl"
"85",2555854,2559274,"Don't mind Father....he's upset.","City Girl"
"86",2559311,2562045,"And he never can bear to be crossed.","City Girl"
"87",2572183,2574841,"I want to talk to you!","City Girl"
"88",2607969,2613992,"I'd like to know what you expectedto get out of marryin' Lem.","City Girl"
"89",2623324,2626291,"What any other wife expects.","City Girl"
"90",2626328,2629356,"I married Lem because I.....I love him..","City Girl"
"91",2632058,2636638,"Women like you love forwhat they can get out of it...","City Girl"
"92",2643306,2648497,"...But you'll get nothing from me!You can go back to Chicago!","City Girl"
"93",2651690,2657010,"You certainly smeared it that time!Now I'll never give Lem up!...","City Girl"
"94",2660926,2666622,"I am going to make a man of Lem Tustinein spite of you!.....","City Girl"
"95",2669096,2672504,"...And if you think he'll let me go awaywithout him...","City Girl"
