"id","startTime","endTime","text","title"
"1",76412,82668,"CITY LIGHTS","City Lights"
"2",93471,99227,"""To the people of this city we donate thismonument; 'Peace and Prosperity'.""","City Lights"
"3",280158,282451,"Afternoon.","City Lights"
"4",479399,482735,"""Did you pick it up, sir?""","City Lights"
"5",525778,528947,"""Wait for your change, sir.""","City Lights"
"6",589235,592029,"Evening.","City Lights"
"7",613174,614594,"""Grandma.""","City Lights"
"8",672275,674528,"Night.","City Lights"
"9",754716,758636,"""Tomorrow the birds will sing.""","City Lights"
"10",766479,768855,"""Be brave! Face life!""","City Lights"
"11",776947,779325,"""No, I'll end it all!""","City Lights"
"12",886557,890727,"""I'm cured. You'remy friend for life.""","City Lights"
"13",917546,921384,"""We'll go home andget warmed up.""","City Lights"
"14",972851,974227,"""Any news?""","City Lights"
"15",977480,982110,"""Only that your wifesent for her baggage, sir.""","City Lights"
"16",983778,984739,"""Good!""","City Lights"
"17",1007595,1010139,"""Here's to our friendship --""","City Lights"
"18",1202288,1204040,"""No, I'll live!""","City Lights"
"19",1213925,1215553,"""James - The Rolls - Royce. We'll burn up the town!""","City Lights"
"20",1607903,1612240,"Early morning;homeward bound.","City Lights"
"21",1653166,1656152,"""Be careful howyou're driving.""","City Lights"
"22",1658453,1660538,"""Am I driving?""","City Lights"
"23",1691144,1693988,"""I like your car.""","City Lights"
"24",1696025,1699000,"""Then keep it, it's yours.""","City Lights"
"25",1765987,1767946,"""Where's my friend?""","City Lights"
"26",1771741,1775163,"""Let him in, he's my guest!""","City Lights"
"27",1792596,1795223,"""Let's buy some flowers.""","City Lights"
"28",1830009,1832135,"""Here's ten dollars.""","City Lights"
"29",1834055,1836516,"""I haven't any change, sir.""","City Lights"
"30",1874636,1878473,"""Take these inside;I'll be right back.""","City Lights"
"31",1933813,1937192,"""Thank you for your kindness, sir.""","City Lights"
"32",1956544,1959672,"""May I see you home again?""","City Lights"
"33",1962133,1964510,"""Whenever you wish, sir.""","City Lights"
"34",2032537,2037750,"The sober dawnawakens a different man.","City Lights"
"35",2078416,2081293,"""I'm out to everybody!""","City Lights"
"36",2095432,2099269,"""Whoever he is,get rid of him!""","City Lights"
"37",2223103,2227190,"""-- And then he brought mehome in his car.""","City Lights"
"38",2230818,2233112,"""He must be wealthy.""","City Lights"
"39",2237074,2239952,"""Yes, but he's more than that.""","City Lights"
"40",2246226,2249146,"That afternoon.","City Lights"
"41",2272126,2273670,"""My friend!""","City Lights"
"42",2278382,2282721,"""Come on home, I'llgive you a swell party.""","City Lights"
"43",2308621,2310206,"The party.","City Lights"
"44",2508237,2510990,"The morning after.","City Lights"
