"id","startTime","endTime","text","title"
"1",136352,139354,"Rescue 3.Jessie, do you see him yet?","Cliffhanger"
"2",140230,142274,"Patience, my love, patience.","Cliffhanger"
"3",146194,148488,"Wait a minute.I think I have him sighted.","Cliffhanger"
"4",148572,150407,"Frank, what's the word?","Cliffhanger"
"5",151491,153451,"The word is we got himover there.","Cliffhanger"
"6",157955,160249,"Rescue 3, this is Rescue Center.Over.","Cliffhanger"
"7",160332,161876,"This is 3. Go ahead.","Cliffhanger"
"8",161959,165212,"Jessie, we're getting general clearancein the southeastern region of the park.","Cliffhanger"
"9",165296,169008,"You will probably have sufficientcloud base to get into the tower...","Cliffhanger"
"10",169091,172762,"but please be advised you'll stillencounter strong winds and turbulence.","Cliffhanger"
"11",172803,175722,"We would adviseagainst a winch rescue. Over.","Cliffhanger"
"12",175805,179225,"Wilco, Center. I'll proceedwith wire cross from opposite tower.","Cliffhanger"
"13",179309,181770,"- Three out.- Center out.","Cliffhanger"
"14",196700,200037,"Gabe, Hal's signaling he's okay.","Cliffhanger"
"15",201663,202873,"Gabe?","Cliffhanger"
"16",204374,206168,"Gabe, where are you?","Cliffhanger"
"17",206251,208253,"I'm just hanging out, Jess.","Cliffhanger"
"18",209004,210880,"Oh, my God.","Cliffhanger"
"19",215217,218720,"I don't recognize the face,but the butt does look vaguely familiar.","Cliffhanger"
"20",218804,222474,"Hey, be careful,or you'll embarrass old Frank.","Cliffhanger"
"21",222516,224976,"It would take a heap morethan that, rock-jock.","Cliffhanger"
"22",225060,226603,"Yeah.","Cliffhanger"
"23",265640,266891,"Gabe?","Cliffhanger"
"24",266975,269227,"They're belowthe top of the tower.","Cliffhanger"
"25",269310,271312,"They're on the ledgejust above you.","Cliffhanger"
"26",271396,273398,"You got another few feet.","Cliffhanger"
"27",279862,282613,"- Glad you could join us.- Yeah, sure. Hi, Sarah.","Cliffhanger"
"28",282697,284031,"Hi, Gabe.","Cliffhanger"
"29",284073,286659,"So, how's the knee?","Cliffhanger"
