"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Cloudy with a Chance of Meatballs 2"
"2",49969,53280,"My name is Flint LockwoodMy whole life..","Cloudy with a Chance of Meatballs 2"
"3",53520,56020,"I always wanted to bea great inventor.","Cloudy with a Chance of Meatballs 2"
"4",56509,57710,"Just like my hero.","Cloudy with a Chance of Meatballs 2"
"5",57960,61659,"The Scientifically WonderfulWorld of Science.","Cloudy with a Chance of Meatballs 2"
"6",63240,65510,"With your host, Chester V.","Cloudy with a Chance of Meatballs 2"
"7",65760,67909,"Welcome back, science friends.","Cloudy with a Chance of Meatballs 2"
"8",68159,71084,"You know, I have devoted my lifeto inventing the future.","Cloudy with a Chance of Meatballs 2"
"9",71319,73527,"But every dream has a beginning.","Cloudy with a Chance of Meatballs 2"
"10",73799,76325,"I still remember my first invention:","Cloudy with a Chance of Meatballs 2"
"11",76560,78483,"The humble Food Bar.","Cloudy with a Chance of Meatballs 2"
"12",79680,82603,"It was like Chester Vwas speaking directly to me","Cloudy with a Chance of Meatballs 2"
"13",82840,84489,"using the language of science","Cloudy with a Chance of Meatballs 2"
"14",84719,85846,"Now look at us.","Cloudy with a Chance of Meatballs 2"
"15",86079,89402,"Our new Food Bar XLwith flavor crystals.","Cloudy with a Chance of Meatballs 2"
"16",89640,92802,"Still making people happyafter all these years","Cloudy with a Chance of Meatballs 2"
"17",93039,96240,"Now, kids, you'll almost certainlynever be me.","Cloudy with a Chance of Meatballs 2"
"18",96479,99847,"But, remember, there's no such thingas small science","Cloudy with a Chance of Meatballs 2"
"19",100120,103888,"Only small scientists!We love you, Chester V!","Cloudy with a Chance of Meatballs 2"
"20",104319,107722,"Speaking of small scientists,say goodbye, Barb","Cloudy with a Chance of Meatballs 2"
"21",108000,108966,"Goodbye, Barb","Cloudy with a Chance of Meatballs 2"
"22",109719,112570,"Can your ideas change the world?","Cloudy with a Chance of Meatballs 2"
