"id","startTime","endTime","text","title"
"1",21258,23351,"(AIRPLANE LANDING)","Collateral"
"2",27060,29392,"(WHEELS TOUCHING DOWN)","Collateral"
"3",33633,37160,"(CHATTERING)","Collateral"
"4",37270,41297,"(FOOTSTEPS)","Collateral"
"5",43743,47201,"(SOUND ON LOUDSPEAKER)(PEOPLE CHATTERING)","Collateral"
"6",68735,71727,"- You okay?- I'm fine, mate. Don't worry about it.","Collateral"
"7",71838,73806,"You all right?","Collateral"
"8",74707,76174,"Enjoy L.A.","Collateral"
"9",103336,107397,"(SPEAKS FRENCH)","Collateral"
"10",141207,144108,"(MEN YELLING IN SPANISH)","Collateral"
"11",144210,146235,"He did it.","Collateral"
"12",147313,151340,"(SILENCE)","Collateral"
"13",185018,188317,"- MAN: Everthing's always about you.- WOMAN: It's not.","Collateral"
"14",188421,192050,"That gearhead was being sarcasticand you know it.","Collateral"
"15",192158,194456,"- I just didn't see it that way.- Bullshit.","Collateral"
"16",194561,196688,"What about the digabout the makeover?","Collateral"
"17",196796,199629,"What do you want me to do?I work with him, for chrissake.","Collateral"
"18",199732,202132,"You're capable of taking careof your own shit.","Collateral"
"19",202235,205727,"You know something? Last time I checked,you were sleeping with me.","Collateral"
"20",205838,208739,"So unless you want to start fucking him,I suggest...","Collateral"
"21",237604,241506,"(BOTH SPEAKING SPANISH)","Collateral"
"22",264597,267964,"Hey, pal. Where can I catch a shuttleto the airport around here?","Collateral"
"23",268067,270558,"- Right there.- Thanks.","Collateral"
"24",281347,284475,"It was him in that gold Lexuswith the cell phone.","Collateral"
"25",288521,291046,"Are they still asking fora change of venue?","Collateral"
"26",291157,294388,"He's enhanceable becauseof priors in the early '80s.","Collateral"
"27",297830,300731,"- Where to?- Downtown. 312 North Spring Street.","Collateral"
"28",300833,302130,"Downtown.","Collateral"
"29",306239,310266,"Look, the transcriptions need to be doneby 7 a.m., period, okay?","Collateral"
"30",311010,314673,"Hold on. Take Sepulvedato Slauson to La Brea.","Collateral"
"31",314781,318046,"Take La Brea north to 6th,into downtown.","Collateral"
"32",318685,320880,"So what? You'll be up late.","Collateral"
"33",320987,323615,"I'm pulling an all-nighter too,so save the tears.","Collateral"
"34",323723,326556,"- I'll take 105 east to the 110. It's faster.- What?","Collateral"
"35",326659,329219,"The 105 to the 110will get you there quicker.","Collateral"
"36",329329,331889,"The 110 turns into a parking lotaround USC.","Collateral"
"37",331998,336162,"But once you get to La Breanorth of Santa Monica, it's jammed.","Collateral"
"38",336269,340672,"The 110 north of the 10, you get peopledriving to Pasadena and they drive slow.","Collateral"
"39",340773,344436,"Yeah, they do, but what I do isI get off on Grand and then l...","Collateral"
"40",346179,349808,"Surface roads is what you want,that's what we'll do.","Collateral"
"41",353619,355086,"Are we taking bets?","Collateral"
"42",355188,358089,"- Are we?- And what if you're wrong?","Collateral"
"43",358191,361683,"I don't think I'll be wrong,but if I am...","Collateral"
"44",361794,363557,"...your ride's free.","Collateral"
"45",366599,369397,"Okay, you got yourself a deal.","Collateral"
"46",393159,395650,"- Go ahead, say it.- Say what?","Collateral"
"47",395762,398230,"- Go ahead.- I got lucky with the lights.","Collateral"
"48",398331,400629,"You weren't lucky.What you were was right.","Collateral"
"49",400733,402963,"I was wrong...","Collateral"
"50",404103,406037,"...Max.","Collateral"
"51",414947,416915,"You mind turning that up?","Collateral"
"52",417016,419450,"You like the classics.","Collateral"
"53",419552,422783,"- I do. I used to play in high school.- Let me guess. Woodwinds.","Collateral"
"54",422889,425858,"No. Strings. Never had the lungsfor wind instruments.","Collateral"
"55",425958,429394,"Could've fooled me the way you wereunloading on that cell phone.","Collateral"
"56",429495,431258,"WOMAN: Different instrument.","Collateral"
"57",432031,436195,"If you had just listened to me, we'd beall bogged down in traffic right now,","Collateral"
"58",436302,438532,"and you would've madean extra five bucks.","Collateral"
"59",438638,443007,"Yeah, well, you keep that 5 bucks.Buy you something special. Go wild.","Collateral"
"60",443109,447205,"Really, it's not a big deal.Nothing big here.","Collateral"
"61",447313,451113,"How many cabbies do you know get youinto an argument to save you money?","Collateral"
"62",451217,453617,"There were two of us.I had to kill the other one.","Collateral"
"63",453719,455687,"I don't like competition.","Collateral"
"64",459559,461686,"Take pride in being goodat what you do?","Collateral"
"65",461794,465491,"What, this?No, this is part-time.","Collateral"
"66",465598,468362,"This is a fill-in job.Pay the bills.","Collateral"
"67",468468,472529,"But I will be the best at what I do.But that's something else.","Collateral"
"68",475708,479610,"- What else?- Just shaping up some things.","Collateral"
"69",479712,481441,"Like...?","Collateral"
"70",482815,483782,"Tell me.","Collateral"
"71",483883,486579,"Limo company I'm putting together.Island Limos.","Collateral"
