"id","startTime","endTime","text","title"
"1",81649,83549,"To the perfect crime.","Compulsion"
"2",83651,87712,"Crime! Oh, my wealthyfraternity brothers.","Compulsion"
"3",87822,90256,"Sixty-seven dollars!","Compulsion"
"4",90357,93589,"And a secondhand typewriter.","Compulsion"
"5",93695,98256,"I told you to leave it alone.No, you were so scared, you froze to it.","Compulsion"
"6",98365,100560,"It was the first time, Artie.The next time, it'll be all right.","Compulsion"
"7",100668,103296,"If there is a next time.","Compulsion"
"8",103404,106999,"When we made the deal,you said you could take orders.","Compulsion"
"9",107108,110202,"You said you wanted meto command you.","Compulsion"
"10",110311,114510,"I do. As long as you keep your partof the agreement.","Compulsion"
"11",134136,137628,"What was the big idea of that?","Compulsion"
"12",137739,140230,"- There was a man in the road.You didn't even see him.
- Yes, I did.","Compulsion"
"13",144179,146613,"Take it easy, Artie. You'll get us stuck.","Compulsion"
"14",146715,148808,"- Hey! Come back here!- All right.","Compulsion"
"15",148917,150885,"You drive.","Compulsion"
"16",152788,155951,"Come back here.I want to talk to you.","Compulsion"
"17",156058,159288,"- Tryin' to kill somebody?- He's drunk. We'd better get out of here.","Compulsion"
"18",165267,168828,"- You can't get away with anything like that!- Wait a minute.","Compulsion"
"19",168937,170996,"- Stop!- Think you're smart, don't ya?","Compulsion"
"20",171106,173268,"- What?- That way.","Compulsion"
"21",173376,176345,"You come back here,I'll show you who's smart.","Compulsion"
"22",177947,179915,"He's asking for it.Give it to him.","Compulsion"
"23",184687,186587,"That's an order, Judd.","Compulsion"
"24",204707,207437,"Faster.","Compulsion"
"25",211247,214615,"Hit him. Hit him!","Compulsion"
"26",227797,230527,"- We almost killed him.- A drunk.","Compulsion"
"27",230633,232601,"Who'd have knownabout it, anyway?","Compulsion"
"28",233770,236238,"- It would have been murder.- Uh-huh.","Compulsion"
"29",236340,239002,"And you know whyI tried it, Juddsie?","Compulsion"
"30",239109,241634,"Because I damn wellfelt like it.","Compulsion"
"31",241745,244737,"That's why.","Compulsion"
"32",338876,341071,"Artie.","Compulsion"
"33",341179,344012,"- Artie, we're home. Artie!- Bang!","Compulsion"
"34",350121,352214,"I was just thinkin' about the fraternity housein the morning.","Compulsion"
"35",352323,355987,"Everybody running around accusingeverybody else, nobody knowing it was us.","Compulsion"
"36",356095,358063,"- Can you see 'em, Juddsie?- Yeah.","Compulsion"
"37",358163,360063,"Artie, listen.","Compulsion"
"38",360165,363100,"- About missing that drunk on the road.- Forget it.","Compulsion"
"39",363202,365693,"I'll get another crackat him some night.","Compulsion"
"40",365804,367896,"When I'm alone.","Compulsion"
"41",368973,370907,"Alone?","Compulsion"
"42",371008,372908,"Can you picture thosepoor saps at the fratern-","Compulsion"
"43",373010,375775,"You were only fooling aboutthere not being a next time, weren't you?","Compulsion"
"44",376882,378850,"Was I?","Compulsion"
"45",380686,382586,"Please, Artie.I'll do anything you say.","Compulsion"
"46",385324,388157,"Anything?","Compulsion"
"47",388260,391752,"I wanna do somethingreally dangerous.","Compulsion"
"48",391864,395266,"Something that'll have everybody talking,not just a few guys.","Compulsion"
"49",395368,398268,"With half the fatheaded copsin Chicago running around in circles...","Compulsion"
"50",398370,400270,"wondering about it while we sat backand laughed at 'em, huh?","Compulsion"
"51",400372,404331,"Yes, but together, Artie.Something perfect. Something brilliant.","Compulsion"
"52",404443,407173,"The true test of the superior intellect,with every little detail worked out.","Compulsion"
"53",407279,409440,"And dangerous- really dangerous.That's the only way it'd be any fun.","Compulsion"
"54",409548,411982,"- Yes.- Ah.","Compulsion"
"55",413051,416283,"You'd get panicky again.","Compulsion"
"56",416389,418323,"No, I wouldn't.","Compulsion"
"57",418425,420518,"It must be doneas an experiment.","Compulsion"
"58",420627,423061,"Detached, withno emotional involvement.","Compulsion"
"59",423163,425290,"And no reason for it,except to show that we can do it.","Compulsion"
"60",425398,427627,"We can do it.","Compulsion"
"61",427733,429701,"Together.","Compulsion"
"62",431370,433600,"Okay, genius.","Compulsion"
"63",433705,437039,"- Go home and get some sleep.- I'll call you tomorrow?","Compulsion"
"64",459432,461332,"Judd?","Compulsion"
"65",461434,464801,"Where have you been?Father was worried about the car.","Compulsion"
"66",464904,467395,"- And you too.- And me too?","Compulsion"
"67",467507,470135,"That's very touching.Apparently, his concern for me...","Compulsion"
"68",470243,473144,"- didn't give him insomnia.- Don't be a smart aleck. Where were you?","Compulsion"
"69",473246,475942,"Up to some funny businesswith Artie again?","Compulsion"
"70",476049,478075,"- As if I didn't know.- Then why bother to ask?","Compulsion"
"71",478185,480085,"Wait a minute.I want to talk to you.","Compulsion"
"72",480187,482451,"I don't think we haveanything in common, Max.","Compulsion"
"73",482556,485684,"And take your hand off my arm.I don't have to answer to you.","Compulsion"
"74",487194,489491,"Or anybody else, eh, kid?","Compulsion"
"75",489596,493430,"Outside of Artie,and your... birds.","Compulsion"
"76",493533,495558,"You don't give a damn aboutanything else in the world, do you?","Compulsion"
"77",495668,498365,"- Does my interest in ornithologyannoy you that much?
- Don't be a fool.","Compulsion"
"78",498472,501270,"I'd delighted with your success.It just irritates me...","Compulsion"
"79",501375,503468,"to see anyone asbrilliant as you make...","Compulsion"
"80",503577,505858,"- a jackass out of yourselfover someone like Artie Strauss.
- I see.","Compulsion"
"81",505893,508139,"- A jackass out of yourselfover someone like Artie Strauss.
- I see.","Compulsion"
"82",508249,510945,"For your information,my dear brother Max...","Compulsion"
"83",511051,515420,"- Artie Strauss happens to haveone of the most brilliant-
- I know all about Artie Strauss...","Compulsion"
"84",515523,518321,"and his mind.","Compulsion"
"85",518425,522122,"I have no doubt you both havetwice the brains that I have...","Compulsion"
"86",522229,524288,"I'd just like to see youuse 'em for once...","Compulsion"
"87",524398,526798,"on something besidecheating old ladies at bridge...","Compulsion"
"88",526901,531304,"and giggling and schemingin your room all afternoon.","Compulsion"
"89",531405,535341,"Don't you ever go to a baseball game,or chase girls or anything?","Compulsion"
"90",535442,540574,"- When I was your age-- I'm sure you had some
fascinating experiences, Max.","Compulsion"
"91",541950,544544,"But some other time.","Compulsion"
"92",544653,547883,"I don't expect anyconsideration for myself.","Compulsion"
"93",547988,550889,"But Artie happens to be a gentleman.Something I doubt you'd understand.","Compulsion"
"94",550991,555553,"Oh, I understand, all right. Would you like meto tell you something else about him?","Compulsion"
"95",555663,559259,"- I think he's a dirty, evil-minded-- You keep your filthy mouth shut!","Compulsion"
"96",559367,561631,"- I don't have to listen toyour insinuations, and I won't!
- You're waking up the house!","Compulsion"
"97",561736,563704,"- I don't care!- All right, cool down. I know
that Artie's your friend...","Compulsion"
"98",563805,565705,"but I'm older than you, and I knowwhat kind of trouble you can get into.","Compulsion"
"99",565807,567832,"- Let go of me.- I worry about you. Will you listen to me?","Compulsion"
"100",567943,570503,"Judd! Listen to-","Compulsion"
"101",596571,599973," Tribal code of,""An eye for an eye, and a tooth for a tooth.""","Compulsion"
"102",600076,603375,"It's always been the basic instinctof man to govern himself.","Compulsion"
"103",603479,607210,"Professor McKinnon,I must agree with Nietzsche.","Compulsion"
"104",607316,611217,"Tribal codes and such do not necessarilyapply to the leaders of society.","Compulsion"
"105",611319,614652,"No. No, Mr. Steiner...","Compulsion"
"106",614756,617350,"I can't see where your friendNietzsche's theories...","Compulsion"
"107",617459,620293,"have any applicationat all here.","Compulsion"
"108",620396,623695,"Hammurabi, Moses,Solon, Justinian-","Compulsion"
"109",623799,626893,"they were all knownas lawgivers.","Compulsion"
"110",627003,630200,"Actually, my question waswhether Moses and the others...","Compulsion"
"111",630306,632706,"felt that they themselveshad to obey those laws.","Compulsion"
"112",634410,638141,"All men are boundby law, Mr. Steiner.","Compulsion"
"113",638247,642013,"And had Nietzsche been a lawyer insteadof a German philosopher...","Compulsion"
"114",642118,644416,"he would haveknown that, too.","Compulsion"
"115",644520,646818,"Are you going to tell methat Moses felt himself...","Compulsion"
"116",646922,649482,"above the laws that he laid downfor his own people?","Compulsion"
"117",649592,652186,"Oh, I don't know, sir.","Compulsion"
"118",652294,655491,"He had a motley crew on his hands, and hehad to get them through the desert somehow.","Compulsion"
"119",658735,662171,"Can you cite an exampleof any of these men...","Compulsion"
"120",662272,665264,"who failed to respect the law,or the rights of the individual?","Compulsion"
"121",665375,669208,"Can Nietzsche explain that away,Mr. Steiner?","Compulsion"
"122",669311,671802,"Oh, I think so, sir.","Compulsion"
"123",671914,675213,"If you've read him, sir, you rememberthat he conceives the Superman...","Compulsion"
"124",675317,677751,"as being detachedfrom such human emotions...","Compulsion"
"125",677853,680448,"as anger, and greed, andlust and the will to power.","Compulsion"
"126",680557,682525,"And all completely beyondmy comprehension...","Compulsion"
"127",682626,685288,"although apparentlynot yours or Nietzsche's.","Compulsion"
"128",686797,689391,"Perhaps my thinkingis outmoded.","Compulsion"
"129",689499,692127,"But I stillcling to the theory...","Compulsion"
"130",692235,694897,"that if we were all super-intellects,we would, nevertheless...","Compulsion"
"131",695005,698030,"- evolve our own code of laws.- Uh, super-laws, sir.","Compulsion"
"132",698140,700575,"Well.","Compulsion"
"133",700677,703009,"An alien voicein our midst.","Compulsion"
"134",703113,706207,"And since I haven't heard it before,Mr. Brooks...","Compulsion"
"135",706316,709945,"I am forced to assume that you were notwith us earlier in the period.","Compulsion"
"136",710053,713284,"Well, that's just an assumption, sir.It can't be admitted as evidence.","Compulsion"
"137",713390,718453,"Oh, very good, Mr. Brooks.You surprise me.","Compulsion"
"138",718562,721555,"But just for once, I shall take a leaffrom Nietzsche's book...","Compulsion"
"139",721666,724499,"place myself above the law,and grade you accordingly.","Compulsion"
"140",724602,727298,"That will be all.","Compulsion"
"141",739417,741908,"Every time I stick my neck out,he chops my head off.","Compulsion"
"142",742019,744112,"You get away with murder.How come?","Compulsion"
"143",744222,746850,"I don't know. He just doesn't seemto think very fast.","Compulsion"
"144",746958,749552,"He's supposed to be one of the brightestmen in the faculty.","Compulsion"
"145",749660,753255,"- I suppose he is.- About this Nietzsche stuff.
Do you really think...","Compulsion"
"146",753364,757198,"- there are super-intellects?- Yes, as a matter of fact, I do.","Compulsion"
"147",757301,760429,"- Artie?- Swing into the alley, bam!
This torpedo cuts loose with a.38.","Compulsion"
"148",760538,763166,"Aw, come on, Artie. Cut it out.","Compulsion"
"149",763274,766766,"You think I'm kiddin'?All right, what do you think that is, huh?","Compulsion"
"150",766878,770678,"- It looks like a moth hole.- Oh, no, Sid. He got that
running whiskey in from Canada.","Compulsion"
"151",770782,772977,"- Just for the fun of it.- Yeah, sure. Just for the fun of it.","Compulsion"
"152",773084,775382,"You don't believe it, huh?All right. I tell you what we'll do.","Compulsion"
"153",775486,777386,"We'll all go down there tomorrow night,the whole bunch of us. Okay?","Compulsion"
"154",777488,779684,"The Four Deuces. Judd,you know the place, don't ya?","Compulsion"
"155",779792,782886,"- We're almost late now, Artie.- All right, now wait a minute.
I gotta get this set.","Compulsion"
"156",782995,785486,"Sid, you can ask Benny himself about me.He runs the joint.","Compulsion"
"157",785597,788064,"On, uh, Rush Street. 26.Looks like a store.","Compulsion"
"158",788166,790964,"- Mike? Mike, you'll be there. Sally, Pete.- Yeah!","Compulsion"
"159",791068,794526,"- You can bring Ruth, can't you?- I'm supposed to work
the late shift at the Globe.","Compulsion"
"160",794639,796539,"So? What timedo you get through?","Compulsion"
"161",796641,799371,"No! No, no. Wait a minute. I tell you what.Just meet us there. I can pick up Ruth.","Compulsion"
"162",799477,804040,"Or Judd can. Oh, wait a minute.You know Ruthie Evans, don't you?","Compulsion"
"163",806418,808386,"- Hello.- I don't believe I've had the pleasure.","Compulsion"
"164",808487,810682,"- You do now, so that's all set.Sid, okay? Ruthie?
- Yeah, fine.","Compulsion"
"165",810789,813724,"Perhaps Miss Evanswould rather wait for Sid.","Compulsion"
"166",813826,817557,"- No. I don't mind.- Great. We'll meet there at, uh, 9:00.","Compulsion"
"167",817663,819630,"- We'll make it a big celebration.- Yeah.
- Sharp.","Compulsion"
"168",819730,823223,"- What are we celebrating?- Oh, uh-","Compulsion"
"169",823335,825929,"A little business dealwe got cookin', huh, Juddsie?","Compulsion"
"170",826038,829269,"- We'd better get going, Artie.- Okay! What are you hanging around for?","Compulsion"
"171",830676,833144,"Bank job. Nothin' to it.Open it up with a hairpin.","Compulsion"
"172",835948,838542,"- See ya later.- That's like talkin' to a Roman candle.","Compulsion"
"173",838650,841586,"- I know.- Look, how come you told 'em you'd go?","Compulsion"
"174",841688,843588,"You know, those boysare millionaire's sons.","Compulsion"
"175",843690,846124,"I haven't got that kindof money to throw around.","Compulsion"
"176",846226,848284,"It was Artie's idea.Let him pay.","Compulsion"
"177",848393,851157,"How many times do I have tosay it? When I go someplace-","Compulsion"
"178",851263,853823,"- ""I like to pay my own way.""- ""I like to pay my own way."" I know.","Compulsion"
"179",853932,857868,"- Hey, I'll starve for a week.- Don't worry. Mother'll
feed you again.","Compulsion"
"180",861875,863843,"- Hey, Brooks.- Yes, sir?","Compulsion"
"181",863943,866776,"I like it. It'sgood human interest.","Compulsion"
"182",866880,868871,"Have they really gotthat mouse in a physics lab?","Compulsion"
"183",868982,871712,"I wouldn't have written itif they didn't, sir.","Compulsion"
