"id","startTime","endTime","text","title"
"1",26819,29404,"Army Rangers havea proud history.","Con Air"
"2",29488,33616,"Since the 1700s, Rangers have ledthe way in every major confrontation...","Con Air"
"3",33701,36744,"in which the United Stateshas been involved.","Con Air"
"4",36829,41165,"You men are a credit to that fineheritage, and I'm sorry to see you go.","Con Air"
"5",41250,45253,"But you've served your country well, andyou've displayed the ability to fight on...","Con Air"
"6",45337,47588,"to the Ranger objectiveand complete its mission—","Con Air"
"7",47673,52844,"never leaving behind a fallen comradeno matter what the odds or the enemy.","Con Air"
"8",52928,54554,"I thank you.","Con Air"
"9",54638,56931,"America thanks you.","Con Air"
"10",57015,59892,"And I wish you luckwherever you go.","Con Air"
"11",59977,63688,"And remember,Rangers lead the way.","Con Air"
"12",72030,73948,"- Hi, Tricia.- Hey.","Con Air"
"13",76744,78619,"- Hey, Tricia Poe.- Hello, Dale.","Con Air"
"14",80038,83082,"How do I","Con Air"
"15",83167,87587,"Get through one nightwithout you","Con Air"
"16",87671,91466,"If I had to livewithout you","Con Air"
"17",91550,94761,"What kind of lifewould that be","Con Air"
"18",94845,98264,"Oh, I","Con Air"
"19",98348,101142,"I need you in my armsNeed you to hold","Con Air"
"20",101226,103144,"- Hummingbird.- Hi.","Con Air"
"21",103228,105480,"- You're my world, my heart and soul- Look at you.","Con Air"
"22",105564,108524,"I'd take a beatin' half my lifeto get a piece of that woman.","Con Air"
"23",108609,110735,"- How's my baby?- She's doin' fine.","Con Air"
"24",110819,114280,"- Baby, you would take away everything- Yeah?","Con Air"
"25",114364,116741,"- Good in my life- What? You're kidding me!","Con Air"
"26",116825,118868,"- What?- Sweetie?","Con Air"
"27",118952,122371,"Hey, shh. Can't you see I'm inthe middle of somethin' here? What?","Con Air"
"28",122456,126042,"- How do I live without you- You, you gonna be Miss Alabama?","Con Air"
"29",126126,128544,"Well, that makes your daddyvery proud.","Con Air"
"30",128629,134217,"Oh, I knowHow do I breathe without you","Con Air"
"31",134301,136219,"If you ever go","Con Air"
"32",136303,139514,"Tricia Poe!You little angel, you.","Con Air"
"33",139598,142266,"Hey, how about joinin' meand the boys for a cold one?","Con Air"
"34",142351,145186,"- Huh, darlin'?- No, thanks.","Con Air"
"35",145270,147188,"Who's yourCaptain Huckleberry here?","Con Air"
"36",147272,150566,"- You know this gentleman, honey?- He's a regular.","Con Air"
"37",150651,154904,"Yeah, I'm a regular.Huh. Regular hound dog.","Con Air"
"38",157491,161828,"This is a special occasion, and if you don'tmind, I'd like to spend it dancin' with my wife.","Con Air"
"39",161912,166415,"Tell you what, soldier Dick. Why don'tyou go buy me and my buddies a round?","Con Air"
"40",166500,169502,"Hey, Cameron, no.It ain't worth it.","Con Air"
"41",169586,173923,"Hey. Come on, Daddy.Let's dance.","Con Air"
"42",174007,176050,"Oh, chicken-shit!","Con Air"
"43",176134,180513,"'Cause of pussies like you,we lost Vietnam. I'll tell ya that.","Con Air"
