"id","startTime","endTime","text","title"
"1",138853,141413,"""To the honored memoryof Jonathan BrookfieId. . .","Conspiracy Theory"
"2",141573,143609,". . .who hath founded BrookfieId SchooI. . .","Conspiracy Theory"
"3",143773,147004,". . .to the gIory of God and the promotionof piety and Iearning. . .","Conspiracy Theory"
"4",147173,150051,". . .in the year of our Lord 1 492. ""","Conspiracy Theory"
"5",150213,154650,"-1 492.-The year CoIumbus discovered America.","Conspiracy Theory"
"6",155173,159052,"BrookfieId SchooI.One can aImost feeI the centuries.","Conspiracy Theory"
"7",159213,161283,"-True.-Gray, oId-aged. . .","Conspiracy Theory"
"8",161453,163444,". . .dreaming over a crowded past.","Conspiracy Theory"
"9",163613,165763,"We're in the heartof EngIand, Mr. Jackson.","Conspiracy Theory"
"10",165933,169323,"It's a heart that has a very gentIe beat.","Conspiracy Theory"
"11",171813,175123,"There's the speciaI train. In 1 5 minutes,the heart of EngIand's. . .","Conspiracy Theory"
"12",175293,177887,". . .going to have sIight paIpitations.","Conspiracy Theory"
"13",188613,191047,"Get out, you beast. It's mine.","Conspiracy Theory"
"14",191453,192932,"AssembIy.","Conspiracy Theory"
"15",193413,196325,"AssembIy. Come on, you boys.AssembIy.","Conspiracy Theory"
"16",196493,198165,"Hurry up, now. AssembIy.","Conspiracy Theory"
"17",198333,200449,"AssembIy. AssembIy.","Conspiracy Theory"
"18",200613,203002,"-Carrie primus.-Carrie secundus.","Conspiracy Theory"
"19",203173,204970,"-Danvers.-DenviIIe.","Conspiracy Theory"
"20",205133,206771,"Darby.","Conspiracy Theory"
"21",213733,216406,"-Good afternoon, boys.-Good afternoon, sir.","Conspiracy Theory"
"22",216573,219326,"You may sit down.","Conspiracy Theory"
"23",221773,225243,"WeII, here we are at the beginningof another schooI year.","Conspiracy Theory"
"24",225813,229488,"One which I sincereIy hope wiII bea credit to BrookfieId.","Conspiracy Theory"
"25",229653,234681,"We require not onIy to win the matchesagainst MiIIfieId and Sedbury. . .","Conspiracy Theory"
"26",234853,238448,". . .but aIso, if it's nottroubIing you too much. . .","Conspiracy Theory"
"27",238613,242526,". . .some fairIy decent resuItsin the examinations.","Conspiracy Theory"
"28",243173,245562,"Now I have a smaIIdisappointment for you.","Conspiracy Theory"
"29",245733,248167,"Perhaps you're aware of it aIready.","Conspiracy Theory"
"30",248333,250972,"For the first time in 58 years. . .","Conspiracy Theory"
"31",251133,255285,". . .Mr. Chipping has been unabIeto attend first-day assembIy.","Conspiracy Theory"
"32",255453,258809,"Chips, and you'II aIIow meto refer to him as Chips. . .","Conspiracy Theory"
"33",258973,261885,". . .seeing that 37 years agothis autumn. . .","Conspiracy Theory"
"34",262053,266171,". . .he gave me a thrashingfor sheer bone Iaziness.","Conspiracy Theory"
"35",268813,270565,"WeII, Chips has a coId.","Conspiracy Theory"
"36",270733,275488,"And a coId can be quite a serious thingfor a young feIIow of 83.","Conspiracy Theory"
"37",275773,278685,"So Dr. MerivaIe has ordered himto stay at home.","Conspiracy Theory"
"38",278853,281413,"It was quite a battIe.","Conspiracy Theory"
"39",281773,284731,"But our oId friend wasfinaIIy induced to surrender. . .","Conspiracy Theory"
"40",284893,289887,"...and he is now sitting, underviolent protest, by his own fireside.","Conspiracy Theory"
