"id","startTime","endTime","text","title"
"1",112920,114399,"Manuel.","Constantine"
"2",115120,116439,"Manuel!","Constantine"
"3",130000,131718,"Manuel.","Constantine"
"4",224960,226951,"I think...","Constantine"
"5",228720,231154,"I think I found you one.","Constantine"
"6",234080,237470,"Look, I called you, right?","Constantine"
"7",238280,243593,"Soon as I couldn't pull it out myself,I called you, John.","Constantine"
"8",257080,260868,"It's okay, it's okay.We had to tie her down, okay?","Constantine"
"9",261200,262838,"It's okay.","Constantine"
"10",313840,316434,"This is Constantine.","Constantine"
"11",316600,321515,"John Constantine, asshole.","Constantine"
"12",328720,330631,"Sure.","Constantine"
"13",352080,353832,"What the hell?","Constantine"
"14",370760,372034,"I need a mirror.","Constantine"
"15",372200,375192,"Now. At least 3 feet high.","Constantine"
"16",375360,377920,"Move! Go, now!","Constantine"
"17",391280,393157,"This is Kramer.","Constantine"
"18",393720,396553,"Chas Kramer, asshole.","Constantine"
"19",396720,398358,"Asshole.","Constantine"
"20",398520,403514,"What? Oh, this is Kramer.Chas Kramer, asshole.","Constantine"
"21",403680,405716,"- Chas!- What?","Constantine"
"22",405880,408519,"- Move the car.- Why?","Constantine"
"23",409320,411356,"Move the damn car!","Constantine"
"24",414280,415599,"""Chas, move the car. ""","Constantine"
"25",417720,418994,"There, car's moved.","Constantine"
"26",429680,431591,"Lift it up over the bed.","Constantine"
"27",433440,437433,"Tie that end off.Hennessy, over the top.","Constantine"
"28",438720,443840,"Close your eyes.And whatever happens, don't look.","Constantine"
"29",455400,457311,"No!","Constantine"
"30",463160,465355,"Show yourself.","Constantine"
"31",469200,471236,"Smile pretty, you vain prick.","Constantine"
"32",479440,481670,"For your boss.","Constantine"
"33",482280,483679,"Pull it!","Constantine"
"34",509080,510911,"Ma? Ma?","Constantine"
"35",545640,549633,"Like I said, I found you something,didn't I, John? Didn't I?","Constantine"
"36",549840,551398,"What happened in there?","Constantine"
"37",558720,560676,"Going to a lot of meetings, I see.","Constantine"
"38",560840,562876,"Keeps the voices out so I can sleep.","Constantine"
"39",564400,566356,"I have to sleep, John.","Constantine"
"40",566840,569434,"I need some help, Father.","Constantine"
"41",570160,571639,"You do?","Constantine"
"42",572000,573479,"From me?","Constantine"
"43",573640,575278,"What kind of...?","Constantine"
"44",577520,581433,"- Hey, listen, I...- That exorcism wasn't right.","Constantine"
"45",584480,586072,"Listen to the ether.","Constantine"
"46",587120,590476,"Anything unusual, you let me know.","Constantine"
"47",591080,595790,"Come on, you don't need its protection.It'll be like back in the day.","Constantine"
"48",598960,600951,"A few days.","Constantine"
"49",601120,602394,"Okay.","Constantine"
"50",602560,605836,"Okay. For you, John.","Constantine"
"51",609200,612510,"John, why would you do thatif you know it's not my car?","Constantine"
"52",612720,615154,"- I told you to move it.- You did tell me to move it...","Constantine"
"53",615320,618676,"...but if you'd said you were droppinga 300-pound mirror with a demon...","Constantine"
"54",618840,620592,"...I would've moved it further, John.","Constantine"
"55",620960,624270,"- Take Alvarado.- Yeah, thank you. I know what to take.","Constantine"
"56",625560,629109,"You ever think if you told me more nowthat maybe I could help out?","Constantine"
"57",629280,630554,"- No?- Nope.","Constantine"
"58",630720,631994,"Nope?","Constantine"
"59",632160,634151,"Of course it's a nope.","Constantine"
"60",669600,671238,"Bless me, Father, for I have sinned.","Constantine"
"61",674640,676278,"It's been...","Constantine"
"62",677440,680318,"...two weeks since my last confession.","Constantine"
"63",683440,685635,"I killed a man today.","Constantine"
