"id","startTime","endTime","text","title"
"1",99492,101577,"What are you doing there, fella?","Cool Hand Luke"
"2",104371,106040,"I just cut these...","Cool Hand Luke"
"3",109168,111170,"You better come along with us.","Cool Hand Luke"
"4",130356,132108,"Taking it off here, Boss?","Cool Hand Luke"
"5",132691,134610,"Yeah, take it off, Dragline.","Cool Hand Luke"
"6",142701,145955,"- Wiping it off here, Boss?- All right, Koko, wipe it off.","Cool Hand Luke"
"7",146038,148165,"Drinking it up here, Boss?","Cool Hand Luke"
"8",148374,150418,"All right, drink it up, Gambler.","Cool Hand Luke"
"9",150709,152795,"Hey, Rabbitt, water him down.","Cool Hand Luke"
"10",163055,167268,"- All right, break it up!- Yes, sir!","Cool Hand Luke"
"11",183409,185327,"You eyeballing there, Society?","Cool Hand Luke"
"12",185411,187121,"Checking my yo-yo, Boss.","Cool Hand Luke"
"13",198924,200426,"Drag, new-meat bus.","Cool Hand Luke"
"14",206432,209351,"Bunch. Must be half a dozen new-meat.","Cool Hand Luke"
"15",212438,215316,"- No more than five, for a cold drink.- You're on.","Cool Hand Luke"
"16",215900,219028,"Babalugats, got a bet here.","Cool Hand Luke"
"17",254980,256982,"All right, you men get lined up here.","Cool Hand Luke"
"18",258317,260694,"Dog Boy, shut them dogs up.","Cool Hand Luke"
"19",260820,263447,"They just smell new-meat, that's all, Boss.","Cool Hand Luke"
"20",270246,272206,"What did they bring us today?","Cool Hand Luke"
"21",275376,276961,"Come on, Blue.","Cool Hand Luke"
"22",278045,282508,"""Gibson, 507. Manslaughter.""","Cool Hand Luke"
"23",282591,284260,"Good for a two spot.","Cool Hand Luke"
"24",284510,286762,"It was an accident.I've never been in trouble before.","Cool Hand Luke"
"25",286846,288097,"You call the Captain, ""Captain.""","Cool Hand Luke"
"26",288222,292643,"""Edgar Potter, 302 and resisting arrest.""","Cool Hand Luke"
"27",292852,293936,"""One year.""","Cool Hand Luke"
"28",294061,296522,"I was trying to keep in out of the rain.","Cool Hand Luke"
"29",297648,300401,"Get the wax out of your ears.You call the Captain, ""Captain.""","Cool Hand Luke"
"30",300484,301485,"Yes, sir.","Cool Hand Luke"
"31",301610,303487,"And you call the rest of us ""Boss,""you hear?","Cool Hand Luke"
"32",303571,304655,"Yes, Boss.","Cool Hand Luke"
"33",304739,308117,"This man is going to make usproud of him, Mr. Hunnicutt.","Cool Hand Luke"
"34",309577,311203,"""Raymond Pratt.""","Cool Hand Luke"
"35",311787,312872,"Yes, Captain.","Cool Hand Luke"
"36",312955,315499,"""Breaking, entering, and assault.""","Cool Hand Luke"
"37",315958,317585,"Five spot.","Cool Hand Luke"
"38",317877,319128,"And a seaman.","Cool Hand Luke"
"39",319962,322757,"Suspect that should come in real handyaround here, Captain.","Cool Hand Luke"
"40",322840,324091,"Maybe.","Cool Hand Luke"
"41",324175,325926,"""Lucas Jackson.""","Cool Hand Luke"
"42",326010,327261,"Here, Captain.","Cool Hand Luke"
"43",327344,331265,"""Maliciously destroying municipalproperty while under the influence.""","Cool Hand Luke"
"44",331390,333142,"What was that?","Cool Hand Luke"
"45",334810,337521,"Cutting the heads off of parking meters,Captain.","Cool Hand Luke"
"46",340483,342109,"We ain't never had one of them before.","Cool Hand Luke"
"47",342193,344570,"Where do you thinkthat's going to get you?","Cool Hand Luke"
"48",344653,347531,"I guess you could sayI wasn't thinking, Captain.","Cool Hand Luke"
"49",349492,352244,"It says here that you did real goodin the war.","Cool Hand Luke"
"50",352328,355831,"A Silver Star, Bronze Star,couple of Purple Hearts...","Cool Hand Luke"
"51",356582,359877,"Sergeant. Then come outthe same way you went in.","Cool Hand Luke"
"52",360336,361587,"Buck Private.","Cool Hand Luke"
"53",362338,364715,"Like I was just passing time, Captain.","Cool Hand Luke"
"54",366175,369512,"Well, you got yourself some time now.""Two years.""","Cool Hand Luke"
"55",371013,372515,"Well, hell, that ain't much.","Cool Hand Luke"
"56",372598,375434,"We got a couple of men heredoing 20 spot.","Cool Hand Luke"
"57",375518,377978,"We got one that's got all of it.","Cool Hand Luke"
"58",378104,382108,"We got all kinds,and you're going to fit in real good.","Cool Hand Luke"
"59",382691,385778,"Of course, in case you get rabbitin your blood...","Cool Hand Luke"
"60",385861,390449,"and you decide to take off for home,you get a bonus of some time...","Cool Hand Luke"
"61",390533,393786,"and a set of leg chains to keep youslowed down just a little bit.","Cool Hand Luke"
"62",393869,397790,"For your own good, you'll learn the rules.","Cool Hand Luke"
"63",399375,401544,"It's all up to you.","Cool Hand Luke"
"64",402628,407341,"Now, I can be a good guyor I can be one real mean son of a bitch.","Cool Hand Luke"
"65",412388,415015,"It's all up to you.","Cool Hand Luke"
"66",415891,417643,"All right, let's move it.","Cool Hand Luke"
"67",434827,436746,"One at a time. Move it!","Cool Hand Luke"
"68",448132,449717,"Them clothes got laundry numberson them.","Cool Hand Luke"
"69",449800,452720,"You remember your number and alwayswear the ones that has your number.","Cool Hand Luke"
"70",452803,454847,"Any man forgets his numberspends a night in the box.","Cool Hand Luke"
"71",454930,457141,"These here spoons you keep with you.","Cool Hand Luke"
"72",457224,459435,"Any man loses his spoonspends a night in the box.","Cool Hand Luke"
"73",459518,461687,"There's no playing grab-assor fighting in the building.","Cool Hand Luke"
"74",461771,464815,"You got a grudge against another man,you fight him Saturday afternoon.","Cool Hand Luke"
"75",464899,468194,"Any man playing grab-ass or fightingin the building spends a night in the box.","Cool Hand Luke"
"76",468277,471697,"First bell's at five minutes of 8:00when you will get in your bunk.","Cool Hand Luke"
"77",471781,473157,"Last bell is at 8:00.","Cool Hand Luke"
"78",473240,476118,"Any man not in his bunk at 8:00spends the night in the box.","Cool Hand Luke"
"79",476202,478287,"There is no smokingin the prone position in bed.","Cool Hand Luke"
"80",478370,481040,"To smoke you must have both legsover the side of your bunk.","Cool Hand Luke"
"81",481123,483250,"Any man caught smokingin the prone position in bed...","Cool Hand Luke"
"82",483334,485002,"spends a night in the box.","Cool Hand Luke"
"83",485086,486170,"You get two sheets.","Cool Hand Luke"
"84",486253,488547,"Every Saturday, you put the clean sheeton the top...","Cool Hand Luke"
"85",488631,489715,"the top sheet on the bottom...","Cool Hand Luke"
"86",489799,491592,"the bottom sheet you turn into the laundry boy.","Cool Hand Luke"
"87",491675,494220,"Any man turns in the wrong sheetspends a night in the box.","Cool Hand Luke"
"88",494345,496639,"No one'll sit on the bunkswith dirty pants on.","Cool Hand Luke"
"89",496722,500059,"Any man with dirty pants on sitting onthe bunk spends a night in the box.","Cool Hand Luke"
"90",500142,503270,"Any man don't bring back his emptypop bottle spends a night in the box.","Cool Hand Luke"
"91",503354,506607,"Any man loud talkingspends a night in the box.","Cool Hand Luke"
"92",506690,509151,"You got questions, you come to me.","Cool Hand Luke"
"93",509985,513489,"I'm Carr, the floor walker.I'm responsible for order in here.","Cool Hand Luke"
"94",514156,516158,"Any man don't keep orderspends a night in...","Cool Hand Luke"
"95",516242,517493,"The box.","Cool Hand Luke"
"96",518828,521580,"I hope you ain't going to be a hard case.","Cool Hand Luke"
"97",531298,533926,"Ain't but four. What did I tell you?You owe me a cold drink.","Cool Hand Luke"
"98",534009,535636,"I owe you. I owe you.","Cool Hand Luke"
"99",536554,538639,"Move it.","Cool Hand Luke"
"100",542184,544562,"Hey, any of you guys from Connecticut?","Cool Hand Luke"
"101",546480,547565,"Forget it.","Cool Hand Luke"
"102",547815,549316,"Wash them up!","Cool Hand Luke"
"103",550693,552153,"Wash them up!","Cool Hand Luke"
"104",553154,554613,"Move!","Cool Hand Luke"
"105",561787,566083,"Well, what are you still doing here?Get at them beans! Move!","Cool Hand Luke"
"106",578345,580097,"- Twenty-seven.- Twenty-seven.","Cool Hand Luke"
"107",581724,583559,"Next time you stay out of my place.","Cool Hand Luke"
"108",583642,585936,"You try that again and I'll bounce youall over the floor.","Cool Hand Luke"
"109",586020,588022,"Well, man, I didn't knowit was your special seat.","Cool Hand Luke"
"110",588105,589899,"You don't take another man's seat, man.","Cool Hand Luke"
"111",589982,591650,"It wasn't his fault. Nobody said anything...","Cool Hand Luke"
"112",591734,595404,"You better mind you manners, boy.You're acting like a hillbilly tramp.","Cool Hand Luke"
"113",595529,597573,"""Tramp."" There you go, beauty.","Cool Hand Luke"
"114",597740,600367,"Hey, yeah, man,you got your bull-gang name now.","Cool Hand Luke"
"115",600451,603245,"Yeah, well, it ain't no worsethan some I been called.","Cool Hand Luke"
"116",603412,604497,"When I was in the Navy...","Cool Hand Luke"
"117",604580,605831,"All you new-meats...","Cool Hand Luke"
"118",605956,608667,"you're going to have to shape upfast and hard for this gang.","Cool Hand Luke"
"119",608751,610086,"We got rules here.","Cool Hand Luke"
"120",610169,611253,"In order to learn them...","Cool Hand Luke"
"121",611337,614131,"you gotta do more workwith your ears than with your mouth.","Cool Hand Luke"
"122",616300,618010,"Somebody say something?","Cool Hand Luke"
"123",618094,620137,"No, I didn't say nothing, Boss.","Cool Hand Luke"
"124",621097,622348,"What have we got there?","Cool Hand Luke"
"125",622431,623974,"Got a Lucas Jackson.","Cool Hand Luke"
"126",625267,628479,"You don't have a name hereuntil Dragline gives you one.","Cool Hand Luke"
"127",628896,633275,"Maybe we ought to call it ""No-Ears.""You don't listen much, do you, boy?","Cool Hand Luke"
"128",633359,635194,"I ain't heard that much worth listening to.","Cool Hand Luke"
"129",635277,638781,"Just a lot of guys laying downa lot of rules and regulations.","Cool Hand Luke"
"130",641033,642535,"New-meat looks like a poker player, Drag.","Cool Hand Luke"
"131",642618,644286,"Yeah, come on. Bet that eight.","Cool Hand Luke"
"132",644370,646038,"Yeah, that wouldn't surprise me none.","Cool Hand Luke"
"133",646122,647790,"I know you got $5 pocket money.","Cool Hand Luke"
"134",647873,651710,"That would buy you a whole fistfulof cards. You in or out?","Cool Hand Luke"
"135",652002,653337,"Out.","Cool Hand Luke"
"136",655548,658592,"All right, come on.It's a nickel to you, Drag. Let's go.","Cool Hand Luke"
"137",661512,663639,"- Come on, Drag.- Dime.","Cool Hand Luke"
"138",666016,667268,"First bell.","Cool Hand Luke"
"139",672606,674400,"All right, break it up.","Cool Hand Luke"
"140",677820,679155,"How'd you get that scar?","Cool Hand Luke"
"141",679238,680322,"What scar?","Cool Hand Luke"
"142",682491,683576,"Last bell.","Cool Hand Luke"
"143",683826,684994,"Last bell.","Cool Hand Luke"
"144",716317,717651,"Fifty, Boss.","Cool Hand Luke"
"145",717735,719403,"Right, Carr. Fifty.","Cool Hand Luke"
"146",730414,732291,"Getting up here, Carr?","Cool Hand Luke"
"147",732374,734251,"Hey, now.","Cool Hand Luke"
"148",750267,751602,"- Twenty-eight.- Twenty-nine.","Cool Hand Luke"
"149",751685,752937,"- Thirty.- Thirty-one.","Cool Hand Luke"
"150",753020,755022,"- Thirty-two.- Thirty-three.","Cool Hand Luke"
"151",755106,757316,"- Thirty-four.- Thirty-five.","Cool Hand Luke"
"152",800109,801819,"- Twenty-one.- Twenty-two.","Cool Hand Luke"
"153",801902,803320,"- Twenty-three.- Twenty-four.","Cool Hand Luke"
"154",803404,804572,"- Twenty-five.- Twenty-six.","Cool Hand Luke"
"155",804697,806031,"- Twenty-seven.- Twenty-eight.","Cool Hand Luke"
"156",806115,807867,"- Twenty-nine.- Thirty.","Cool Hand Luke"
"157",807950,809952,"- Thirty-one.- Thirty-two.","Cool Hand Luke"
"158",810035,811954,"- Thirty-three.- Thirty-four.","Cool Hand Luke"
"159",812037,814248,"- Thirty-five.- Thirty-six.","Cool Hand Luke"
"160",815458,818669,"Get out of my eyeballing seat,you new-meat dummy.","Cool Hand Luke"
"161",850159,853496,"I'm a salesman. I used to drivethese roads all the time.","Cool Hand Luke"
"162",853871,856749,"Drag, it's going to beone hot mother today.","Cool Hand Luke"
"163",858167,861045,"Yeah, I reckon the bear's goingto be walking the road today.","Cool Hand Luke"
"164",861128,863255,"Then I'm lucky I got me a broom.","Cool Hand Luke"
"165",863380,867968,"I work on top, real cush job. I wouldhate to be down in that ditch today.","Cool Hand Luke"
"166",868052,869553,"We work in a ditch?","Cool Hand Luke"
"167",870888,872139,"What's the matter with you?","Cool Hand Luke"
"168",872223,875976,"All your big-time driving around,you ain't never seen a chain gang before?","Cool Hand Luke"
"169",876060,879480,"I ain't used to hard work, neither.I always tried to avoid it.","Cool Hand Luke"
"170",879688,882066,"I ain't exactly crazy about it, myself.","Cool Hand Luke"
"171",882358,885486,"Well, man, it's going to beone tough day to learn on.","Cool Hand Luke"
"172",885736,889990,"Now, Koko, why don't you giveone of these new-meat a break...","Cool Hand Luke"
"173",890074,891742,"and let him use your broom today?","Cool Hand Luke"
"174",891826,895162,"Oh, hell, Society,I ain't going down in that ditch.","Cool Hand Luke"
"175",895246,898624,"Well, I sure would appreciate it.I ain't in too good a shape right now.","Cool Hand Luke"
"176",898707,901377,"Hey, Koko, you reallygoing to sell your job?","Cool Hand Luke"
"177",901710,903212,"Well, Drag, I may have to.","Cool Hand Luke"
"178",903295,906298,"Maybe that Lucas War Herowould give you your price.","Cool Hand Luke"
"179",906382,908384,"I'll give you 50 cents.","Cool Hand Luke"
"180",908467,912805,"50 cents for a sweet job like that?That's worth at least a buck.","Cool Hand Luke"
"181",912888,914140,"I'll make it a dollar.","Cool Hand Luke"
"182",914223,915599,"Dollar's a deal.","Cool Hand Luke"
"183",919895,922106,"Where'd you get that about ""war hero""?","Cool Hand Luke"
"184",922189,924108,"A little birdie told me.","Cool Hand Luke"
"185",924233,926110,"Tearing the heads off of... What was it?","Cool Hand Luke"
"186",926193,927695,"Gumball machines?","Cool Hand Luke"
"187",928320,930865,"What kind of thing is thatfor a grown man?","Cool Hand Luke"
"188",932742,936328,"You know how it is. Small town.Not much to do in the evening.","Cool Hand Luke"
