"id","startTime","endTime","text","title"
"1",18018,21019,"[JOHN LEGEND'S ""SAVE ROOM""PLAYING]","Crazy, Stupid, Love."
"2",33158,35408,"Oh, come on","Crazy, Stupid, Love."
"3",35576,39204,"Save room for my love","Crazy, Stupid, Love."
"4",39872,43917,"Save room for a moment to be with me","Crazy, Stupid, Love."
"5",44085,46545,"Save room for my love","Crazy, Stupid, Love."
"6",46713,48630,"Save a little","Crazy, Stupid, Love."
"7",48798,50131,"Save a little for me","Crazy, Stupid, Love."
"8",50299,52341,"Oh, I'm so full.","Crazy, Stupid, Love."
"9",53511,56722,"You were right,I shouldn't have eaten all that bread.","Crazy, Stupid, Love."
"10",57265,59557,"Want to split a dessert?","Crazy, Stupid, Love."
"11",63271,65147,"You okay? You seem a little off.","Crazy, Stupid, Love."
"12",65314,68775,"Yeah, I'm just trying to think aboutwhat I want.","Crazy, Stupid, Love."
"13",68942,70234,"CAL:Yeah, me too.","Crazy, Stupid, Love."
"14",70403,73822,"Why don't we just say it at the same time?One, two, three...","Crazy, Stupid, Love."
"15",73989,77283,"- I want a divorce.- Crème brûlée.","Crazy, Stupid, Love."
"16",88504,90756,"[MOLLY SHRIEKING]","Crazy, Stupid, Love."
"17",90924,93174,"[JESSICA BABBLING]","Crazy, Stupid, Love."
"18",93343,95551,"- You can't get away.- Aah!","Crazy, Stupid, Love."
"19",95719,96762,"[GLASS BREAKING]","Crazy, Stupid, Love."
"20",96930,98180,"It's okay, that's my fault.","Crazy, Stupid, Love."
"21",98347,101057,"Come on, let's get you to bedbefore your parents get home.","Crazy, Stupid, Love."
"22",101225,103519,"No puppy eyes, you little maniac.","Crazy, Stupid, Love."
"23",103686,105436,"Go brush your teeth.","Crazy, Stupid, Love."
"24",138263,140556,"Aren't you gonna say anything?","Crazy, Stupid, Love."
"25",142057,147146,"Almost 25 years of marriageand you have nothing to say?","Crazy, Stupid, Love."
"26",152735,154152,"Robbie.","Crazy, Stupid, Love."
"27",154486,156572,"Hey, Robbie, have you seenMolly's homework?","Crazy, Stupid, Love."
"28",156739,158406,"ROBBIE: Get out.- Oh, my God.","Crazy, Stupid, Love."
"29",158574,160283,"ROBBIE: Close the door.JESSICA: Um...","Crazy, Stupid, Love."
"30",161536,165831,"Okay, Robbie, I'm really sorry,and I didn't see anything.","Crazy, Stupid, Love."
"31",168042,170127,"[WHISPERS]Oh, my God.","Crazy, Stupid, Love."
"32",172254,175174,"You're not talking, and you knowthat only makes me talk more.","Crazy, Stupid, Love."
"33",175341,178259,"But maybe that's good, you know?Because maybe I'll just say it.","Crazy, Stupid, Love."
"34",178427,182472,"Maybe... Maybe I'll just tell youI slept with someone.","Crazy, Stupid, Love."
"35",190105,192774,"David Lindhagen. From work.","Crazy, Stupid, Love."
"36",192942,195568,"- You met him at the Christmas party.- Please stop.","Crazy, Stupid, Love."
"37",195736,198070,"The last person in the worldI'd wanna hurt is you.","Crazy, Stupid, Love."
"38",198239,199781,"If you keep talking, I'm gonna get out.","Crazy, Stupid, Love."
"39",199949,202575,"I think the fact that I did it,it just shows how broken we are.","Crazy, Stupid, Love."
"40",202743,206829,"- Okay.- How much we really... Cal.","Crazy, Stupid, Love."
"41",206997,209665,"Oh, my God! Cal!","Crazy, Stupid, Love."
"42",217175,218634,"Are you okay?","Crazy, Stupid, Love."
"43",220302,224598,"I'll leave tonight. I'll sign whatever you want.Just please stop talking about it.","Crazy, Stupid, Love."
"44",226808,228727,"Okay.","Crazy, Stupid, Love."
