"id","startTime","endTime","text","title"
"1",97165,109165,"Fixed & Synced by bozxphd. Enjoy The Flick.","Dangal"
"2",110167,111876,"Has it come on?","Dangal"
"3",112917,114126,"No.","Dangal"
"4",115501,117042,"Now?","Dangal"
"5",117876,119459,"No.","Dangal"
"6",120751,121959,"Now?","Dangal"
"7",122459,124209,"No.","Dangal"
"8",125667,126876,"Now?","Dangal"
"9",127876,130042,"Turn the damn thing properly!","Dangal"
"10",131876,134917,"Welcome to the wrestling areaat the Seoul Olympics.","Dangal"
"11",135084,136917,"Looking forward toan exciting match today.","Dangal"
"12",137001,138001,"It's come on.","Dangal"
"13",138084,139459,"Shall I come down?","Dangal"
"14",139667,140667,"No.","Dangal"
"15",140834,142376,"Stand there holding it.","Dangal"
"16",145959,149167,"The final match this Olympics...in the 72-kilo category,","Dangal"
"17",149334,152959,"between wrestlers fromRussia and America.","Dangal"
"18",153959,155376,"It's really sad that,","Dangal"
"19",155459,158584,"despite wrestling beingsuch a popular sport in India.","Dangal"
"20",158667,163001,"Indian wrestlers havedisappointed in the Olympics.","Dangal"
"21",163376,165959,"Even our boyscan bring home medals.","Dangal"
"22",166959,169501,"But where is the support?","Dangal"
"23",170084,172376,"Neither money, nor facilities.","Dangal"
"24",173042,175959,"How will our boys win a medal?","Dangal"
"25",176959,179709,"If a medal could be won with words,","Dangal"
"26",180876,183251,"you would have wonit a long time ago.","Dangal"
"27",187376,188792,"Are you new here?","Dangal"
"28",191626,193917,"That's what I thought.","Dangal"
"29",195792,198001,"Try stepping into awrestling arena someday,","Dangal"
"30",198792,201084,"you'll run for your lifebefore the match begins.","Dangal"
"31",203209,205334,"Looks like you havedone it many times.","Dangal"
"32",207709,208584,"Run for your life.","Dangal"
"33",209667,213042,"If this were an arena,then we'd see who would run.","Dangal"
"34",213709,215626,"Why do we need an arena?","Dangal"
"35",218709,221251,"Now, the momentwe were all waiting for.","Dangal"
"36",221376,223876,"The stage is all set for a big fight.","Dangal"
"37",223959,226834,"There's palpable excitement in the air.","Dangal"
"38",227959,229876,"Both the wrestlers are walking,","Dangal"
"39",229959,231667,"for the fight.","Dangal"
"40",231917,233876,"You are absolutely right, Tom.","Dangal"
"41",234001,237376,"Looks like it's goingto be an interesting bout.","Dangal"
"42",237792,239251,"The crowd seems excited.","Dangal"
"43",242626,245709,"The wrestlers come face to face.","Dangal"
"44",246334,249876,"Let's see how it plays out.","Dangal"
"45",250584,252501,"The customary handshake.","Dangal"
"46",252584,255501,"The referee's whistle...and the match begins!","Dangal"
"47",263250,264750,"He's down!","Dangal"
"48",264834,266042,"He's down!","Dangal"
"49",266250,269292,"An early thrashingfor the Russian wrestler.","Dangal"
"50",269459,273042,"Overconfidence can oftenprove fatal.","Dangal"
"51",273542,277209,"Bro, you want to try once more?","Dangal"
"52",285667,288792,"Now, the wrestlers are gearing upfor the next round.","Dangal"
"53",289667,295125,"Yes, Tom, this match doesn't lookas easy as it had seemed.","Dangal"
"54",295917,297834,"Let's see what happens now.","Dangal"
"55",299084,301750,"Both wrestlers testing each other.","Dangal"
"56",301834,304416,"A great attack!An equally superb defense.","Dangal"
"57",307041,309584,"And that was a magnificent move!","Dangal"
"58",310166,312625,"What an amazing move!","Dangal"
"59",312834,315209,"He didn't know what hit him.","Dangal"
"60",317584,319292,"Here's an attack.","Dangal"
"61",319834,321792,"And that's a counter-attack!","Dangal"
"62",322875,324167,"And it's over!","Dangal"
"63",324417,325792,"It's all over.","Dangal"
"64",326542,328084,"David has become Goliath,","Dangal"
"65",328167,330459,"and Goliath has become David here.","Dangal"
"66",330750,331959,"Well said, Torn.","Dangal"
"67",332084,336500,"No one expected such a quick defeatfor the Russian wrestler.","Dangal"
"68",336584,337667,"What a match!","Dangal"
"69",337917,339709,"This is top class wrestling.","Dangal"
"70",342334,343875,"You are good.","Dangal"
"71",344959,347084,"You've just defeateda state level champion.","Dangal"
"72",347959,349625,"Don't be disheartened buddy,","Dangal"
"73",350667,353000,"you've just lost toa national level champion.","Dangal"
"74",362750,364541,"Meet my uncle.","Dangal"
"75",365209,366834,"Mahavir Singh Phogat.","Dangal"
"76",367500,369916,"He quit wrestling many years ago,","Dangal"
"77",370166,373791,"but wrestling hasn'tquit on him.","Dangal"
"78",384792,387250,"♪ I'm here to stay. ♪","Dangal"
"79",387667,390125,"♪ Beat the best. ♪","Dangal"
"80",390334,392709,"♪ I'm here to stay. ♪","Dangal"
"81",393000,395375,"♪ Beat the best. ♪","Dangal"
"82",396084,401209,"♪ From the mother's womb to thecemetery, your life is a wrestling bout. ♪","Dangal"
"83",401292,403709,"♪ So, wrestle, O Wrestler! ♪","Dangal"
"84",404167,406417,"♪ Wrestle, O Wrestler! ♪","Dangal"
"85",406875,409125,"♪ Your glory may rise and fall, ♪","Dangal"
"86",409209,412125,"♪ cause up in the skyyour stars are wrestling, too. ♪","Dangal"
"87",412209,414250,"♪ So, wrestle, O Wrestler! ♪","Dangal"
"88",414959,417417,"♪ Wrestle, O Wrestler! ♪","Dangal"
"89",418209,423500,"♪ When your heartthumps with fear, ♪","Dangal"
"90",423584,424959,"♪ pat your back, ♪","Dangal"
"91",425041,426291,"♪ bring back courage, ♪","Dangal"
"92",426375,428750,"♪ and you'll be fine. ♪","Dangal"
"93",429000,434291,"♪ Every challenge islike a crazed elephant, ♪","Dangal"
"94",434375,435625,"♪ standing in front of you, ♪","Dangal"
"95",435709,437167,"♪ staring fierce, ♪","Dangal"
"96",437250,438875,"♪ threatening you. ♪","Dangal"
