"id","startTime","endTime","text","title"
"1",171579,175583,"They'll catch the truck, questionthe driver, search the barrels.","Dark Passage"
"2",175875,179045,"Inside five minutes they'll bestarting back this way, slow...","Dark Passage"
"3",179128,181464,"combing the road, looking sharp.","Dark Passage"
"4",181923,183800,"Take maybe 10 minutes.","Dark Passage"
"5",183925,186428,"See that? Gives me 15 minutes.","Dark Passage"
"6",188763,191183,"I've got to start taking chances.","Dark Passage"
"7",198148,200692,"What I wouldn't give forsome ice water or a smoke.","Dark Passage"
"8",200776,204279,"I've got to get out of here. HopeI buried my shirt deep enough.","Dark Passage"
"9",204321,206156,"It's a dead giveaway.","Dark Passage"
"10",210744,214206,"Here comes something. I'vegot to take that chance now.","Dark Passage"
"11",222507,225635,"How did you get your feet wet? Been wading?","Dark Passage"
"12",226052,230473,"Crossed the stream back there. Couldn'tsee a bridge, so I waded across.","Dark Passage"
"13",234561,236897,"- Where you going?- San Francisco.","Dark Passage"
"14",238023,240650,"- Whereabouts in Frisco?- Civic Center.","Dark Passage"
"15",242861,244363,"In your undershirt?","Dark Passage"
"16",245197,247241,"I like to be comfortable.","Dark Passage"
"17",250828,254373,"- Where did you get them pants?- What do you want to know for?","Dark Passage"
"18",255166,257168,"Never saw any like them before.","Dark Passage"
"19",257251,259879,"What's funny about them? They suit me.","Dark Passage"
"20",260171,263007,"They give me a lot of wear for the money.","Dark Passage"
"21",263466,265676,"- Where you from?- Arizona.","Dark Passage"
"22",266385,268888,"- Whereabouts in Arizona?- Maricopa.","Dark Passage"
"23",270765,273309,"Very fancy seat cover you got here.","Dark Passage"
"24",273518,275603,"That's a piece of a carnival tent.","Dark Passage"
"25",275687,279941,"Seems to me, you'd be more sunburnednot wearing a shirt than you are.","Dark Passage"
"26",281276,284070,"As I was saying, youought to be more sunburned.","Dark Passage"
"27",284154,287199,"How come you're not? Lose your shirt?","Dark Passage"
"28",288200,289368,"Why are you going to Frisco?","Dark Passage"
"29",289451,292371,"What is this, a quiz program?Stop this jalopy and let me out.","Dark Passage"
"30",292412,294415,"I'll hitch another ride.","Dark Passage"
"31",295207,296959,"Don't get excited, pal. All I said was...","Dark Passage"
"32",297042,299962,"I'll hitch a ride where I don'thave to tell my life history.","Dark Passage"
"33",300045,303966,"Flash! We interrupt this program towarn all listeners in the North Bay Area.","Dark Passage"
"34",304050,307553,"Look out for a convict who escapedfrom San Quentin 15 minutes ago...","Dark Passage"
"35",307637,309347,"probably on an outbound truck.","Dark Passage"
"36",309430,310973,"His description follows:","Dark Passage"
"37",311057,315353,"The escaped convict is 5' 10"",hair: Dark brown, eyes: Brown...","Dark Passage"
"38",315561,318815,"last seen wearing grayprison trousers, black shoes.","Dark Passage"
