"id","startTime","endTime","text","title"
"1",54958,58087,"Hi Guys.Glad we got your message.","Dark Star"
"2",58167,61717,"You'll be interested to hear it wasbroadcast live, all over Earth.","Dark Star"
"3",61792,66343,"In Prime Time.Got good reviews in the trades.","Dark Star"
"4",66708,71464,"The time lag on these messagesis getting longer.","Dark Star"
"5",71542,75843,"We gather from the ten year delay,that you are approximately","Dark Star"
"6",75917,80218,"eighteen parsecs away.","Dark Star"
"7",80375,84380,"Drop us a line more often, okay?","Dark Star"
"8",85042,89878,"Sony to hear about the radiationleak on the ship.","Dark Star"
"9",89958,95465,"And real sorry to hear aboutthe death of Commander Powell.","Dark Star"
"10",95542,98136,"There was a week of mourninghere on Earth.","Dark Star"
"11",98208,101007,"The flags were at half mast.","Dark Star"
"12",101208,105042,"We're all behind you guys.","Dark Star"
"13",105708,111340,"About your request forradiation shielding,","Dark Star"
"14",111417,115342,"sorry to report this requesthas been denied.","Dark Star"
"15",115417,120344,"I hate to send bad news when you guysare up there doing such a swell job.","Dark Star"
"16",120417,123796,"But I think you'll take ifin the proper spirit.","Dark Star"
"17",123875,127675,"There've been some cutbacksin Congress, and right now...","Dark Star"
"18",127750,130594,"considering the distance,we just can't afford","Dark Star"
"19",130667,133671,"to send a cargo shuttleout there to you.","Dark Star"
"20",133750,138210,"But I know...You guys will make due.","Dark Star"
"21",139333,143338,"Keep up the good work, men.","Dark Star"
"22",197042,201798,"(Garbled transmission)","Dark Star"
"23",201875,203468,"What'd you say Pinback?","Dark Star"
"24",203542,206751,"(Garbled transmission)","Dark Star"
"25",206833,208426,"What was that again?I still can't hear you.","Dark Star"
"26",208500,210423,"I said I'm trying to reach Talby.","Dark Star"
"27",210500,211672,"Something's wrongwith the damn intercom.","Dark Star"
"28",211750,214173,"I need a last-minutediameter approximation.","Dark Star"
"29",214250,217254,"Talby, Talby, this is Doolittle.","Dark Star"
"30",217333,222043,"Do you read me? Talby?Talby, do you read me?","Dark Star"
"31",222375,224002,"TALBY!","Dark Star"
"32",224083,225926,"Oh yes, Doolittle.What is it?","Dark Star"
"33",226000,228469,"I need a diameter approximation.","Dark Star"
"34",228542,230010,"Okay, Doolittle,I'll have it in a minute.","Dark Star"
"35",230083,232506,"I need a GHF readingon the gravity correction.","Dark Star"
"36",232583,233630,"I'll check it.","Dark Star"
