"id","startTime","endTime","text","title"
"1",17790,20790,"","Dead of Night"
"2",24380,29090,"DEAD OF NIGHT","Dead of Night"
"3",170700,171810,"Walter Craig ?","Dead of Night"
"4",172140,174730,"How do you do.You're Eliot Foley ?","Dead of Night"
"5",175000,178990,"That's right. So glad you were able to come.Let's have your bag and put the car away afterwards.","Dead of Night"
"6",180420,183280,"You know it struck me after I telephonedyou. Rather cheek on my part asking ...","Dead of Night"
"7",183520,187470,"a busy architect like yourself to come down andspend the weekend with a set of complete strangers.","Dead of Night"
"8",188080,190950,"You see we're pretty cramped for space here.We need at least two more bedrooms.","Dead of Night"
"9",191200,192590,"And there's only one living room?","Dead of Night"
"10",192840,195630,"Yes, only one living room. However we'll go into all that in the morning, shall we.","Dead of Night"
"11",201040,204790,"- Know this part of the world at all ?- No, I've never been here before...","Dead of Night"
"12",206130,208690,"- ... not actually.- Let me take your things.","Dead of Night"
"13",210410,213440,"- Ha, fancy you spotting that! Trained professional eye?- Yes, of course","Dead of Night"
"14",214930,217800,"We've got several other guests, so I've put youin the barn, but don't get worried ...","Dead of Night"
"15",218050,221720,"- It has central heating and every modern convenience.- The very words I was going to use.","Dead of Night"
"16",221970,225920,"- Listen, I expect they've started tea.- Yes ... yes, I know.","Dead of Night"
"17",229570,231720,"Mother, this is Mr Craig.","Dead of Night"
"18",231970,234600,"Oh, I'm so glad he's here.","Dead of Night"
"19",237720,241650,"How do you do.Come along in.","Dead of Night"
"20",243020,244530,"Let me introduce you to the others...","Dead of Night"
"21",244680,246700,"- Mrs Cortland...- How do you do.","Dead of Night"
"22",247200,251400,"- Dr Van Straaten...- How do you do. Very pleased to meet you.","Dead of Night"
"23",251900,255000,"- and ... Mr Grainger...- How do you do.","Dead of Night"
"24",255100,259100,"- and this is Sally O'Hara.- How do you do.","Dead of Night"
"25",259580,263280,"You must be tired after your drive.Come and sit over here by the fire.","Dead of Night"
"26",263860,267650,"I can't tell you how delighted I amyou were able to accept my son's invitation.","Dead of Night"
"27",268230,270940,"You see we are both such admirers ofyour work.","Dead of Night"
"28",271230,272780,"You'd like some tea, wouldn't you?","Dead of Night"
"29",273470,274900,"You take milk and sugar?","Dead of Night"
"30",276830,278180,"Milk and sugar, Mr Craig?","Dead of Night"
"31",284670,287340,"You're still there.So it isn't a dream this time.","Dead of Night"
"32",287590,288620,"I beg your pardon?","Dead of Night"
"33",288870,291380,"... and if it isn't a dream this time..I must be going out of my mind","Dead of Night"
"34",292630,294860,"Of course!Dr van Straaten...","Dead of Night"
"35",295870,298910,"You're the psychiatrist.You always treat me.","Dead of Night"
"36",299160,300710,"You'll treat me now won't you?","Dead of Night"
"37",301040,303750,"Forgive me. I don't quite understand the joke.","Dead of Night"
"38",304000,307110,"It isn't a joke. I only wish it were.I've seen you in my dream.","Dead of Night"
"39",307360,309190,"Sounds like a sentimental songdoesn't it.","Dead of Night"
"40",309440,311790,"I've dreamt about you over and overagain, doctor.","Dead of Night"
"41",312040,316150,"It hardly turns you into a mental caseafter all recurring dreams are quite common.","Dead of Night"
"42",316400,320310,"But how did I come to dream about you?I've never set eyes on you in my life.","Dead of Night"
"43",320560,325190,"Very likely, you have seen my photograph in thepapers. That's why my face seems familiar to you.","Dead of Night"
"44",325440,330120,"I don't think so. And even if it were, is that any reason I should keep on dreaming about you?","Dead of Night"
"45",330370,333160,"After all, you don't mean anythingto me.","Dead of Night"
"46",333730,338920,"There may be an association of ideas. I may belinked to something that means a great deal to you.","Dead of Night"
"47",339170,340000,"Such as?","Dead of Night"
"48",340730,343360,"I should have to psychoanalyse you to find that out.","Dead of Night"
"49",343610,348000,"But it doesn't end there. You see, everybodyin this room is part of my dream. Everyone.","Dead of Night"
"50",349300,350830,"Gosh!Good Lord, really?","Dead of Night"
"51",350880,352040,"You startle us!","Dead of Night"
"52",352100,353200,"What all of us?","Dead of Night"
"53",353450,356760,"I can only tell you that when I came into this room, I recognised you all.","Dead of Night"
"54",357010,360690,"He has seen all our photographs inthe newspapers, has he, Dr van Staaten?","Dead of Night"
"55",360940,363970,"Of course, you may have seen me on the sportspage. Motor racing's my line.","Dead of Night"
"56",364260,369090,"And there was one of me once. In the Ponds Mertre.When I'm the bridesmaid at my sister's wedding.","Dead of Night"
"57",369040,372250,"You remember. But, I shouldn't thinkyou've come across that.","Dead of Night"
"58",372580,377600,"- Well, I never had my photograph taken. - Oh yes you did dear once. You know the one. You were 6months old.","Dead of Night"
"59",377860,381450,"Good Lord, that's right. I don't think hewould recognise me, I was much fatter.","Dead of Night"
"60",382180,386570,"Surely, Mr Craig, you might have seen any of ussome time or another. In the street or anywhere.","Dead of Night"
"61",386820,390450,"Yes, but why should I always dream about meetingyou all together...","Dead of Night"
"62",390710,394300,"... here in this room that I have never been in in my life, until today?","Dead of Night"
"63",394590,397020,"Mr Craig, can you describe what happensin your dream?","Dead of Night"
"64",397270,401950,"Well, not in detail, but it always startsexactly the same as when I arrived, just now.","Dead of Night"
"65",402360,406870,"I turn off the main road into the lane. At thebend in the lane, the house comes into view.","Dead of Night"
"66",407120,408630,"I stop, because I recognise it.","Dead of Night"
"67",409240,412230,"Then I drive on again, and Foley meets me at the front door.","Dead of Night"
"68",412480,414030,"I recognise him, too.","Dead of Night"
"69",414800,418990,"And then, when I'm taking off my coat,I have the most extraordinary feeling.","Dead of Night"
"70",419240,424040,"I nearly turn and run from it, because I know I am goingto come face to face with the six of you.","Dead of Night"
"71",424290,428320,"Well, you've only come face to face with fiveof us so far, not counting Eliot.","Dead of Night"
"72",428570,429680,"That's right. Five of you.","Dead of Night"
"73",430130,433560,"- There is a sixth person who comes in later.- Can you describe this late arrival?","Dead of Night"
"74",433810,437350,"- It's an attractive girl, with dark hair.- Is that you can tell us about her?","Dead of Night"
"75",437610,441360,"She comes in quite unexpectedly, and sayssomething about not having any money.","Dead of Night"
"76",442130,443560,"A penniless brunette, eh ...","Dead of Night"
"77",444050,447000,"How romantic. Do you fall madly in lovewith her Mr Craig?","Dead of Night"
"78",447250,449360,"Have you ever told anyone about your dream?","Dead of Night"
"79",449610,452570,"No. I don't think so.Not even my wife.","Dead of Night"
"80",453500,458360,"Now I come to think of it, after I wake, it neverstays in my memory for more than a few seconds.","Dead of Night"
"81",458620,461050,"And none of it ever comes back to me untilthe next time it starts.","Dead of Night"
"82",461300,464330,"In fact there is no evidence you ever dreamedthis dream at all, is there?","Dead of Night"
"83",464580,467210,"None whatever.I haven't a scrap of proof.","Dead of Night"
"84",467460,470490,"Personally, I don't need any.I believe what you claim, Mr Craig.","Dead of Night"
"85",470740,476040,"- I believe you really have dreamt about us all.- So do I.  -And so do I.  -Me too  -I didn't argue too.","Dead of Night"
"86",477300,480920,"I don't question that you have been subject to a recurring dream.","Dead of Night"
"87",481180,483570,"And no doubt it hasa background similar to this.","Dead of Night"
"88",483910,487260,"It would be quite enough to account for your feelingthat you have been here before.","Dead of Night"
"89",487510,488940,"It's quite a common experience.","Dead of Night"
"90",489190,491900,"- And that's all there is to it?- That's all there is to it!","Dead of Night"
"91",492280,497980,"Well, I must say its very disappointing not to give othersa leading character in some sort of supernatural drama, after all!","Dead of Night"
"92",498770,503170,"- Cigarette anyone? - You never know, perhaps it's likewe're beings in the story of the Looking Glass","Dead of Night"
"93",503430,507380,"None of us exist at all. We're nothing butcharacters in Mr Craig's dream.","Dead of Night"
"94",507400,511250,"That's right, and when he wakes up we shallall vanish into thin air.","Dead of Night"
