"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","Death Wish"
"2",24191,25659,"Hold it right there.","Death Wish"
"3",32699,34042,"Hold it again.Hold it.","Death Wish"
"4",34576,36920,"Oh, come on, Paul.","Death Wish"
"5",40040,42338,"One more.One more.","Death Wish"
"6",47756,49724,"You're not gonna showthose to anyone, are you?","Death Wish"
"7",49883,51180,"- Sure. Why not?- Ugh.","Death Wish"
"8",51343,52845,"- You've got a prime figure.- Heh.","Death Wish"
"9",53053,54805,"- You really have, you know.- Heh.","Death Wish"
"10",54972,56519,"That's a euphemism for fat.","Death Wish"
"11",67150,68527,"You wanna go back to the hotel?","Death Wish"
"12",69945,71868,"What's the matter with right here?","Death Wish"
"13",73991,75368,"We're too civilized.","Death Wish"
"14",77452,79875,"I remember when we weren't.","Death Wish"
"15",80998,83000,"But we'll go back to the hotel.","Death Wish"
"16",90674,93018,"Paul, I don't wanna go back home.","Death Wish"
"17",114698,118202,"Trans World Airlinespassengers on TW76...","Death Wish"
"18",118368,121622,"from Honolulu to New York shouldproceed from the check-in counter...","Death Wish"
"19",121788,123882,"to the FriendshipLounge for boarding.","Death Wish"
"20",288455,291129,"Wanna know what happened whileyou and Joanna were living it up...","Death Wish"
"21",291291,293166,"in Maui or Kaui orYaui, whatever it is?","Death Wish"
"22",293192,293660,"What?","Death Wish"
"23",293794,295546,"There were 15 murdersthe first week...","Death Wish"
"24",295712,298966,"and 21 last week in this goddamn city.- That's a lot.","Death Wish"
"25",299508,302637,"You know, decent people are gonna haveto work here and live somewhere else.","Death Wish"
"26",302803,305727,"By ""decent people,"" you mean peoplewho can afford to live somewhere else.","Death Wish"
"27",305889,309610,"Oh, Christ. You are sucha bleeding-heart liberal, Paul.","Death Wish"
"28",309810,312563,"My heart bleeds a littlefor the underprivileged, yeah.","Death Wish"
"29",312729,316199,"The underprivileged are beating ourgoddamn brains out. You know what I say?","Death Wish"
"30",316358,319532,"Stick them in concentration camps.That's what I say.","Death Wish"
"31",319736,321454,"- Henry.- Hello.","Death Wish"
"32",321655,326161,"I've been running a cost-and-profit on theJainchill development in Tucson, Arizona.","Death Wish"
"33",327077,329296,"Well, based on these figures...","Death Wish"
"34",329454,332458,"I don't see how Blue Ridgecan underwrite 50 percent of it.","Death Wish"
"35",333166,336090,"Well, Jainchill's been verysuccessful, in a small way.","Death Wish"
"36",337838,340762,"Well, then I suggestyou send a man down...","Death Wish"
"37",340924,343427,"from our San Francisco officeto step it out.","Death Wish"
"38",343593,345687,"Redesign it, if necessary.","Death Wish"
"39",346221,349475,"Because that's a high riskfor the acreage involved.","Death Wish"
"40",350433,352310,"I'll talk to Inge about it.Thanks, Paul.","Death Wish"
"41",354104,359827,"Oh, uh, Paul, how does it feel tobe back in the war zone after Hawaii?","Death Wish"
"42",360902,363371,"I was feeling pretty gooduntil I ran into Sam...","Death Wish"
"43",363572,366542,"and he delivered thecrime rate statistics.","Death Wish"
"44",366700,369044,"What this city needsis more cops than people.","Death Wish"
"45",369244,373169,"You'll have to find other options,Samuel. No one could pay the taxes.","Death Wish"
"46",414122,415465,"$2.17.","Death Wish"
"47",416166,418885,"Would you have thesedelivered, please, Mary?","Death Wish"
"48",419878,420970,"Goodbye.","Death Wish"
"49",509342,511470,"Hey, I'm gonna do a thing.","Death Wish"
"50",512470,514347,"Shit, man.Got business.","Death Wish"
"51",514514,515982,"Let's go, man.","Death Wish"
"52",539289,540711,"I'll get it.","Death Wish"
"53",548798,549970,"Who is it?","Death Wish"
"54",550341,551638,"Groceries, ma'am.","Death Wish"
"55",571988,574116,"Nobody gets hurt, Mother.Just hold still. Don't move.","Death Wish"
"56",574324,575416,"What do you want?","Death Wish"
"57",575575,577919,"Don't jive, Mother.You know what we want.","Death Wish"
"58",578119,580793,"- He's not gonna hurt us?- Not if you got money.","Death Wish"
"59",582624,583921,"Nobody, nobody.","Death Wish"
"60",587003,590303,"Hey, Mother.Look at the artiste doing his art.","Death Wish"
"61",590465,593093,"- Ain't that beautiful, Mother?- My purse is in the kitchen.","Death Wish"
"62",593259,594761,"Just stand still.","Death Wish"
