"id","startTime","endTime","text","title"
"1",3023,9269,"Subtitle created by - Aorion -""Despicable Me 3 (2017)"" ^ (Run time 01:29:32)","Despicable Me 3"
"2",26782,28792,"Illuminat...","Despicable Me 3"
"3",30126,31905,"Illuminat...","Despicable Me 3"
"4",32482,34115,"Illuminat...","Despicable Me 3"
"5",34115,35698,"What?A horn?","Despicable Me 3"
"6",39404,41890,"Illumination!","Despicable Me 3"
"7",54490,58476,"The year was 1985, and thenumber-one show on TV was...","Despicable Me 3"
"8",58478,61256,"Evil Bratt.","Despicable Me 3"
"9",61256,65150,"The show starred young Balthazar Brattas a child prodigy","Despicable Me 3"
"10",65152,69757,"and criminal mastermindbent on world domination.","Despicable Me 3"
"11",69757,71938,"There he is!Get him!","Despicable Me 3"
"12",74688,77825,"I've been a bad boy!","Despicable Me 3"
"13",77825,80831,"Bratt was the biggest child actorof the 1980s,","Despicable Me 3"
"14",80831,84188,"striking a chord with audiencesall over the world.","Despicable Me 3"
"15",84188,85596,"- Yay!- Yeah!","Despicable Me 3"
"16",85597,86769,"Hoo, hoo, hoo, hoo!","Despicable Me 3"
"17",86771,88033,"There he is!Get him!","Despicable Me 3"
"18",88033,90855,"But it all came to an endin season three,","Despicable Me 3"
"19",90856,91882,"When...","Despicable Me 3"
"20",91882,94436,"I've been a bad boy!","Despicable Me 3"
"21",94436,98114,"- The young star experiencedan unexpected growth spurt.
- Boy? Boy?","Despicable Me 3"
"22",98337,101158,"The show was canceled.Hollywood rejected him","Despicable Me 3"
"23",101158,104597,"and Bratt quickly plungedinto a downward spiral.","Despicable Me 3"
"24",104597,109813,"Starting to actually believed he wasthe character he played on TV.","Despicable Me 3"
"25",109813,111783,"What are you looking at?","Despicable Me 3"
"26",111784,113685,"Leading us all to wonder...","Despicable Me 3"
"27",113686,116176,"Where is he now?","Despicable Me 3"
"28",122311,123653,"You know what, Clive?","Despicable Me 3"
"29",123653,126176,"Playing a villain on TV was fun,","Despicable Me 3"
"30",126177,129681,"but being one in real lifeis even better.","Despicable Me 3"
"31",129682,131087,"Heist music!","Despicable Me 3"
"32",131088,133116,"Here it comes.","Despicable Me 3"
"33",135687,136824,"What?Clive!","Despicable Me 3"
"34",136825,139668,"What are you doing?How is that heist music?","Despicable Me 3"
"35",139669,141902,"Sorry, my bad.","Despicable Me 3"
"36",175066,175980,"Ewww!","Despicable Me 3"
"37",175981,178348,"Wha-whoa!Gah!","Despicable Me 3"
"38",180900,183031,"Mommy!","Despicable Me 3"
"39",183387,184935,"Stop right...","Despicable Me 3"
"40",185068,187319,"ANTI VILLAIN LEAGUE   HEADQUARTERS","Despicable Me 3"
"41",187344,190850,"Sir, the ship has been boarded bysome kind of... monster.","Despicable Me 3"
"42",190852,192735,"Wait, that's not a monster.","Despicable Me 3"
"43",192736,195653,"That's a man wearing shoulder pads.","Despicable Me 3"
"44",195655,199550,"There's only one supervillain whosefashion sense is quite that dated,","Despicable Me 3"
"45",199550,201537,"Balthazar Bratt.","Despicable Me 3"
"46",201538,204264,"Blast it!The Dupont Diamond is on that ship!","Despicable Me 3"
"47",204265,208984,"I want every agent in the areaon the scene immediately.","Despicable Me 3"
"48",210091,212675,"Ha, ha, ha... !","Despicable Me 3"
"49",212675,213682,"Woo-hoo!","Despicable Me 3"
"50",213682,216524,"We're already here!Agents Grucy are closing in fast.","Despicable Me 3"
"51",216525,219240,"Yes... wait, wha?What did you call us?","Despicable Me 3"
"52",219241,222179,"Grucy. You know,Gru and Lucy mushed together.","Despicable Me 3"
"53",222180,223227,"Try it.","Despicable Me 3"
"54",223228,225658,"Haha!I like it, but not a lot,","Despicable Me 3"
"55",225658,227574,"I don't like it.","Despicable Me 3"
"56",232058,233098,"Stop!","Despicable Me 3"
"57",233098,234650,"On the ground!","Despicable Me 3"
"58",255348,257127,"The jewel!Move!","Despicable Me 3"
"59",257129,258932,"Go, go, go!","Despicable Me 3"
"60",259410,261043,"Don't move.","Despicable Me 3"
"61",263776,265271,"Uh?","Despicable Me 3"
"62",273060,277538,"Too late again, Gru.Ha, ha, ha... !","Despicable Me 3"
"63",283456,285644,"WHAAA... ?","Despicable Me 3"
"64",285646,286682,"He's getting away!!","Despicable Me 3"
"65",286683,288709,"That's what he thinks.","Despicable Me 3"
"66",291581,294478,"- Wahooo!- Ha, ha!","Despicable Me 3"
"67",294478,296454,"Go, go!","Despicable Me 3"
"68",296774,298504,"Ugh!Go, go.","Despicable Me 3"
"69",298504,300442,"Go, go, go!","Despicable Me 3"
"70",303487,305331,"I don't thinkwe can make it, Gru.","Despicable Me 3"
"71",305333,307220,"We can make it!","Despicable Me 3"
"72",308737,313324,"We can make it... !","Despicable Me 3"
"73",313324,316240,"No, we can't!","Despicable Me 3"
"74",316535,318939,"Get ready!","Despicable Me 3"
"75",319295,323603,"Get ready for whaaa... !","Despicable Me 3"
"76",331951,334483,"Hey.How're you doing?","Despicable Me 3"
"77",336778,338040,"Are you okay?","Despicable Me 3"
"78",338042,340081,"- Hello.- Oh.","Despicable Me 3"
"79",340081,342002,"You guys are so cute.","Despicable Me 3"
"80",342002,344117,"Go get him, Gru Gru!","Despicable Me 3"
"81",344283,346322,"Hello, Gru.","Despicable Me 3"
"82",346827,348351,"How's your transition coming?","Despicable Me 3"
"83",348353,352060,"You know, from world's worst villainto world's worst agent?","Despicable Me 3"
"84",352060,354475,"Oh, that's hilarious!You should be on TV!","Despicable Me 3"
"85",354475,356528,"Oh, that's right,you were...","Despicable Me 3"
"86",356528,358774,"but then you got canceled.","Despicable Me 3"
"87",358987,360704,"Ha ha!","Despicable Me 3"
"88",360725,362261,"What about that?","Despicable Me 3"
