"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Django Unchained"
"2",61988,64370,"DJANGO UNCHAINEDCaption and sync: jcdr","Django Unchained"
"3",258831,261595,"Who's that stumblin' around in the dark?","Django Unchained"
"4",262221,265805,"State your business,or prepare to get winged!","Django Unchained"
"5",266233,270605,"DR. SCHULTZ: Calm yourselves gentlemen,I mean you no harm.","Django Unchained"
"6",271487,275173,"I'm simply a fellow weary traveler.","Django Unchained"
"7",277540,279326,"Good cold evening gentlemen,","Django Unchained"
"8",279408,281976,"I'm looking for a pair of slave traders","Django Unchained"
"9",281985,283735,"that go by the name ofthe Speck Brothers.","Django Unchained"
"10",283923,285610,"Might that be you?","Django Unchained"
"11",286723,288165,"ACE SPECK: Who wants to know?","Django Unchained"
"12",288237,289716,"SCHULTZ: Well, I do.","Django Unchained"
"13",289754,292634,"I'm Dr. King Schultz,this is my horse, Fritz.","Django Unchained"
"14",293451,295250,"DICKY SPECK: What kinda doctor?","Django Unchained"
"15",295685,296697,"SCHULTZ: Dentist.","Django Unchained"
"16",296956,298487,"Now are you the Speck Brothers,","Django Unchained"
"17",298495,301298,"and did you purchase those menat the Greenville slave auction?","Django Unchained"
"18",301324,302233,"– So what?","Django Unchained"
"19",302264,304324,"– So, I wish to parley with you.","Django Unchained"
"20",304336,305425,"– Speak English.","Django Unchained"
"21",305620,307430,"– Oh, I'm sorry.","Django Unchained"
"22",307759,310031,"Please forgive me,it is a second language.","Django Unchained"
"23",310156,313653,"Now, amongst your inventory,I've been led to believe,","Django Unchained"
"24",313661,315706,"is a specimen I'm keen to acquire.","Django Unchained"
"25",316136,318180,"Hello you poor devils!","Django Unchained"
"26",318817,325511,"Is there one amongst you, who was formerlya resident of The Carrucan Plantation?","Django Unchained"
"27",325814,328814,"– I'm from The Carrucan Plantation.","Django Unchained"
"28",329557,331322,"SCHULTZ: Who said that?","Django Unchained"
"29",378226,379997,"What's your name?","Django Unchained"
"30",383951,385511,"– Django.","Django Unchained"
"31",386004,388704,"– Then you're exactlythe one I'm looking for.","Django Unchained"
"32",390425,392720,"Do you know who the Brittle Brothers are?","Django Unchained"
"33",396574,398183,"Who are they?","Django Unchained"
"34",399644,401735,"– Big John…","Django Unchained"
"35",402158,404024,"Ellis…","Django Unchained"
"36",404718,408629,"and Roger…sometime they call him Lit'le Raj.","Django Unchained"
"37",410005,412269,"They was overseers at Carrucan plantation.","Django Unchained"
"38",412476,413596,"– Not anymore.","Django Unchained"
"39",416856,417976,"Tell me…","Django Unchained"
"40",418425,422391,"If you were to see any of these threegentlemen again, would you recognize them?","Django Unchained"
"41",422471,423591,"ACE SPECK: Hey!","Django Unchained"
"42",424254,425589,"Stop talk with 'em like that.","Django Unchained"
"43",425894,426935,"– Like what?","Django Unchained"
"44",427182,428168,"– Like that!","Django Unchained"
"45",428310,431112,"– My good man,I'm simply trying to ascertain-","Django Unchained"
"46",431136,432776,"– Speak English, goddammit!","Django Unchained"
"47",432903,435182,"SCHULTZ: Everybody calm down,","Django Unchained"
"48",435196,439204,"I'm simply a customertrying to conduct a transaction.","Django Unchained"
"49",439250,441076,"– I don't care.No sale.","Django Unchained"
"50",441108,442139,"Now off wit' you!","Django Unchained"
"51",442190,445560,"– Oh, don't be ridiculous,o'course they're for sale.","Django Unchained"
"52",445733,447293,"ACE SPECK: Move it.","Django Unchained"
"53",447574,452781,"– My good man, did you simply getcarried away with your dramatic gesture,","Django Unchained"
"54",452783,456728,"or are you pointing your weaponat me with lethal intention?","Django Unchained"
"55",457529,459930,"– Last chance, fancy pants.","Django Unchained"
"56",460795,462824,"– Oh, very well…","Django Unchained"
"57",492201,494514,"I'm sorry to have puta bullet in your beast,","Django Unchained"
"58",494533,496654,"but I didn't want you to do anything rash","Django Unchained"
"59",496670,499228,"before you had a momentto come to your senses.","Django Unchained"
"60",499625,502319,"– Goddamn son of a bitch!","Django Unchained"
"61",502569,504615,"You shot Roscoe!","Django Unchained"
"62",505815,507011,"And you killed Ace!","Django Unchained"
"63",507144,510274,"SHULTZ: Hey, I only shot your brotheronce he threatened to shoot me.","Django Unchained"
"64",510290,512336,"And I do believe I have","Django Unchained"
"65",512347,516610,"one, two, three, four, five witnesseswho can attest to that fact.","Django Unchained"
"66",516657,518461,"– Damn leg's busted!","Django Unchained"
"67",518539,522326,"– No doubt. Now, if you can keepyour caterwauling down to a minimum,","Django Unchained"
"68",522341,525405,"I'd like to finish my lineof inquiry with young Django.","Django Unchained"
"69",529684,531650,"DICKY: God fucking dammit!","Django Unchained"
"70",531667,533259,"SCHULTZ: As I was saying,","Django Unchained"
"71",533286,537126,"if you were to see the Brittle Brothersagain, you could recognize them?","Django Unchained"
"72",537725,538924,"– Yeah.","Django Unchained"
"73",539466,541940,"– Sold American!So Mr. Speck,","Django Unchained"
"74",542144,544947,"Mr. Speck, how muchfor young Django here?","Django Unchained"
"75",550268,552668,"That iron is nasty business.","Django Unchained"
"76",558489,560621,"Could you hold this for a moment?","Django Unchained"
"77",562456,565411,"Thank you.Django, get up on that horse.","Django Unchained"
"78",566221,572250,"Also if I were you, I'd take that wintercoat the dear departed Speck left behind.","Django Unchained"
"79",585996,589730,"DICKY: Nigger, don't you touch my brother's coat!","Django Unchained"
"80",601431,603365,"Goddammit!","Django Unchained"
"81",607547,610490,"– One hundred… ten…","Django Unchained"
"82",611267,614835,"twenty… and five…","Django Unchained"
"83",615764,617085,"for young Django here.","Django Unchained"
"84",617168,621996,"And since you won't be needing it anymore,I'd like to purchase your brother's nag.","Django Unchained"
"85",622581,627446,"Also… Mr. Speck, I am afraidI will require a bill of sale.","Django Unchained"
"86",627591,628941,"Do you have one?","Django Unchained"
"87",629682,631792,"DICKY: You go to hell, dentist!","Django Unchained"
"88",632953,634193,"– I thought not.","Django Unchained"
"89",634794,636424,"No worries!","Django Unchained"
"90",636562,638073,"I come prepared.","Django Unchained"
"91",642847,644248,"Thank you.","Django Unchained"
"92",644376,648405,"This will serve nicely as a bill of sale.","Django Unchained"
"93",665414,668419,"Now as to you poor devils…","Django Unchained"
"94",669365,674183,"So as I see it, when it comes tothe subject of what to do next,","Django Unchained"
"95",674269,677328,"you gentlemen have two choices.","Django Unchained"
"96",677413,682629,"One: once I'm gone, you could liftthat beast off the remaining Speck,","Django Unchained"
"97",682645,684529,"then carry him to the nearest town.","Django Unchained"
"98",684613,688277,"Which would be at least thirty-sevenmiles back the way you came.","Django Unchained"
"99",688424,690243,"Or Two:","Django Unchained"
"100",690485,692600,"You could unshackle yourselves…","Django Unchained"
"101",692811,697152,"take that rifle, put a bullet in his head,bury the two of them deep,","Django Unchained"
"102",697206,700567,"and then make your way to a moreenlightened area of this country.","Django Unchained"
"103",701485,702825,"The choice is yours.","Django Unchained"
"104",702899,707678,"Oh, and on the off chance there areany astronomy aficionados amongst you,","Django Unchained"
"105",707693,710365,"the North Star is that one.","Django Unchained"
"106",711921,713040,"Tata.","Django Unchained"
"107",729931,733811,"DICKY: Now wait a minute fellas,let's talk about this.","Django Unchained"
"108",737530,740996,"You gotta be reasonableon a situation like this.","Django Unchained"
"109",742240,745774,"I'm not a bad guy,look I'm just doing my job!","Django Unchained"
"110",745821,749230,"Blueberry, didn't I give youmy last apple?","Django Unchained"
"111",749682,754653,"Tell you what boys, take me to the docin El Paso, I'll get you your freedom.","Django Unchained"
"112",754801,756620,"No. No, please-","Django Unchained"
"113",839099,841061,"SCHULTZ: What's everybody staring at?","Django Unchained"
"114",841178,844178,"– They never seen a niggeron a horse before.","Django Unchained"
"115",866975,868888,"SCHULTZ: Good morning inn keeper!","Django Unchained"
"116",870556,872700,"Two beers for two weary travelers.","Django Unchained"
"117",873121,874995,"– Ah, it's still a bit early.","Django Unchained"
"118",875052,877229,"We won't be open for another hour.","Django Unchained"
"119",877682,879633,"By then we'll be servin' breakfast.","Django Unchained"
"120",880586,882407,"Whoa whoa whoa!","Django Unchained"
"121",882857,884722,"What the hell you think you doin', boy?","Django Unchained"
"122",885096,887280,"Get that nigger outta here.","Django Unchained"
"123",892346,893971,"Help! Help!","Django Unchained"
"124",894120,895240,"SCHULTZ: Inn keeper!","Django Unchained"
"125",895284,898852,"Remember, get the sheriff,not the marshall.","Django Unchained"
"126",900706,902105,"Alas…","Django Unchained"
"127",903397,906397,"Now we must act as our own bartender.","Django Unchained"
"128",908309,909710,"Sit down, my boy.","Django Unchained"
