"id","startTime","endTime","text","title"
"1",97360,99080,"[Traffic light dings]","Double Indemnity"
"2",100560,102000,"[Truck honking]","Double Indemnity"
"3",102040,103000,"[Tires screeching]","Double Indemnity"
"4",127280,128240,"[Knocking]","Double Indemnity"
"5",132160,133800,"[Knocking]","Double Indemnity"
"6",142200,144120,"Why, hello there,Mr. Neff.","Double Indemnity"
"7",155920,159880,"Working pretty late, aren't you,Mr. Neff? Late enough. Let's ride.","Double Indemnity"
"8",163080,165880,"You look kind of allin, at that. I'm fine.","Double Indemnity"
"9",166320,169280,"How is the insurancebusiness, Mr. Neff? Okay.","Double Indemnity"
"10",170120,171840,"They wouldn't eversell me any.","Double Indemnity"
"11",171920,173560,"They said I have somethingloose in my heart.","Double Indemnity"
"12",173640,174720,"[Chuckles]","Double Indemnity"
"13",174800,177000,"I say it's rheumatism.Yeah?","Double Indemnity"
"14",177840,179040,"Twelve.","Double Indemnity"
"15",255760,256680,"[Clicking]","Double Indemnity"
"16",263960,264920,"[Exhaling]","Double Indemnity"
"17",280680,281920,"[Buzzing]","Double Indemnity"
"18",287160,288120,"[Buzzing stops]","Double Indemnity"
"19",290040,291640,"Office memorandum.","Double Indemnity"
"20",292720,295480,"Walter Neff to Barton Keyes,Claims Manager.","Double Indemnity"
"21",296720,298840,"Los Angeles, July 16, 1938.","Double Indemnity"
"22",300720,302160,"Dear Keyes...","Double Indemnity"
"23",303680,306560,"I suppose you'll call thisa confession when you hear it.","Double Indemnity"
"24",306640,308880,"Well, I don't likethe word confession.","Double Indemnity"
"25",308960,311000,"I just want to set you rightabout something you couldn't see...","Double Indemnity"
"26",311080,312680,"because it was smack upagainst your nose.","Double Indemnity"
"27",313840,315840,"You think you're such a hotpotato as a Claims Manager...","Double Indemnity"
"28",315920,318000,"such a wolf on a phony claim.","Double Indemnity"
"29",319080,322800,"Maybe you are, but let's take alook at that Dietrichson claim.","Double Indemnity"
"30",323920,326080,"Accident and double indemnity.","Double Indemnity"
"31",326920,329960,"You were pretty good in therefor a while, Keyes.","Double Indemnity"
"32",330200,332720,"You said it wasn'tan accident. Check.","Double Indemnity"
"33",333120,335440,"You said it wasn't suicide.Check.","Double Indemnity"
"34",336240,339280,"You said it was murder. Check.","Double Indemnity"
"35",341360,343760,"You thought you had it cold,didn't you?","Double Indemnity"
"36",343840,346920,"All wrapped up in tissue paper,with pink ribbons around it.","Double Indemnity"
"37",346960,348440,"It was perfect.","Double Indemnity"
"38",349040,351880,"Except it wasn't, becauseyou made one mistake...","Double Indemnity"
"39",351960,353800,"just one little mistake.","Double Indemnity"
"40",354960,358640,"When it came to picking thekiller, you picked the wrong guy.","Double Indemnity"
"41",359520,362120,"You want to know whokilled Dietrichson?","Double Indemnity"
"42",362760,365680,"Hold tight to thatcheap cigar of yours, Keyes.","Double Indemnity"
"43",367080,368560,"I killed Dietrichson.","Double Indemnity"
"44",368640,371400,"Me, Walter Neff,insurance salesman.","Double Indemnity"
"45",371640,374480,"35 years old, unmarried,no visible scars...","Double Indemnity"
"46",376560,378560,"until a while ago, that is.","Double Indemnity"
"47",379960,381560,"Yes, I killed him.","Double Indemnity"
"48",383200,385160,"I killed him for money...","Double Indemnity"
"49",385200,386760,"and for a woman.","Double Indemnity"
"50",388480,392480,"And I didn't get the moneyand I didn't get the woman.","Double Indemnity"
"51",394600,396160,"Pretty, isn't it?","Double Indemnity"
"52",397560,399440,"[Buzzing]","Double Indemnity"
"53",406000,406960,"[Buzzing stops]","Double Indemnity"
"54",409440,411240,"It all began last May.","Double Indemnity"
"55",412440,413600,"Around the end of May, it was.","Double Indemnity"
"56",415680,419640,"I'd been out to Glendale to delivera policy on some dairy trucks.","Double Indemnity"
"57",419720,423080,"On the way back I remembered thisauto renewal near Los Feliz Boulevard.","Double Indemnity"
"58",423160,425000,"So I drove over there.","Double Indemnity"
"59",425240,426920,"It was one of thoseCalifornia Spanish houses...","Double Indemnity"
"60",427000,429800,"everyone was nuts about10 or 15 years ago.","Double Indemnity"
"61",430320,433160,"This one must've cost somebodyabout $30,000.","Double Indemnity"
"62",433400,435600,"That is, if he everfinished paying for it.","Double Indemnity"
"63",435640,437200,"[Doorbell ringing]","Double Indemnity"
"64",438360,439760,"Is Mr. Dietrichson in?","Double Indemnity"
"65",439840,442280,"Who wants to see him? Myname is Neff. Walter Neff.","Double Indemnity"
"66",442320,445440,"If you're selling something... Look,it's Mr. Dietrichson I want to talk to...","Double Indemnity"
"67",445520,446600,"and it's notmagazine subscriptions.","Double Indemnity"
