"id","startTime","endTime","text","title"
"1",40039,42959,"l have a friend, Deborah,a psychologist...","Eat Pray Love"
"2",43127,45293,"...who was askedby the city of Philadelphia...","Eat Pray Love"
"3",45462,49548,"...if she could offer psychologicalcounseling to Cambodian refugees...","Eat Pray Love"
"4",49716,53261,"...boat people,who had recently arrived in the city.","Eat Pray Love"
"5",53429,56555,"Deborah was daunted by the task.These Cambodians...","Eat Pray Love"
"6",56723,61728,"...had suffered genocide, starvation,relatives murdered before their eyes...","Eat Pray Love"
"7",61895,65647,"...years in refugee camps,harrowing boat trips to the West.","Eat Pray Love"
"8",66108,67983,"How could she relateto their suffering?","Eat Pray Love"
"9",68152,69819,"How could she help these people?","Eat Pray Love"
"10",76200,78703,"So guess what all these peoplewanted to talk about...","Eat Pray Love"
"11",78870,81621,"...with my friend Deborah,the psychologist.","Eat Pray Love"
"12",83709,86543,"lt was all,""l met this guy in the refugee camp.","Eat Pray Love"
"13",86712,89546,"I thought he really loved me,but when we got separated...","Eat Pray Love"
"14",89715,92299,"...he took up with my cousin.Now he says he loves me...","Eat Pray Love"
"15",92468,95927,"...and keeps calling me. They'remarried now. What should l do?""","Eat Pray Love"
"16",96096,97180,"This is how we are.","Eat Pray Love"
"17",97347,98555,"May I help you?","Eat Pray Love"
"18",98723,101391,"I'm Liz Gilbert. I'm writinga magazine article on Bali.","Eat Pray Love"
"19",101560,103019,"I wanted to meet a medicine man.","Eat Pray Love"
"20",103186,106271,"Everyone said I should meetKetut Liyer. Am l in the right place?","Eat Pray Love"
"21",106439,107522,"Wait.","Eat Pray Love"
"22",107691,112027,"l mean, here I am witha ninth-generation medicine man...","Eat Pray Love"
"23",112195,114697,"...and what do I wannaask him about?","Eat Pray Love"
"24",114865,117200,"Getting closer to God?","Eat Pray Love"
"25",117366,120912,"Saving the world'sstarving children?","Eat Pray Love"
"26",121662,124206,"Happy to see you. l am Ketut Liyer.","Eat Pray Love"
"27",124373,129294,"Nope. l wanna discussmy relationship.","Eat Pray Love"
"28",132591,135134,"You are a world traveler.","Eat Pray Love"
"29",135301,137385,"You will live a long time...","Eat Pray Love"
"30",137554,140889,"...have many friends,many experiences.","Eat Pray Love"
"31",142475,146145,"You will have two marriages.One long, one short.","Eat Pray Love"
"32",146479,148271,"Am l in the long oneor the short one?","Eat Pray Love"
"33",148816,150358,"Can't tell.","Eat Pray Love"
"34",150526,154486,"Also you will lose all your money.","Eat Pray Love"
"35",155572,158824,"I think in next six to 1 0 months.","Eat Pray Love"
"36",160117,163204,"Don't worry.You will get it all back again.","Eat Pray Love"
"37",163913,166289,"And you will come back to Bali...","Eat Pray Love"
"38",166457,172754,"...and live here for three or fourmonths and teach me English.","Eat Pray Love"
"39",172923,176384,"I never had anybodyto practice my English with.","Eat Pray Love"
"40",177134,178718,"And then...","Eat Pray Love"
"41",178887,184266,"...l will teach you everything l know.","Eat Pray Love"
"42",187104,188937,"Wait.","Eat Pray Love"
"43",193151,195068,"I have this for you.","Eat Pray Love"
"44",195236,198698,"Keep grounded so it's likeyou have four legs.","Eat Pray Love"
"45",199115,201366,"That way, you can stay in this world.","Eat Pray Love"
"46",201951,205913,"Also, no looking at worldthrough your head.","Eat Pray Love"
"47",206080,208498,"Look through your heart instead.","Eat Pray Love"
"48",208667,210793,"That way, you will know God.","Eat Pray Love"
"49",212253,214462,"Which is why you came here, no?","Eat Pray Love"
"50",215632,219050,"See you later, alligator.","Eat Pray Love"
"51",233442,236819,"I proofread all of her manuscripts.","Eat Pray Love"
"52",236986,240489,"My wife is very, very beautiful,but she can't spell for anything.","Eat Pray Love"
"53",240657,243325,"Look at Uncle Stephen.","Eat Pray Love"
"54",244828,245995,"And Auntie Liz.","Eat Pray Love"
"55",246163,249873,"I'm counting the minutes for this to beover so l can get in my big girl pants.","Eat Pray Love"
"56",250042,252001,"You look fantastic.You just had a baby.","Eat Pray Love"
"57",252169,254169,"Oh, you're lying.I'm fat, I'm exhausted...","Eat Pray Love"
"58",254337,256880,"...l can't keep two thoughts.I feel like Liza Minnelli.","Eat Pray Love"
"59",257048,258716,"Stephen, can you hold Jack?","Eat Pray Love"
"60",258884,261218,"-l'm gonna introduce you to Walter.-Yeah.","Eat Pray Love"
"61",262012,265430,"Hey, dude, you wanna grab a beeror something?","Eat Pray Love"
"62",265682,268309,"My new book comes out in April.Thank you for asking.","Eat Pray Love"
"63",268476,269518,"-Great.-May.","Eat Pray Love"
"64",269685,271019,"May. May.","Eat Pray Love"
"65",271687,274481,"This is Andre. You two areTimes' Most Notable nominees.","Eat Pray Love"
"66",274649,277360,"-So glad to finally meet you.-Nice to finally meet you.","Eat Pray Love"
"67",279362,281072,"I fed him nachos. ls that bad?","Eat Pray Love"
"68",281238,283740,"You look comfortable.What'd you feed him, chloroform?","Eat Pray Love"
"69",283908,285867,"-Give him to his dad.-l told you, nachos.","Eat Pray Love"
"70",286036,288579,"Know what? I'd be asleep tooif l had a dump like that.","Eat Pray Love"
"71",288747,291749,"-We'll give him to his mom.-Come here then.","Eat Pray Love"
"72",293377,295502,"-Wanna help me change his diaper?-Yes, I do.","Eat Pray Love"
"73",295670,297545,"Hey, how's the vintage carthing going?","Eat Pray Love"
"74",297713,300507,"Oh, no, no, no. l changed jobs.I'm a pastry chef now.","Eat Pray Love"
"75",300675,302802,"-You mean you're a baker.-Yeah.","Eat Pray Love"
"76",302970,304720,"You wanna get baked?","Eat Pray Love"
"77",306223,308848,"I know, I know.","Eat Pray Love"
"78",309016,311060,"It's hard, isn't it?","Eat Pray Love"
"79",311560,315355,"Oh, no. This is so much fun.","Eat Pray Love"
"80",315899,318526,"Did you know the exact momentyou wanted to have a baby?","Eat Pray Love"
"81",318694,323197,"I can't remember, but l've had the boxsince before l got married.","Eat Pray Love"
"82",323365,324906,"What box?","Eat Pray Love"
"83",325074,328201,"It's girly and embarrassing,and you'll laugh at me if I tell you.","Eat Pray Love"
"84",328661,331663,"I will laugh at you,but you still have to tell me.","Eat Pray Love"
"85",332249,334000,"Come on.","Eat Pray Love"
"86",334668,336168,"Under the bed.","Eat Pray Love"
"87",342550,345261,"I've been filling it with baby things...","Eat Pray Love"
"88",345428,348264,"...waiting until Andywas ready to be a father.","Eat Pray Love"
"89",350350,353226,"So sweet.","Eat Pray Love"
"90",353394,355062,"Does this come in my size?","Eat Pray Love"
"91",361110,364612,"I have a box just like this, exceptit's filled with National Geographics...","Eat Pray Love"
"92",364781,366949,"...and The Times travel section.","Eat Pray Love"
"93",367117,370244,"All the places l wanna seebefore l die.","Eat Pray Love"
"94",370411,374874,"Liz, having a baby is likegetting a tattoo on your face.","Eat Pray Love"
"95",376293,378461,"You kind of wanna befully committed.","Eat Pray Love"
"96",382423,385800,"So my trip to Aruba next week,which is just a basic, you know...","Eat Pray Love"
"97",385968,388596,"...""where to sleep, swimand stuff your face"" piece....","Eat Pray Love"
"98",388764,390221,"I got a new bikini.","Eat Pray Love"
"99",390389,393893,"And it turns out,I have unlimited minibar access.","Eat Pray Love"
"100",394060,395894,"-You know what that means?-Jet lag?","Eat Pray Love"
"101",396062,398773,"You, me...","Eat Pray Love"
"102",398939,400316,"...macadamia nuts.","Eat Pray Love"
"103",401860,402942,"That was cute.","Eat Pray Love"
"104",403110,406322,"You know who l was talking toat the party who was really inspiring...","Eat Pray Love"
"105",406490,407865,"-...was Tara's friend.-Brian.","Eat Pray Love"
"106",408033,411201,"Brian. Unbelievable.He's a teacher, you know that?","Eat Pray Love"
"107",411369,413120,"He's a substitute teacher, isn't he?","Eat Pray Love"
"108",413288,416331,"Yeah. He was talking about thebudget cuts that are happening now.","Eat Pray Love"
"109",416500,418250,"There's no money for anything.","Eat Pray Love"
"110",418418,421086,"There's no music classes,there's no arts classes.","Eat Pray Love"
"111",421254,424214,"They're volunteering their timeto do all of this after school.","Eat Pray Love"
"112",424382,426425,"They're educating our kids,you know?","Eat Pray Love"
"113",426593,429470,"I think you'd makea great teacher, honey.","Eat Pray Love"
"114",429637,432848,"Thank you,but I was thinking more of like...","Eat Pray Love"
"115",433432,436769,"...education. Getting my masters,going back to school. l don't know.","Eat Pray Love"
"116",436937,438603,"You know?","Eat Pray Love"
"117",445362,447487,"I-- You know....","Eat Pray Love"
"118",448115,450699,"-Going back to school.-l'm just thinking out loud.","Eat Pray Love"
"119",453245,458290,"I was getting the sinking feeling thatKetut's prophecy was coming true.","Eat Pray Love"
"120",458457,461127,"Was l in the shorter marriage?","Eat Pray Love"
"121",462879,465880,"We'd only bought this housea year ago.","Eat Pray Love"
"122",466550,467966,"Hadn't I wanted this?","Eat Pray Love"
"123",470427,474723,"I had actively participatedin every moment of the creation...","Eat Pray Love"
"124",474891,476725,"...of this life.","Eat Pray Love"
